 
 WELLS WITH REDUCED PUMPING FOR STRESS PERIOD     1 TIME STEP     1
   LAY   ROW   COL         APPL.Q          ACT.Q        GW-HEAD       CELL-BOT
     3   162    80  -0.120676E+03  -0.513215E+00   0.969607E+02   0.967700E+02
     3    61    67  -0.270931E+02  -0.719691E-01   0.302560E+03   0.302410E+03
     3    61    67  -0.270931E+02  -0.719691E-01   0.302560E+03   0.302410E+03
     3    61    68  -0.270931E+02  -0.175100E+00   0.340166E+03   0.339930E+03
     3    34    24  -0.774181E+02  -0.331497E+01   0.309346E+03   0.308722E+03
     3   162    80  -0.260073E+03  -0.110605E+01   0.969607E+02   0.967700E+02
     3   162    80  -0.260073E+03  -0.110605E+01   0.969607E+02   0.967700E+02
     3   326    82  -0.128462E+02  -0.230307E-02   0.329429E+03   0.329390E+03
     3   324    84  -0.128462E+02  -0.120169E-02   0.278068E+03   0.278040E+03
     3   324    84  -0.128462E+02  -0.120169E-02   0.278068E+03   0.278040E+03
     3   326    82  -0.128462E+02  -0.230307E-02   0.329429E+03   0.329390E+03
     3   324    83  -0.128462E+02  -0.238390E-02   0.330819E+03   0.330780E+03
     3   343    99  -0.317276E+02  -0.354388E+01  -0.502753E+02  -0.513148E+02
     3   329    96  -0.538700E+01  -0.178284E+01  -0.407729E+02  -0.426993E+02
     3   329    96  -0.538700E+01  -0.178284E+01  -0.407729E+02  -0.426993E+02
     2   340    98  -0.461536E+01  -0.215173E-02   0.816512E+02   0.816330E+02
     3   344   100  -0.107421E+02  -0.350713E+01  -0.479326E+02  -0.498433E+02
     3   344    98  -0.107421E+02  -0.173535E+01   0.956200E+02   0.943466E+02
     3   338    95  -0.125677E+02  -0.369350E+01  -0.520540E+02  -0.538482E+02
     3   335    94  -0.507432E+01  -0.364989E+01  -0.485201E+02  -0.517739E+02
     3   361    85  -0.170723E+02  -0.101420E+00  -0.258241E+02  -0.260500E+02
     3   232   125  -0.342345E+02  -0.204189E+01   0.151536E+03   0.150900E+03
     3   305   148  -0.554354E+01  -0.134402E+01  -0.226370E+02  -0.242400E+02
     3   305   148  -0.554354E+01  -0.134402E+01  -0.226370E+02  -0.242400E+02
     3   306   148  -0.554354E+01  -0.280856E+01  -0.200879E+02  -0.226100E+02
     3   224   116  -0.321192E+02  -0.342150E+00   0.435442E+02   0.432400E+02
     3   224   117  -0.321192E+02  -0.900158E-01   0.693444E+02   0.691900E+02
     3   279   179  -0.964430E+02  -0.264694E+01   0.305748E+02   0.300800E+02
     3   271   151  -0.732416E+02  -0.458271E+01  -0.353765E+02  -0.361383E+02
     3   308   157  -0.124209E+02  -0.336044E+01  -0.495848E+02  -0.506100E+02
     3   308   160  -0.124209E+02  -0.302590E+00  -0.411009E+02  -0.413800E+02
     3   308   159  -0.124209E+02  -0.127502E+01  -0.431342E+02  -0.437300E+02
     3   308   159  -0.124209E+02  -0.127502E+01  -0.431342E+02  -0.437300E+02
     3   309   159  -0.124209E+02  -0.129429E+01  -0.435694E+02  -0.441700E+02
     3   309   159  -0.124209E+02  -0.129429E+01  -0.435694E+02  -0.441700E+02
     3   308   160  -0.124209E+02  -0.302590E+00  -0.411009E+02  -0.413800E+02
     3   308   160  -0.124209E+02  -0.302590E+00  -0.411009E+02  -0.413800E+02
     2   308   160  -0.110771E+02  -0.608346E+01  -0.103143E+02  -0.113800E+02
     3   308   160  -0.110771E+02  -0.269853E+00  -0.411009E+02  -0.413800E+02
     3   308   160  -0.110771E+02  -0.269853E+00  -0.411009E+02  -0.413800E+02
     3   367   129  -0.268433E+01  -0.122024E+00   0.109414E+03   0.108770E+03
     3   367   129  -0.268433E+01  -0.122024E+00   0.109414E+03   0.108770E+03
     3   367   130  -0.268433E+01  -0.136951E+00   0.143054E+03   0.142370E+03
     3   369   130  -0.268433E+01  -0.422060E-02   0.153825E+03   0.153710E+03
     3   367   129  -0.268433E+01  -0.122024E+00   0.109414E+03   0.108770E+03
     3   361   121  -0.862409E+01  -0.275772E-01   0.135375E+03   0.135210E+03
     3   361   122  -0.862409E+01  -0.209463E+01   0.474147E+02   0.458100E+02
     3   362   122  -0.862409E+01  -0.267412E-01   0.108433E+03   0.108270E+03
     3   269   152  -0.748024E+02  -0.455340E+01  -0.301492E+02  -0.309000E+02
     3   259   133  -0.936566E+01  -0.192519E+00   0.413762E+02   0.409500E+02
     3   259   134  -0.936566E+01  -0.100976E+00   0.481761E+02   0.478700E+02
     3   258   133  -0.936566E+01  -0.334293E-01   0.710945E+02   0.709200E+02
     3   326   150  -0.297231E+01  -0.122960E-01   0.300480E+02   0.298600E+02
     3   220   170  -0.115641E+01  -0.952836E-02   0.721487E+03   0.721220E+03
     3   222   169  -0.115641E+01  -0.666131E-01   0.510409E+03   0.509680E+03
     3   275   128  -0.188225E+01  -0.419441E+00   0.256170E+02   0.240900E+02
     3   278   159  -0.264262E+01  -0.611971E+00   0.349011E+02   0.333400E+02
     3   351   132  -0.161735E+02  -0.114734E+00   0.430272E+02   0.427800E+02
     3   351   132  -0.161735E+02  -0.114734E+00   0.430272E+02   0.427800E+02
     3   351   132  -0.161735E+02  -0.114734E+00   0.430272E+02   0.427800E+02
     3   328    97  -0.716815E+01  -0.176350E+01  -0.374124E+02  -0.390290E+02
     3   328    97  -0.716815E+01  -0.176350E+01  -0.374124E+02  -0.390290E+02
     3   326    88  -0.167951E+01  -0.101616E+01  -0.291202E+02  -0.319726E+02
     3   326    88  -0.167951E+01  -0.101616E+01  -0.291202E+02  -0.319726E+02
     3   326    88  -0.167951E+01  -0.101616E+01  -0.291202E+02  -0.319726E+02
     3   275   177  -0.157208E+03  -0.545761E-01   0.921940E+02   0.921400E+02
     3   275   177  -0.157208E+03  -0.545761E-01   0.921940E+02   0.921400E+02
     3   273   177  -0.157208E+03  -0.519057E-02   0.190857E+03   0.190840E+03
     3   368   127  -0.123173E+01  -0.189394E-02   0.190654E+03   0.190540E+03
     3   368   127  -0.123173E+01  -0.189394E-02   0.190654E+03   0.190540E+03
     3   279   178  -0.264597E+01  -0.237295E+01   0.188742E+02   0.148700E+02
     3   368   143  -0.553642E+01  -0.993955E+00   0.610008E+02   0.596500E+02
     3   368   143  -0.553642E+01  -0.993955E+00   0.610008E+02   0.596500E+02
     3   273   153  -0.534877E+02  -0.480973E+01  -0.363655E+02  -0.372900E+02
     3   272   150  -0.534877E+02  -0.416880E+01  -0.238037E+02  -0.246600E+02
     3   302   148  -0.644566E+00  -0.388376E+00   0.129640E+02   0.101200E+02
     3   364   151  -0.114261E+02  -0.464573E+01  -0.539130E+02  -0.561000E+02
     3   276   148  -0.756291E+01  -0.105799E+00   0.365397E+02   0.361900E+02
     3   277   147  -0.756291E+01  -0.395908E+00   0.332133E+02   0.325200E+02
     3   366   142  -0.257977E+01  -0.241317E+01   0.369853E+02   0.327600E+02
     2   312   159  -0.122633E+02  -0.321439E+01  -0.100191E+02  -0.106900E+02
     2   312   159  -0.122633E+02  -0.321439E+01  -0.100191E+02  -0.106900E+02
     2   312   158  -0.122633E+02  -0.772627E+01  -0.167948E+02  -0.179700E+02
     2   298   157  -0.334735E+02  -0.138861E+02  -0.454540E+02  -0.463400E+02
     3   308   147  -0.247378E+01  -0.812455E-01   0.490032E+02   0.484600E+02
     3   308   147  -0.247378E+01  -0.812455E-01   0.490032E+02   0.484600E+02
     3   308   147  -0.247378E+01  -0.812455E-01   0.490032E+02   0.484600E+02
     3   362   157  -0.812268E+01  -0.548258E+01  -0.634456E+02  -0.665400E+02
     2   332   119  -0.255277E+03  -0.286498E+01  -0.256150E+02  -0.257400E+02
     2   332   119  -0.255277E+03  -0.286498E+01  -0.256150E+02  -0.257400E+02
     2   332   119  -0.255277E+03  -0.286498E+01  -0.256150E+02  -0.257400E+02
     2   332   118  -0.255277E+03  -0.211057E+01  -0.256431E+02  -0.257500E+02
     3   334   106  -0.255277E+03  -0.334241E+01  -0.279846E+02  -0.283226E+02
     2   332   118  -0.255277E+03  -0.211057E+01  -0.256431E+02  -0.257500E+02
     2   332   118  -0.255277E+03  -0.211057E+01  -0.256431E+02  -0.257500E+02
     2   332   118  -0.255277E+03  -0.211057E+01  -0.256431E+02  -0.257500E+02
