simval,obsnme,obsval,weight,obgnme,comments
72.68554688,HO_0,60.71310043,1,HEADS,#
280.3670654,HO_1,321.5151978,1,HEADS,#
85.85282135,HO_2,92.14749908,1,HEADS,#
40.27680588,HO_3,43.85229874,1,HEADS,#
1.388828158,HO_4,1.175500035,1,HEADS,#
2.66745162,HO_5,2.380500078,1,HEADS,#
53.36946106,HO_6,60.05469894,1,HEADS,#
157.9303741,HO_7,190.3092957,1,HEADS,#
47.334095,HO_8,42.33060074,1,HEADS,#
43.47776031,HO_9,52.02170181,1,HEADS,#
39.92528152,HO_10,48.61050034,1,HEADS,#
37.83786392,HO_11,51.31380081,1,HEADS,#
27.59212685,HO_12,26.00440025,1,HEADS,#
13.87937069,HO_13,15.50819969,1,HEADS,#
319.7260437,HO_14,380.5397949,1,HEADS,#
21.85447121,HO_15,14.05739975,1,HEADS,#
45.37744904,HO_16,60.51520157,1,HEADS,#
-16.71801949,HO_17,6.116600037,1,HEADS,#
43.98096848,HO_18,38.31340027,1,HEADS,#
41.18893433,HO_19,38.80099869,1,HEADS,#
20.65644455,HO_20,17.39459991,1,HEADS,#
30.52366638,HO_21,27.79470062,1,HEADS,#
23.54103661,HO_22,18.7147007,1,HEADS,#
17.75910759,HO_23,5.365499973,1,HEADS,#
17.10384178,HO_24,12.70189953,1,HEADS,#
16.65467453,HO_25,12.93379974,1,HEADS,#
16.85915947,HO_26,12.05599976,1,HEADS,#
16.77614021,HO_27,16.89850044,1,HEADS,#
18.67666245,HO_28,17.49080086,1,HEADS,#
17.56373024,HO_29,17.89640045,1,HEADS,#
24.34796524,HO_30,20.44669914,1,HEADS,#
39.58807755,HO_31,38.52560043,1,HEADS,#
44.29794693,HO_32,12.82600021,1,HEADS,#
44.14033508,HO_33,35.31570053,1,HEADS,#
43.49207306,HO_34,44.56809998,1,HEADS,#
43.76963043,HO_35,38.02320099,1,HEADS,#
5.117968082,HO_36,4.741499901,1,HEADS,#
15.67989922,HO_37,12.46930027,1,HEADS,#
128.2223816,HO_38,131.8417969,1,HEADS,#
125.8399735,HO_39,125.1793976,1,HEADS,#
62.69501877,HO_40,64.10279846,1,HEADS,#
59.45783234,HO_41,58.27780151,1,HEADS,#
87.45814514,HO_42,95.89920044,1,HEADS,#
46.73022842,HO_43,44.52700043,1,HEADS,#
49.72940826,HO_44,57.99729919,1,HEADS,#
51.4937439,HO_45,52.44850159,1,HEADS,#
86.31446838,HO_46,86.34539795,1,HEADS,#
101.2400436,HO_47,101.7932968,1,HEADS,#
276.1237183,HO_48,337.2763977,1,HEADS,#
52.04345322,HO_49,52.81269836,1,HEADS,#
51.75744629,HO_50,53.84680176,1,HEADS,#
80.78186035,HO_51,79.1760025,1,HEADS,#
80.84552002,HO_52,83.17379761,1,HEADS,#
83.66257477,HO_53,85.94339752,1,HEADS,#
57.70869827,HO_54,52.55540085,1,HEADS,#
77.65589142,HO_55,70.51239777,1,HEADS,#
50.9412117,HO_56,49.91339874,1,HEADS,#
52.55484772,HO_57,49.6344986,1,HEADS,#
44.21513367,HO_58,43.70019913,1,HEADS,#
44.73678589,HO_59,47.03829956,1,HEADS,#
51.01579666,HO_60,48.79240036,1,HEADS,#
52.28884125,HO_61,49.9469986,1,HEADS,#
58.6925621,HO_62,60.30500031,1,HEADS,#
55.8997345,HO_63,58.06480026,1,HEADS,#
319.9446411,HO_64,342.9609985,1,HEADS,#
145.6303253,HO_65,140.0861053,1,HEADS,#
310.6869202,HO_66,336.1029968,1,HEADS,#
