,obsnme,simval,obsval,weight,obgnme,comments
47,HO_47,53.1007614136,52.812698364300005,1.0,HEADS,#
48,HO_48,52.883499145500004,53.846801757799994,1.0,HEADS,#
49,HO_49,91.2322845459,79.1760025024,1.0,HEADS,#
50,HO_50,70.1436386108,83.1737976074,1.0,HEADS,#
51,HO_51,84.6374359131,85.94339752200001,1.0,HEADS,#
52,HO_52,60.7729415894,52.55540084840001,1.0,HEADS,#
53,HO_53,79.6283569336,70.5123977661,1.0,HEADS,#
54,HO_54,51.3053703308,49.913398742700004,1.0,HEADS,#
55,HO_55,52.3647384644,49.6344985962,1.0,HEADS,#
56,HO_56,45.7852287292,43.7001991272,1.0,HEADS,#
57,HO_57,47.6037521362,47.0382995605,1.0,HEADS,#
58,HO_58,51.5196685791,48.792400360100004,1.0,HEADS,#
59,HO_59,52.1839790344,49.9469985962,1.0,HEADS,#
60,HO_60,56.0318832397,60.305000305200004,1.0,HEADS,#
61,HO_61,55.0815200806,58.0648002625,1.0,HEADS,#
62,HO_62,357.507324219,342.960998535,1.0,HEADS,#
63,HO_63,146.973526001,140.086105347,1.0,HEADS,#
64,HO_64,320.12960815400004,336.102996826,1.0,HEADS,#
65,HO_65,150.39669799799998,147.782104492,1.0,HEADS,#
66,HO_66,150.87904357899998,149.232696533,1.0,HEADS,#
67,HO_67,148.495452881,144.211898804,1.0,HEADS,#
68,HO_68,148.495452881,143.365600586,1.0,HEADS,#
69,HO_69,523.734802246,553.659973145,1.0,HEADS,#
70,HO_70,249.855880737,238.96319580099998,1.0,HEADS,#
71,HO_71,274.448242188,234.057495117,1.0,HEADS,#
72,HO_72,237.657318115,219.53829956099997,1.0,HEADS,#
73,HO_73,236.35179138200002,220.830505371,1.0,HEADS,#
74,HO_74,255.659011841,256.07409668,1.0,HEADS,#
75,HO_75,232.72843933099998,229.424804688,1.0,HEADS,#
76,HO_76,230.53550720200002,230.24800109900002,1.0,HEADS,#
77,HO_77,229.609344482,226.520095825,1.0,HEADS,#
78,HO_78,249.06149292,258.186309814,1.0,HEADS,#
79,HO_79,230.191497803,220.44960022,1.0,HEADS,#
80,HO_80,222.469818115,217.59480285599997,1.0,HEADS,#
81,HO_81,221.717330933,205.736999512,1.0,HEADS,#
82,HO_82,219.619552612,199.04200744599999,1.0,HEADS,#
83,HO_83,210.685699463,204.353805542,1.0,HEADS,#
84,HO_84,217.81910705599998,219.514892578,1.0,HEADS,#
85,HO_85,206.739135742,237.576904297,1.0,HEADS,#
86,HO_86,206.03732299799998,232.421096802,1.0,HEADS,#
87,HO_87,206.087722778,238.891693115,1.0,HEADS,#
88,HO_88,201.055633545,189.36000061,1.0,HEADS,#
89,HO_89,201.818649292,200.199798584,1.0,HEADS,#
90,HO_90,199.47593689,199.727798462,1.0,HEADS,#
91,HO_91,200.39332580599998,196.187606812,1.0,HEADS,#
92,HO_92,182.306793213,184.282104492,1.0,HEADS,#
93,HO_93,173.97622680700005,165.550598145,1.0,HEADS,#
94,HO_94,171.319992065,119.11579895,1.0,HEADS,#
95,HO_95,157.80491638200002,161.82510376,1.0,HEADS,#
96,HO_96,159.07649231,155.513504028,1.0,HEADS,#
97,HO_97,162.030014038,162.746398926,1.0,HEADS,#
98,HO_98,191.304656982,196.154006958,1.0,HEADS,#
99,HO_99,166.037658691,160.18150329600002,1.0,HEADS,#
100,HO_100,166.085678101,161.90060424799998,1.0,HEADS,#
101,HO_101,179.2368927,176.05250549299996,1.0,HEADS,#
102,HO_102,179.83833313,169.026794434,1.0,HEADS,#
103,HO_103,180.70388793900003,167.771102905,1.0,HEADS,#
104,HO_104,176.333099365,166.303497314,1.0,HEADS,#
105,HO_105,179.053833008,169.649902344,1.0,HEADS,#
106,HO_106,175.59140014599998,170.872406006,1.0,HEADS,#
107,HO_107,177.00354003900003,171.620697021,1.0,HEADS,#
108,HO_108,177.44758606,170.513793945,1.0,HEADS,#
109,HO_109,177.088165283,171.233596802,1.0,HEADS,#
110,HO_110,177.593917847,171.661804199,1.0,HEADS,#
111,HO_111,180.88009643599997,168.600097656,1.0,HEADS,#
112,HO_112,176.972335815,171.88400268599997,1.0,HEADS,#
113,HO_113,248.582687378,248.59339904799998,1.0,HEADS,#
114,HO_114,242.793670654,237.55070495599998,1.0,HEADS,#
115,HO_115,239.701644897,245.390304565,1.0,HEADS,#
116,HO_116,231.86824035599997,233.659698486,1.0,HEADS,#
117,HO_117,231.99560546900003,239.38380432099999,1.0,HEADS,#
118,HO_118,291.908691406,250.395599365,1.0,HEADS,#
119,HO_119,249.77520752,237.750106812,1.0,HEADS,#
120,HO_120,261.27456665,315.903900146,1.0,HEADS,#
121,HO_121,253.159500122,261.981689453,1.0,HEADS,#
122,HO_122,285.437438965,266.22531127900004,1.0,HEADS,#
123,HO_123,242.549102783,273.72229003900003,1.0,HEADS,#
124,HO_124,236.55656433099998,236.40899658200001,1.0,HEADS,#
125,HO_125,222.10720825200002,222.768295288,1.0,HEADS,#
126,HO_126,219.105926514,181.57699585,1.0,HEADS,#
127,HO_127,247.99060058599997,245.484405518,1.0,HEADS,#
128,HO_128,207.29739379900002,202.239501953,1.0,HEADS,#
129,HO_129,228.753295898,229.00079345700001,1.0,HEADS,#
130,HO_130,216.297576904,209.31939697299998,1.0,HEADS,#
131,HO_131,240.084716797,239.668395996,1.0,HEADS,#
132,HO_132,239.582855225,239.430404663,1.0,HEADS,#
133,HO_133,210.89126586900002,212.78489685099998,1.0,HEADS,#
134,HO_134,222.135040283,216.19380188,1.0,HEADS,#
135,HO_135,238.52374267599998,235.840301514,1.0,HEADS,#
136,HO_136,215.837768555,221.04710388200002,1.0,HEADS,#
137,HO_137,220.682357788,240.238296509,1.0,HEADS,#
138,HO_138,218.650146484,238.408493042,1.0,HEADS,#
139,HO_139,236.472640991,243.412002563,1.0,HEADS,#
140,HO_140,239.746688843,216.59089660599997,1.0,HEADS,#
141,HO_141,243.063720703,246.85749816900002,1.0,HEADS,#
142,HO_142,222.45738220200002,219.979797363,1.0,HEADS,#
143,HO_143,222.261016846,235.419296265,1.0,HEADS,#
144,HO_144,253.027252197,261.61441040000005,1.0,HEADS,#
145,HO_145,252.692947388,258.690185547,1.0,HEADS,#
146,HO_146,214.85307312,223.727798462,1.0,HEADS,#
147,HO_147,217.404190063,216.577194214,1.0,HEADS,#
148,HO_148,231.042114258,248.27180481,1.0,HEADS,#
149,HO_149,232.63572692900001,250.716293335,1.0,HEADS,#
150,HO_150,188.99572753900003,189.68339538599997,1.0,HEADS,#
151,HO_151,186.69128418,184.069503784,1.0,HEADS,#
152,HO_152,189.12129211400003,180.046905518,1.0,HEADS,#
153,HO_153,189.12129211400003,177.786300659,1.0,HEADS,#
154,HO_154,189.12129211400003,177.568893433,1.0,HEADS,#
155,HO_155,189.12129211400003,177.361602783,1.0,HEADS,#
156,HO_156,216.017105103,201.250106812,1.0,HEADS,#
157,HO_157,216.017105103,187.113693237,1.0,HEADS,#
158,HO_158,216.017105103,196.24949646,1.0,HEADS,#
159,HO_159,319.94183349599996,296.00201416,1.0,HEADS,#
160,HO_160,223.824661255,211.04400634799998,1.0,HEADS,#
161,HO_161,213.246536255,219.070404053,1.0,HEADS,#
162,HO_162,213.61944580099998,215.00950622599998,1.0,HEADS,#
163,HO_163,233.381149292,231.485900879,1.0,HEADS,#
164,HO_164,219.771621704,222.935699463,1.0,HEADS,#
165,HO_165,289.656219482,271.630615234,1.0,HEADS,#
166,HO_166,276.26409912099996,275.42590332,1.0,HEADS,#
167,HO_167,289.07522583,291.707794189,1.0,HEADS,#
168,HO_168,288.694915771,291.217010498,1.0,HEADS,#
169,GFLO_1,429160.0,423377.95,1.0,GgFlo,RUSSIAN_R_NR_UKIAH
170,GFLO_2,762340.0,748235.25,1.0,GgFlo,EF_RUSSIAN_R_NR_CALPELLA
171,GFLO_3,797300.0,780522.41,1.0,GgFlo,EF_RUSSIAN_R_NR_UKIAH
172,GFLO_4,1525400.0,935002.67,1.0,GgFlo,RUSSIAN_R_NR_TALMAG
173,GFLO_5,1647700.0,1664231.92,1.0,GgFlo,RUSSIAN_R_NR_HOPLAND
174,GFLO_6,2213400.0,2236198.06,1.0,GgFlo,RUSSIAN_R_NR_CLOVERDALE
175,GFLO_7,90320.0,105951.69,1.0,GgFlo,BIG_SULPHUR_C_A_G_RESORT_NR_CLOVERDALE
176,GFLO_8,536160.0,150280.02,1.0,GgFlo,BIG_SULPHUR_C_NR_CLOVERDALE
177,GFLO_9,3109200.0,1251431.98,1.0,GgFlo,RUSSIAN_R_GEYSERVILLE
178,GFLO_10,3108600.0,823298.52,1.0,GgFlo,RUSSIAN_R_JIMTOWN
179,GFLO_11,270130.0,75501.21,1.0,GgFlo,MAACAMA_C_NR_KELLOGG
180,GFLO_12,3431700.0,272585.84,1.0,GgFlo,RUSSIAN_R_DIGGER_BEND_NR_HEALDSBURG
181,GFLO_13,3442200.0,3384856.6,1.0,GgFlo,RUSSIAN_R_NR_HEALDSBURG
182,GFLO_14,56033.0,736828.56,1.0,GgFlo,DRY_C_NR_GEYSERVILLE
183,GFLO_15,144550.0,252110.66,1.0,GgFlo,DRY_C_BLW_LAMBERT_BR_NR_GEYSERVILLE
184,GFLO_16,279370.0,208254.73,1.0,GgFlo,DRY_C_NR_MOUTH_NR_HEALDSBURG
185,GFLO_17,3828800.0,649214.2,1.0,GgFlo,RUSSIAN_R_NR_WINDSOR
186,GFLO_18,4873500.0,5416172.77,1.0,GgFlo,RUSSIAN_R_NR_GUERNEVILLE
187,GFLO_19,4960300.0,-999.0,1.0,GgFlo,RUSSIAN_R_JOHNSONS_BEACH_GUERNEVILLE
188,GFLO_20,394610.0,395207.15,1.0,GgFlo,AUSTIN_C_NR_CAZADERO
189,BSFLO_1,98478.40000000002,92107.69,1.0,Basflo,RUSSIAN_R_NR_UKIAH
190,BSFLO_2,391989.6,451434.51,1.0,Basflo,EF_RUSSIAN_R_NR_CALPELLA
191,BSFLO_3,389391.3000000001,587386.14,1.0,Basflo,EF_RUSSIAN_R_NR_UKIAH
192,BSFLO_4,545902.9300000003,434863.58,1.0,Basflo,RUSSIAN_R_NR_TALMAG
193,BSFLO_5,584939.6400000001,735404.7,1.0,Basflo,RUSSIAN_R_NR_HOPLAND
194,BSFLO_6,583120.7200000002,866261.21,1.0,Basflo,RUSSIAN_R_NR_CLOVERDALE
195,BSFLO_7,-42438.0,26760.65,1.0,Basflo,BIG_SULPHUR_C_A_G_RESORT_NR_CLOVERDALE
196,BSFLO_8,20066.700000000008,61471.69,1.0,Basflo,BIG_SULPHUR_C_NR_CLOVERDALE
197,BSFLO_9,618938.0200000005,346378.24,1.0,Basflo,RUSSIAN_R_GEYSERVILLE
198,BSFLO_10,607026.2760000001,329124.7,1.0,Basflo,RUSSIAN_R_JIMTOWN
199,BSFLO_11,-677.5,15998.79,1.0,Basflo,MAACAMA_C_NR_KELLOGG
200,BSFLO_12,594256.3659999999,336729.53,1.0,Basflo,RUSSIAN_R_DIGGER_BEND_NR_HEALDSBURG
201,BSFLO_13,604756.3659999999,1135215.2,1.0,Basflo,RUSSIAN_R_NR_HEALDSBURG
202,BSFLO_14,-387585.51,281528.09,1.0,Basflo,DRY_C_NR_GEYSERVILLE
203,BSFLO_15,-366499.51,249663.46,1.0,Basflo,DRY_C_BLW_LAMBERT_BR_NR_GEYSERVILLE
204,BSFLO_16,-335186.3100000001,199633.42,1.0,Basflo,DRY_C_NR_MOUTH_NR_HEALDSBURG
205,BSFLO_17,261412.1560000004,1118588.41,1.0,Basflo,RUSSIAN_R_NR_WINDSOR
206,BSFLO_18,920064.8559999996,1553074.73,1.0,Basflo,RUSSIAN_R_NR_GUERNEVILLE
207,BSFLO_19,923443.2560000005,-999.0,1.0,Basflo,RUSSIAN_R_JOHNSONS_BEACH_GUERNEVILLE
208,BSFLO_20,26121.900000000023,101589.57,1.0,Basflo,AUSTIN_C_NR_CAZADERO
209,PMPCHG,71628.7966356119,0.0,1.0,PmpCHG,# Total pump change
