,parnme,partrans,parval1,pargp,comments
0,lak_cond_1,none,,lak_cd,#
1,lak_cond_2,none,,lak_cd,#
2,vks_1_1,none,6.925448551123275e-07,uzf_vks,#
3,vks_1_10,none,3.2013826649846535e-07,uzf_vks,#
4,vks_1_11,none,1.0538346016361963e-06,uzf_vks,#
5,vks_1_12,none,8.391295747255275e-07,uzf_vks,#
6,vks_1_13,none,2.5237213287670903e-08,uzf_vks,#
7,vks_1_14,none,1.868103883019095e-05,uzf_vks,#
8,vks_1_15,none,1.4361722481306732e-07,uzf_vks,#
9,vks_1_16,none,4.950825294178771e-07,uzf_vks,#
10,vks_1_17,none,9.235678122630604e-08,uzf_vks,#
11,vks_1_18,none,1.810820830080086e-05,uzf_vks,#
12,vks_1_19,none,4.9569032864609704e-08,uzf_vks,#
13,vks_1_2,none,5.200529579254651e-07,uzf_vks,#
14,vks_1_21,none,1.388598617365415e-07,uzf_vks,#
15,vks_1_3,none,2.2692952946200247e-08,uzf_vks,#
16,vks_1_4,none,7.78172213118919e-06,uzf_vks,#
17,vks_1_5,none,1.1927330007769713e-07,uzf_vks,#
18,vks_1_6,none,1.0344150053739756e-07,uzf_vks,#
19,vks_1_8,none,1.720334919749805e-05,uzf_vks,#
20,vks_1_9,none,2.711416043491108e-07,uzf_vks,#
21,vks_2_1,none,4.392213468768219e-06,uzf_vks,#
22,vks_2_10,none,1.2694719774070158e-06,uzf_vks,#
23,vks_2_11,none,1.2876047925702464e-05,uzf_vks,#
24,vks_2_12,none,3.1007910152719e-06,uzf_vks,#
25,vks_2_14,none,9.275344232534418e-06,uzf_vks,#
26,vks_2_15,none,2.2732215181319247e-07,uzf_vks,#
27,vks_2_16,none,2.1960881459888678e-05,uzf_vks,#
28,vks_2_17,none,2.0168153623324587e-06,uzf_vks,#
29,vks_2_18,none,1.7062524727528016e-06,uzf_vks,#
30,vks_2_19,none,1.7945874223032192e-06,uzf_vks,#
31,vks_2_2,none,1.1960053331076833e-07,uzf_vks,#
32,vks_2_20,none,3.711665612196052e-06,uzf_vks,#
33,vks_2_21,none,4.14629343411705e-07,uzf_vks,#
34,vks_2_22,none,2.9411106086905458e-06,uzf_vks,#
35,vks_2_3,none,4.1522287984860985e-07,uzf_vks,#
36,vks_2_4,none,5.475693517797347e-06,uzf_vks,#
37,vks_2_5,none,1.327981979048895e-05,uzf_vks,#
38,vks_2_6,none,1.8481083844927847e-07,uzf_vks,#
39,vks_2_7,none,6.267364872668259e-07,uzf_vks,#
40,vks_2_8,none,1.4662156730424866e-06,uzf_vks,#
41,vks_2_9,none,2.1411400448913016e-06,uzf_vks,#
42,vks_3_1,none,2.472538779126092e-06,uzf_vks,#
43,vks_3_10,none,1.4828036008479195e-07,uzf_vks,#
44,vks_3_11,none,4.9955665858947746e-06,uzf_vks,#
45,vks_3_12,none,6.5784648827097145e-09,uzf_vks,#
46,vks_3_13,none,2.2677969938600418e-08,uzf_vks,#
47,vks_3_14,none,8.258822581276644e-06,uzf_vks,#
48,vks_3_15,none,6.169948794292526e-06,uzf_vks,#
49,vks_3_16,none,1.1121035292761678e-05,uzf_vks,#
50,vks_3_17,none,1.2761157858655505e-06,uzf_vks,#
51,vks_3_18,none,6.031024549453965e-06,uzf_vks,#
52,vks_3_19,none,7.816851974085218e-07,uzf_vks,#
53,vks_3_2,none,2.0042055852212138e-07,uzf_vks,#
54,vks_3_20,none,9.761865605225008e-08,uzf_vks,#
55,vks_3_21,none,1.9320531970160544e-07,uzf_vks,#
56,vks_3_22,none,5.3726450801911636e-05,uzf_vks,#
57,vks_3_3,none,4.894794314527272e-07,uzf_vks,#
58,vks_3_4,none,2.7837552293281443e-08,uzf_vks,#
59,vks_3_5,none,1.1431653246958755e-07,uzf_vks,#
60,vks_3_6,none,6.548658826214509e-08,uzf_vks,#
61,vks_3_7,none,0.00036790034600923157,uzf_vks,#
62,vks_3_8,none,5.503384072725099e-05,uzf_vks,#
63,vks_3_9,none,7.830028831407431e-09,uzf_vks,#
64,surfk_1,none,1.0,uzf_surfk,#
65,finf_1,none,0.5,uzf_finf,#
66,pet_1,none,0.0001,uzf_pet,#
67,sfr_k_1,none,16.834141187488598,sfr_ks,#
68,sfr_k_2,none,1.3835176153429138,sfr_ks,#
69,sfr_k_3,none,2.6906892881495015,sfr_ks,#
70,sfr_k_4,none,0.049642867602268076,sfr_ks,#
71,sfr_k_5,none,0.3065611446404454,sfr_ks,#
72,sfr_k_6,none,0.33922394458209015,sfr_ks,#
73,sfr_k_7,none,6.220332232571461,sfr_ks,#
74,sfr_k_8,none,0.08611551770026377,sfr_ks,#
75,sfr_k_9,none,0.055302818478123884,sfr_ks,#
76,sfr_k_10,none,27.288635255548638,sfr_ks,#
77,sfr_k_11,none,23.863208258007397,sfr_ks,#
78,sfr_k_12,none,6.758562040296829,sfr_ks,#
79,sfr_k_13,none,0.08524460109639335,sfr_ks,#
80,sfr_k_14,none,0.8745322001899708,sfr_ks,#
81,sfr_k_15,none,1.7049066023161825,sfr_ks,#
82,sfr_k_16,none,50.69156087646169,sfr_ks,#
83,sfr_k_17,none,0.19983581812450277,sfr_ks,#
84,sfr_k_18,none,0.6746569312130507,sfr_ks,#
85,sfr_k_19,none,0.1749930555146332,sfr_ks,#
86,sfr_k_20,none,0.010035937757856194,sfr_ks,#
87,sfr_k_21,none,1.1000649078098346,sfr_ks,#
88,sfr_k_22,none,0.09841439893143479,sfr_ks,#
89,ks_1,none,3.904218530500458e-05,upw_ks,10
90,ks_2,none,0.0030880740224657854,upw_ks,20
91,ks_3,none,4.083428906529913e-05,upw_ks,40
92,ks_4,none,1.6954173666697167e-05,upw_ks,50
93,ks_5,none,2.8736353050109906e-06,upw_ks,60
94,ks_6,none,0.0002641292375623396,upw_ks,70
95,ks_7,none,0.0001908864502545305,upw_ks,80
96,ks_8,none,0.00022366971338036754,upw_ks,110
97,ks_9,none,40.958190588645124,upw_ks,111
98,ks_10,none,0.0005061118566353777,upw_ks,120
99,ks_11,none,5.681696130718088,upw_ks,121
100,ks_12,none,2.2551721602668953,upw_ks,131
101,ks_13,none,1.5039084349666498,upw_ks,141
102,ks_14,none,2.7083914665840836,upw_ks,151
103,ks_15,none,3.956525228224555,upw_ks,161
104,ks_16,none,2.4719300077855788e-05,upw_ks,170
105,ks_17,none,4.2146926848117264e-05,upw_ks,180
106,ks_18,none,0.8750213331959684,upw_ks,191
107,ks_19,none,0.00018276815738366934,upw_ks,200
108,ks_20,none,0.0015566572909786792,upw_ks,210
109,ks_21,none,73.11064325277043,upw_ks,212
110,ks_22,none,0.6363002603482601,upw_ks,213
111,ks_23,none,0.000824639233866914,upw_ks,220
112,ks_24,none,0.9221175795722254,upw_ks,243
113,ks_25,none,2.293748372522868,upw_ks,312
114,ks_26,none,8.141661281621406,upw_ks,313
115,ks_27,none,13.27209734607709,upw_ks,314
116,ks_28,none,49.26562997202843,upw_ks,322
117,ks_29,none,2.3725593365703554,upw_ks,324
118,ks_30,none,0.6674518896321541,upw_ks,332
119,ks_31,none,0.19097435738983196,upw_ks,333
120,ks_32,none,3.6611020709281026,upw_ks,342
121,ks_33,none,1.8117031097720568,upw_ks,343
122,ks_34,none,91.19146327016803,upw_ks,344
123,ks_35,none,3.002673380940924,upw_ks,352
124,ks_36,none,18.38853481649348,upw_ks,353
125,ks_37,none,3.211207584123144,upw_ks,354
126,ks_38,none,1.5119125663856898,upw_ks,362
127,ks_39,none,7.3691591397085325,upw_ks,364
128,ks_40,none,4.524450669192956,upw_ks,392
129,ks_41,none,7.10630819625135,upw_ks,394
130,ks_42,none,0.558942569846049,upw_ks,415
131,ks_43,none,0.4082395879541222,upw_ks,418
132,ks_44,none,0.18412525119805037,upw_ks,425
133,ks_45,none,2.0057188826459176,upw_ks,435
134,ks_46,none,0.7303457245859891,upw_ks,437
135,ks_47,none,0.8551692810330471,upw_ks,465
136,ks_48,none,1.910696452854737,upw_ks,495
137,ks_49,none,0.634359889430626,upw_ks,515
138,ks_50,none,42.43124670240223,upw_ks,518
139,ks_51,none,2.6476864791902637,upw_ks,525
140,ks_52,none,0.5063760169168592,upw_ks,528
141,ks_53,none,0.7202645313003774,upw_ks,537
142,ks_54,none,14.698584937004654,upw_ks,538
143,ks_55,none,2.7316376613214026,upw_ks,548
