Date,Hacienda,SCWA Diversion,Dry Creek Mouth,Healdsburg,Cloverdale,Hopland,Millview,Lake Mendocino,Calpella
Oct-93,-230239.7981,-229508.7217,-8970.634364,-40619.59066,-15927.56447,-14616.09157,-4270.082983,-200.2253702,-169.7452551
Nov-93,-172258.3838,-171492.9082,-5891.831475,-28405.87351,-11407.75105,-10342.46983,-3401.609395,-167.4151689,-160.6796628
Dec-93,-166198.1888,-165453.3285,-5700.694646,-25594.802,-9262.225965,-8525.890009,-3001.206778,-109.385119,-102.8668872
Jan-94,-163915.8712,-163171.0109,-5819.188403,-25842.09774,-7007.210514,-6233.537456,-3033.924619,-114.9973074,-108.4790757
Feb-94,-169735.8668,-168911.2001,-6522.977981,-28740.36936,-8059.077414,-7095.462956,-2674.444877,-121.1049531,-113.8883394
Mar-94,-185945.6598,-185218.5589,-5486.81185,-26627.55438,-8171.383181,-7370.699019,-3236.851973,-110.6061176,-107.2646648
Apr-94,-234011.7688,-233256.8127,-8246.425297,-35426.9045,-9245.083424,-8382.471379,-3726.589544,-134.1872509,-126.2613232
May-94,-240626.9345,-239831.4162,-8386.495131,-38730.57338,-11613.78261,-10515.32477,-4198.724175,-200.2253702,-169.7452551
Jun-94,-348064.3822,-347280.1169,-10563.15256,-52315.92793,-17359.10581,-15898.2217,-5956.886816,-197.7551743,-179.5780005
Jul-94,-369310.6846,-368551.7182,-10389.45283,-55582.6923,-21583.60001,-19994.10718,-7177.089726,-249.7492982,-195.2400252
Aug-94,-366196.6103,-365397.7472,-10389.45283,-54029.20144,-20130.4004,-18361.42697,-6096.540486,-232.6507723,-206.1424401
Sep-94,-340650.248,-339837.7452,-10733.49676,-52207.503,-17643.67958,-16144.75704,-6122.959703,-248.4538456,-221.2984905
Oct-94,-266079.9422,-265257.475,-8677.424212,-39478.88918,-11823.27446,-10739.27042,-4328.819121,-182.298117,-164.8967479
Nov-94,-195964.8466,-195193.8293,-5427.42888,-25489.66869,-7676.040659,-6776.667165,-3058.007631,-113.0312896,-106.2957835
Dec-94,-177380.9719,-176634.8262,-5273.964101,-24413.72389,-7067.271237,-6245.748963,-2807.296456,-109.385119,-102.8668872
Jan-95,-161314.209,-160596.6612,-5701.772396,-29433.88862,-10430.80714,-9719.341663,-2982.371037,-162.0146796,-155.4964479
Feb-95,-161178.1946,-160369.4346,-6316.687689,-26735.84909,-5556.523217,-4670.051466,-2984.921753,-99.72873439,-96.19613584
Mar-95,-161032.7058,-160298.551,-5705.395332,-30134.45917,-11054.35764,-10342.89217,-2795.532551,-162.0146796,-155.4964479
Apr-95,-180853.7114,-180097.7294,-5924.235682,-26431.91178,-7327.158012,-6499.784378,-3057.113804,-98.08691073,-94.78981876
May-95,-208572.7123,-207293.783,-8892.208042,-35328.60982,-9226.374401,-8142.370369,-3552.747412,-136.065665,-128.3954125
Jun-95,-335935.109,-334629.3146,-11061.45279,-48948.37437,-16722.68926,-15337.92092,-5801.361077,-202.8427726,-171.3466537
Jul-95,-335323.8464,-333981.7843,-10704.63173,-59970.39966,-24048.58897,-22395.49812,-6821.231611,-246.0571399,-206.1424401
Aug-95,-364865.4322,-363635.9558,-10704.63173,-61317.23565,-25395.42496,-23733.22067,-7830.505429,-246.0571399,-206.1424401
Sep-95,-347900.791,-346556.9798,-11061.45279,-57887.2285,-21353.60842,-19854.68589,-6761.86659,-256.6447635,-229.4894084
Oct-95,-290756.0661,-289505.8571,-8970.081126,-40393.3742,-14280.95955,-13182.50171,-5673.36422,-200.2253702,-169.7452551
Nov-95,-211421.8522,-210077.0423,-5924.451991,-28254.41286,-9164.572907,-8301.960862,-3934.672257,-118.0075783,-110.0816507
