Stress_period,SCWA Diversion,Hacienda,Dry Creek Mouth,Healdsburg,Cloverdale,Hopland,Lake Mendocino,Calpella
1,-163623.7822,-164665.6717,-34722.15822,-29455.67188,-12347.6715,-11616.57103,,-102.8668872
2,-158152.411,-159304.9619,-37140.9432,-31383.74773,-12828.32007,-11870.1742,,-113.8883394
3,-164354.5943,-165383.6171,-35437.93984,-30079.01466,-12402.74138,-11637.58504,,-86.88683237
4,-232860.8923,-234041.407,-53043.30398,-43354.69643,-14622.04753,-13686.03108,,-170.3933062
5,-254901.6183,-255648.617,-53297.22197,-44102.97274,-16266.91589,-15165.71665,,-164.8967479
6,-288673.5641,-289519.4969,-63165.87919,-51990.00559,-17663.67322,-16261.11058,,-179.5780005
7,-332870.4899,-333674.734,-74461.274,-63640.55649,-30320.52872,-28412.8895,,-195.2400252
8,-327930.9244,-328774.9376,-74300.22098,-63503.68135,-30474.39266,-28885.51038,,-206.1424401
9,-308994.7266,-309726.197,-71973.16525,-60868.7275,-27201.42654,-25676.95238,,-229.4894084
10,-263871.5753,-264539.413,-51450.11046,-42372.13746,-15310.02406,-14167.06372,,-169.7452551
11,-204123.2747,-204810.8086,-36434.10032,-31155.49382,-13533.17647,-12729.88284,,-88.50978479
12,-195447.9269,-196125.2732,-35261.08057,-30173.68078,-13321.56304,-12450.12808,,-102.8668872
13,-201621.948,-202299.2943,-36893.77539,-31968.98248,-15514.0648,-14749.96771,,-102.8668872
14,-202394.0298,-203112.2868,-38975.00022,-33441.65252,-15100.46628,-14320.96664,,-101.5605201
15,-184625.6513,-185302.9977,-34155.38404,-29419.76236,-13732.5444,-13041.71364,,-108.4790757
16,-203934.4524,-204587.6651,-41863.97976,-35626.53177,-16469.61859,-15716.8494,,-94.78981876
17,-262650.5536,-263348.5709,-57753.8396,-49200.08862,-22194.98567,-21023.08846,,-122.1883773
18,-293119.4037,-293910.0981,-74846.28526,-64340.64817,-31187.69019,-29588.09888,,-171.3466537
19,-333164.3979,-333853.6956,-83916.35218,-72589.86358,-36702.63187,-34904.89212,,-195.2400252
20,-311139.8884,-311832.8192,-79554.02804,-68709.99819,-34453.34123,-32746.03362,,-235.009231
