name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
ks_1,-0.0900085,1.92474,-3.93949,3.75948,-0.04589,0.244664,-0.535219,0.443439
ks_10,0.247122,1.92474,-3.60236,4.09661,0.247151,1.92468,-3.60222,4.09652
ks_100,-5,1.92474,-8.84949,-1.15051,-4.98544,0.810394,-6.60623,-3.36466
ks_101,-3.07402,1.92474,-6.92351,0.775465,-3.074,1.91734,-6.90868,0.760684
ks_102,-4.09909,1.92474,-7.94857,-0.249602,-4.09909,1.92239,-7.94388,-0.254298
ks_103,-3.3589,1.92474,-7.20838,0.490588,-3.3594,1.91823,-7.19586,0.477054
ks_104,-5,1.92474,-8.84949,-1.15051,-5,1.88441,-8.76882,-1.23118
ks_106,-3.83823,1.92474,-7.68772,0.0112512,-3.83823,1.92169,-7.68161,0.00514931
ks_107,-3.50405,1.92474,-7.35353,0.345437,-3.50437,1.91318,-7.33073,0.32199
ks_108,0.637547,1.92474,-3.21194,4.48703,0.637504,1.92467,-3.21183,4.48684
ks_109,0.838043,1.92474,-3.01144,4.68753,0.83751,1.87624,-2.91498,4.59
ks_11,-0.490698,1.92474,-4.34018,3.35879,-0.492355,1.65788,-3.80812,2.82341
ks_110,0.594602,1.92474,-3.25488,4.44409,0.594403,1.92254,-3.25067,4.43948
ks_111,0.685636,1.92474,-3.16385,4.53512,0.683268,1.71678,-2.75029,4.11683
ks_112,0.496188,1.92474,-3.3533,4.34567,0.496638,1.89608,-3.29553,4.2888
ks_113,0.0269262,1.92474,-3.82256,3.87641,0.0256558,1.16454,-2.30343,2.35474
ks_114,0.889733,1.92474,-2.95975,4.73922,0.893341,0.748976,-0.604611,2.39129
ks_115,0.80789,1.92474,-3.04159,4.65738,0.807998,1.90984,-3.01168,4.62767
ks_116,-0.399165,1.92474,-4.24865,3.45032,-0.400395,1.80908,-4.01856,3.21777
ks_117,1.12743,1.92474,-2.72206,4.97691,1.12729,1.30374,-1.48018,3.73477
ks_118,0.309221,1.92474,-3.54026,4.15871,0.309221,1.91608,-3.52294,4.14138
ks_119,1.01936,1.92474,-2.83012,4.86885,1.01932,1.89817,-2.77701,4.81566
ks_12,0.951862,1.92474,-2.89762,4.80135,0.951861,1.92469,-2.89752,4.80124
ks_120,-0.795898,1.92474,-4.64538,3.05359,-0.796508,1.59596,-3.98842,2.39541
ks_121,0.331828,1.92474,-3.51766,4.18131,0.332636,1.8136,-3.29456,3.95984
ks_122,1.58533,1.92474,-2.26415,5.43482,1.58546,1.70792,-1.83038,5.00129
ks_123,1.0499,1.92474,-2.79958,4.89939,1.04979,1.85799,-2.66618,4.76576
ks_124,0.302602,1.92474,-3.54688,4.15209,0.302602,1.92471,-3.54682,4.15202
ks_125,2.69897,1.92474,-1.15051,6.54846,2.69897,0.905053,0.888863,4.50908
ks_126,2.69897,1.92474,-1.15051,6.54846,2.69897,1.86082,-1.02267,6.42061
ks_127,0.290414,1.92474,-3.55907,4.1399,0.289711,1.89588,-3.50204,4.08147
ks_128,0.5267,1.92474,-3.32279,4.37618,0.527016,1.1092,-1.69139,2.74543
ks_129,0.777639,1.92474,-3.07185,4.62712,0.777346,1.92446,-3.07158,4.62627
ks_13,0.239501,1.92474,-3.60998,4.08899,0.237244,0.529269,-0.821294,1.29578
ks_130,1.1557,1.92474,-2.69379,5.00518,1.1526,1.81745,-2.4823,4.7875
ks_131,-3.69638,1.92474,-7.54587,0.1531,-3.69638,1.9212,-7.53877,0.146009
ks_132,-3.69858,1.92474,-7.54806,0.150906,-3.69854,1.921,-7.54055,0.143456
ks_133,-3.69466,1.92474,-7.54415,0.154821,-3.69466,1.92115,-7.53695,0.147637
ks_134,-1.58019,1.92474,-5.42967,2.2693,-1.58018,1.92469,-5.42955,2.26919
ks_135,-3.7994,1.92474,-7.64889,0.0500811,-3.7994,1.92156,-7.64253,0.0437268
