parnme,partrans,parval1,pargp,comments
surfk_2_16,none,0.00015848931798245758,uzf_surfk,#
surfk_2_17,none,0.00015848931798245758,uzf_surfk,#
surfk_2_18,none,0.0001584893325343728,uzf_surfk,#
surfk_2_19,none,0.00015848931798245758,uzf_surfk,#
surfk_2_2,none,9.99999901978299e-05,uzf_surfk,#
surfk_2_20,none,0.0006309574819169939,uzf_surfk,#
surfk_2_21,none,0.00015848930343054235,uzf_surfk,#
surfk_2_22,none,0.00015848931798245758,uzf_surfk,#
surfk_2_3,none,9.99999901978299e-05,uzf_surfk,#
surfk_2_4,none,0.00025118861231021583,uzf_surfk,#
surfk_2_5,none,0.0002511885832063854,uzf_surfk,#
surfk_2_6,none,0.00015848931798245758,uzf_surfk,#
surfk_2_7,none,0.0002511886414140463,uzf_surfk,#
surfk_2_8,none,0.0002511886414140463,uzf_surfk,#
surfk_2_9,none,0.00025118861231021583,uzf_surfk,#
surfk_3_1,none,3.019951932969889e-08,uzf_surfk,#
surfk_3_10,none,3.090294953267403e-08,uzf_surfk,#
surfk_3_11,none,3.090295308538771e-08,uzf_surfk,#
surfk_3_12,none,3.090294953267403e-08,uzf_surfk,#
surfk_3_13,none,3.090294597996035e-08,uzf_surfk,#
surfk_3_14,none,3.090294953267403e-08,uzf_surfk,#
surfk_3_15,none,3.090295308538771e-08,uzf_surfk,#
surfk_3_16,none,1.0000001537946446e-07,uzf_surfk,#
surfk_3_17,none,3.090294953267403e-08,uzf_surfk,#
surfk_3_18,none,3.090294953267403e-08,uzf_surfk,#
surfk_3_19,none,3.090295308538771e-08,uzf_surfk,#
surfk_3_2,none,3.090295308538771e-08,uzf_surfk,#
surfk_3_20,none,1.1481539985425115e-07,uzf_surfk,#
surfk_3_21,none,3.090294953267403e-08,uzf_surfk,#
surfk_3_22,none,3.090294953267403e-08,uzf_surfk,#
surfk_3_3,none,3.090295308538771e-08,uzf_surfk,#
surfk_3_4,none,3.090294953267403e-08,uzf_surfk,#
surfk_3_5,none,3.090295308538771e-08,uzf_surfk,#
surfk_3_6,none,1.000000082740371e-07,uzf_surfk,#
surfk_3_7,none,3.090295308538771e-08,uzf_surfk,#
surfk_3_8,none,3.090294953267403e-08,uzf_surfk,#
surfk_3_9,none,3.090294953267403e-08,uzf_surfk,#
finf_1,none,0.4830352998230224,uzf_finf,#
finf_2,none,0.4830352992280182,uzf_finf,#
finf_3,none,0.48303530452416293,uzf_finf,#
finf_4,none,0.41058000644346626,uzf_finf,#
finf_5,none,0.41058000574540665,uzf_finf,#
finf_6,none,0.4830352993295018,uzf_finf,#
finf_7,none,0.4725046532065263,uzf_finf,#
finf_8,none,0.47250465031027256,uzf_finf,#
finf_9,none,0.47250464813294085,uzf_finf,#
finf_10,none,0.47250465475878656,uzf_finf,#
finf_11,none,0.4725046524118933,uzf_finf,#
finf_12,none,0.472504651813706,uzf_finf,#
finf_13,none,0.47250462538808663,uzf_finf,#
finf_14,none,0.48303530170032527,uzf_finf,#
