Date, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22
1990-01-01, 1.941E-02, 4.184E-03, 1.775E-03, 5.974E-03, 1.013E-02, 5.762E-03, 7.860E-03, 2.746E-03, 1.038E-02, 1.308E-02, 9.980E-03, 2.058E-02, 9.465E-03, 4.539E-03, 2.409E-02, 1.572E-02, 1.715E-02, 7.353E-03, 6.207E-03, 3.767E-04, 4.038E-03, 1.919E-03
1990-01-02, 1.904E-02, 4.099E-03, 1.739E-03, 5.864E-03, 9.926E-03, 5.649E-03, 7.732E-03, 2.708E-03, 1.022E-02, 1.283E-02, 9.774E-03, 2.018E-02, 9.270E-03, 4.465E-03, 2.363E-02, 1.539E-02, 1.686E-02, 7.260E-03, 6.088E-03, 3.829E-04, 3.960E-03, 1.889E-03
1990-01-03, 1.865E-02, 4.016E-03, 1.704E-03, 5.744E-03, 9.724E-03, 5.533E-03, 7.573E-03, 2.652E-03, 1.001E-02, 1.256E-02, 9.572E-03, 1.976E-02, 9.080E-03, 4.373E-03, 2.315E-02, 1.508E-02, 1.651E-02, 7.111E-03, 5.962E-03, 3.748E-04, 3.879E-03, 1.850E-03
1990-01-04, 1.827E-02, 3.935E-03, 1.670E-03, 5.628E-03, 9.526E-03, 5.420E-03, 7.412E-03, 2.596E-03, 9.809E-03, 1.230E-02, 9.375E-03, 1.936E-02, 8.894E-03, 4.284E-03, 2.267E-02, 1.477E-02, 1.617E-02, 6.965E-03, 5.840E-03, 3.670E-04, 3.799E-03, 1.812E-03
1990-01-05, 1.790E-02, 3.856E-03, 1.636E-03, 5.513E-03, 9.331E-03, 5.309E-03, 7.257E-03, 2.542E-03, 9.608E-03, 1.205E-02, 9.182E-03, 1.896E-02, 8.712E-03, 4.196E-03, 2.220E-02, 1.446E-02, 1.584E-02, 6.822E-03, 5.719E-03, 3.593E-04, 3.721E-03, 1.774E-03
1990-01-06, 1.753E-02, 3.779E-03, 1.605E-03, 5.405E-03, 9.154E-03, 5.220E-03, 7.109E-03, 2.489E-03, 9.410E-03, 1.180E-02, 9.063E-03, 1.863E-02, 8.534E-03, 4.110E-03, 2.175E-02, 1.416E-02, 1.552E-02, 6.682E-03, 5.601E-03, 3.518E-04, 3.645E-03, 1.737E-03
1990-01-07, 1.814E-02, 4.375E-03, 2.012E-03, 5.770E-03, 9.588E-03, 5.495E-03, 7.140E-03, 2.499E-03, 9.301E-03, 1.204E-02, 9.297E-03, 1.883E-02, 8.736E-03, 4.064E-03, 2.179E-02, 1.440E-02, 1.583E-02, 6.848E-03, 5.750E-03, 3.532E-04, 3.806E-03, 1.712E-03
1990-01-08, 1.838E-02, 4.634E-03, 2.037E-03, 5.854E-03, 9.551E-03, 5.551E-03, 7.469E-03, 2.765E-03, 9.865E-03, 1.200E-02, 9.134E-03, 1.859E-02, 8.575E-03, 4.203E-03, 2.173E-02, 1.413E-02, 1.593E-02, 7.335E-03, 5.920E-03, 4.010E-04, 4.048E-03, 1.784E-03
1990-01-09, 1.809E-02, 4.546E-03, 1.986E-03, 5.751E-03, 9.364E-03, 5.451E-03, 7.333E-03, 2.720E-03, 9.686E-03, 1.175E-02, 8.938E-03, 1.820E-02, 8.393E-03, 4.125E-03, 2.129E-02, 1.382E-02, 1.559E-02, 7.183E-03, 5.832E-03, 4.454E-04, 4.031E-03, 1.755E-03
1990-01-10, 1.771E-02, 4.433E-03, 1.935E-03, 5.623E-03, 9.164E-03, 5.333E-03, 7.171E-03, 2.657E-03, 9.471E-03, 1.149E-02, 8.746E-03, 1.781E-02, 8.215E-03, 4.037E-03, 2.084E-02, 1.353E-02, 1.525E-02, 7.018E-03, 5.700E-03, 4.339E-04, 3.937E-03, 1.717E-03
1990-01-11, 1.734E-02, 4.326E-03, 1.885E-03, 5.499E-03, 8.967E-03, 5.217E-03, 7.010E-03, 2.595E-03, 9.263E-03, 1.124E-02, 8.559E-03, 1.744E-02, 8.043E-03, 3.951E-03, 2.040E-02, 1.325E-02, 1.492E-02, 6.859E-03, 5.573E-03, 4.230E-04, 3.848E-03, 1.680E-03
1990-01-12, 1.721E-02, 4.342E-03, 2.035E-03, 5.556E-03, 9.010E-03, 5.273E-03, 7.025E-03, 2.612E-03, 9.159E-03, 1.138E-02, 8.838E-03, 1.756E-02, 8.155E-03, 3.921E-03, 2.033E-02, 1.333E-02, 1.496E-02, 6.762E-03, 5.496E-03, 4.367E-04, 3.771E-03, 1.661E-03
1990-01-13, 1.746E-02, 4.598E-03, 2.232E-03, 5.759E-03, 9.224E-03, 5.615E-03, 7.662E-03, 3.099E-03, 9.993E-03, 1.223E-02, 9.822E-03, 1.859E-02, 8.654E-03, 4.373E-03, 2.125E-02, 1.398E-02, 1.603E-02, 8.121E-03, 6.001E-03, 7.387E-04, 4.396E-03, 1.865E-03
