,lkbd_lknc_mult,hks_mult,vks_mult,stage
0,1000,1000,1,12.1826941
0,1000,1000,2,12.1826953
0,1000,1000,10,12.1826813
0,1000,1000,100,12.1827073
0,1000,1000,1000,NaN
