simval,obsnme,obsval,weight,obgnme,comments
176.930465698,HO_109,171.834396362,1.0,HEADS,#
177.162353516,HO_110,170.791397095,1.0,HEADS,#
175.661270142,HO_111,170.697692871,1.0,HEADS,#
177.681259155,HO_112,171.367202759,1.0,HEADS,#
182.025497437,HO_113,168.686798096,1.0,HEADS,#
177.030105591,HO_114,171.771102905,1.0,HEADS,#
242.401412964,HO_115,245.526901245,1.0,HEADS,#
237.774993896,HO_116,236.496307373,1.0,HEADS,#
236.656646729,HO_117,237.6302948,1.0,HEADS,#
229.009063721,HO_118,218.040496826,1.0,HEADS,#
231.52722168,HO_119,236.805404663,1.0,HEADS,#
255.296630859,HO_120,250.560806274,1.0,HEADS,#
239.779525757,HO_121,231.943695068,1.0,HEADS,#
239.107696533,HO_122,311.560699463,1.0,HEADS,#
236.453109741,HO_123,229.145706177,1.0,HEADS,#
253.148284912,HO_124,257.82409668,1.0,HEADS,#
231.244049072,HO_125,275.661407471,1.0,HEADS,#
233.382324219,HO_126,234.975799561,1.0,HEADS,#
215.923583984,HO_127,228.281097412,1.0,HEADS,#
213.403030396,HO_128,183.660598755,1.0,HEADS,#
237.332122803,HO_129,239.099197388,1.0,HEADS,#
206.138168335,HO_130,202.965896606,1.0,HEADS,#
225.565505981,HO_131,221.217605591,1.0,HEADS,#
214.62210083,HO_132,211.235397339,1.0,HEADS,#
234.731704712,HO_133,235.973205566,1.0,HEADS,#
234.321762085,HO_134,236.649597168,1.0,HEADS,#
209.565582275,HO_135,194.573699951,1.0,HEADS,#
220.887435913,HO_136,216.038604736,1.0,HEADS,#
234.14050293,HO_137,230.514297485,1.0,HEADS,#
215.895523071,HO_138,193.810699463,1.0,HEADS,#
213.183288574,HO_139,239.743499756,1.0,HEADS,#
213.277908325,HO_140,240.352096558,1.0,HEADS,#
239.492446899,HO_141,243.033599854,1.0,HEADS,#
244.051513672,HO_142,216.196502686,1.0,HEADS,#
245.325881958,HO_143,242.480697632,1.0,HEADS,#
216.030532837,HO_144,186.430999756,1.0,HEADS,#
215.913787842,HO_145,205.223297119,1.0,HEADS,#
255.478515625,HO_146,255.042800903,1.0,HEADS,#
254.222915649,HO_147,257.29309082,1.0,HEADS,#
217.163375854,HO_148,225.667404175,1.0,HEADS,#
217.259963989,HO_149,213.561203003,1.0,HEADS,#
231.814498901,HO_150,248.100997925,1.0,HEADS,#
234.462692261,HO_151,252.736694336,1.0,HEADS,#
189.483306885,HO_152,191.45930481,1.0,HEADS,#
186.985855103,HO_153,185.045700073,1.0,HEADS,#
186.057617188,HO_154,177.109802246,1.0,HEADS,#
186.057617188,HO_155,174.849197388,1.0,HEADS,#
186.057617188,HO_156,174.63180542,1.0,HEADS,#
186.057617188,HO_157,174.424499512,1.0,HEADS,#
211.281265259,HO_158,197.995300293,1.0,HEADS,#
211.281265259,HO_159,183.858795166,1.0,HEADS,#
211.281265259,HO_160,192.9947052,1.0,HEADS,#
285.629119873,HO_161,276.432006836,1.0,HEADS,#
217.422485352,HO_162,214.525604248,1.0,HEADS,#
213.698944092,HO_163,218.267105103,1.0,HEADS,#
213.646743774,HO_164,197.410507202,1.0,HEADS,#
231.529190063,HO_165,228.933898926,1.0,HEADS,#
219.40713501,HO_166,228.37840271,1.0,HEADS,#
254.304473877,HO_167,265.622009277,1.0,HEADS,#
273.409484863,HO_168,275.129089355,1.0,HEADS,#
291.988861084,HO_169,290.564605713,1.0,HEADS,#
291.670440674,HO_170,290.378601074,1.0,HEADS,#
470020.0,gflo_1,395595.8841,1.0,GgFlo,RUSSIAN_R_NR_UKIAH
743020.0,gflo_2,634756.8383,1.0,GgFlo,EF_RUSSIAN_R_NR_CALPELLA
777620.0,gflo_3,673222.8037,1.0,GgFlo,EF_RUSSIAN_R_NR_UKIAH
-999.0,gflo_4,883061.6941,1.0,GgFlo,RUSSIAN_R_NR_TALMAG
1922900.0,gflo_5,1491150.587,1.0,GgFlo,RUSSIAN_R_NR_HOPLAND
2570500.0,gflo_6,2027111.034,1.0,GgFlo,RUSSIAN_R_NR_CLOVERDALE
-999.0,gflo_7,103461.3666,1.0,GgFlo,BIG_SULPHUR_C_A_G_RESORT_NR_CLOVERDALE
-999.0,gflo_8,69467.94264,1.0,GgFlo,BIG_SULPHUR_C_NR_CLOVERDALE
-999.0,gflo_9,256581.6327,1.0,GgFlo,RUSSIAN_R_GEYSERVILLE
-999.0,gflo_10,268818.2818,1.0,GgFlo,RUSSIAN_R_JIMTOWN
-999.0,gflo_11,2347.101309,1.0,GgFlo,MAACAMA_C_NR_KELLOGG
-999.0,gflo_12,272438.8721,1.0,GgFlo,RUSSIAN_R_DIGGER_BEND_NR_HEALDSBURG
3799300.0,gflo_13,3120063.55,1.0,GgFlo,RUSSIAN_R_NR_HEALDSBURG
-999.0,gflo_14,715847.0784,1.0,GgFlo,DRY_C_NR_GEYSERVILLE
918290.0,gflo_15,270012.4967,1.0,GgFlo,DRY_C_BLW_LAMBERT_BR_NR_GEYSERVILLE
1120700.0,gflo_16,192046.4763,1.0,GgFlo,DRY_C_NR_MOUTH_NR_HEALDSBURG
-999.0,gflo_17,709277.9336,1.0,GgFlo,RUSSIAN_R_NR_WINDSOR
6029600.0,gflo_18,4899465.932,1.0,GgFlo,RUSSIAN_R_NR_GUERNEVILLE
-999.0,gflo_19,-999.0,1.0,GgFlo,RUSSIAN_R_JOHNSONS_BEACH_GUERNEVILLE
394050.0,gflo_20,375101.7284,1.0,GgFlo,AUSTIN_C_NR_CAZADERO
0.6283396420262451,bsflo_1,0.114,1.0,Basflo,RUSSIAN_R_NR_UKIAH
0.569871438526045,bsflo_2,0.114,1.0,Basflo,EF_RUSSIAN_R_NR_CALPELLA
-999.0,bsflo_3,-999.0,1.0,Basflo,EF_RUSSIAN_R_NR_UKIAH
-999.0,bsflo_4,-999.0,1.0,Basflo,RUSSIAN_R_NR_TALMAG
0.5708711650970831,bsflo_5,0.114,1.0,Basflo,RUSSIAN_R_NR_HOPLAND
0.5332324747184081,bsflo_6,0.114,1.0,Basflo,RUSSIAN_R_NR_CLOVERDALE
-999.0,bsflo_7,-999.0,1.0,Basflo,BIG_SULPHUR_C_A_G_RESORT_NR_CLOVERDALE
-999.0,bsflo_8,-999.0,1.0,Basflo,BIG_SULPHUR_C_NR_CLOVERDALE
-999.0,bsflo_9,-999.0,1.0,Basflo,RUSSIAN_R_GEYSERVILLE
-999.0,bsflo_10,-999.0,1.0,Basflo,RUSSIAN_R_JIMTOWN
-999.0,bsflo_11,-999.0,1.0,Basflo,MAACAMA_C_NR_KELLOGG
-999.0,bsflo_12,-999.0,1.0,Basflo,RUSSIAN_R_DIGGER_BEND_NR_HEALDSBURG
0.5028857691715323,bsflo_13,0.114,1.0,Basflo,RUSSIAN_R_NR_HEALDSBURG
-999.0,bsflo_14,-999.0,1.0,Basflo,DRY_C_NR_GEYSERVILLE
-999.0,bsflo_15,-999.0,1.0,Basflo,DRY_C_BLW_LAMBERT_BR_NR_GEYSERVILLE
0.5790368022732992,bsflo_16,0.114,1.0,Basflo,DRY_C_NR_MOUTH_NR_HEALDSBURG
-999.0,bsflo_17,-999.0,1.0,Basflo,RUSSIAN_R_NR_WINDSOR
0.4786687290054144,bsflo_18,0.114,1.0,Basflo,RUSSIAN_R_NR_GUERNEVILLE
-999.0,bsflo_19,-999.0,1.0,Basflo,RUSSIAN_R_JOHNSONS_BEACH_GUERNEVILLE
0.4753149515387044,bsflo_20,-999.0,1.0,Basflo,AUSTIN_C_NR_CAZADERO
25451.406372209993,pmpchg,0.0,1.0,PmpCHG,# Total pump change
