parnme,partrans,parval1,pargp,comments
ks_21,none,0.682548832,upw_ks,343
ks_210,none,8.67e-05,upw_ks,12200
ks_211,none,8.81e-05,upw_ks,12210
ks_212,none,0.000102537,upw_ks,12220
ks_213,none,9.56e-05,upw_ks,13100
ks_214,none,9.91e-05,upw_ks,13110
ks_215,none,9.81e-05,upw_ks,13120
ks_216,none,0.000100252,upw_ks,13140
ks_217,none,9.42e-05,upw_ks,13150
ks_218,none,5.17e-05,upw_ks,13160
ks_219,none,0.000103808,upw_ks,13180
ks_22,none,0.462696594,upw_ks,344
ks_220,none,9.22e-05,upw_ks,13200
ks_221,none,0.000133547,upw_ks,13210
ks_222,none,0.000108755,upw_ks,13220
ks_223,none,0.000115559,upw_ks,14100
ks_224,none,9.98e-05,upw_ks,14110
ks_225,none,1.01e-05,upw_ks,14120
ks_226,none,0.000105321,upw_ks,14130
ks_227,none,8.66e-05,upw_ks,14140
ks_228,none,8.75e-05,upw_ks,14150
ks_229,none,0.000424878,upw_ks,14160
ks_23,none,255.190628,upw_ks,352
ks_230,none,1.04e-05,upw_ks,14170
ks_231,none,3.37e-05,upw_ks,14180
ks_232,none,0.000354181,upw_ks,14190
ks_233,none,6.06e-05,upw_ks,14210
ks_24,none,0.049045821,upw_ks,353
ks_25,none,0.086913294,upw_ks,354
ks_26,none,500.0,upw_ks,362
ks_27,none,0.732426519,upw_ks,364
ks_28,none,0.393534463,upw_ks,392
ks_29,none,3.236529956,upw_ks,394
ks_3,none,0.717546095,upw_ks,131
ks_30,none,1e-05,upw_ks,415
ks_31,none,2.63201124,upw_ks,418
ks_32,none,0.000199649,upw_ks,425
ks_33,none,0.098678664,upw_ks,435
ks_34,none,50.20669158,upw_ks,437
ks_35,none,0.000195505,upw_ks,465
ks_36,none,0.000600179,upw_ks,495
ks_37,none,0.000224563,upw_ks,515
ks_38,none,0.220910251,upw_ks,518
ks_39,none,0.000195719,upw_ks,525
ks_4,none,8.813421055,upw_ks,141
ks_40,none,0.652012237,upw_ks,528
ks_41,none,1.142652931,upw_ks,537
ks_42,none,2.262922093,upw_ks,538
ks_43,none,0.269000257,upw_ks,548
ks_44,none,0.500072308,upw_ks,558
ks_45,none,0.016006933,upw_ks,565
ks_46,none,1.525303344,upw_ks,568
ks_47,none,5.61470879,upw_ks,578
ks_48,none,9.052300858,upw_ks,588
ks_49,none,0.000206658,upw_ks,595
ks_5,none,48.183168,upw_ks,151
ks_50,none,2.93595513,upw_ks,598
ks_51,none,4.58e-05,upw_ks,615
