,obsnme,obsval,weight,obgnme
bsflo_1,bsflo_1,12441.86837,0.08965142537102094,Basflo
bsflo_10,bsflo_10,-999.0,0.0,Basflo
bsflo_11,bsflo_11,-999.0,0.0,Basflo
bsflo_12,bsflo_12,-999.0,0.0,Basflo
bsflo_13,bsflo_13,-10085.0959,,Basflo
bsflo_14,bsflo_14,-999.0,0.0,Basflo
bsflo_15,bsflo_15,-999.0,0.0,Basflo
bsflo_16,bsflo_16,-21181.23112,,Basflo
bsflo_17,bsflo_17,-999.0,0.0,Basflo
bsflo_18,bsflo_18,-925511.3711,,Basflo
bsflo_19,bsflo_19,-999.0,0.0,Basflo
bsflo_2,bsflo_2,-70390.67569,,Basflo
bsflo_20,bsflo_20,-999.0,,Basflo
bsflo_3,bsflo_3,33394.56613,0.0,Basflo
bsflo_4,bsflo_4,-999.0,0.0,Basflo
bsflo_5,bsflo_5,-100085.7531,,Basflo
bsflo_6,bsflo_6,14019.63625,0.08445621753376976,Basflo
bsflo_7,bsflo_7,-999.0,0.0,Basflo
bsflo_8,bsflo_8,-999.0,0.0,Basflo
bsflo_9,bsflo_9,-999.0,0.0,Basflo
gflo_1,gflo_1,395595.8841,0.015899157727915336,GgFlo
gflo_10,gflo_10,268818.2818,0.0,GgFlo
gflo_11,gflo_11,2347.101309,0.0,GgFlo
gflo_12,gflo_12,272438.8721,0.0,GgFlo
gflo_13,gflo_13,3120063.55,0.0056613275143878,GgFlo
gflo_14,gflo_14,715847.0784,0.0,GgFlo
gflo_15,gflo_15,270012.4967,0.019244563619736605,GgFlo
gflo_16,gflo_16,192046.4763,0.02281901156517587,GgFlo
gflo_17,gflo_17,709277.9336,0.0,GgFlo
gflo_18,gflo_18,4899465.932,0.004517785725805397,GgFlo
gflo_19,gflo_19,-999.0,0.0,GgFlo
gflo_2,gflo_2,634756.8383,0.012551519520922141,GgFlo
gflo_20,gflo_20,375101.7284,0.0163277171120132,GgFlo
gflo_3,gflo_3,673222.8037,0.012187667317184448,GgFlo
gflo_4,gflo_4,883061.6941,0.0,GgFlo
gflo_5,gflo_5,1491150.587,0.008189157956736968,GgFlo
gflo_6,gflo_6,2027111.034,0.007023623628514181,GgFlo
gflo_7,gflo_7,103461.3666,0.0,GgFlo
gflo_8,gflo_8,69467.94264,0.0,GgFlo
gflo_9,gflo_9,256581.6327,0.0,GgFlo
ho_0,ho_0,60.7131004333,1.0,HEADS
ho_1,ho_1,321.515197754,1.0,HEADS
ho_10,ho_10,48.6105003357,1.0,HEADS
ho_100,ho_100,196.154006958,1.0,HEADS
ho_101,ho_101,160.181503296,1.0,HEADS
ho_102,ho_102,161.900604248,1.0,HEADS
ho_103,ho_103,176.052505493,1.0,HEADS
ho_104,ho_104,169.026794434,1.0,HEADS
ho_105,ho_105,167.771102905,1.0,HEADS
ho_106,ho_106,166.303497314,1.0,HEADS
ho_107,ho_107,169.649902344,1.0,HEADS
ho_108,ho_108,170.872406006,1.0,HEADS
