,field_hru,field_id,month
0,46347.0,3400,1
0,46347.0,3400,2
0,46347.0,3400,3
0,46347.0,3400,4
0,46347.0,3400,5
0,46347.0,3400,6
0,46347.0,3400,7
0,46347.0,3400,8
0,46347.0,3400,9
0,46347.0,3400,10
0,46347.0,3400,11
0,46347.0,3400,12
0,46347.0,3401,1
0,46347.0,3401,2
0,46347.0,3401,3
0,46347.0,3401,4
0,46347.0,3401,5
0,46347.0,3401,6
0,46347.0,3401,7
0,46347.0,3401,8
0,46347.0,3401,9
0,46347.0,3401,10
0,46347.0,3401,11
0,46347.0,3401,12
0,46347.0,3400,1
0,46347.0,3400,2
0,46347.0,3400,3
0,46347.0,3400,4
0,46347.0,3400,5
0,46347.0,3400,6
0,46347.0,3400,7
0,46347.0,3400,8
0,46347.0,3400,9
0,46347.0,3400,10
0,46347.0,3400,11
0,46347.0,3400,12
0,46599.0,3401,1
0,46599.0,3401,2
0,46599.0,3401,3
0,46599.0,3401,4
0,46599.0,3401,5
0,46599.0,3401,6
0,46599.0,3401,7
0,46599.0,3401,8
0,46599.0,3401,9
0,46599.0,3401,10
0,46599.0,3401,11
0,46599.0,3401,12
0,46346.0,3401,1
0,46346.0,3401,2
0,46346.0,3401,3
0,46346.0,3401,4
0,46346.0,3401,5
0,46346.0,3401,6
0,46346.0,3401,7
0,46346.0,3401,8
0,46346.0,3401,9
0,46346.0,3401,10
0,46346.0,3401,11
0,46346.0,3401,12
0,46600.0,3401,1
0,46600.0,3401,2
0,46600.0,3401,3
0,46600.0,3401,4
0,46600.0,3401,5
0,46600.0,3401,6
0,46600.0,3401,7
0,46600.0,3401,8
0,46600.0,3401,9
0,46600.0,3401,10
0,46600.0,3401,11
0,46600.0,3401,12
0,97818.0,3713,1
0,97818.0,3713,2
0,97818.0,3713,3
0,97818.0,3713,4
0,97818.0,3713,5
0,97818.0,3713,6
0,97818.0,3713,7
0,97818.0,3713,8
0,97818.0,3713,9
0,97818.0,3713,10
0,97818.0,3713,11
0,97818.0,3713,12
0,97818.0,3714,1
0,97818.0,3714,2
0,97818.0,3714,3
0,97818.0,3714,4
0,97818.0,3714,5
0,97818.0,3714,6
0,97818.0,3714,7
0,97818.0,3714,8
0,97818.0,3714,9
0,97818.0,3714,10
0,97818.0,3714,11
0,97818.0,3714,12
0,97818.0,3715,1
0,97818.0,3715,2
0,97818.0,3715,3
0,97818.0,3715,4
0,97818.0,3715,5
0,97818.0,3715,6
0,97818.0,3715,7
0,97818.0,3715,8
0,97818.0,3715,9
0,97818.0,3715,10
0,97818.0,3715,11
0,97818.0,3715,12
0,97818.0,3716,1
0,97818.0,3716,2
0,97818.0,3716,3
0,97818.0,3716,4
0,97818.0,3716,5
0,97818.0,3716,6
0,97818.0,3716,7
0,97818.0,3716,8
0,97818.0,3716,9
0,97818.0,3716,10
0,97818.0,3716,11
0,97818.0,3716,12
0,97818.0,3718,1
0,97818.0,3718,2
0,97818.0,3718,3
0,97818.0,3718,4
0,97818.0,3718,5
0,97818.0,3718,6
0,97818.0,3718,7
0,97818.0,3718,8
0,97818.0,3718,9
0,97818.0,3718,10
0,97818.0,3718,11
0,97818.0,3718,12
0,98071.0,3713,1
0,98071.0,3713,2
0,98071.0,3713,3
0,98071.0,3713,4
0,98071.0,3713,5
0,98071.0,3713,6
0,98071.0,3713,7
0,98071.0,3713,8
0,98071.0,3713,9
0,98071.0,3713,10
0,98071.0,3713,11
0,98071.0,3713,12
0,97823.0,3719,1
0,97823.0,3719,2
0,97823.0,3719,3
0,97823.0,3719,4
0,97823.0,3719,5
0,97823.0,3719,6
0,97823.0,3719,7
0,97823.0,3719,8
0,97823.0,3719,9
0,97823.0,3719,10
0,97823.0,3719,11
0,97823.0,3719,12
0,97822.0,3719,1
0,97822.0,3719,2
0,97822.0,3719,3
0,97822.0,3719,4
0,97822.0,3719,5
0,97822.0,3719,6
0,97822.0,3719,7
0,97822.0,3719,8
0,97822.0,3719,9
0,97822.0,3719,10
0,97822.0,3719,11
0,97822.0,3719,12
0,97822.0,3720,1
0,97822.0,3720,2
0,97822.0,3720,3
0,97822.0,3720,4
0,97822.0,3720,5
0,97822.0,3720,6
0,97822.0,3720,7
0,97822.0,3720,8
0,97822.0,3720,9
0,97822.0,3720,10
0,97822.0,3720,11
0,97822.0,3720,12
0,97570.0,3719,1
0,97570.0,3719,2
0,97570.0,3719,3
0,97570.0,3719,4
0,97570.0,3719,5
0,97570.0,3719,6
0,97570.0,3719,7
0,97570.0,3719,8
0,97570.0,3719,9
0,97570.0,3719,10
0,97570.0,3719,11
0,97570.0,3719,12
0,97820.0,3720,1
0,97820.0,3720,2
0,97820.0,3720,3
0,97820.0,3720,4
0,97820.0,3720,5
0,97820.0,3720,6
0,97820.0,3720,7
0,97820.0,3720,8
0,97820.0,3720,9
0,97820.0,3720,10
0,97820.0,3720,11
0,97820.0,3720,12
0,97567.0,3720,1
0,97567.0,3720,2
0,97567.0,3720,3
0,97567.0,3720,4
0,97567.0,3720,5
0,97567.0,3720,6
0,97567.0,3720,7
0,97567.0,3720,8
0,97567.0,3720,9
0,97567.0,3720,10
0,97567.0,3720,11
0,97567.0,3720,12
0,97567.0,3723,1
0,97567.0,3723,2
0,97567.0,3723,3
0,97567.0,3723,4
0,97567.0,3723,5
0,97567.0,3723,6
0,97567.0,3723,7
0,97567.0,3723,8
