mfrowcol,run_id,tlay,blay,nlay,row,col,xcoord,ycoord
c029028,0,3,3,1,29,28,474474,4352814
c032032,1,3,3,1,32,32,475722,4351878
c032085,2,1,1,1,32,85,492258,4351878
c034024,3,3,3,1,34,24,473226,4351254
c059057,4,2,2,1,59,57,483522,4343454
c061067,5,3,3,1,61,67,486642,4342830
c061068,6,3,3,1,61,68,486954,4342830
c062067,7,2,2,1,62,67,486642,4342518
c063063,8,2,2,1,63,63,485394,4342206
c063064,9,2,2,1,63,64,485706,4342206
c063065,10,2,2,1,63,65,486018,4342206
c065061,11,2,2,1,65,61,484770,4341582
c079057,12,1,1,1,79,57,483522,4337214
c080057,13,1,1,1,80,57,483522,4336902
c081056,14,1,1,1,81,56,483210,4336590
c081057,15,1,1,1,81,57,483522,4336590
c089061,16,2,2,1,89,61,484770,4334094
c091057,17,1,1,1,91,57,483522,4333470
c091058,18,1,1,1,91,58,483834,4333470
c094060,19,2,2,1,94,60,484458,4332534
c095062,20,1,2,2,95,62,485082,4332222
c096059,21,1,1,1,96,59,484146,4331910
c096062,22,1,1,1,96,62,485082,4331910
c097057,23,1,1,1,97,57,483522,4331598
c098057,24,1,1,1,98,57,483522,4331286
c101067,25,2,2,1,101,67,486642,4330350
c102068,26,2,2,1,102,68,486954,4330038
c106059,27,1,2,2,106,59,484146,4328790
c116063,28,2,2,1,116,63,485394,4325670
c117066,29,2,2,1,117,66,486330,4325358
c129073,30,1,2,2,129,73,488514,4321614
c133071,31,1,1,1,133,71,487890,4320366
c133075,32,1,1,1,133,75,489138,4320366
c136077,33,1,1,1,136,77,489762,4319430
c137077,34,1,1,1,137,77,489762,4319118
c155084,35,1,1,1,155,84,491946,4313502
c155085,36,1,1,1,155,85,492258,4313502
c161084,37,1,1,1,161,84,491946,4311630
c162080,38,3,3,1,162,80,490698,4311318
c207108,39,2,2,1,207,108,499434,4297278
c214112,40,1,1,1,214,112,500682,4295094
c216109,41,1,1,1,216,109,499746,4294470
c216110,42,1,1,1,216,110,500058,4294470
c219111,43,1,1,1,219,111,500370,4293534
c220111,44,1,1,1,220,111,500370,4293222
c220112,45,1,1,1,220,112,500682,4293222
c220170,46,3,3,1,220,170,518778,4293222
c222169,47,3,3,1,222,169,518466,4292598
c224116,48,3,3,1,224,116,501930,4291974
c224117,49,3,3,1,224,117,502242,4291974
c227111,50,1,1,1,227,111,500370,4291038
c228112,51,1,1,1,228,112,500682,4290726
c228113,52,1,1,1,228,113,500994,4290726
c232125,53,3,3,1,232,125,504738,4289478
c233117,54,1,1,1,233,117,502242,4289166
c234117,55,1,1,1,234,117,502242,4288854
c235119,56,1,1,1,235,119,502866,4288542
c235120,57,1,1,1,235,120,503178,4288542
c236119,58,1,1,1,236,119,502866,4288230
c238113,59,2,2,1,238,113,500994,4287606
c244126,60,2,2,1,244,126,505050,4285734
c245130,61,1,1,1,245,130,506298,4285422
c247132,62,1,1,1,247,132,506922,4284798
c248138,63,2,2,1,248,138,508794,4284486
c250138,64,1,1,1,250,138,508794,4283862
c254115,65,2,2,1,254,115,501618,4282614
c254137,66,2,2,1,254,137,508482,4282614
c254147,67,1,1,1,254,147,511602,4282614
c255136,68,2,2,1,255,136,508170,4282302
c255139,69,1,1,1,255,139,509106,4282302
c257121,70,1,1,1,257,121,503490,4281678
c257141,71,1,1,1,257,141,509730,4281678
c257142,72,1,1,1,257,142,510042,4281678
c258110,73,3,3,1,258,110,500058,4281366
c258115,74,3,3,1,258,115,501618,4281366
c258120,75,1,1,1,258,120,503178,4281366
c258133,76,3,3,1,258,133,507234,4281366
c259133,77,3,3,1,259,133,507234,4281054
c259134,78,3,3,1,259,134,507546,4281054
c260123,79,1,1,1,260,123,504114,4280742
c260124,80,1,1,1,260,124,504426,4280742
c265151,81,1,2,2,265,151,512850,4279182
c266149,82,2,2,1,266,149,512226,4278870
c266157,83,2,2,1,266,157,514722,4278870
c267151,84,1,1,1,267,151,512850,4278558
c267159,85,1,2,2,267,159,515346,4278558
c269152,86,2,3,2,269,152,513162,4277934
c271151,87,1,3,3,271,151,512850,4277310
c272150,88,3,3,1,272,150,512538,4276998
c273153,89,3,3,1,273,153,513474,4276686
c273156,90,1,1,1,273,156,514410,4276686
c273167,91,2,2,1,273,167,517842,4276686
c273177,92,3,3,1,273,177,520962,4276686
c274156,93,2,2,1,274,156,514410,4276374
c274166,94,2,2,1,274,166,517530,4276374
c275128,95,3,3,1,275,128,505674,4276062
c275167,96,2,2,1,275,167,517842,4276062
c275168,97,2,2,1,275,168,518154,4276062
c275177,98,3,3,1,275,177,520962,4276062
c276132,99,1,1,1,276,132,506922,4275750
c276139,100,2,2,1,276,139,509106,4275750
c276148,101,3,3,1,276,148,511914,4275750
c277129,102,3,3,1,277,129,505986,4275438
c277132,103,1,1,1,277,132,506922,4275438
c277138,104,1,1,1,277,138,508794,4275438
c277147,105,3,3,1,277,147,511602,4275438
c278135,106,1,1,1,278,135,507858,4275126
c278137,107,1,1,1,278,137,508482,4275126
c278144,108,2,2,1,278,144,510666,4275126
c278159,109,3,3,1,278,159,515346,4275126
c278174,110,1,1,1,278,174,520026,4275126
c279136,111,1,1,1,279,136,508170,4274814
c279178,112,3,3,1,279,178,521274,4274814
c279179,113,3,3,1,279,179,521586,4274814
c280172,114,2,2,1,280,172,519402,4274502
c281145,115,2,2,1,281,145,510978,4274190
