GageName,Gage ID,Include_aveFlow,Include_baseFlow,G1,G2,G3,G4,G5,G6,G7,Up Gage,Extrernal Flow,Include_aveFlow_backup
11461000,1,1,1,1,,,,,,,0,0,1
11461500,2,1,1,2,,,,,,,0,348095.9622,1
11462000,3,1,0,3,,,,,,,2,0,1
11462080,4,1,0,0,,,,,,,0,0,0
11462500,5,1,1,4,5,,,,,,"1,3",0,1
11463000,6,1,1,6,,,,,,,5,0,1
11463170,7,1,0,0,,,,,,,0,0,0
11463200,8,1,0,0,,,,,,,0,0,0
11463500,9,1,0,0,,,,,,,0,0,0
11463682,10,1,0,0,,,,,,,0,0,0
11463900,11,1,0,0,,,,,,,0,0,0
11463980,12,1,0,0,,,,,,,0,0,0
11464000,13,1,1,7,8,9,10,11,12,13,6,0,1
11465200,14,1,0,0,,,,,,,0,0,0
11465240,15,1,0,0,,,,,,,0,0,1
11465350,16,1,1,16,,,,,,,15,0,1
11465390,17,1,0,0,,,,,,,0,0,0
11467000,18,1,1,17,18,,,,,,"16,13",0,1
11467002,19,1,0,0,,,,,,,0,0,0
11467200,20,1,1,20,,,,,,,0,0,1
,21,1,0,0,,,,,,,0,0,0
,22,1,0,0,,,,,,,0,0,0
