time,tasmin_day_HadGEM2-ES_historical
1950-01-01 00:00:00+00:00,272.89758
1950-01-02 00:00:00+00:00,274.08347
1950-01-03 00:00:00+00:00,275.99945
1950-01-04 00:00:00+00:00,272.66428
1950-01-05 00:00:00+00:00,273.09842
1950-01-06 00:00:00+00:00,273.59665
1950-01-07 00:00:00+00:00,279.08817
1950-01-08 00:00:00+00:00,273.1732
1950-01-09 00:00:00+00:00,276.0915
1950-01-10 00:00:00+00:00,276.80515
1950-01-11 00:00:00+00:00,273.327
1950-01-12 00:00:00+00:00,274.54776
1950-01-13 00:00:00+00:00,278.29074
1950-01-14 00:00:00+00:00,274.5706
1950-01-15 00:00:00+00:00,274.52686
1950-01-16 00:00:00+00:00,273.37485
1950-01-17 00:00:00+00:00,274.53055
1950-01-18 00:00:00+00:00,270.42535
1950-01-19 00:00:00+00:00,273.12665
1950-01-20 00:00:00+00:00,272.48236
1950-01-21 00:00:00+00:00,273.99112
1950-01-22 00:00:00+00:00,273.09906
1950-01-23 00:00:00+00:00,273.96182
1950-01-24 00:00:00+00:00,273.558
1950-01-25 00:00:00+00:00,272.4822
1950-01-26 00:00:00+00:00,272.29065
1950-01-27 00:00:00+00:00,271.68524
1950-01-28 00:00:00+00:00,272.2129
1950-01-29 00:00:00+00:00,273.76163
1950-01-30 00:00:00+00:00,272.72458
1950-01-31 00:00:00+00:00,271.37277
1950-02-01 00:00:00+00:00,272.0699
1950-02-02 00:00:00+00:00,273.19653
1950-02-03 00:00:00+00:00,274.9691
1950-02-04 00:00:00+00:00,274.36047
1950-02-05 00:00:00+00:00,280.81284
1950-02-06 00:00:00+00:00,275.26944
1950-02-07 00:00:00+00:00,274.19736
1950-02-08 00:00:00+00:00,274.56345
1950-02-09 00:00:00+00:00,276.099
1950-02-10 00:00:00+00:00,277.68478
1950-02-11 00:00:00+00:00,277.91678
1950-02-12 00:00:00+00:00,274.5741
1950-02-13 00:00:00+00:00,276.87262
1950-02-14 00:00:00+00:00,280.46912
1950-02-15 00:00:00+00:00,280.2377
1950-02-16 00:00:00+00:00,277.311
1950-02-17 00:00:00+00:00,277.53568
1950-02-18 00:00:00+00:00,281.1274
1950-02-19 00:00:00+00:00,276.2787
1950-02-20 00:00:00+00:00,272.0603
1950-02-21 00:00:00+00:00,273.5345
1950-02-22 00:00:00+00:00,276.44736
1950-02-23 00:00:00+00:00,279.68652
1950-02-24 00:00:00+00:00,284.75912
1950-02-25 00:00:00+00:00,284.18692
1950-02-26 00:00:00+00:00,281.65768
1950-02-27 00:00:00+00:00,282.94516
1950-02-28 00:00:00+00:00,281.91156
1950-03-01 00:00:00+00:00,282.2797
1950-03-02 00:00:00+00:00,280.97485
1950-03-03 00:00:00+00:00,276.01123
1950-03-04 00:00:00+00:00,275.40497
1950-03-05 00:00:00+00:00,275.0813
1950-03-06 00:00:00+00:00,279.16144
1950-03-07 00:00:00+00:00,280.64612
1950-03-08 00:00:00+00:00,281.58936
1950-03-09 00:00:00+00:00,279.17474
1950-03-10 00:00:00+00:00,278.64716
1950-03-11 00:00:00+00:00,280.07925
