time,pr_day_HadGEM2-ES_rcp85
2006-01-01 00:00:00+00:00,0.00019536022
2006-01-02 00:00:00+00:00,7.592738e-05
2006-01-03 00:00:00+00:00,0.000100724785
2006-01-04 00:00:00+00:00,0.00025896123
2006-01-05 00:00:00+00:00,0.0
2006-01-06 00:00:00+00:00,0.0
2006-01-07 00:00:00+00:00,0.0
2006-01-08 00:00:00+00:00,0.0
2006-01-09 00:00:00+00:00,0.0
2006-01-10 00:00:00+00:00,0.0
2006-01-11 00:00:00+00:00,0.0
2006-01-12 00:00:00+00:00,0.0
2006-01-13 00:00:00+00:00,0.0
2006-01-14 00:00:00+00:00,8.867948e-06
2006-01-15 00:00:00+00:00,0.00023273859
2006-01-16 00:00:00+00:00,0.00044982176
2006-01-17 00:00:00+00:00,0.00026440903
2006-01-18 00:00:00+00:00,1.3812082e-05
2006-01-19 00:00:00+00:00,1.2252411e-06
2006-01-20 00:00:00+00:00,7.906832e-05
2006-01-21 00:00:00+00:00,5.573637e-07
2006-01-22 00:00:00+00:00,0.0
2006-01-23 00:00:00+00:00,2.705746e-05
2006-01-24 00:00:00+00:00,0.00010169878
2006-01-25 00:00:00+00:00,1.8423544e-06
2006-01-26 00:00:00+00:00,0.0
2006-01-27 00:00:00+00:00,0.0
2006-01-28 00:00:00+00:00,3.793915e-06
2006-01-29 00:00:00+00:00,0.0
2006-01-30 00:00:00+00:00,0.0
2006-01-31 00:00:00+00:00,0.0
2006-02-01 00:00:00+00:00,0.0
2006-02-02 00:00:00+00:00,0.0
2006-02-03 00:00:00+00:00,0.0
2006-02-04 00:00:00+00:00,0.0
2006-02-05 00:00:00+00:00,1.5804704e-06
2006-02-06 00:00:00+00:00,1.6481023e-05
2006-02-07 00:00:00+00:00,2.194574e-06
2006-02-08 00:00:00+00:00,0.0
2006-02-09 00:00:00+00:00,5.087954e-06
2006-02-10 00:00:00+00:00,0.0
2006-02-11 00:00:00+00:00,0.0
2006-02-12 00:00:00+00:00,0.0
2006-02-13 00:00:00+00:00,1.6616654e-05
