time,tasmax_day_MIROC5_rcp85
2006-01-01 00:00:00+00:00,286.87833
2006-01-02 00:00:00+00:00,286.35968
2006-01-03 00:00:00+00:00,288.94815
2006-01-04 00:00:00+00:00,288.04193
2006-01-05 00:00:00+00:00,286.0907
2006-01-06 00:00:00+00:00,286.22046
2006-01-07 00:00:00+00:00,285.85144
2006-01-08 00:00:00+00:00,285.55057
2006-01-09 00:00:00+00:00,286.30115
2006-01-10 00:00:00+00:00,288.4736
2006-01-11 00:00:00+00:00,287.29153
2006-01-12 00:00:00+00:00,286.83752
2006-01-13 00:00:00+00:00,287.56586
2006-01-14 00:00:00+00:00,289.7335
2006-01-15 00:00:00+00:00,290.23093
2006-01-16 00:00:00+00:00,290.1907
2006-01-17 00:00:00+00:00,289.33527
2006-01-18 00:00:00+00:00,289.11603
2006-01-19 00:00:00+00:00,291.99457
2006-01-20 00:00:00+00:00,293.22446
2006-01-21 00:00:00+00:00,293.14304
2006-01-22 00:00:00+00:00,286.9473
2006-01-23 00:00:00+00:00,286.08163
2006-01-24 00:00:00+00:00,284.97934
2006-01-25 00:00:00+00:00,286.3961
2006-01-26 00:00:00+00:00,284.58096
2006-01-27 00:00:00+00:00,283.23648
2006-01-28 00:00:00+00:00,283.44177
2006-01-29 00:00:00+00:00,287.87646
2006-01-30 00:00:00+00:00,288.1042
2006-01-31 00:00:00+00:00,287.57712
2006-02-01 00:00:00+00:00,286.23615
2006-02-02 00:00:00+00:00,288.82056
2006-02-03 00:00:00+00:00,289.46088
2006-02-04 00:00:00+00:00,288.9007
2006-02-05 00:00:00+00:00,289.16455
2006-02-06 00:00:00+00:00,287.14273
2006-02-07 00:00:00+00:00,288.2984
2006-02-08 00:00:00+00:00,288.55087
2006-02-09 00:00:00+00:00,289.3187
2006-02-10 00:00:00+00:00,288.2078
2006-02-11 00:00:00+00:00,288.2902
2006-02-12 00:00:00+00:00,290.26562
2006-02-13 00:00:00+00:00,290.61453
2006-02-14 00:00:00+00:00,289.57706
2006-02-15 00:00:00+00:00,289.19885
2006-02-16 00:00:00+00:00,293.61267
2006-02-17 00:00:00+00:00,297.44144
2006-02-18 00:00:00+00:00,288.67172
2006-02-19 00:00:00+00:00,288.77972
2006-02-20 00:00:00+00:00,288.70374
2006-02-21 00:00:00+00:00,289.6467
2006-02-22 00:00:00+00:00,291.4138
2006-02-23 00:00:00+00:00,291.65326
2006-02-24 00:00:00+00:00,293.84973
2006-02-25 00:00:00+00:00,288.70312
2006-02-26 00:00:00+00:00,292.08145
2006-02-27 00:00:00+00:00,293.74518
2006-02-28 00:00:00+00:00,290.4388
2006-03-01 00:00:00+00:00,287.9612
2006-03-02 00:00:00+00:00,286.80746
2006-03-03 00:00:00+00:00,287.0753
2006-03-04 00:00:00+00:00,291.0164
2006-03-05 00:00:00+00:00,293.05066
2006-03-06 00:00:00+00:00,290.93326
2006-03-07 00:00:00+00:00,292.48853
2006-03-08 00:00:00+00:00,290.2508
2006-03-09 00:00:00+00:00,289.06433
2006-03-10 00:00:00+00:00,288.27594
2006-03-11 00:00:00+00:00,287.8145
2006-03-12 00:00:00+00:00,288.30142
2006-03-13 00:00:00+00:00,291.17725
2006-03-14 00:00:00+00:00,293.53098
2006-03-15 00:00:00+00:00,290.75262
2006-03-16 00:00:00+00:00,291.41113
2006-03-17 00:00:00+00:00,294.08554
2006-03-18 00:00:00+00:00,294.5121
2006-03-19 00:00:00+00:00,294.8433
2006-03-20 00:00:00+00:00,291.5963
2006-03-21 00:00:00+00:00,287.8405
2006-03-22 00:00:00+00:00,290.11853
2006-03-23 00:00:00+00:00,288.5287
2006-03-24 00:00:00+00:00,287.3208
2006-03-25 00:00:00+00:00,288.67654
2006-03-26 00:00:00+00:00,288.13458
2006-03-27 00:00:00+00:00,288.65207
2006-03-28 00:00:00+00:00,294.11725
2006-03-29 00:00:00+00:00,295.8993
2006-03-30 00:00:00+00:00,297.5678
2006-03-31 00:00:00+00:00,300.09308
2006-04-01 00:00:00+00:00,302.65912
2006-04-02 00:00:00+00:00,302.77942
2006-04-03 00:00:00+00:00,299.28574
2006-04-04 00:00:00+00:00,296.98428
2006-04-05 00:00:00+00:00,289.85474
2006-04-06 00:00:00+00:00,289.02112
2006-04-07 00:00:00+00:00,289.32703
2006-04-08 00:00:00+00:00,293.18405
2006-04-09 00:00:00+00:00,293.29526
2006-04-10 00:00:00+00:00,290.42307
2006-04-11 00:00:00+00:00,291.58316
2006-04-12 00:00:00+00:00,292.3919
2006-04-13 00:00:00+00:00,295.86093
2006-04-14 00:00:00+00:00,297.87576
2006-04-15 00:00:00+00:00,300.8881
2006-04-16 00:00:00+00:00,303.8134
2006-04-17 00:00:00+00:00,300.59717
2006-04-18 00:00:00+00:00,299.06427
2006-04-19 00:00:00+00:00,297.4214
2006-04-20 00:00:00+00:00,293.5496
2006-04-21 00:00:00+00:00,294.75223
2006-04-22 00:00:00+00:00,301.26447
2006-04-23 00:00:00+00:00,303.44678
2006-04-24 00:00:00+00:00,307.66446
2006-04-25 00:00:00+00:00,304.54367
2006-04-26 00:00:00+00:00,306.46835
2006-04-27 00:00:00+00:00,303.69354
2006-04-28 00:00:00+00:00,295.37143
2006-04-29 00:00:00+00:00,290.56454
2006-04-30 00:00:00+00:00,293.77878
2006-05-01 00:00:00+00:00,297.4828
2006-05-02 00:00:00+00:00,299.01257
2006-05-03 00:00:00+00:00,293.65332
2006-05-04 00:00:00+00:00,294.2414
2006-05-05 00:00:00+00:00,293.6096
2006-05-06 00:00:00+00:00,294.29062
2006-05-07 00:00:00+00:00,294.19617
2006-05-08 00:00:00+00:00,295.596
2006-05-09 00:00:00+00:00,299.00278
2006-05-10 00:00:00+00:00,298.28815
2006-05-11 00:00:00+00:00,295.78415
2006-05-12 00:00:00+00:00,297.40125
2006-05-13 00:00:00+00:00,302.35083
2006-05-14 00:00:00+00:00,306.00082
2006-05-15 00:00:00+00:00,303.49973
2006-05-16 00:00:00+00:00,304.31732
2006-05-17 00:00:00+00:00,306.52988
2006-05-18 00:00:00+00:00,303.83923
2006-05-19 00:00:00+00:00,302.42706
2006-05-20 00:00:00+00:00,302.51538
2006-05-21 00:00:00+00:00,303.9531
2006-05-22 00:00:00+00:00,303.54514
2006-05-23 00:00:00+00:00,301.99228
2006-05-24 00:00:00+00:00,300.02045
2006-05-25 00:00:00+00:00,298.8091
2006-05-26 00:00:00+00:00,293.67056
2006-05-27 00:00:00+00:00,294.39783
2006-05-28 00:00:00+00:00,297.14597
2006-05-29 00:00:00+00:00,295.69827
2006-05-30 00:00:00+00:00,297.23776
2006-05-31 00:00:00+00:00,294.56125
2006-06-01 00:00:00+00:00,300.06354
2006-06-02 00:00:00+00:00,304.44333
2006-06-03 00:00:00+00:00,305.43222
2006-06-04 00:00:00+00:00,305.3768
2006-06-05 00:00:00+00:00,296.30893
2006-06-06 00:00:00+00:00,300.92096
2006-06-07 00:00:00+00:00,297.39734
2006-06-08 00:00:00+00:00,297.09772
2006-06-09 00:00:00+00:00,300.9394
2006-06-10 00:00:00+00:00,301.16464
2006-06-11 00:00:00+00:00,305.41614
2006-06-12 00:00:00+00:00,310.01056
2006-06-13 00:00:00+00:00,309.97598
2006-06-14 00:00:00+00:00,309.96506
2006-06-15 00:00:00+00:00,311.39365
2006-06-16 00:00:00+00:00,309.8644
2006-06-17 00:00:00+00:00,306.09158
2006-06-18 00:00:00+00:00,302.7215
2006-06-19 00:00:00+00:00,301.34943
2006-06-20 00:00:00+00:00,303.29672
2006-06-21 00:00:00+00:00,306.63293
2006-06-22 00:00:00+00:00,307.30093
2006-06-23 00:00:00+00:00,311.6835
2006-06-24 00:00:00+00:00,311.25244
2006-06-25 00:00:00+00:00,311.21167
2006-06-26 00:00:00+00:00,308.74017
2006-06-27 00:00:00+00:00,307.82968
2006-06-28 00:00:00+00:00,303.78473
2006-06-29 00:00:00+00:00,300.69116
2006-06-30 00:00:00+00:00,299.01648
2006-07-01 00:00:00+00:00,301.4354
2006-07-02 00:00:00+00:00,305.18387
2006-07-03 00:00:00+00:00,306.3072
2006-07-04 00:00:00+00:00,305.1386
