time,tasmin_day_CanESM2_historical
1950-01-01 00:00:00+00:00,280.59662
1950-01-02 00:00:00+00:00,281.9548
1950-01-03 00:00:00+00:00,279.00015
1950-01-04 00:00:00+00:00,272.54938
1950-01-05 00:00:00+00:00,268.81332
1950-01-06 00:00:00+00:00,272.2292
1950-01-07 00:00:00+00:00,273.7729
1950-01-08 00:00:00+00:00,272.40662
1950-01-09 00:00:00+00:00,273.21295
1950-01-10 00:00:00+00:00,268.70685
1950-01-11 00:00:00+00:00,269.38162
1950-01-12 00:00:00+00:00,269.9585
1950-01-13 00:00:00+00:00,269.71677
1950-01-14 00:00:00+00:00,270.59637
1950-01-15 00:00:00+00:00,277.7963
1950-01-16 00:00:00+00:00,274.99307
1950-01-17 00:00:00+00:00,274.82968
1950-01-18 00:00:00+00:00,275.40146
1950-01-19 00:00:00+00:00,277.43817
1950-01-20 00:00:00+00:00,277.6782
1950-01-21 00:00:00+00:00,274.2751
1950-01-22 00:00:00+00:00,275.77686
1950-01-23 00:00:00+00:00,273.78384
1950-01-24 00:00:00+00:00,273.91287
1950-01-25 00:00:00+00:00,273.11697
1950-01-26 00:00:00+00:00,271.24127
1950-01-27 00:00:00+00:00,273.752
1950-01-28 00:00:00+00:00,278.66336
1950-01-29 00:00:00+00:00,273.92575
1950-01-30 00:00:00+00:00,276.21582
1950-01-31 00:00:00+00:00,274.4324
1950-02-01 00:00:00+00:00,272.81183
1950-02-02 00:00:00+00:00,272.99503
1950-02-03 00:00:00+00:00,274.7761
1950-02-04 00:00:00+00:00,275.34244
1950-02-05 00:00:00+00:00,273.0544
1950-02-06 00:00:00+00:00,272.80716
1950-02-07 00:00:00+00:00,273.481
1950-02-08 00:00:00+00:00,272.65347
1950-02-09 00:00:00+00:00,272.75653
1950-02-10 00:00:00+00:00,272.83276
1950-02-11 00:00:00+00:00,275.25613
1950-02-12 00:00:00+00:00,279.13004
1950-02-13 00:00:00+00:00,274.90952
1950-02-14 00:00:00+00:00,273.99222
1950-02-15 00:00:00+00:00,281.15573
