time,pr_day_CanESM2_historical
1950-08-13 00:00:00+00:00,0.0
1950-08-14 00:00:00+00:00,0.0
1950-08-15 00:00:00+00:00,0.0
1950-08-16 00:00:00+00:00,0.0
1950-08-17 00:00:00+00:00,0.0
1950-08-18 00:00:00+00:00,0.0
1950-08-19 00:00:00+00:00,0.0
1950-08-20 00:00:00+00:00,0.0
1950-08-21 00:00:00+00:00,0.0
1950-08-22 00:00:00+00:00,0.0
1950-08-23 00:00:00+00:00,1.2712654e-06
1950-08-24 00:00:00+00:00,0.0
1950-08-25 00:00:00+00:00,0.0
1950-08-26 00:00:00+00:00,0.0
1950-08-27 00:00:00+00:00,0.0
1950-08-28 00:00:00+00:00,0.0
1950-08-29 00:00:00+00:00,0.0
1950-08-30 00:00:00+00:00,0.0
1950-08-31 00:00:00+00:00,0.0
1950-09-01 00:00:00+00:00,0.0
1950-09-02 00:00:00+00:00,0.0
1950-09-03 00:00:00+00:00,0.0
1950-09-04 00:00:00+00:00,0.0
1950-09-05 00:00:00+00:00,0.0
1950-09-06 00:00:00+00:00,0.0
1950-09-07 00:00:00+00:00,0.0
1950-09-08 00:00:00+00:00,0.0
1950-09-09 00:00:00+00:00,0.0
1950-09-10 00:00:00+00:00,1.0311933e-05
1950-09-11 00:00:00+00:00,0.0
1950-09-12 00:00:00+00:00,0.0
1950-09-13 00:00:00+00:00,0.0
1950-09-14 00:00:00+00:00,0.0
1950-09-15 00:00:00+00:00,0.0
1950-09-16 00:00:00+00:00,6.655415e-06
1950-09-17 00:00:00+00:00,0.0
1950-09-18 00:00:00+00:00,0.0
1950-09-19 00:00:00+00:00,0.0
1950-09-20 00:00:00+00:00,0.0
1950-09-21 00:00:00+00:00,0.0
1950-09-22 00:00:00+00:00,0.0
1950-09-23 00:00:00+00:00,0.0
1950-09-24 00:00:00+00:00,0.0
1950-09-25 00:00:00+00:00,0.0
1950-09-26 00:00:00+00:00,0.0
1950-09-27 00:00:00+00:00,0.0
1950-09-28 00:00:00+00:00,5.6473906e-05
1950-09-29 00:00:00+00:00,0.0
1950-09-30 00:00:00+00:00,1.5394364e-05
1950-10-01 00:00:00+00:00,0.00013396644
1950-10-02 00:00:00+00:00,0.0
1950-10-03 00:00:00+00:00,0.0
1950-10-04 00:00:00+00:00,0.0
1950-10-05 00:00:00+00:00,0.0
1950-10-06 00:00:00+00:00,0.0
1950-10-07 00:00:00+00:00,0.0
1950-10-08 00:00:00+00:00,0.0
1950-10-09 00:00:00+00:00,2.082263e-07
1950-10-10 00:00:00+00:00,3.7167388e-06
1950-10-11 00:00:00+00:00,2.2125876e-06
1950-10-12 00:00:00+00:00,0.0
1950-10-13 00:00:00+00:00,0.0
1950-10-14 00:00:00+00:00,0.0
1950-10-15 00:00:00+00:00,1.0350808e-05
1950-10-16 00:00:00+00:00,0.0
1950-10-17 00:00:00+00:00,0.0
1950-10-18 00:00:00+00:00,0.0
1950-10-19 00:00:00+00:00,0.0
1950-10-20 00:00:00+00:00,0.0
1950-10-21 00:00:00+00:00,0.0
1950-10-22 00:00:00+00:00,0.0
1950-10-23 00:00:00+00:00,0.0
1950-10-24 00:00:00+00:00,0.0
1950-10-25 00:00:00+00:00,0.0
1950-10-26 00:00:00+00:00,0.0
1950-10-27 00:00:00+00:00,0.0
1950-10-28 00:00:00+00:00,0.0
1950-10-29 00:00:00+00:00,0.0
1950-10-30 00:00:00+00:00,2.3072933e-05
1950-10-31 00:00:00+00:00,1.9314964e-06
1950-11-01 00:00:00+00:00,0.0
1950-11-02 00:00:00+00:00,0.0
1950-11-03 00:00:00+00:00,1.1681745e-05
1950-11-04 00:00:00+00:00,3.8999365e-06
1950-11-05 00:00:00+00:00,0.0
1950-11-06 00:00:00+00:00,0.0
1950-11-07 00:00:00+00:00,0.0
1950-11-08 00:00:00+00:00,0.0
1950-11-09 00:00:00+00:00,0.0
1950-11-10 00:00:00+00:00,0.0
1950-11-11 00:00:00+00:00,0.0
1950-11-12 00:00:00+00:00,0.0
1950-11-13 00:00:00+00:00,0.0
1950-11-14 00:00:00+00:00,0.0
1950-11-15 00:00:00+00:00,0.0
1950-11-16 00:00:00+00:00,0.0
1950-11-17 00:00:00+00:00,3.11905e-08
1950-11-18 00:00:00+00:00,0.00010567582
1950-11-19 00:00:00+00:00,0.00020388815
1950-11-20 00:00:00+00:00,0.00015877807
1950-11-21 00:00:00+00:00,1.6331767e-06
1950-11-22 00:00:00+00:00,0.0
1950-11-23 00:00:00+00:00,1.3720959e-06
1950-11-24 00:00:00+00:00,0.0
1950-11-25 00:00:00+00:00,0.0
1950-11-26 00:00:00+00:00,0.0
1950-11-27 00:00:00+00:00,0.0
1950-11-28 00:00:00+00:00,0.0
1950-11-29 00:00:00+00:00,0.0
1950-11-30 00:00:00+00:00,0.0
1950-12-01 00:00:00+00:00,4.4668304e-05
1950-12-02 00:00:00+00:00,0.0001041651
1950-12-03 00:00:00+00:00,8.277306e-05
1950-12-04 00:00:00+00:00,0.00011477637
1950-12-05 00:00:00+00:00,0.00021927143
1950-12-06 00:00:00+00:00,6.987209e-05
1950-12-07 00:00:00+00:00,0.0
1950-12-08 00:00:00+00:00,2.0112523e-06
1950-12-09 00:00:00+00:00,0.000112922615
1950-12-10 00:00:00+00:00,6.106844e-05
1950-12-11 00:00:00+00:00,6.540103e-05
1950-12-12 00:00:00+00:00,5.1202073e-06
1950-12-13 00:00:00+00:00,1.6087195e-07
1950-12-14 00:00:00+00:00,0.0
1950-12-15 00:00:00+00:00,2.2319637e-07
1950-12-16 00:00:00+00:00,0.0
1950-12-17 00:00:00+00:00,0.0
1950-12-18 00:00:00+00:00,0.0
1950-12-19 00:00:00+00:00,0.0
1950-12-20 00:00:00+00:00,0.0
1950-12-21 00:00:00+00:00,0.0
1950-12-22 00:00:00+00:00,0.0
1950-12-23 00:00:00+00:00,1.544725e-07
1950-12-24 00:00:00+00:00,0.0
1950-12-25 00:00:00+00:00,0.0
1950-12-26 00:00:00+00:00,0.0
1950-12-27 00:00:00+00:00,3.1538025e-06
1950-12-28 00:00:00+00:00,0.0
1950-12-29 00:00:00+00:00,3.5940302e-05
1950-12-30 00:00:00+00:00,0.00046006756
1950-12-31 00:00:00+00:00,0.0002344359
1951-01-01 00:00:00+00:00,0.00019203188
1951-01-02 00:00:00+00:00,0.00010336809
1951-01-03 00:00:00+00:00,0.0
1951-01-04 00:00:00+00:00,0.00023177026
1951-01-05 00:00:00+00:00,0.0004283052
1951-01-06 00:00:00+00:00,0.00031818575
1951-01-07 00:00:00+00:00,0.00024722033
1951-01-08 00:00:00+00:00,0.00029129695
1951-01-09 00:00:00+00:00,0.0004276286
1951-01-10 00:00:00+00:00,0.00019100551
1951-01-11 00:00:00+00:00,0.00028812856
1951-01-12 00:00:00+00:00,0.00034015972
1951-01-13 00:00:00+00:00,0.00019108104
1951-01-14 00:00:00+00:00,6.4179025e-05
1951-01-15 00:00:00+00:00,2.6333046e-05
1951-01-16 00:00:00+00:00,0.0
1951-01-17 00:00:00+00:00,0.0
1951-01-18 00:00:00+00:00,0.0
1951-01-19 00:00:00+00:00,0.00027099717
1951-01-20 00:00:00+00:00,4.092928e-05
1951-01-21 00:00:00+00:00,3.6957852e-05
1951-01-22 00:00:00+00:00,0.000103113416
1951-01-23 00:00:00+00:00,0.00033755277
1951-01-24 00:00:00+00:00,6.687803e-05
1951-01-25 00:00:00+00:00,0.0
1951-01-26 00:00:00+00:00,0.0
1951-01-27 00:00:00+00:00,0.0
1951-01-28 00:00:00+00:00,0.0
1951-01-29 00:00:00+00:00,0.0
1951-01-30 00:00:00+00:00,0.0
1951-01-31 00:00:00+00:00,0.0
1951-02-01 00:00:00+00:00,0.00034907233
1951-02-02 00:00:00+00:00,0.00067686744
1951-02-03 00:00:00+00:00,0.00037332706
1951-02-04 00:00:00+00:00,0.00013529941
1951-02-05 00:00:00+00:00,0.00011128027
1951-02-06 00:00:00+00:00,0.0
1951-02-07 00:00:00+00:00,0.0
1951-02-08 00:00:00+00:00,0.0001759994
1951-02-09 00:00:00+00:00,4.9918337e-05
1951-02-10 00:00:00+00:00,3.5935423e-06
1951-02-11 00:00:00+00:00,0.0
1951-02-12 00:00:00+00:00,0.0
1951-02-13 00:00:00+00:00,3.6995202e-06
1951-02-14 00:00:00+00:00,4.9336908e-05
1951-02-15 00:00:00+00:00,0.0001271503
1951-02-16 00:00:00+00:00,0.00023287769
1951-02-17 00:00:00+00:00,6.0955932e-05
1951-02-18 00:00:00+00:00,0.0
1951-02-19 00:00:00+00:00,3.1666295e-06
1951-02-20 00:00:00+00:00,0.0
1951-02-21 00:00:00+00:00,3.0018516e-06
1951-02-22 00:00:00+00:00,0.0
1951-02-23 00:00:00+00:00,0.0
1951-02-24 00:00:00+00:00,0.0
1951-02-25 00:00:00+00:00,0.0
1951-02-26 00:00:00+00:00,0.0
1951-02-27 00:00:00+00:00,0.0
1951-02-28 00:00:00+00:00,0.0
1951-03-01 00:00:00+00:00,0.0
1951-03-02 00:00:00+00:00,0.0
1951-03-03 00:00:00+00:00,0.0
1951-03-04 00:00:00+00:00,0.0
1951-03-05 00:00:00+00:00,0.0
1951-03-06 00:00:00+00:00,6.810934e-05
1951-03-07 00:00:00+00:00,5.565511e-07
1951-03-08 00:00:00+00:00,5.6211655e-05
1951-03-09 00:00:00+00:00,6.4339196e-07
1951-03-10 00:00:00+00:00,0.0
1951-03-11 00:00:00+00:00,1.708173e-05
1951-03-12 00:00:00+00:00,4.0820614e-05
1951-03-13 00:00:00+00:00,0.0
1951-03-14 00:00:00+00:00,0.0
1951-03-15 00:00:00+00:00,2.6135476e-05
1951-03-16 00:00:00+00:00,9.000321e-05
1951-03-17 00:00:00+00:00,0.00012607456
1951-03-18 00:00:00+00:00,8.872471e-05
1951-03-19 00:00:00+00:00,0.0001862911
1951-03-20 00:00:00+00:00,0.00045515609
1951-03-21 00:00:00+00:00,0.00037645892
1951-03-22 00:00:00+00:00,7.121871e-05
1951-03-23 00:00:00+00:00,2.1596898e-05
1951-03-24 00:00:00+00:00,2.4499814e-05
1951-03-25 00:00:00+00:00,2.1683141e-05
1951-03-26 00:00:00+00:00,7.483646e-07
1951-03-27 00:00:00+00:00,0.00011294099
1951-03-28 00:00:00+00:00,0.0
1951-03-29 00:00:00+00:00,0.0
1951-03-30 00:00:00+00:00,7.522577e-07
1951-03-31 00:00:00+00:00,0.0
1951-04-01 00:00:00+00:00,4.9631733e-05
1951-04-02 00:00:00+00:00,5.2133523e-06
1951-04-03 00:00:00+00:00,1.7320305e-06
1951-04-04 00:00:00+00:00,4.3377957e-05
1951-04-05 00:00:00+00:00,0.00010428337
1951-04-06 00:00:00+00:00,0.00022213548
1951-04-07 00:00:00+00:00,0.0001465306
1951-04-08 00:00:00+00:00,7.1132345e-05
1951-04-09 00:00:00+00:00,0.0001127096
1951-04-10 00:00:00+00:00,0.00026367666
1951-04-11 00:00:00+00:00,0.00012793143
1951-04-12 00:00:00+00:00,0.0
1951-04-13 00:00:00+00:00,0.0
1951-04-14 00:00:00+00:00,0.0
1951-04-15 00:00:00+00:00,0.0
1951-04-16 00:00:00+00:00,0.0
1951-04-17 00:00:00+00:00,0.00025520963
1951-04-18 00:00:00+00:00,6.4781216e-06
1951-04-19 00:00:00+00:00,1.5484271e-06
1951-04-20 00:00:00+00:00,0.0
1951-04-21 00:00:00+00:00,0.0
1951-04-22 00:00:00+00:00,0.0
1951-04-23 00:00:00+00:00,1.3603817e-05
1951-04-24 00:00:00+00:00,3.3556957e-05
1951-04-25 00:00:00+00:00,2.993028e-06
1951-04-26 00:00:00+00:00,0.0
1951-04-27 00:00:00+00:00,4.7667993e-07
1951-04-28 00:00:00+00:00,0.0
1951-04-29 00:00:00+00:00,0.0
1951-04-30 00:00:00+00:00,0.0
1951-05-01 00:00:00+00:00,0.0
1951-05-02 00:00:00+00:00,0.0
1951-05-03 00:00:00+00:00,0.0
1951-05-04 00:00:00+00:00,0.0
1951-05-05 00:00:00+00:00,0.0
1951-05-06 00:00:00+00:00,0.0
1951-05-07 00:00:00+00:00,0.0
1951-05-08 00:00:00+00:00,0.0
1951-05-09 00:00:00+00:00,0.0
1951-05-10 00:00:00+00:00,0.0
1951-05-11 00:00:00+00:00,0.0
1951-05-12 00:00:00+00:00,0.0
1951-05-13 00:00:00+00:00,0.0
1951-05-14 00:00:00+00:00,0.0
1951-05-15 00:00:00+00:00,0.0
1951-05-16 00:00:00+00:00,0.0
1951-05-17 00:00:00+00:00,0.0
1951-05-18 00:00:00+00:00,8.851346e-06
