time,tasmax_day_CNRM-CM5_historical
1950-01-01 00:00:00+00:00,294.40662
1950-01-02 00:00:00+00:00,294.73755
1950-01-03 00:00:00+00:00,292.50977
1950-01-04 00:00:00+00:00,290.88675
1950-01-05 00:00:00+00:00,290.31036
1950-01-06 00:00:00+00:00,288.89462
1950-01-07 00:00:00+00:00,291.12158
1950-01-08 00:00:00+00:00,288.85275
1950-01-09 00:00:00+00:00,287.23727
1950-01-10 00:00:00+00:00,288.40988
1950-01-11 00:00:00+00:00,289.28473
1950-01-12 00:00:00+00:00,290.41794
1950-01-13 00:00:00+00:00,289.71637
1950-01-14 00:00:00+00:00,287.3069
1950-01-15 00:00:00+00:00,283.9326
1950-01-16 00:00:00+00:00,286.06952
1950-01-17 00:00:00+00:00,290.83328
1950-01-18 00:00:00+00:00,290.44263
1950-01-19 00:00:00+00:00,289.62213
1950-01-20 00:00:00+00:00,290.53058
1950-01-21 00:00:00+00:00,286.36288
1950-01-22 00:00:00+00:00,286.0649
1950-01-23 00:00:00+00:00,287.59232
1950-01-24 00:00:00+00:00,286.93732
1950-01-25 00:00:00+00:00,285.5699
1950-01-26 00:00:00+00:00,287.4105
1950-01-27 00:00:00+00:00,286.51193
1950-01-28 00:00:00+00:00,285.87198
1950-01-29 00:00:00+00:00,287.5661
1950-01-30 00:00:00+00:00,288.07135
1950-01-31 00:00:00+00:00,290.0642
1950-02-01 00:00:00+00:00,290.75018
1950-02-02 00:00:00+00:00,288.5566
1950-02-03 00:00:00+00:00,289.40912
1950-02-04 00:00:00+00:00,291.5146
1950-02-05 00:00:00+00:00,287.9601
1950-02-06 00:00:00+00:00,286.1841
1950-02-07 00:00:00+00:00,288.60928
1950-02-08 00:00:00+00:00,287.386
1950-02-09 00:00:00+00:00,288.0427
1950-02-10 00:00:00+00:00,289.4358
1950-02-11 00:00:00+00:00,291.62003
1950-02-12 00:00:00+00:00,292.66922
1950-02-13 00:00:00+00:00,289.42447
1950-02-14 00:00:00+00:00,287.83704
1950-02-15 00:00:00+00:00,290.3095
1950-02-16 00:00:00+00:00,294.1336
1950-02-17 00:00:00+00:00,291.1304
1950-02-18 00:00:00+00:00,289.01166
1950-02-19 00:00:00+00:00,290.8671
1950-02-20 00:00:00+00:00,292.31268
1950-02-21 00:00:00+00:00,294.974
1950-02-22 00:00:00+00:00,291.27487
1950-02-23 00:00:00+00:00,290.09937
1950-02-24 00:00:00+00:00,290.5557
1950-02-25 00:00:00+00:00,289.2102
1950-02-26 00:00:00+00:00,289.24393
