time,tasmax_day_HadGEM2-ES_rcp45
2006-01-01 00:00:00+00:00,280.7866
2006-01-02 00:00:00+00:00,279.45316
2006-01-03 00:00:00+00:00,284.09634
2006-01-04 00:00:00+00:00,283.77954
2006-01-05 00:00:00+00:00,285.57086
2006-01-06 00:00:00+00:00,284.43488
2006-01-07 00:00:00+00:00,284.74832
2006-01-08 00:00:00+00:00,287.02347
2006-01-09 00:00:00+00:00,286.0371
2006-01-10 00:00:00+00:00,285.33618
2006-01-11 00:00:00+00:00,285.52097
2006-01-12 00:00:00+00:00,284.70346
2006-01-13 00:00:00+00:00,286.9109
2006-01-14 00:00:00+00:00,285.39728
2006-01-15 00:00:00+00:00,286.32413
2006-01-16 00:00:00+00:00,286.14822
2006-01-17 00:00:00+00:00,285.87128
2006-01-18 00:00:00+00:00,287.24576
2006-01-19 00:00:00+00:00,286.719
2006-01-20 00:00:00+00:00,287.07568
2006-01-21 00:00:00+00:00,287.69107
2006-01-22 00:00:00+00:00,289.67706
2006-01-23 00:00:00+00:00,291.65158
2006-01-24 00:00:00+00:00,291.74377
2006-01-25 00:00:00+00:00,288.3214
2006-01-26 00:00:00+00:00,285.71524
2006-01-27 00:00:00+00:00,287.3294
2006-01-28 00:00:00+00:00,286.77762
2006-01-29 00:00:00+00:00,286.29688
2006-01-30 00:00:00+00:00,285.72748
2006-01-31 00:00:00+00:00,287.09512
2006-02-01 00:00:00+00:00,287.53125
2006-02-02 00:00:00+00:00,288.78583
2006-02-03 00:00:00+00:00,288.7342
2006-02-04 00:00:00+00:00,289.13785
2006-02-05 00:00:00+00:00,289.51358
2006-02-06 00:00:00+00:00,292.87912
2006-02-07 00:00:00+00:00,293.32077
2006-02-08 00:00:00+00:00,294.25223
2006-02-09 00:00:00+00:00,295.32565
2006-02-10 00:00:00+00:00,296.0006
2006-02-11 00:00:00+00:00,293.51666
2006-02-12 00:00:00+00:00,291.40475
2006-02-13 00:00:00+00:00,286.2293
2006-02-14 00:00:00+00:00,288.80957
2006-02-15 00:00:00+00:00,292.62567
2006-02-16 00:00:00+00:00,293.0652
2006-02-17 00:00:00+00:00,292.32578
2006-02-18 00:00:00+00:00,289.46985
2006-02-19 00:00:00+00:00,290.82132
2006-02-20 00:00:00+00:00,291.70258
2006-02-21 00:00:00+00:00,292.65488
2006-02-22 00:00:00+00:00,295.49728
2006-02-23 00:00:00+00:00,298.41193
2006-02-24 00:00:00+00:00,296.93298
2006-02-25 00:00:00+00:00,294.70108
2006-02-26 00:00:00+00:00,287.32495
2006-02-27 00:00:00+00:00,289.36276
2006-02-28 00:00:00+00:00,292.29874
2006-03-01 00:00:00+00:00,294.1327
2006-03-02 00:00:00+00:00,294.8204
2006-03-03 00:00:00+00:00,295.84863
2006-03-04 00:00:00+00:00,289.0312
2006-03-05 00:00:00+00:00,286.37296
2006-03-06 00:00:00+00:00,291.13617
2006-03-07 00:00:00+00:00,295.30716
2006-03-08 00:00:00+00:00,297.55273
2006-03-09 00:00:00+00:00,296.27298
2006-03-10 00:00:00+00:00,297.65726
2006-03-11 00:00:00+00:00,296.2491
2006-03-12 00:00:00+00:00,298.08432
2006-03-13 00:00:00+00:00,297.1895
2006-03-14 00:00:00+00:00,292.13995
2006-03-15 00:00:00+00:00,287.14056
2006-03-16 00:00:00+00:00,292.08563
2006-03-17 00:00:00+00:00,295.28482
2006-03-18 00:00:00+00:00,293.63684
2006-03-19 00:00:00+00:00,291.53052
2006-03-20 00:00:00+00:00,292.36557
2006-03-21 00:00:00+00:00,292.4425
