time,tasmin_day_MIROC5_historical
1950-01-01 00:00:00+00:00,275.16263
1950-01-02 00:00:00+00:00,276.3107
1950-01-03 00:00:00+00:00,276.94757
1950-01-04 00:00:00+00:00,274.2176
1950-01-05 00:00:00+00:00,272.8383
1950-01-06 00:00:00+00:00,269.9581
1950-01-07 00:00:00+00:00,269.7767
1950-01-08 00:00:00+00:00,274.55765
1950-01-09 00:00:00+00:00,275.4356
1950-01-10 00:00:00+00:00,274.74005
1950-01-11 00:00:00+00:00,274.77808
1950-01-12 00:00:00+00:00,273.93906
1950-01-13 00:00:00+00:00,276.50607
1950-01-14 00:00:00+00:00,276.11423
1950-01-15 00:00:00+00:00,276.09167
1950-01-16 00:00:00+00:00,276.61023
1950-01-17 00:00:00+00:00,277.3528
1950-01-18 00:00:00+00:00,276.2925
1950-01-19 00:00:00+00:00,275.73526
1950-01-20 00:00:00+00:00,279.01102
1950-01-21 00:00:00+00:00,280.5555
1950-01-22 00:00:00+00:00,276.11273
1950-01-23 00:00:00+00:00,274.61517
1950-01-24 00:00:00+00:00,281.6465
1950-01-25 00:00:00+00:00,274.55124
1950-01-26 00:00:00+00:00,275.33505
1950-01-27 00:00:00+00:00,278.47516
1950-01-28 00:00:00+00:00,278.38168
1950-01-29 00:00:00+00:00,280.03677
1950-01-30 00:00:00+00:00,282.4564
1950-01-31 00:00:00+00:00,283.25256
1950-02-01 00:00:00+00:00,278.9839
1950-02-02 00:00:00+00:00,281.5267
1950-02-03 00:00:00+00:00,281.09433
1950-02-04 00:00:00+00:00,281.42465
1950-02-05 00:00:00+00:00,278.86768
1950-02-06 00:00:00+00:00,280.36444
1950-02-07 00:00:00+00:00,274.7173
1950-02-08 00:00:00+00:00,277.61307
1950-02-09 00:00:00+00:00,283.33154
1950-02-10 00:00:00+00:00,282.75577
1950-02-11 00:00:00+00:00,285.60147
1950-02-12 00:00:00+00:00,283.46777
1950-02-13 00:00:00+00:00,279.89142
1950-02-14 00:00:00+00:00,277.76672
1950-02-15 00:00:00+00:00,281.24973
1950-02-16 00:00:00+00:00,274.40048
1950-02-17 00:00:00+00:00,273.02914
1950-02-18 00:00:00+00:00,276.03424
1950-02-19 00:00:00+00:00,278.3582
1950-02-20 00:00:00+00:00,284.02042
1950-02-21 00:00:00+00:00,279.3135
1950-02-22 00:00:00+00:00,279.77628
1950-02-23 00:00:00+00:00,281.54102
1950-02-24 00:00:00+00:00,280.67773
1950-02-25 00:00:00+00:00,275.70682
1950-02-26 00:00:00+00:00,276.86902
1950-02-27 00:00:00+00:00,279.79263
1950-02-28 00:00:00+00:00,280.29843
1950-03-01 00:00:00+00:00,277.5606
1950-03-02 00:00:00+00:00,275.5805
1950-03-03 00:00:00+00:00,281.06226
