time,tasmax_day_CNRM-CM5_rcp45
2006-01-01 00:00:00+00:00,289.7623
2006-01-02 00:00:00+00:00,290.55692
2006-01-03 00:00:00+00:00,288.8819
2006-01-04 00:00:00+00:00,287.87665
2006-01-05 00:00:00+00:00,288.78986
2006-01-06 00:00:00+00:00,289.4613
2006-01-07 00:00:00+00:00,288.68655
2006-01-08 00:00:00+00:00,287.21472
2006-01-09 00:00:00+00:00,286.134
2006-01-10 00:00:00+00:00,288.73627
2006-01-11 00:00:00+00:00,285.57404
2006-01-12 00:00:00+00:00,286.88763
2006-01-13 00:00:00+00:00,287.12744
2006-01-14 00:00:00+00:00,288.29327
2006-01-15 00:00:00+00:00,288.6106
2006-01-16 00:00:00+00:00,289.87363
2006-01-17 00:00:00+00:00,289.5065
2006-01-18 00:00:00+00:00,286.0138
2006-01-19 00:00:00+00:00,284.66855
2006-01-20 00:00:00+00:00,284.43152
2006-01-21 00:00:00+00:00,288.28452
2006-01-22 00:00:00+00:00,288.39978
2006-01-23 00:00:00+00:00,287.6269
2006-01-24 00:00:00+00:00,290.20163
2006-01-25 00:00:00+00:00,288.26465
2006-01-26 00:00:00+00:00,286.40048
2006-01-27 00:00:00+00:00,289.42136
2006-01-28 00:00:00+00:00,291.91666
2006-01-29 00:00:00+00:00,293.44717
2006-01-30 00:00:00+00:00,293.98398
2006-01-31 00:00:00+00:00,291.44434
2006-02-01 00:00:00+00:00,286.8555
2006-02-02 00:00:00+00:00,290.54413
2006-02-03 00:00:00+00:00,290.27072
2006-02-04 00:00:00+00:00,290.04388
2006-02-05 00:00:00+00:00,288.77203
2006-02-06 00:00:00+00:00,289.37885
2006-02-07 00:00:00+00:00,289.4919
2006-02-08 00:00:00+00:00,290.11725
2006-02-09 00:00:00+00:00,290.22366
2006-02-10 00:00:00+00:00,292.06433
2006-02-11 00:00:00+00:00,294.96967
2006-02-12 00:00:00+00:00,295.20123
2006-02-13 00:00:00+00:00,296.7339
2006-02-14 00:00:00+00:00,297.83423
2006-02-15 00:00:00+00:00,298.43787
2006-02-16 00:00:00+00:00,298.06738
2006-02-17 00:00:00+00:00,297.77768
2006-02-18 00:00:00+00:00,297.91074
2006-02-19 00:00:00+00:00,299.88977
2006-02-20 00:00:00+00:00,299.20435
2006-02-21 00:00:00+00:00,297.31262
2006-02-22 00:00:00+00:00,296.46622
2006-02-23 00:00:00+00:00,291.62988
2006-02-24 00:00:00+00:00,292.10727
2006-02-25 00:00:00+00:00,288.9222
2006-02-26 00:00:00+00:00,288.90363
2006-02-27 00:00:00+00:00,291.76965
2006-02-28 00:00:00+00:00,295.81674
2006-03-01 00:00:00+00:00,294.5934
2006-03-02 00:00:00+00:00,292.59766
