time,tasmin_day_MIROC5_rcp85
2006-01-01 00:00:00+00:00,279.57193
2006-01-02 00:00:00+00:00,281.82996
2006-01-03 00:00:00+00:00,274.3243
2006-01-04 00:00:00+00:00,273.43243
2006-01-05 00:00:00+00:00,271.25113
2006-01-06 00:00:00+00:00,275.01007
2006-01-07 00:00:00+00:00,273.9482
2006-01-08 00:00:00+00:00,275.99774
2006-01-09 00:00:00+00:00,274.6451
2006-01-10 00:00:00+00:00,273.9519
2006-01-11 00:00:00+00:00,276.22324
2006-01-12 00:00:00+00:00,276.84985
2006-01-13 00:00:00+00:00,280.42337
2006-01-14 00:00:00+00:00,275.70755
2006-01-15 00:00:00+00:00,274.3441
2006-01-16 00:00:00+00:00,275.812
2006-01-17 00:00:00+00:00,276.0753
2006-01-18 00:00:00+00:00,272.4563
2006-01-19 00:00:00+00:00,274.7554
2006-01-20 00:00:00+00:00,275.12238
2006-01-21 00:00:00+00:00,277.26523
2006-01-22 00:00:00+00:00,277.51535
2006-01-23 00:00:00+00:00,272.7299
2006-01-24 00:00:00+00:00,273.8881
2006-01-25 00:00:00+00:00,273.59662
2006-01-26 00:00:00+00:00,275.3107
2006-01-27 00:00:00+00:00,276.3067
2006-01-28 00:00:00+00:00,277.5806
2006-01-29 00:00:00+00:00,279.44037
2006-01-30 00:00:00+00:00,276.38055
2006-01-31 00:00:00+00:00,275.3959
2006-02-01 00:00:00+00:00,280.03683
2006-02-02 00:00:00+00:00,277.89966
2006-02-03 00:00:00+00:00,279.04037
2006-02-04 00:00:00+00:00,284.36206
2006-02-05 00:00:00+00:00,285.2839
2006-02-06 00:00:00+00:00,278.4719
2006-02-07 00:00:00+00:00,273.67142
2006-02-08 00:00:00+00:00,279.2203
2006-02-09 00:00:00+00:00,278.93826
2006-02-10 00:00:00+00:00,283.7502
2006-02-11 00:00:00+00:00,282.68442
2006-02-12 00:00:00+00:00,275.01212
2006-02-13 00:00:00+00:00,274.1627
2006-02-14 00:00:00+00:00,278.99335
2006-02-15 00:00:00+00:00,281.79224
2006-02-16 00:00:00+00:00,281.42963
2006-02-17 00:00:00+00:00,281.00055
2006-02-18 00:00:00+00:00,284.12228
2006-02-19 00:00:00+00:00,281.3535
2006-02-20 00:00:00+00:00,282.3614
2006-02-21 00:00:00+00:00,286.1697
2006-02-22 00:00:00+00:00,286.78836
2006-02-23 00:00:00+00:00,278.41953
2006-02-24 00:00:00+00:00,277.7846
2006-02-25 00:00:00+00:00,278.05432
2006-02-26 00:00:00+00:00,275.6893
2006-02-27 00:00:00+00:00,275.91238
2006-02-28 00:00:00+00:00,278.05243
2006-03-01 00:00:00+00:00,281.8984
2006-03-02 00:00:00+00:00,275.99002
2006-03-03 00:00:00+00:00,280.06964
2006-03-04 00:00:00+00:00,280.3186
2006-03-05 00:00:00+00:00,281.874
2006-03-06 00:00:00+00:00,279.35275
2006-03-07 00:00:00+00:00,278.69522
2006-03-08 00:00:00+00:00,283.57385
2006-03-09 00:00:00+00:00,283.71732
2006-03-10 00:00:00+00:00,282.33173
2006-03-11 00:00:00+00:00,284.19128
2006-03-12 00:00:00+00:00,285.26575
2006-03-13 00:00:00+00:00,280.80618
2006-03-14 00:00:00+00:00,278.05826
2006-03-15 00:00:00+00:00,278.6451
2006-03-16 00:00:00+00:00,278.9995
2006-03-17 00:00:00+00:00,279.31198
2006-03-18 00:00:00+00:00,279.4386
2006-03-19 00:00:00+00:00,280.04877
2006-03-20 00:00:00+00:00,276.9694
2006-03-21 00:00:00+00:00,280.83737
2006-03-22 00:00:00+00:00,280.75867
2006-03-23 00:00:00+00:00,281.4337
2006-03-24 00:00:00+00:00,278.96448
2006-03-25 00:00:00+00:00,280.2402
2006-03-26 00:00:00+00:00,278.49136
2006-03-27 00:00:00+00:00,280.10602
2006-03-28 00:00:00+00:00,276.30643
2006-03-29 00:00:00+00:00,278.0058
2006-03-30 00:00:00+00:00,278.88263
2006-03-31 00:00:00+00:00,278.8019
2006-04-01 00:00:00+00:00,278.37036
2006-04-02 00:00:00+00:00,278.84076
2006-04-03 00:00:00+00:00,279.9245
2006-04-04 00:00:00+00:00,281.2701
2006-04-05 00:00:00+00:00,280.93973
2006-04-06 00:00:00+00:00,279.09497
2006-04-07 00:00:00+00:00,277.05756
2006-04-08 00:00:00+00:00,276.25073
2006-04-09 00:00:00+00:00,277.35193
2006-04-10 00:00:00+00:00,280.24667
2006-04-11 00:00:00+00:00,276.8272
2006-04-12 00:00:00+00:00,276.77682
2006-04-13 00:00:00+00:00,278.45993
2006-04-14 00:00:00+00:00,277.96005
2006-04-15 00:00:00+00:00,278.42316
2006-04-16 00:00:00+00:00,279.09186
2006-04-17 00:00:00+00:00,279.1162
2006-04-18 00:00:00+00:00,280.3889
2006-04-19 00:00:00+00:00,280.42117
2006-04-20 00:00:00+00:00,279.34637
2006-04-21 00:00:00+00:00,278.06506
2006-04-22 00:00:00+00:00,281.2054
2006-04-23 00:00:00+00:00,281.1832
2006-04-24 00:00:00+00:00,282.00125
2006-04-25 00:00:00+00:00,282.42453
2006-04-26 00:00:00+00:00,282.09955
2006-04-27 00:00:00+00:00,281.15344
2006-04-28 00:00:00+00:00,281.44794
2006-04-29 00:00:00+00:00,283.3751
2006-04-30 00:00:00+00:00,280.35867
2006-05-01 00:00:00+00:00,279.77155
2006-05-02 00:00:00+00:00,282.2842
2006-05-03 00:00:00+00:00,282.1911
2006-05-04 00:00:00+00:00,279.94644
2006-05-05 00:00:00+00:00,279.67065
2006-05-06 00:00:00+00:00,280.48132
2006-05-07 00:00:00+00:00,278.90942
2006-05-08 00:00:00+00:00,278.1345
2006-05-09 00:00:00+00:00,277.74167
2006-05-10 00:00:00+00:00,279.35696
2006-05-11 00:00:00+00:00,280.33463
2006-05-12 00:00:00+00:00,280.4179
2006-05-13 00:00:00+00:00,282.32767
2006-05-14 00:00:00+00:00,282.49796
2006-05-15 00:00:00+00:00,281.66437
2006-05-16 00:00:00+00:00,279.76456
2006-05-17 00:00:00+00:00,280.5407
2006-05-18 00:00:00+00:00,281.11774
2006-05-19 00:00:00+00:00,282.5531
2006-05-20 00:00:00+00:00,282.79706
2006-05-21 00:00:00+00:00,280.19482
2006-05-22 00:00:00+00:00,281.83365
2006-05-23 00:00:00+00:00,281.4732
2006-05-24 00:00:00+00:00,282.5031
2006-05-25 00:00:00+00:00,282.80634
