time,tasmin_day_CNRM-CM5_rcp45
2006-05-07 00:00:00+00:00,284.68408
2006-05-08 00:00:00+00:00,283.29462
2006-05-09 00:00:00+00:00,281.9146
2006-05-10 00:00:00+00:00,283.3753
2006-05-11 00:00:00+00:00,284.39545
2006-05-12 00:00:00+00:00,280.70035
2006-05-13 00:00:00+00:00,279.97055
2006-05-14 00:00:00+00:00,284.56195
2006-05-15 00:00:00+00:00,286.3803
2006-05-16 00:00:00+00:00,283.8075
2006-05-17 00:00:00+00:00,284.60666
2006-05-18 00:00:00+00:00,286.34546
2006-05-19 00:00:00+00:00,285.2675
2006-05-20 00:00:00+00:00,282.57504
2006-05-21 00:00:00+00:00,282.6878
2006-05-22 00:00:00+00:00,283.30078
2006-05-23 00:00:00+00:00,282.0859
2006-05-24 00:00:00+00:00,282.44736
2006-05-25 00:00:00+00:00,282.22137
2006-05-26 00:00:00+00:00,283.62457
2006-05-27 00:00:00+00:00,283.28497
2006-05-28 00:00:00+00:00,283.475
2006-05-29 00:00:00+00:00,283.48264
2006-05-30 00:00:00+00:00,282.5669
2006-05-31 00:00:00+00:00,280.98203
2006-06-01 00:00:00+00:00,279.97583
2006-06-02 00:00:00+00:00,280.3489
2006-06-03 00:00:00+00:00,282.82245
2006-06-04 00:00:00+00:00,283.202
2006-06-05 00:00:00+00:00,281.7756
2006-06-06 00:00:00+00:00,281.61646
2006-06-07 00:00:00+00:00,280.45892
2006-06-08 00:00:00+00:00,279.39505
2006-06-09 00:00:00+00:00,282.02463
2006-06-10 00:00:00+00:00,282.94803
2006-06-11 00:00:00+00:00,282.94254
2006-06-12 00:00:00+00:00,283.08945
2006-06-13 00:00:00+00:00,281.79602
2006-06-14 00:00:00+00:00,281.80862
2006-06-15 00:00:00+00:00,281.7226
2006-06-16 00:00:00+00:00,282.63455
2006-06-17 00:00:00+00:00,284.6792
2006-06-18 00:00:00+00:00,285.5551
2006-06-19 00:00:00+00:00,284.10403
2006-06-20 00:00:00+00:00,285.0202
2006-06-21 00:00:00+00:00,285.96997
2006-06-22 00:00:00+00:00,287.55038
2006-06-23 00:00:00+00:00,288.74243
2006-06-24 00:00:00+00:00,286.06918
2006-06-25 00:00:00+00:00,283.57178
2006-06-26 00:00:00+00:00,282.99265
2006-06-27 00:00:00+00:00,286.3635
2006-06-28 00:00:00+00:00,289.22003
2006-06-29 00:00:00+00:00,288.15268
2006-06-30 00:00:00+00:00,286.82864
2006-07-01 00:00:00+00:00,284.72324
2006-07-02 00:00:00+00:00,284.1326
2006-07-03 00:00:00+00:00,286.1127
2006-07-04 00:00:00+00:00,284.6067
2006-07-05 00:00:00+00:00,283.80704
2006-07-06 00:00:00+00:00,287.97107
2006-07-07 00:00:00+00:00,288.41864
2006-07-08 00:00:00+00:00,283.8294
2006-07-09 00:00:00+00:00,284.91867
2006-07-10 00:00:00+00:00,285.23303
2006-07-11 00:00:00+00:00,284.21405
2006-07-12 00:00:00+00:00,285.18088
2006-07-13 00:00:00+00:00,285.25552
2006-07-14 00:00:00+00:00,286.26556
2006-07-15 00:00:00+00:00,285.0084
2006-07-16 00:00:00+00:00,285.65704
2006-07-17 00:00:00+00:00,284.38373
2006-07-18 00:00:00+00:00,283.82083
2006-07-19 00:00:00+00:00,283.26996
2006-07-20 00:00:00+00:00,283.02103
2006-07-21 00:00:00+00:00,283.26483
2006-07-22 00:00:00+00:00,283.64645
2006-07-23 00:00:00+00:00,283.42007
2006-07-24 00:00:00+00:00,283.56146
2006-07-25 00:00:00+00:00,286.0752
2006-07-26 00:00:00+00:00,284.87454
2006-07-27 00:00:00+00:00,283.93564
2006-07-28 00:00:00+00:00,284.16098
2006-07-29 00:00:00+00:00,287.18225
2006-07-30 00:00:00+00:00,286.92914
2006-07-31 00:00:00+00:00,284.60147
2006-08-01 00:00:00+00:00,285.39655
2006-08-02 00:00:00+00:00,285.25604
2006-08-03 00:00:00+00:00,285.26147
2006-08-04 00:00:00+00:00,283.58752
2006-08-05 00:00:00+00:00,284.4581
2006-08-06 00:00:00+00:00,283.8218
2006-08-07 00:00:00+00:00,284.6022
2006-08-08 00:00:00+00:00,282.91418
2006-08-09 00:00:00+00:00,283.6809
2006-08-10 00:00:00+00:00,284.1434
2006-08-11 00:00:00+00:00,282.10233
2006-08-12 00:00:00+00:00,282.27515
2006-08-13 00:00:00+00:00,283.4383
2006-08-14 00:00:00+00:00,283.49747
2006-08-15 00:00:00+00:00,282.7438
2006-08-16 00:00:00+00:00,284.0884
2006-08-17 00:00:00+00:00,283.0967
2006-08-18 00:00:00+00:00,282.6137
2006-08-19 00:00:00+00:00,285.13058
2006-08-20 00:00:00+00:00,284.73206
2006-08-21 00:00:00+00:00,284.17923
2006-08-22 00:00:00+00:00,285.1761
2006-08-23 00:00:00+00:00,284.0087
2006-08-24 00:00:00+00:00,283.47797
2006-08-25 00:00:00+00:00,284.03
2006-08-26 00:00:00+00:00,284.6116
2006-08-27 00:00:00+00:00,284.76736
2006-08-28 00:00:00+00:00,285.84637
2006-08-29 00:00:00+00:00,284.5318
2006-08-30 00:00:00+00:00,284.77835
2006-08-31 00:00:00+00:00,283.8173
2006-09-01 00:00:00+00:00,282.91815
2006-09-02 00:00:00+00:00,282.86166
2006-09-03 00:00:00+00:00,284.57657
2006-09-04 00:00:00+00:00,283.4925
2006-09-05 00:00:00+00:00,284.2648
2006-09-06 00:00:00+00:00,284.9607
2006-09-07 00:00:00+00:00,283.63538
2006-09-08 00:00:00+00:00,282.93213
2006-09-09 00:00:00+00:00,283.30948
2006-09-10 00:00:00+00:00,282.66974
2006-09-11 00:00:00+00:00,284.79324
2006-09-12 00:00:00+00:00,286.66342
2006-09-13 00:00:00+00:00,281.99548
2006-09-14 00:00:00+00:00,283.68777
2006-09-15 00:00:00+00:00,284.09433
2006-09-16 00:00:00+00:00,284.28885
2006-09-17 00:00:00+00:00,281.83386
2006-09-18 00:00:00+00:00,280.51672
2006-09-19 00:00:00+00:00,281.33127
2006-09-20 00:00:00+00:00,281.63354
2006-09-21 00:00:00+00:00,282.01474
2006-09-22 00:00:00+00:00,282.10797
2006-09-23 00:00:00+00:00,283.18945
2006-09-24 00:00:00+00:00,285.12408
2006-09-25 00:00:00+00:00,285.37073
2006-09-26 00:00:00+00:00,283.22086
2006-09-27 00:00:00+00:00,285.87915
2006-09-28 00:00:00+00:00,284.29507
2006-09-29 00:00:00+00:00,287.23956
2006-09-30 00:00:00+00:00,281.7949
2006-10-01 00:00:00+00:00,283.34613
2006-10-02 00:00:00+00:00,285.9368
2006-10-03 00:00:00+00:00,283.7946
2006-10-04 00:00:00+00:00,284.52878
2006-10-05 00:00:00+00:00,281.5783
2006-10-06 00:00:00+00:00,284.11945
2006-10-07 00:00:00+00:00,284.70438
2006-10-08 00:00:00+00:00,283.24576
2006-10-09 00:00:00+00:00,280.53568
2006-10-10 00:00:00+00:00,281.3975
2006-10-11 00:00:00+00:00,280.00494
2006-10-12 00:00:00+00:00,284.17233
2006-10-13 00:00:00+00:00,285.50357
2006-10-14 00:00:00+00:00,279.53717
2006-10-15 00:00:00+00:00,282.5938
2006-10-16 00:00:00+00:00,283.6516
2006-10-17 00:00:00+00:00,282.33954
2006-10-18 00:00:00+00:00,281.4542
2006-10-19 00:00:00+00:00,281.53375
2006-10-20 00:00:00+00:00,280.49338
2006-10-21 00:00:00+00:00,277.7575
2006-10-22 00:00:00+00:00,279.58804
2006-10-23 00:00:00+00:00,279.59055
2006-10-24 00:00:00+00:00,281.0751
2006-10-25 00:00:00+00:00,278.89093
2006-10-26 00:00:00+00:00,279.94965
2006-10-27 00:00:00+00:00,281.73108
2006-10-28 00:00:00+00:00,285.01337
2006-10-29 00:00:00+00:00,284.17337
2006-10-30 00:00:00+00:00,280.13382
2006-10-31 00:00:00+00:00,284.0379
2006-11-01 00:00:00+00:00,286.78748
2006-11-02 00:00:00+00:00,283.3123
2006-11-03 00:00:00+00:00,279.0892
2006-11-04 00:00:00+00:00,277.96472
2006-11-05 00:00:00+00:00,280.3621
2006-11-06 00:00:00+00:00,278.46393
2006-11-07 00:00:00+00:00,273.83945
2006-11-08 00:00:00+00:00,274.60016
2006-11-09 00:00:00+00:00,279.38586
2006-11-10 00:00:00+00:00,279.2912
2006-11-11 00:00:00+00:00,277.5459
2006-11-12 00:00:00+00:00,279.33685
2006-11-13 00:00:00+00:00,275.39566
2006-11-14 00:00:00+00:00,282.19467
2006-11-15 00:00:00+00:00,284.45908
2006-11-16 00:00:00+00:00,281.43246
2006-11-17 00:00:00+00:00,275.2358
2006-11-18 00:00:00+00:00,281.8318
2006-11-19 00:00:00+00:00,279.40958
2006-11-20 00:00:00+00:00,277.4903
2006-11-21 00:00:00+00:00,280.61792
2006-11-22 00:00:00+00:00,281.26047
