simval,obsnme,obsval,weight,obgnme,comments
72.68389893,HO_0,60.71310043,1,HEADS,#
281.458374,HO_1,321.5151978,1,HEADS,#
85.2614212,HO_2,92.14749908,1,HEADS,#
40.25111389,HO_3,43.85229874,1,HEADS,#
1.390004039,HO_4,1.175500035,1,HEADS,#
2.668401718,HO_5,2.380500078,1,HEADS,#
52.85404205,HO_6,60.05469894,1,HEADS,#
157.9138947,HO_7,190.3092957,1,HEADS,#
46.65330887,HO_8,42.33060074,1,HEADS,#
43.2907486,HO_9,52.02170181,1,HEADS,#
39.91818237,HO_10,48.61050034,1,HEADS,#
37.5480423,HO_11,51.31380081,1,HEADS,#
27.59848785,HO_12,26.00440025,1,HEADS,#
13.12771702,HO_13,15.50819969,1,HEADS,#
326.9033813,HO_14,380.5397949,1,HEADS,#
22.11825371,HO_15,14.05739975,1,HEADS,#
41.92689514,HO_16,60.51520157,1,HEADS,#
4.592497826,HO_17,6.116600037,1,HEADS,#
43.57453156,HO_18,38.31340027,1,HEADS,#
41.12672806,HO_19,38.80099869,1,HEADS,#
20.6526947,HO_20,17.39459991,1,HEADS,#
30.51553726,HO_21,27.79470062,1,HEADS,#
23.53703117,HO_22,18.7147007,1,HEADS,#
17.70175552,HO_23,5.365499973,1,HEADS,#
17.07429123,HO_24,12.70189953,1,HEADS,#
16.63638687,HO_25,12.93379974,1,HEADS,#
16.83929062,HO_26,12.05599976,1,HEADS,#
16.77607536,HO_27,16.89850044,1,HEADS,#
18.67803192,HO_28,17.49080086,1,HEADS,#
17.56625557,HO_29,17.89640045,1,HEADS,#
24.37097549,HO_30,20.44669914,1,HEADS,#
37.46392441,HO_31,38.52560043,1,HEADS,#
43.80702972,HO_32,12.82600021,1,HEADS,#
43.69049835,HO_33,35.31570053,1,HEADS,#
43.22530746,HO_34,44.56809998,1,HEADS,#
43.45431519,HO_35,38.02320099,1,HEADS,#
5.201872826,HO_36,4.741499901,1,HEADS,#
15.40465641,HO_37,12.46930027,1,HEADS,#
127.5112991,HO_38,131.8417969,1,HEADS,#
126.0656967,HO_39,125.1793976,1,HEADS,#
62.70927811,HO_40,64.10279846,1,HEADS,#
59.45666885,HO_41,58.27780151,1,HEADS,#
86.27713776,HO_42,95.89920044,1,HEADS,#
46.71917343,HO_43,44.52700043,1,HEADS,#
49.72533035,HO_44,57.99729919,1,HEADS,#
51.45454025,HO_45,52.44850159,1,HEADS,#
86.31889343,HO_46,86.34539795,1,HEADS,#
101.2388458,HO_47,101.7932968,1,HEADS,#
276.1379395,HO_48,337.2763977,1,HEADS,#
52.04280853,HO_49,52.81269836,1,HEADS,#
51.75624466,HO_50,53.84680176,1,HEADS,#
80.75576019,HO_51,79.1760025,1,HEADS,#
80.80110168,HO_52,83.17379761,1,HEADS,#
83.66274261,HO_53,85.94339752,1,HEADS,#
57.75757599,HO_54,52.55540085,1,HEADS,#
77.78482056,HO_55,70.51239777,1,HEADS,#
50.94457626,HO_56,49.91339874,1,HEADS,#
52.67791748,HO_57,49.6344986,1,HEADS,#
44.03430176,HO_58,43.70019913,1,HEADS,#
44.57904053,HO_59,47.03829956,1,HEADS,#
51.05408859,HO_60,48.79240036,1,HEADS,#
52.29254913,HO_61,49.9469986,1,HEADS,#
58.91643524,HO_62,60.30500031,1,HEADS,#
55.97649002,HO_63,58.06480026,1,HEADS,#
337.5934753,HO_64,342.9609985,1,HEADS,#
145.6241302,HO_65,140.0861053,1,HEADS,#
322.2176209,HO_66,336.1029968,1,HEADS,#
150.6630096,HO_67,147.7821045,1,HEADS,#
144.7497406,HO_68,149.2326965,1,HEADS,#
145.8403931,HO_69,144.2118988,1,HEADS,#
145.8403931,HO_70,143.3656006,1,HEADS,#
549.8643799,HO_71,553.6599731,1,HEADS,#
242.0137024,HO_72,238.9631958,1,HEADS,#
247.6080322,HO_73,234.0574951,1,HEADS,#
220.3209381,HO_74,219.5382996,1,HEADS,#
220.3579254,HO_75,220.8305054,1,HEADS,#
239.9070892,HO_76,256.0740967,1,HEADS,#
225.5695343,HO_77,229.4248047,1,HEADS,#
223.9878693,HO_78,230.2480011,1,HEADS,#
222.9508514,HO_79,226.5200958,1,HEADS,#
239.3052063,HO_80,258.1863098,1,HEADS,#
215.8031769,HO_81,220.4496002,1,HEADS,#
211.5041504,HO_82,217.5948029,1,HEADS,#
215.130661,HO_83,205.7369995,1,HEADS,#
201.7671509,HO_84,199.0420074,1,HEADS,#
196.2015533,HO_85,204.3538055,1,HEADS,#
221.2260284,HO_86,219.5148926,1,HEADS,#
225.5883942,HO_87,237.5769043,1,HEADS,#
227.630722,HO_88,232.4210968,1,HEADS,#
229.407074,HO_89,238.8916931,1,HEADS,#
199.0722961,HO_90,189.3600006,1,HEADS,#
215.4248962,HO_91,200.1997986,1,HEADS,#
199.0383301,HO_92,199.7277985,1,HEADS,#
210.9451904,HO_93,196.1876068,1,HEADS,#
180.7839813,HO_94,184.2821045,1,HEADS,#
163.8313904,HO_95,165.5505981,1,HEADS,#
148.2250671,HO_96,119.115799,1,HEADS,#
153.6025696,HO_97,161.8251038,1,HEADS,#
159.1590881,HO_98,155.513504,1,HEADS,#
161.1584473,HO_99,162.7463989,1,HEADS,#
190.8738861,HO_100,196.154007,1,HEADS,#
163.0326386,HO_101,160.1815033,1,HEADS,#
163.0522461,HO_102,161.9006042,1,HEADS,#
177.3897552,HO_103,176.0525055,1,HEADS,#
174.184494,HO_104,169.0267944,1,HEADS,#
173.173645,HO_105,167.7711029,1,HEADS,#
171.5834045,HO_106,166.3034973,1,HEADS,#
171.1441193,HO_107,169.6499023,1,HEADS,#
175.0538788,HO_108,170.872406,1,HEADS,#
175.6577454,HO_109,171.620697,1,HEADS,#
176.0298309,HO_110,170.5137939,1,HEADS,#
174.5185852,HO_111,171.2335968,1,HEADS,#
177.2107544,HO_112,171.6618042,1,HEADS,#
158.0744171,HO_113,168.6000977,1,HEADS,#
175.4918365,HO_114,171.8840027,1,HEADS,#
243.2868958,HO_115,248.593399,1,HEADS,#
238.1128082,HO_116,237.550705,1,HEADS,#
237.3478546,HO_117,245.3903046,1,HEADS,#
229.2480164,HO_118,233.6596985,1,HEADS,#
231.7537842,HO_119,239.3838043,1,HEADS,#
254.4158936,HO_120,250.3955994,1,HEADS,#
239.215683,HO_121,237.7501068,1,HEADS,#
251.6329346,HO_122,315.9039001,1,HEADS,#
246.17659,HO_123,261.9816895,1,HEADS,#
276.1532593,HO_124,266.2253113,1,HEADS,#
239.7767639,HO_125,273.72229,1,HEADS,#
235.1031647,HO_126,236.4089966,1,HEADS,#
221.2166901,HO_127,222.7682953,1,HEADS,#
216.1547089,HO_128,181.5769959,1,HEADS,#
238.755249,HO_129,245.4844055,1,HEADS,#
214.4219055,HO_130,202.239502,1,HEADS,#
228.1147919,HO_131,229.0007935,1,HEADS,#
216.581955,HO_132,209.319397,1,HEADS,#
235.8654022,HO_133,239.668396,1,HEADS,#
235.3996887,HO_134,239.4304047,1,HEADS,#
216.7011414,HO_135,212.7848969,1,HEADS,#
222.5188446,HO_136,216.1938019,1,HEADS,#
235.1313477,HO_137,235.8403015,1,HEADS,#
217.8199768,HO_138,221.0471039,1,HEADS,#
229.112854,HO_139,240.2382965,1,HEADS,#
227.4224396,HO_140,238.408493,1,HEADS,#
240.4069519,HO_141,243.4120026,1,HEADS,#
243.6760864,HO_142,216.5908966,1,HEADS,#
244.5401154,HO_143,246.8574982,1,HEADS,#
225.9056396,HO_144,219.9797974,1,HEADS,#
225.2608948,HO_145,235.4192963,1,HEADS,#
255.2597351,HO_146,261.6144104,1,HEADS,#
256.52948,HO_147,258.6901855,1,HEADS,#
217.8452301,HO_148,223.7277985,1,HEADS,#
219.9550018,HO_149,216.5771942,1,HEADS,#
233.3293762,HO_150,248.2718048,1,HEADS,#
234.6287231,HO_151,250.7162933,1,HEADS,#
192.4700623,HO_152,189.6833954,1,HEADS,#
185.5711823,HO_153,184.0695038,1,HEADS,#
188.5482941,HO_154,180.0469055,1,HEADS,#
