wellnum,wellid,row,col,xcoord,ycoord
142,s4900736w2,223,116,501930,4292286
143,s4900745w1,332,130,506298,4258278
144,s4900745w2,332,130,506298,4258278
145,s4900745w3,332,130,506298,4258278
146,s4900748w1,348,100,496938,4253286
147,s4900748w2,348,99,496626,4253286
148,s4900748w3,348,100,496938,4253286
149,s4900748w4,348,100,496938,4253286
150,s4900789w1,354,153,513474,4251414
151,s4900789w2,354,153,513474,4251414
152,s4900789w3,354,153,513474,4251414
153,s4900793w3,369,155,514098,4246734
154,s4900795w1,278,178,521274,4275126
155,s4900844w1,270,150,512538,4277622
156,s4900844w2,270,150,512538,4277622
157,s4900844w3,270,150,512538,4277622
158,s4900847w1,352,97,496002,4252038
159,s4900859w1,363,157,514722,4248606
160,s4900859w2,362,157,514722,4248918
161,s4900859w3,362,157,514722,4248918
162,s4900859w4,363,157,514722,4248606
163,s4900893w1,213,111,500370,4295406
164,s4900893w2,213,111,500370,4295406
165,s4900897w1,307,156,514410,4266078
166,s4900897w2,307,159,515346,4266078
167,s4900897w3,307,158,515034,4266078
168,s4900897w4,307,158,515034,4266078
169,s4900897w5,308,158,515034,4265766
170,s4900897w6,308,158,515034,4265766
171,s4900897w7,307,159,515346,4266078
172,s4900897w8,307,159,515346,4266078
173,s4900904w1,307,159,515346,4266078
174,s4900904w2,307,159,515346,4266078
175,s4900904w3,307,159,515346,4266078
176,s4900916w1,297,148,511914,4269198
177,s4900935w1,253,136,508170,4282926
178,s4900935w2,254,138,508794,4282614
179,s4900935w3,254,138,508794,4282614
180,s4900935w4,254,135,507858,4282614
181,s4900935w5,253,136,508170,4282926
182,s4900936w1,366,128,505674,4247670
183,s4900936w2,366,128,505674,4247670
184,s4900936w3,366,129,505986,4247670
185,s4900936w4,368,129,505986,4247046
186,s4900936w5,366,128,505674,4247670
187,s4900943w1,360,120,503178,4249542
188,s4900943w2,360,121,503490,4249542
189,s4900943w3,361,121,503490,4249230
190,s4900946w1,268,151,512850,4278246
191,s4900946w2,268,151,512850,4278246
192,s4900968w1,285,174,520026,4272942
193,s4900968w2,283,178,521274,4273566
194,s4900968w3,282,179,521586,4273878
195,s4900974w1,347,147,511602,4253598
196,s4900974w2,347,147,511602,4253598
197,s4900975w1,264,150,512538,4279494
198,s4900975w2,264,150,512538,4279494
199,s4900975w3,265,148,511914,4279182
200,s4900981w1,258,132,506922,4281366
201,s4900981w2,258,133,507234,4281366
202,s4900981w3,257,132,506922,4281678
203,s4900982w1,302,155,514098,4267638
204,s4900994w1,325,149,512226,4260462
205,s4901004w1,219,169,518466,4293534
206,s4901004w2,221,168,518154,4292910
207,s4901017w1,206,107,499122,4297590
208,s4901017w2,206,107,499122,4297590
209,s4901024w1,277,136,508170,4275438
210,s4901038w1,277,134,507546,4275438
211,s4901038w2,277,134,507546,4275438
212,s4901042w1,274,127,505362,4276374
213,s4901042w2,276,128,505674,4275750
214,s4901044w1,308,218,533754,4265766
215,s4901060w1,352,97,496002,4252038
216,s4901068w1,296,150,512538,4269510
217,s4901068w2,296,150,512538,4269510
218,s4901082w1,277,143,510354,4275438
219,s4901082w2,277,143,510354,4275438
220,s4901084w1,272,155,514098,4276998
221,s4901084w2,272,155,514098,4276998
222,s4901084w3,277,158,515034,4275438
223,s4901090w1,259,123,504114,4281054
224,s4901090w2,259,122,503802,4281054
225,s4901101w1,350,131,506610,4252662
226,s4901101w2,350,132,506922,4252662
227,s4901101w3,350,131,506610,4252662
228,s4901101w4,350,132,506922,4252662
229,s4901101w5,350,132,506922,4252662
230,s4901101w6,350,131,506610,4252662
231,s4901101w7,350,132,506922,4252662
232,s4901105w1,327,96,495690,4259838
233,s4901105w2,327,96,495690,4259838
234,s4901107w1,325,87,492882,4260462
235,s4901107w2,325,87,492882,4260462
236,s4901107w3,325,87,492882,4260462
237,s4901112w1,257,109,499746,4281678
238,s4901112w2,257,109,499746,4281678
239,s4901113w1,352,151,512850,4252038
240,s4901113w2,352,151,512850,4252038
241,s4901113w3,352,151,512850,4252038
242,s4901118w1,363,158,515034,4248606
243,s4901118w2,363,158,515034,4248606
244,s4901119w1,277,134,507546,4275438
245,s4901119w2,278,135,507858,4275126
246,s4901119w3,278,135,507858,4275126
247,s4901119w4,278,135,507858,4275126
248,s4901122w1,265,156,514410,4279182
249,s4901135w1,274,176,520650,4276374
250,s4901135w2,279,171,519090,4274814
251,s4901135w3,279,171,519090,4274814
252,s4901135w4,274,176,520650,4276374
253,s4901135w5,272,176,520650,4276998
254,s4901141w1,367,126,505050,4247358
255,s4901141w2,367,126,505050,4247358
256,s4901147w1,352,150,512538,4252038
257,s4901147w2,352,150,512538,4252038
258,s4901152w1,266,150,512538,4278870
259,s4901152w2,265,148,511914,4279182
260,s4901152w3,273,155,514098,4276686
261,s4901153w1,272,166,517530,4276998
262,s4901161w1,266,158,515034,4278870
263,s4901161w2,266,158,515034,4278870
264,s4901162w1,275,131,506610,4276062
265,s4901162w2,276,131,506610,4275750
266,s4901164w1,323,112,500682,4261086
267,s4901164w2,323,112,500682,4261086
268,s4901164w3,323,112,500682,4261086
269,s4901164w4,323,112,500682,4261086
270,s4901179w1,215,108,499434,4294782
271,s4901179w2,215,109,499746,4294782
272,s4901179w3,215,109,499746,4294782
273,s4901179w4,215,108,499434,4294782
274,s4901181w1,278,177,520962,4275126
275,s4901189w1,367,142,510042,4247358
276,s4901189w2,367,142,510042,4247358
277,s4901190w1,374,157,514722,4245174
278,s4901190w2,374,157,514722,4245174
279,s4901197w1,244,129,505986,4285734
