1 131423.92 #1990-01-01
2 623931.72 #1990-01-02
3 16169.69 #1990-01-03
4 15521.59 #1990-01-04
5 14978.45 #1990-01-05
6 14509.93 #1990-01-06
7 3180933.46 #1990-01-07
8 6582413.64 #1990-01-08
9 303242.34 #1990-01-09
10 135479.12 #1990-01-10
11 126554.49 #1990-01-11
12 1785095.72 #1990-01-12
13 12718084.46 #1990-01-13
14 9386100.13 #1990-01-14
15 755439.31 #1990-01-15
16 813225.58 #1990-01-16
17 507400.63 #1990-01-17
18 460786.19 #1990-01-18
19 412876.77 #1990-01-19
20 372173.99 #1990-01-20
21 344580.98 #1990-01-21
22 312718.43 #1990-01-22
23 287905.46 #1990-01-23
24 264692.55 #1990-01-24
25 243227.73 #1990-01-25
26 226346.33 #1990-01-26
27 212547.37 #1990-01-27
28 197450.75 #1990-01-28
29 235181.17 #1990-01-29
30 954548.85 #1990-01-30
31 569242.59 #1990-01-31
32 2734747.24 #1990-02-01
33 275844.8 #1990-02-02
34 274715.7 #1990-02-03
35 4651694.54 #1990-02-04
36 390391.47 #1990-02-05
37 700503.32 #1990-02-06
38 336143.21 #1990-02-07
39 313857.8 #1990-02-08
40 288258.01 #1990-02-09
41 265666.78 #1990-02-10
42 241860.34 #1990-02-11
43 221214.63 #1990-02-12
44 205623.06 #1990-02-13
45 190656.6 #1990-02-14
46 182150.08 #1990-02-15
47 7681846.26 #1990-02-16
48 5265791.02 #1990-02-17
49 1536177.24 #1990-02-18
50 602493.08 #1990-02-19
51 540529.77 #1990-02-20
52 481851.24 #1990-02-21
53 444470.68 #1990-02-22
54 388656.6 #1990-02-23
55 350486.04 #1990-02-24
56 313013.24 #1990-02-25
57 283196.28 #1990-02-26
58 260688.73 #1990-02-27
59 242229.28 #1990-02-28
60 222601.84 #1990-03-01
61 896225.56 #1990-03-02
62 2408972.15 #1990-03-03
63 477640.92 #1990-03-04
64 1947732.12 #1990-03-05
65 326983.7 #1990-03-06
66 297407.98 #1990-03-07
67 332810.23 #1990-03-08
68 247851.52 #1990-03-09
69 665228.53 #1990-03-10
70 472388.11 #1990-03-11
71 219273.51 #1990-03-12
72 207003.91 #1990-03-13
73 218340.14 #1990-03-14
74 283562.54 #1990-03-15
75 168367.76 #1990-03-16
76 154122.31 #1990-03-17
77 141526.33 #1990-03-18
78 130409.81 #1990-03-19
79 120445.87 #1990-03-20
80 111993.18 #1990-03-21
81 103868.58 #1990-03-22
82 96913.44 #1990-03-23
83 90569.95 #1990-03-24
84 84859.38 #1990-03-25
85 80019.31 #1990-03-26
86 75494.61 #1990-03-27
87 71115.72 #1990-03-28
88 67249.88 #1990-03-29
89 63759.34 #1990-03-30
90 60513.71 #1990-03-31
91 57827.36 #1990-04-01
92 55138.82 #1990-04-02
93 52520.0 #1990-04-03
94 50026.2 #1990-04-04
95 47682.87 #1990-04-05
96 45652.69 #1990-04-06
97 60759.84 #1990-04-07
98 42033.22 #1990-04-08
99 40307.41 #1990-04-09
100 38729.36 #1990-04-10
101 37091.38 #1990-04-11
102 35673.58 #1990-04-12
103 34316.22 #1990-04-13
104 33044.98 #1990-04-14
105 31846.4 #1990-04-15
106 30780.42 #1990-04-16
107 29721.54 #1990-04-17
108 28720.16 #1990-04-18
109 27761.1 #1990-04-19
110 26861.25 #1990-04-20
111 26016.69 #1990-04-21
112 25188.52 #1990-04-22
