index,nseg,icalc,outseg,iupseg,iprior,nstrpts,flow,runoff,etsw,pptsw,roughch,roughbk,cdpth,fdpth,awdth,bwdth,hcond1,thickm1,elevup,width1,depth1,thts1,thti1,eps1,uhc1,hcond2,thickm2,elevdn,width2,depth2,thts2,thti2,eps2,uhc2,FID0
449,450,1,0,56,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
451,452,1,0,134,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0,0,0,5.004568577,0,0,0,0,0,0,0,0,5.004568577,0,0,0,0,0,1
452,453,1,0,185,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0,0,0,5.036546707,0,0,0,0,0,0,0,0,5.036546707,0,0,0,0,0,2
453,454,1,0,345,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3
454,455,1,0,357,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4
455,456,1,0,408,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0,0,0,5.004568577,0,0,0,0,0,0,0,0,5.004568577,0,0,0,0,0,5
475,476,1,0,189,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,6
476,477,1,0,187,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,7
477,478,1,0,192,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,8
479,480,1,0,172,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,9
480,481,1,0,174,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10
481,482,1,0,138,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,11
482,483,1,0,152,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,12
483,484,1,0,136,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,13
485,486,1,0,150,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,14
486,487,1,0,157,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,15
487,488,1,0,170,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,16
488,489,1,0,167,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,17
489,490,1,0,160,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,18
492,493,1,0,161,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,19
494,495,1,0,155,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,20
495,496,1,0,135,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,21
497,498,1,0,129,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,22
499,500,1,0,125,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,23
500,501,1,0,128,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,24
501,502,1,0,122,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,25
502,503,1,0,117,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,26
503,504,1,0,111,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,27
504,505,1,0,109,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,28
505,506,1,0,114,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,29
506,507,1,0,106,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,30
507,508,1,0,104,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,31
508,509,1,0,102,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,32
510,511,1,0,101,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,33
511,512,1,0,112,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,34
513,514,1,0,97,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,35
519,520,1,0,76,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,36
520,521,1,0,72,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,37
522,523,1,0,63,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,38
523,524,1,0,61,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,39
524,525,1,0,55,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,40
