Link Name,iseg,Diversion,ResRelease,AssocRes,AgDem,AssocDem
270_270_DWS,270,0,0,,0,
271_293,271,0,0,,0,
272_272_DWS,272,0,0,,0,
273_273_DWS,273,0,0,,0,
274_290,274,0,0,,0,
275_275_DWS,275,0,0,,0,
276_290,276,0,0,,0,
277_283,277,0,0,,0,
278_278_DWS,278,0,0,,0,
279_293,279,0,0,,0,
280_INF_280,280,0,0,,0,
281_281_DWS,281,0,0,,0,
282_282_DWS,282,0,0,,0,
283_280,283,0,0,,0,
284_284_DWS,284,0,0,,0,
285_298,285,0,0,,0,
286_286_DWS,286,0,0,,0,
287_287_DWS,287,0,0,,0,
288_288_DWS,288,0,0,,0,
289_289_DWS,289,0,0,,0,
290_298,290,0,0,,0,
291_283,291,0,0,,0,
292_292_DWS,292,0,0,,0,
293_293_DWS,293,0,0,,0,
294_288,294,0,0,,0,
295_295_DWS,295,0,0,,0,
296_296_DWS,296,0,0,,0,
297_291,297,0,0,,0,
298_310,298,0,0,,0,
299_305,299,0,0,,0,
300_300_DWS,300,0,0,,0,
301_306,301,0,0,,0,
302_302_DWS,302,0,0,,0,
303_291,303,0,0,,0,
304_303,304,0,0,,0,
305_310,305,0,0,,0,
306_305,306,0,0,,0,
307_303,307,0,0,,0,
308_308_DWS,308,0,0,,0,
309_309_DWS,309,0,0,,0,
310_310_DWS,310,0,0,,0,
311_307,311,0,0,,0,
312_307,312,0,0,,0,
313_313_DWS,313,0,0,,0,
314_314_DWS,314,0,0,,0,
315_315_DWS,315,0,0,,0,
316_316_DWS,316,0,0,,0,
317_329,317,0,0,,0,
318_318_DWS,318,0,0,,0,
319_319_DWS,319,0,0,,0,
320_320_DWS,320,0,0,,0,
321_321_DWS,321,0,0,,0,
322_322_DWS,322,0,0,,0,
323_323_DWS,323,0,0,,0,
324_324_DWS,324,0,0,,0,
325_326,325,0,0,,0,
326_330,326,0,0,,0,
327_327_DWS,327,0,0,,0,
328_336,328,0,0,,0,
329_294,329,0,0,,0,
330_330_DWS,330,0,0,,0,
331_335,331,0,0,,0,
332_332_DWS,332,0,0,,0,
333_339,333,0,0,,0,
334_294,334,0,0,,0,
335_335_DWS,335,0,0,,0,
336_336_DWS,336,0,0,,0,
337_329,337,0,0,,0,
338_338_DWS,338,0,0,,0,
339_339_DWS,339,0,0,,0,
340_329,340,0,0,,0,
341_341_DWS,341,0,0,,0,
342_342_DWS,342,0,0,,0,
343_341,343,0,0,,0,
344_344_DWS,344,0,0,,0,
345_345_DWS,345,0,0,,0,
346_354,346,0,0,,0,
347_351,347,0,0,,0,
348_348_DWS,348,0,0,,0,
349_354,349,0,0,,0,
350_350_DWS,350,0,0,,0,
351_351_DWS,351,0,0,,0,
352_352_DWS,352,0,0,,0,
353_375,353,0,0,,0,
354_363,354,0,0,,0,
355_355_DWS,355,0,0,,0,
356_356_DWS,356,0,0,,0,
357_357_DWS,357,0,0,,0,
358_345,358,0,0,,0,
359_INF_359,359,0,0,,0,
360_356,360,0,0,,0,
361_363,361,0,0,,0,
362_362_DWS,362,0,0,,0,
363_369,363,0,0,,0,
364_369,364,0,0,,0,
365_365_DWS,365,0,0,,0,
366_366_DWS,366,0,0,,0,
367_379,367,0,0,,0,
368_375,368,0,0,,0,
369_388,369,0,0,,0,
370_370_DWS,370,0,0,,0,
371_371_DWS,371,0,0,,0,
372_372_DWS,372,0,0,,0,
373_373_DWS,373,0,0,,0,
374_383,374,0,0,,0,
375_379,375,0,0,,0,
376_376_DWS,376,0,0,,0,
