193.55   0.00   0.00
193.81 72158.58 43827.49
194.08 144317.16 87695.46
194.34 203524.20 113312.08
194.60 256970.89 130834.98
194.87 310429.91 148398.36
195.13 363876.60 165921.26
195.40 417323.29 183444.16
195.66 470782.31 201007.54
195.93 524229.00 218530.44
196.19 577675.69 236053.34
196.45 631134.71 253616.72
196.72 695929.42 269520.88
196.98 773971.70 283563.48
197.25 852001.64 297565.62
197.51 930043.92 311608.22
197.77 1008086.20 325650.82
198.04 1086116.14 339652.96
198.30 1181180.45 361465.54
198.57 1283805.98 386717.94
198.83 1386431.52 411970.35
199.10 1489057.06 437222.75
199.36 1591682.59 462475.16
199.62 1694308.13 487727.57
199.89 1846272.86 528519.92
200.15 2002345.09 570607.26
200.42 2158429.65 612694.60
200.68 2314501.87 654781.95
200.94 2470574.10 696869.29
201.21 2638167.02 739725.54
201.47 2869074.48 786709.58
201.74 3099981.94 833693.63
202.00 3330889.39 880718.14
202.27 3561796.85 927702.19
202.53 3792704.30 974686.23
202.79 4049921.89 1020092.00
203.06 4349250.48 1062867.31
203.32 4648579.07 1105642.62
203.59 4947895.33 1148458.40
203.85 5247223.92 1191233.71
204.11 5546552.51 1234009.02
204.38 5884032.64 1282854.62
204.64 6245355.94 1335463.80
204.91 6606679.23 1388072.98
205.17 6968014.86 1440682.16
205.44 7329338.16 1493291.34
205.70 7690661.46 1545900.52
205.96 8135207.65 1600290.32
206.23 8594888.64 1655003.87
206.49 9054569.63 1709717.41
206.76 9514238.29 1764430.96
207.02 9973919.28 1819144.51
207.28 10438854.90 1873170.09
207.55 10966957.02 1918737.73
207.81 11495046.82 1964345.84
208.08 12023136.61 2009953.96
208.34 12551238.74 2055521.60
208.61 13079328.53 2101129.71
208.87 13629127.57 2152767.65
209.13 14227784.75 2218003.03
209.40 14826429.60 2283238.41
209.66 15425074.45 2348473.80
209.93 16023731.63 2413709.18
210.19 16622376.48 2478944.56
210.45 17290096.21 2554378.03
210.72 18017035.31 2638552.72
210.98 18743962.08 2722727.41
211.25 19470888.85 2806902.10
211.51 20197827.95 2891076.78
211.78 20924754.72 2975251.47
212.04 21750359.89 3075613.60
212.30 22605580.91 3180831.96
212.57 23460789.60 3286050.32
212.83 24315998.29 3391268.68
213.10 25171219.31 3496487.04
213.36 26026428.00 3601705.40
213.62 27151028.72 3708663.91
213.89 28275641.78 3815662.89
214.15 29400242.50 3922621.40
214.42 30524843.22 4029579.91
214.68 31649456.27 4136578.89
214.94 32774056.99 4243537.40
215.21 33898657.71 4350495.91
215.47 35023270.77 4457494.88
215.74 36147871.49 4564453.39
216.00 37272472.21 4671411.90
216.27 38397085.26 4778410.88
216.53 39662796.10 4877275.67
216.79 41093139.50 4966711.28
217.06 42523482.91 5056146.88
217.32 43953826.32 5145582.49
217.59 45384169.73 5235018.10
217.85 46814513.14 5324453.70
218.11 48244856.54 5413889.31
218.38 49675199.95 5503324.91
218.64 51105543.36 5592760.52
218.91 52535886.77 5682196.13
219.17 53966230.18 5771631.73
219.44 55396573.58 5861067.34
219.70 56996643.84 5914890.58
219.96 58610862.11 5965759.61
220.23 60225068.05 6016588.17
220.49 61839286.32 6067457.20
220.76 63453504.59 6118326.23
221.02 65067710.53 6169154.79
221.28 66681928.80 6220023.82
221.55 68296147.07 6270892.85
221.81 69910353.01 6321721.41
222.08 71524571.28 6372590.44
222.34 73138789.55 6423459.47
222.61 74822896.80 6472264.60
222.87 76618843.68 6517872.72
223.13 78414790.56 6563480.83
223.40 80210737.44 6609048.47
223.66 82006684.32 6654656.58
223.93 83802631.20 6700264.70
224.19 85598578.08 6745832.34
224.45 87394524.96 6791440.45
224.72 89190471.84 6837048.56
224.98 90986418.72 6882616.21
225.25 92782365.60 6928224.32
225.51 94578312.48 6973832.43
225.78 96455669.04 7010496.98
226.04 98347827.36 7045583.26
226.30 100239985.68 7080669.54
226.57 102132144.00 7115715.34
226.83 104024302.32 7150801.62
227.10 105916460.64 7185887.90
227.36 107808618.96 7220933.70
227.62 109700777.28 7256019.98
227.89 111592935.60 7291106.26
228.15 113485093.92 7326152.06
228.42 115377252.24 7361238.34
228.68 117307784.12 7398105.23
228.95 119324659.61 7439018.99
229.21 121341535.09 7479932.74
229.47 123358410.57 7520846.50
229.74 125375298.39 7561800.72
230.00 127392173.87 7602714.48
230.27 129409049.35 7643628.23
230.53 131425924.84 7684541.99
230.79 133442800.32 7725455.74
231.06 135459675.80 7766369.49
231.32 137476551.29 7807283.25
231.59 139493426.77 7848197.00
231.85 141510302.25 7889110.76
232.12 143527190.07 7930064.98
232.38 145544065.55 7970978.74
232.64 147560941.03 8011892.49
232.91 149577816.52 8052806.25
250 282148593.26 10742098.51
