date,STORAGE_IN_base,CONSTANT_HEAD_IN_base,WELLS_IN,HEAD_DEP_BOUNDS_IN_base,STREAM_LEAKAGE_IN_base,LAKE__SEEPAGE_IN_base,UZF_RECHARGE_IN_base,GW_ET_IN_base,SURFACE_LEAKAGE_IN_base,MNW2_IN,AG_WELLS_IN,TOTAL_IN_base,STORAGE_OUT_base,CONSTANT_HEAD_OUT_base,WELLS_OUT,HEAD_DEP_BOUNDS_OUT_base,STREAM_LEAKAGE_OUT_base,LAKE__SEEPAGE_OUT_base,UZF_RECHARGE_OUT_base,GW_ET_OUT_base,SURFACE_LEAKAGE_OUT_base,MNW2_OUT,AG_WELLS_OUT,TOTAL_OUT_base,IN-OUT_base,PERCENT_DISCREPANCY_base,day_base,year_base,month_base,date_base,STORAGE_IN_unimp,CONSTANT_HEAD_IN_unimp,HEAD_DEP_BOUNDS_IN_unimp,STREAM_LEAKAGE_IN_unimp,LAKE__SEEPAGE_IN_unimp,UZF_RECHARGE_IN_unimp,GW_ET_IN_unimp,SURFACE_LEAKAGE_IN_unimp,TOTAL_IN_unimp,STORAGE_OUT_unimp,CONSTANT_HEAD_OUT_unimp,HEAD_DEP_BOUNDS_OUT_unimp,STREAM_LEAKAGE_OUT_unimp,LAKE__SEEPAGE_OUT_unimp,UZF_RECHARGE_OUT_unimp,GW_ET_OUT_unimp,SURFACE_LEAKAGE_OUT_unimp,TOTAL_OUT_unimp,IN-OUT_unimp,PERCENT_DISCREPANCY_unimp,day_unimp,year_unimp,month_unimp,date_unimp
1990-01-15,1470494.0,0.0,0.0,6530827.0,3868366.5,232292.64,24743614.0,0.0,0.0,1117.1836,0.0,36846710.0,28946224.0,0.0,17903.771,4269895.0,2101635.0,106196.09,0.0,7089.692,924438.9,141496.7,0.0,36514880.0,331829.0,1.175,15,1990,1,1990-01-15,2863412.5,0.0,6543512.0,6247150.0,444214.3,27132654.0,0.0,0.0,43230940.0,31256252.0,0.0,4250019.0,3368127.0,685398.1,0.0,21029.969,925554.0,40506380.0,2724561.0,4.525,15,1990,1,1990-01-15
1990-02-15,1079961.4,0.0,0.0,6527738.5,951480.2,168924.27,1047919.5,0.0,0.0,1285.0093,0.0,9777309.0,1643529.0,0.0,17948.4,4263775.5,2653061.2,39241.13,0.0,427.8109,1005619.06,141710.45,0.0,9765312.0,11997.0,0.12,15,1990,2,1990-02-15,1322757.1,0.0,6503091.5,878795.5,5607.1606,995019.25,0.0,0.0,9705270.0,1456633.9,0.0,4291379.5,2726331.5,227113.69,0.0,402.4958,1001666.3,9703527.0,1743.0,0.02,15,1990,2,1990-02-15
1990-03-15,1349771.0,0.0,0.0,6523176.0,625285.25,156598.38,1204930.6,0.0,0.0,1372.0573,0.0,9861133.0,1171359.2,0.0,18055.873,4265023.0,3160116.2,26806.332,0.0,12253.674,1078632.5,136259.4,0.0,9868505.0,-7372.0,-0.07,15,1990,3,1990-03-15,1457093.1,0.0,6500618.0,623205.06,1604.2559,1200979.6,0.0,0.0,9783500.0,1102048.2,0.0,4294808.5,3144366.2,157223.64,0.0,12173.647,1069419.4,9780040.0,3460.0,0.04,15,1990,3,1990-03-15
1990-04-15,1323050.0,0.0,0.0,6527188.0,449107.7,161289.12,589803.0,0.0,0.0,1395.9457,0.0,9051834.0,551087.4,0.0,18040.004,4251447.0,2922853.2,17894.371,0.0,84438.945,1074599.4,142554.95,0.0,9062916.0,-11082.0,-0.12,15,1990,4,1990-04-15,1443402.2,0.0,6501208.5,431189.47,3122.6555,590322.06,0.0,0.0,8969245.0,521849.1,0.0,4282250.0,2912928.5,117775.92,0.0,83330.09,1061917.5,8980051.0,-10806.0,-0.12,15,1990,4,1990-04-15
1990-05-15,1294448.6,0.0,0.0,6546686.5,1901102.6,200711.17,969095.06,0.0,0.0,1486.5101,0.0,10913531.0,2511384.2,0.0,27140.172,4229586.0,2619602.5,7927.3594,0.0,192982.64,1035920.0,198538.42,825.59326,10823908.0,89623.0,0.76,15,1990,5,1990-05-15,1389564.6,0.0,6511126.5,1791515.1,13996.164,955584.8,0.0,0.0,10661788.0,2367794.8,0.0,4268478.5,2663815.5,77897.664,0.0,193169.81,1022774.0,10593931.0,67857.664,0.56333333,15,1990,5,1990-05-15
1990-06-15,946620.56,0.0,0.0,6548920.0,855909.94,187405.84,726676.56,0.0,0.0,1451.8861,0.0,9266985.0,962721.7,0.0,29971.482,4230192.0,2760393.5,10905.005,0.0,11101.841,1050906.2,203605.28,0.0,9259797.0,7188.0,0.08,15,1990,6,1990-06-15,1032577.25,0.0,6511020.5,844842.0,3798.2876,694079.8,0.0,0.0,9086318.0,914411.94,0.0,4270577.0,2769135.0,81565.555,0.0,10994.963,1036440.1,9083125.0,3193.0,0.04,15,1990,6,1990-06-15
1990-07-15,1439057.4,0.0,0.0,6558225.5,455545.47,181423.0,242331.83,0.0,0.0,1393.7253,0.0,8877977.0,117253.44,0.0,37475.547,4221457.5,2617855.5,5419.468,0.0,538328.6,1018793.25,222838.72,110366.99,8889789.0,-11812.0,-0.13,15,1990,7,1990-07-15,1430282.2,0.0,6514943.5,417208.12,3614.2698,239280.2,0.0,0.0,8605329.0,119070.375,0.0,4264255.5,2606712.2,66135.78,0.0,561108.7,1007837.0,8625120.0,-19791.0,-0.23,15,1990,7,1990-07-15
1990-08-15,1323281.9,0.0,0.0,6570850.5,479770.06,176640.7,187455.05,0.0,0.0,1390.2089,0.0,8739388.0,58480.797,0.0,42257.94,4211600.0,2507157.0,6982.061,0.0,590578.8,986691.44,250620.11,111260.94,8765629.0,-26241.0,-0.3,15,1990,8,1990-08-15,1331015.5,0.0,6520958.5,407586.06,3730.747,183887.67,0.0,0.0,8447178.0,70759.0,0.0,4254256.5,2506098.8,57148.504,0.0,605464.25,974926.4,8468653.0,-21475.0,-0.25,15,1990,8,1990-08-15
1990-09-15,1136575.8,0.0,0.0,6572101.5,483530.34,175263.08,160009.1,0.0,0.0,1381.526,0.0,8528862.0,49570.3,0.0,42204.156,4208175.0,2474316.0,10215.073,0.0,440179.03,974625.94,248072.84,107471.586,8554830.0,-25968.0,-0.3,15,1990,9,1990-09-15,1136150.9,0.0,6523454.0,407316.56,3970.0247,156370.64,0.0,0.0,8227262.0,60054.957,0.0,4250176.5,2475141.8,50499.46,0.0,451133.66,961683.0,8248689.0,-21427.0,-0.26,15,1990,9,1990-09-15
1990-10-15,1053797.8,0.0,0.0,6568872.0,506617.7,176056.83,150046.95,0.0,0.0,1378.1646,0.0,8456769.0,60077.55,0.0,38060.184,4207694.0,2464261.5,3872.646,0.0,397583.66,971886.56,234990.67,99116.195,8477542.0,-20773.0,-0.25,15,1990,10,1990-10-15,1080699.1,0.0,6522180.0,442803.66,3694.4177,141895.2,0.0,0.0,8191272.0,59500.53,0.0,4250199.0,2472080.8,45547.54,0.0,424887.97,958279.2,8210494.5,-19222.5,-0.23,15,1990,10,1990-10-15
