year,STORAGE_IN_base,CONSTANT_HEAD_IN_base,WELLS_IN,HEAD_DEP_BOUNDS_IN_base,STREAM_LEAKAGE_IN_base,LAKE__SEEPAGE_IN_base,UZF_RECHARGE_IN_base,GW_ET_IN_base,SURFACE_LEAKAGE_IN_base,MNW2_IN,AG_WELLS_IN,TOTAL_IN_base,STORAGE_OUT_base,CONSTANT_HEAD_OUT_base,WELLS_OUT,HEAD_DEP_BOUNDS_OUT_base,STREAM_LEAKAGE_OUT_base,LAKE__SEEPAGE_OUT_base,UZF_RECHARGE_OUT_base,GW_ET_OUT_base,SURFACE_LEAKAGE_OUT_base,MNW2_OUT,AG_WELLS_OUT,TOTAL_OUT_base,IN-OUT_base,PERCENT_DISCREPANCY_base,STORAGE_IN_unimp,CONSTANT_HEAD_IN_unimp,HEAD_DEP_BOUNDS_IN_unimp,STREAM_LEAKAGE_IN_unimp,LAKE__SEEPAGE_IN_unimp,UZF_RECHARGE_IN_unimp,GW_ET_IN_unimp,SURFACE_LEAKAGE_IN_unimp,TOTAL_IN_unimp,STORAGE_OUT_unimp,CONSTANT_HEAD_OUT_unimp,HEAD_DEP_BOUNDS_OUT_unimp,STREAM_LEAKAGE_OUT_unimp,LAKE__SEEPAGE_OUT_unimp,UZF_RECHARGE_OUT_unimp,GW_ET_OUT_unimp,SURFACE_LEAKAGE_OUT_unimp,TOTAL_OUT_unimp,IN-OUT_unimp,PERCENT_DISCREPANCY_unimp
1990,1207270.1,0.0,0.0,6547000.5,1302154.0,186152.36,3799960.0,0.0,0.0,1370.7997,0.0,13043907.0,4720301.0,0.0,27485.793,4234840.5,2567947.0,24254.982,0.0,189779.52,1006122.7,189392.03,28775.102,12988898.0,55009.465,0.22533332,1456016.5,0.0,6516525.0,1570713.5,64835.56,4108305.5,0.0,0.0,13716396.0,4978755.5,0.0,4264555.5,2749481.2,165402.67,0.0,197124.44,994978.4,13350299.0,366097.53,0.588
1991,1099232.9,0.0,0.0,6542478.0,1766984.9,210456.95,1136066.9,0.0,0.0,1500.9174,0.0,10756720.0,2414667.2,0.0,24741.98,4234712.5,2623878.0,10528.697,0.0,136001.62,1041258.4,186037.31,28982.352,10700808.0,55911.734,0.22588235,997195.94,0.0,6508269.0,1710488.6,14935.337,909342.2,0.0,0.0,10140231.0,2116999.0,0.0,4269039.0,2481477.0,32347.562,0.0,159599.31,1016703.9,10076165.0,64065.266,0.27266663
1992,852463.9,0.0,0.0,6540334.5,1709228.6,193615.77,1216347.1,0.0,0.0,1534.1868,0.0,10513524.0,2294721.8,0.0,23990.174,4236541.5,2543159.8,13191.993,0.0,124835.02,1061139.5,175657.05,25392.46,10498629.0,14895.526,0.054210525,883086.2,0.0,6509804.5,1184544.5,8618.603,870114.25,0.0,0.0,9456167.0,1426922.5,0.0,4269495.5,2532987.0,25167.393,0.0,159862.28,1027725.06,9442160.0,14007.833,0.084
1993,1020835.94,0.0,0.0,6530488.0,2306650.2,223864.66,1939836.8,0.0,0.0,1675.9495,0.0,12023351.0,3369537.0,0.0,26357.168,4250148.5,2785613.2,21284.357,0.0,167859.75,1194659.8,172872.03,29522.21,12017854.0,5497.6,-0.010666672,1014665.1,0.0,6501081.5,2062873.4,23264.547,1786118.4,0.0,0.0,11388003.0,2957471.8,0.0,4282627.0,2749786.2,27249.87,0.0,186861.7,1165413.1,11369409.0,18593.928,0.11857142
1994,919081.06,0.0,0.0,6546806.0,615109.44,171303.25,791874.4,0.0,0.0,1429.6731,0.0,9045604.0,536946.06,0.0,28032.715,4234954.0,2704380.0,20261.219,0.0,191576.72,1080451.1,198216.84,42922.758,9037742.0,7862.077,0.06,833622.8,0.0,6509638.5,773718.5,4390.8125,823819.6,0.0,0.0,8945190.0,783842.7,0.0,4273083.0,2610408.5,33898.535,0.0,186155.25,1049836.8,8937225.0,7965.5713,0.07642857
1995,1197949.0,0.0,0.0,6520328.0,3281979.2,289116.0,2779748.0,0.0,0.0,1687.3699,0.0,14070807.0,5061462.0,0.0,25799.438,4262752.0,2937822.8,24403.467,0.0,157458.47,1277807.8,177854.81,27018.055,13952379.0,118428.72,0.54833335,1259129.0,0.0,6490885.5,2730587.0,23115.072,2953500.8,0.0,0.0,13457218.0,4591619.0,0.0,4299260.5,2997922.8,35353.31,0.0,155601.06,1233105.6,13312862.0,144355.27,0.6910526
1996,1053355.9,0.0,0.0,6536779.0,2062395.6,221322.69,2136125.0,0.0,0.0,1617.1019,0.0,12011595.0,3147488.2,0.0,28553.402,4246120.5,3129825.0,14397.594,0.0,226848.95,1246261.4,197416.77,36062.516,12272974.0,-261379.44,-1.175,938244.2,0.0,6502048.0,2608340.5,22807.617,2019524.8,0.0,0.0,12090965.0,3690315.5,0.0,4280145.0,2705651.2,26455.912,0.0,171414.8,1199082.9,12073065.0,17899.412,0.097647056
1997,1157237.8,0.0,0.0,6525986.0,1971292.1,223516.36,2708654.2,0.0,0.0,1643.4458,0.0,12588330.0,3386361.2,0.0,24307.576,4255626.0,3421681.2,30438.504,0.0,114262.086,1299148.0,181037.92,22067.133,12734930.0,-146600.19,-0.5692308,976987.6,0.0,6505957.5,1739695.2,15404.336,1782798.6,0.0,0.0,11020843.0,2602279.2,0.0,4274524.0,2746265.0,27725.895,0.0,188873.86,1151404.2,10991072.0,29771.219,0.23312502
1998,1468226.2,0.0,0.0,6513207.0,1431493.1,183642.14,2656094.5,0.0,0.0,1639.8052,0.0,12254303.0,2637981.5,0.0,26127.48,4288895.0,3579714.0,34715.715,0.0,125299.05,1447385.2,177281.66,21576.66,12338976.0,-84673.32,-0.38680005,1239328.0,0.0,6495348.5,1568147.4,11726.02,2210605.2,0.0,0.0,11525155.0,2541247.0,0.0,4299863.5,3144372.0,39075.887,0.0,175751.05,1299344.0,11499653.0,25501.6,0.2
1999,1094309.8,0.0,0.0,6528651.5,1837811.8,190096.72,2528125.5,0.0,0.0,1658.8512,0.0,12180654.0,2981215.2,0.0,25477.785,4257383.0,3232369.2,22676.69,0.0,165431.34,1285027.0,181863.61,27710.348,12179154.0,1499.762,-0.019047616,1013974.7,0.0,6506124.0,775652.06,4581.5083,1336716.6,0.0,0.0,9637049.0,928122.8,0.0,4280244.5,2890920.8,32821.02,0.0,300533.34,1203284.5,9635927.0,1121.9584,0.009166667
