,HOB_id,well_id,source,num_obs,month_mode,depth_to_water_m,depth_to_well_screen_top_m,depth_to_well_screen_bottom_m,elev_land_obs_m,elev_land_model_m,elev_botm_lyr1,elev_botm_lyr2,elev_botm_lyr3,ibound_lyr1,ibound_lyr2,ibound_lyr3
0,HO_0,007N010W10H001M,NWIS,1,6,3.5996880000000004,3.3528000000000002,6.7056000000000004,64.31280000000001,71.8499984741211,71.8499984741211,71.8499984741211,21.849998474121094,0,0,1
1,HO_1,007N010W28P001M,NWIS,1,7,5.230368,,24.384,326.7456,319.8599853515625,319.8599853515625,319.8599853515625,269.8599853515625,0,0,1
2,HO_2,383971N1228879W001,DWR,9,10,18.653760000000002,,,110.15776800000002,101.41000366210938,101.41000366210938,91.41000366210938,41.410003662109375,0,1,1
3,HO_3,384387N1229005W001,DWR,9,10,20.645120000000002,,,67.22364000000002,50.099998474121094,30.099998474121094,10.099998474121094,-19.900001525878906,1,1,1
4,HO_4,384563N1230535W001,DWR,955,10,4.941212177500001,7.315200000000001,10.3632,6.117335999999999,0.3499999940395355,-105.75,-125.75,-155.75,1,1,1
5,HO_5,384773N1229923W001,DWR,14,3,12.606527999999999,32.308800000000005,41.4528,15.145512,1.7300000190734863,-28.270000457763672,-48.27000045776367,-78.2699966430664,1,1,1
6,HO_6,006N009W05G001M,NWIS,1,4,9.744456,18.288,54.864000000000004,69.7992,74.87999725341797,54.87999725341797,34.87999725341797,-15.120002746582031,1,1,1
7,HO_7,383588N1228706W001,DWR,9,10,25.896916363636365,,,216.173304,199.3300018310547,199.3300018310547,199.3300018310547,149.3300018310547,0,0,1
8,HO_8,383998N1228713W001,DWR,9,10,7.516368,,,50.103024,53.7400016784668,33.7400016784668,-34.65999984741211,-84.65999603271484,1,1,1
9,HO_9,384111N1228448W001,DWR,8,3,4.887883636363636,17.6784,23.1648,56.96712,54.27000045776367,54.27000045776367,-165.72999572753906,-215.72999572753906,0,1,1
10,HO_10,384351N1228597W001,DWR,9,10,19.25066,,,67.34555999999999,67.19000244140625,67.19000244140625,-53.909996032714844,-103.90999603271484,0,1,1
11,HO_11,384505N1228683W001,DWR,8,3,8.93064,60.0456,68.58,60.255911999999995,49.040000915527344,29.040000915527344,-69.26000213623047,-119.26000213623047,1,1,1
12,HO_12,009N009W20E002M,NWIS,49,4,5.5166556073619635,,9.144,32.30880000000001,25.6299991607666,5.629999160766602,-14.370000839233398,-64.37000274658203,1,1,1
13,HO_13,008N009W20N001M,NWIS,1,8,4.913376,,27.432000000000002,20.4216,17.25,-2.75,-22.75,-52.75,1,1,1
14,HO_14,009N010W34M001M,NWIS,1,8,37.341048,33.528,51.2064,417.8808,362.2300109863281,362.2300109863281,362.2300109863281,312.2300109863281,0,0,1
15,HO_15,008N011W27N001M,NWIS,1,7,5.145024,3.3528000000000002,9.144,19.2024,18.639999389648438,18.639999389648438,-0.09147796034812927,-50.09147644042969,0,1,1
16,HO_16,386493N1228910W001,DWR,14,3,5.7363360000000005,,,64.004952,65.52999877929688,65.52999877929688,-154.47000122070312,-204.47000122070312,0,1,1
17,HO_17,385004N1229008W001,DWR,2367,10,13.087635169443317,6.096,7.62,19.293839999999996,17.15999984741211,-64.54000091552734,-84.54000091552734,-114.54000091552734,1,1,1
18,HO_18,009N008W17L001M,NWIS,1,8,25.08504,18.288,60.96,63.3984,49.47999954223633,29.479999542236328,-147.6199951171875,-197.6199951171875,1,1,1
19,HO_19,009N008W19A001M,NWIS,1,6,6.61416,6.096,15.24,45.415200000000006,44.04999923706055,24.049999237060547,4.049999237060547,-25.950000762939453,1,1,1
20,HO_20,008N009W22E001M,NWIS,45,4,4.966620750000001,,13.716000000000001,21.336000000000006,22.139999389648438,11.158082008361816,-164.4600067138672,-214.4600067138672,1,1,1
21,HO_21,009N009W22M001M,NWIS,1,7,5.428488,,29.8704,33.2232,44.529998779296875,44.529998779296875,44.529998779296875,-5.470001220703125,0,0,1
22,HO_22,009N009W21R001M,NWIS,1,9,8.41248,,30.48,27.127200000000002,23.899999618530273,-6.168562412261963,-196.10000610351562,-246.10000610351562,1,1,1
23,HO_23,385214N1228597W001,DWR,1786,9,7.978927570469799,,12.192,20.84606478882336,22.459999084472656,2.4599990844726562,-98.23999786376953,-148.24000549316406,1,1,1
