MOD_Name,TSDate,TSValue
LMendocino,1910-01-02,67284.0
LMendocino,1910-01-03,68078.0
LMendocino,1910-01-04,68838.0
LMendocino,1910-01-05,69567.0
LMendocino,1910-01-06,69631.0
LMendocino,1910-01-07,69646.0
LMendocino,1910-01-08,69636.0
LMendocino,1910-01-09,69680.0
LMendocino,1910-01-10,69625.0
LMendocino,1910-01-11,69570.0
LMendocino,1910-01-12,69625.0
LMendocino,1910-01-13,69616.0
LMendocino,1910-01-14,69791.0
LMendocino,1910-01-15,69931.0
LMendocino,1910-01-16,69798.0
LMendocino,1910-01-17,69554.0
LMendocino,1910-01-18,69722.0
LMendocino,1910-01-19,69703.0
LMendocino,1910-01-20,69701.0
LMendocino,1910-01-21,69741.0
LMendocino,1910-01-22,70383.0
LMendocino,1910-01-23,70745.0
LMendocino,1910-01-24,71253.0
LMendocino,1910-01-25,70089.0
LMendocino,1910-01-26,68090.0
LMendocino,1910-01-27,69377.0
LMendocino,1910-01-28,69966.0
LMendocino,1910-01-29,69932.0
LMendocino,1910-01-30,69867.0
LMendocino,1910-01-31,69893.0
LMendocino,1910-02-01,69863.0
LMendocino,1910-02-02,69793.0
LMendocino,1910-02-03,68409.0
LMendocino,1910-02-04,68409.0
LMendocino,1910-02-05,68409.0
LMendocino,1910-02-06,68409.0
LMendocino,1910-02-07,68409.0
LMendocino,1910-02-08,68409.0
LMendocino,1910-02-09,68409.0
LMendocino,1910-02-10,68409.0
LMendocino,1910-02-11,68409.0
LMendocino,1910-02-12,68409.0
LMendocino,1910-02-13,68409.0
LMendocino,1910-02-14,68409.0
LMendocino,1910-02-15,68409.0
LMendocino,1910-02-16,68409.0
LMendocino,1910-02-17,68409.0
LMendocino,1910-02-18,68409.0
LMendocino,1910-02-19,68409.0
LMendocino,1910-02-20,68409.0
LMendocino,1910-02-21,68409.0
LMendocino,1910-02-22,68409.0
LMendocino,1910-02-23,68409.0
LMendocino,1910-02-24,68409.0
LMendocino,1910-02-25,68409.0
LMendocino,1910-02-26,68409.0
LMendocino,1910-02-27,68409.0
LMendocino,1910-02-28,68409.0
LMendocino,1910-03-01,68409.0
LMendocino,1910-03-02,68987.0
LMendocino,1910-03-03,69567.0
LMendocino,1910-03-04,70149.0
LMendocino,1910-03-05,70731.0
LMendocino,1910-03-06,71316.0
LMendocino,1910-03-07,71901.0
LMendocino,1910-03-08,72272.0
LMendocino,1910-03-09,72643.0
LMendocino,1910-03-10,72961.0
LMendocino,1910-03-11,73243.0
LMendocino,1910-03-12,73529.0
LMendocino,1910-03-13,73791.0
LMendocino,1910-03-14,74059.0
LMendocino,1910-03-15,74345.0
LMendocino,1910-03-16,74658.0
