,obsname,well_id,num_meas,min,max,mean,std,median,grid_top_elev,grid_bot_elev,layer,row,col
0,HO_0,007N010W10H001M,1,60.713112,60.713112,60.713112,0.0,60.713112,71.8499984741211,21.849998474121094,2,346,128
1,HO_1,007N010W28P001M,1,321.51523199999997,321.51523199999997,321.51523199999997,0.0,321.51523199999997,319.8599853515625,269.8599853515625,2,365,121
2,HO_2,383971N1228879W001,9,90.437208,93.637608,92.14747466666667,1.1789492077646502,92.29648800000001,101.41000366210938,41.410003662109375,1,372,146
3,HO_3,384387N1229005W001,9,24.09444,59.908440000000006,43.85225333333333,13.997373982185215,46.13148,50.099998474121094,-19.900001525878906,0,357,142
4,HO_4,384563N1230535W001,955,0.3773424,5.503164,1.1754546571727749,0.7031060233910447,0.9442704,0.3499999940395355,-155.75,0,350,98
5,HO_5,384773N1229923W001,14,0.19507200000000002,2.78892,2.380488,0.6304793709932149,2.569464,1.7300000190734863,-78.2699966430664,1,343,115
6,HO_6,006N009W05G001M,1,60.05474400000001,60.05474400000001,60.05474400000001,0.0,60.05474400000001,74.87999725341797,-15.120002746582031,1,373,148
7,HO_7,383588N1228706W001,9,189.625224,191.08826399999998,190.30933066666668,0.4421902593027315,190.387224,199.3300018310547,149.3300018310547,2,386,151
8,HO_8,383998N1228713W001,9,39.678864000000004,44.55566400000001,42.33062400000001,2.003710679314758,42.665904,53.7400016784668,-84.65999603271484,0,371,151
9,HO_9,384111N1228448W001,8,50.352959999999996,54.07152000000001,52.02174000000001,1.1292778299426616,51.8922,54.27000045776367,-215.72999572753906,1,367,158
10,HO_10,384351N1228597W001,9,45.15612,63.444120000000005,48.61052,5.32331646280775,46.802040000000005,67.19000244140625,-103.90999603271484,1,358,154
11,HO_11,384505N1228683W001,8,49.587912,52.635912000000005,51.31384200000001,1.0091754356404044,51.660552,49.040000915527344,-119.26000213623047,1,352,151
12,HO_12,009N009W20E002M,49,25.176479999999998,27.98064,26.004416326530617,0.4674056251383753,26.029920000000004,25.6299991607666,-64.37000274658203,2,292,146
13,HO_13,008N009W20N001M,1,15.508224000000002,15.508224000000002,15.508224000000002,0.0,15.508224000000002,17.25,-52.75,2,328,146
14,HO_14,009N010W34M001M,1,380.539752,380.539752,380.539752,0.0,380.539752,362.2300109863281,312.2300109863281,2,303,124
15,HO_15,008N011W27N001M,1,14.057376,14.057376,14.057376,0.0,14.057376,18.639999389648438,-50.09147644042969,1,333,93
16,HO_16,386493N1228910W001,14,58.716671999999996,61.28004000000001,60.51520971428572,0.5873579992663809,60.51804,65.52999877929688,-204.47000122070312,1,279,145
17,HO_17,385004N1229008W001,2367,1.9507200000000002,16.148304,6.116609733840305,2.1968760848346784,5.69976,17.15999984741211,-114.54000091552734,0,336,143
18,HO_18,009N008W17L001M,1,38.31336,38.31336,38.31336,0.0,38.31336,49.47999954223633,-197.6199951171875,1,288,179
19,HO_19,009N008W19A001M,1,38.80104,38.80104,38.80104,0.0,38.80104,44.04999923706055,-25.950000762939453,0,290,176
20,HO_20,008N009W22E001M,45,8.382,21.06168,17.394597333333337,2.383457371062652,16.64208,22.139999389648438,-214.4600067138672,2,324,157
21,HO_21,009N009W22M001M,1,27.794712,27.794712,27.794712,0.0,27.794712,44.529998779296875,-5.470001220703125,2,292,156
22,HO_22,009N009W21R001M,1,18.71472,18.71472,18.71472,0.0,18.71472,23.899999618530273,-246.10000610351562,2,294,155
23,HO_23,385214N1228597W001,1786,4.294632,12.057888000000002,5.36551932362822,0.9207125040803982,4.9967388,22.459999084472656,-148.24000549316406,2,326,154
24,HO_24,385320N1228578W001,1939,11.679936000000001,19.619976,12.701871766477566,0.9874921708426097,12.3873768,18.90999984741211,-134.58999633789062,2,322,154
25,HO_25,385363N1228583W001,1554,12.180417600000002,17.7884328,12.933802783011584,1.030028497599587,12.4730256,18.920000076293945,-136.17999267578125,0,321,154
