variable,summary_category,count,mean,median,std,min,max
num_well,upland,31.0,,,,,
num_well,"valley, |residual| <= 5 m",79.0,,,,,
num_well,"valley, |residual| = 5-10 m",32.0,,,,,
num_well,"valley, |residual| > 10 m",29.0,,,,,
num_obs,upland,,6.419354838709677,2.0,6.786133870122649,1.0,22.0
num_obs,"valley, |residual| <= 5 m",,137.1772151898734,8.0,475.2396361646291,1.0,2367.0
num_obs,"valley, |residual| = 5-10 m",,98.84375,7.5,346.7875718068302,1.0,1763.0
num_obs,"valley, |residual| > 10 m",,77.20689655172414,3.0,382.34860489483236,1.0,2065.0
elev_land_obs_m,upland,,243.31013961290324,249.3264,109.45257306112028,19.2024,571.1952
elev_land_obs_m,"valley, |residual| <= 5 m",,149.73681267851117,176.381664,86.31407949548405,19.01952,292.30319999999995
elev_land_obs_m,"valley, |residual| = 5-10 m",,133.36076325,148.045932,81.24327675488743,6.117335999999999,256.62331200000006
elev_land_obs_m,"valley, |residual| > 10 m",,196.00994317241378,231.98023200000003,95.4844028907265,14.380464000000003,329.369928
elev_land_model_m,upland,,231.92064420638545,244.75,103.48282135038112,18.63999938964844,552.8099975585938
elev_land_model_m,"valley, |residual| <= 5 m",,148.90177171441573,176.30999755859375,85.86673388697939,17.15999984741211,291.1600036621094
elev_land_model_m,"valley, |residual| = 5-10 m",,131.73781125526875,145.64999389648438,82.38927322412384,0.3499999940395355,255.82000732421875
elev_land_model_m,"valley, |residual| > 10 m",,183.86964039966978,219.7400054931641,91.88427636938006,1.7300000190734863,318.44000244140625
diff_elev_land_model_obs_m,upland,,14.04081886121787,7.537198474121084,15.684967862222685,0.16519267578124186,55.6507890136719
diff_elev_land_model_obs_m,"valley, |residual| <= 5 m",,2.121453963270184,1.6139342956492975,1.8995622478201735,0.046001525878878624,7.7832073242187505
diff_elev_land_model_obs_m,"valley, |residual| = 5-10 m",,3.7538982985490015,3.004403356933622,2.5869799313609043,0.15555755859374187,11.215911084472658
diff_elev_land_model_obs_m,"valley, |residual| > 10 m",,13.54840230257969,13.415511980926514,10.831802367642421,0.17079267578125723,36.80587016894523
elev_well_screen_top_m,upland,,239.29311247645788,230.27039267578124,123.24779422777574,15.28719938964844,543.6659975585937
elev_well_screen_top_m,"valley, |residual| <= 5 m",,113.9572267147373,135.36752861035157,76.4373426919943,-15.625999694824216,272.87200366210936
elev_well_screen_top_m,"valley, |residual| = 5-10 m",,106.58353574247407,127.55242342236328,97.41922214953,-61.85199992370606,234.2011938964844
elev_well_screen_top_m,"valley, |residual| > 10 m",,170.81777562671238,187.22399755859374,110.25018159788769,-30.57879998092652,311.42960244140625
elev_well_screen_bottom_m,upland,,193.81020322374135,210.61079267578125,101.84226738083751,-16.34800274658204,500.9939975585937
elev_well_screen_bottom_m,"valley, |residual| <= 5 m",,117.4434112511722,142.0852003051758,92.88658608898447,-93.65479969482422,280.18720366210937
elev_well_screen_bottom_m,"valley, |residual| = 5-10 m",,100.1394418702448,122.98499542236328,86.5033568446203,-67.94799992370606,228.1051938964844
elev_well_screen_bottom_m,"valley, |residual| > 10 m",,141.2862334627627,171.39099755859377,95.31696141273548,-39.72279998092652,305.33360244140624
depth_to_water_m,upland,,17.243760500214037,14.145768,14.908936752222493,0.12192,52.48656
depth_to_water_m,"valley, |residual| <= 5 m",,6.504100398829279,5.188712,5.47527687268594,0.2110071578947369,42.883420363636354
depth_to_water_m,"valley, |residual| = 5-10 m",,8.877741360125249,7.563120933333334,6.503216573500368,2.4307800000000004,36.127944
depth_to_water_m,"valley, |residual| > 10 m",,23.417686187694326,18.288,18.472472124251468,1.353312,90.111072
sim_mean,upland,,216.63928967132907,239.01133728,101.2733142221827,21.95844841,548.645080566
sim_mean,"valley, |residual| <= 5 m",,143.76545570471364,170.024612427,86.58595057823118,8.38765144348,291.296875
sim_mean,"valley, |residual| = 5-10 m",,126.26496426018252,145.6489486695,81.27608560716105,1.39554810524,247.225067139
sim_mean,"valley, |residual| > 10 m",,174.5620724826138,214.905441284,93.48840772740652,2.92544054985,296.559356689
obs_mean,upland,,214.44281242738714,230.069702148,104.40036645269687,13.4949998856,535.274780273
obs_mean,"valley, |residual| <= 5 m",,142.31039793881604,168.533798218,86.73623323732787,3.98280000687,290.564605713
obs_mean,"valley, |residual| = 5-10 m",,123.09889084101471,139.329948425,81.70519319367902,-4.59189987183,239.743499756
obs_mean,"valley, |residual| > 10 m",,160.44320717762517,194.573699951,92.9190346195917,-11.0349998474,311.560699463
mae,upland,,14.460629524664517,9.437347412000008,12.462298208490221,1.252670289000008,49.773696899000015
mae,"valley, |residual| <= 5 m",,2.4567844957912652,2.7141723633000083,1.4548769713950713,0.00831603999998265,4.970634460400007
mae,"valley, |residual| = 5-10 m",,6.592371083811563,6.155314445250007,1.3164589290521123,5.1292190551999965,9.4921875
mae,"valley, |residual| > 10 m",,19.49018714763,15.45806884800001,11.059901903567148,10.204238892000006,61.98255920400001
