,lkbd_lknc_mult,OBSERVATION NAME,SIMULATED EQUIVALENT,OBSERVED VALUE,resid
0,1,HO_13,15.0513362885,15.5081996918,-0.45686340329999986
1,1,HO_17,-17.6830368042,6.11660003662,-23.79963684082
2,1,HO_23,17.8273906708,5.3654999733,12.4618906975
3,1,HO_36,6.19724798203,4.74149990082,1.4557480812100003
4,1,HO_37,16.0795726776,12.4693002701,3.610272407500002
5,2,HO_13,15.0513362885,15.5081996918,-0.45686340329999986
6,2,HO_17,-17.6830368042,6.11660003662,-23.79963684082
7,2,HO_23,17.8273906708,5.3654999733,12.4618906975
8,2,HO_36,6.19724798203,4.74149990082,1.4557480812100003
9,2,HO_37,16.0795726776,12.4693002701,3.610272407500002
10,10,HO_13,15.0513362885,15.5081996918,-0.45686340329999986
11,10,HO_17,-17.6830368042,6.11660003662,-23.79963684082
12,10,HO_23,17.8273906708,5.3654999733,12.4618906975
13,10,HO_36,6.19724798203,4.74149990082,1.4557480812100003
14,10,HO_37,16.0795726776,12.4693002701,3.610272407500002
15,100,HO_13,15.0513362885,15.5081996918,-0.45686340329999986
16,100,HO_17,-17.6830368042,6.11660003662,-23.79963684082
17,100,HO_23,17.8273906708,5.3654999733,12.4618906975
18,100,HO_36,6.19724798203,4.74149990082,1.4557480812100003
19,100,HO_37,16.0795726776,12.4693002701,3.610272407500002
20,1000,HO_13,15.0513362885,15.5081996918,-0.45686340329999986
21,1000,HO_17,-17.6830368042,6.11660003662,-23.79963684082
22,1000,HO_23,17.8273906708,5.3654999733,12.4618906975
23,1000,HO_36,6.19724798203,4.74149990082,1.4557480812100003
24,1000,HO_37,16.0795726776,12.4693002701,3.610272407500002
