,lkbd_lknc_mult,hks_mult,vks_mult,OBSERVATION NAME,SIMULATED EQUIVALENT,OBSERVED VALUE,resid
0,1,1,1,HO_13,13.7434864,15.50819969,-1.8
1,1,1,1,HO_17,-17.72702408,6.116600037,-23.8
2,1,1,1,HO_23,17.7566433,5.365499973,12.4
3,1,1,1,HO_36,5.112179279,4.741499901,0.4
4,1,1,1,HO_37,15.64155769,12.46930027,3.2
5,1,1,2,HO_13,13.74372959,15.50819969,-1.8
6,1,1,2,HO_17,-17.71784019,6.116600037,-23.8
7,1,1,2,HO_23,17.54768562,5.365499973,12.2
8,1,1,2,HO_36,5.169547081,4.741499901,0.4
9,1,1,2,HO_37,15.6109848,12.46930027,3.1
10,1,1,10,HO_13,13.13251972,15.50819969,-2.4
11,1,1,10,HO_17,-17.69622421,6.116600037,-23.8
12,1,1,10,HO_23,17.29150009,5.365499973,11.9
13,1,1,10,HO_36,5.350533009,4.741499901,0.6
14,1,1,10,HO_37,15.58968544,12.46930027,3.1
15,1,1,100,HO_13,12.466115,15.50819969,-3.0
16,1,1,100,HO_17,-17.67436028,6.116600037,-23.8
17,1,1,100,HO_23,17.21356392,5.365499973,11.8
18,1,1,100,HO_36,5.488690376,4.741499901,0.7
19,1,1,100,HO_37,15.58079529,12.46930027,3.1
20,1,1,1000,HO_13,,15.50819969,
21,1,1,1000,HO_17,,6.116600037,
22,1,1,1000,HO_23,,5.365499973,
23,1,1,1000,HO_36,,4.741499901,
24,1,1,1000,HO_37,,12.46930027,
25,1,2,1,HO_13,13.7434864,15.50819969,-1.8
26,1,2,1,HO_17,-17.72702408,6.116600037,-23.8
27,1,2,1,HO_23,17.7566433,5.365499973,12.4
28,1,2,1,HO_36,5.112179279,4.741499901,0.4
29,1,2,1,HO_37,15.64155769,12.46930027,3.2
30,1,2,2,HO_13,13.74372959,15.50819969,-1.8
31,1,2,2,HO_17,-17.71784019,6.116600037,-23.8
32,1,2,2,HO_23,17.54768562,5.365499973,12.2
33,1,2,2,HO_36,5.169547081,4.741499901,0.4
34,1,2,2,HO_37,15.6109848,12.46930027,3.1
35,1,2,10,HO_13,13.13251972,15.50819969,-2.4
36,1,2,10,HO_17,-17.69622421,6.116600037,-23.8
37,1,2,10,HO_23,17.29150009,5.365499973,11.9
38,1,2,10,HO_36,5.350533009,4.741499901,0.6
39,1,2,10,HO_37,15.58968544,12.46930027,3.1
40,1,2,100,HO_13,12.466115,15.50819969,-3.0
41,1,2,100,HO_17,-17.67436028,6.116600037,-23.8
42,1,2,100,HO_23,17.21356392,5.365499973,11.8
43,1,2,100,HO_36,5.488690376,4.741499901,0.7
44,1,2,100,HO_37,15.58079529,12.46930027,3.1
45,1,2,1000,HO_13,,15.50819969,
46,1,2,1000,HO_17,,6.116600037,
47,1,2,1000,HO_23,,5.365499973,
48,1,2,1000,HO_36,,4.741499901,
49,1,2,1000,HO_37,,12.46930027,
50,1,10,1,HO_13,13.7434864,15.50819969,-1.8
51,1,10,1,HO_17,-17.72702408,6.116600037,-23.8
52,1,10,1,HO_23,17.7566433,5.365499973,12.4
53,1,10,1,HO_36,5.112179279,4.741499901,0.4
54,1,10,1,HO_37,15.64155769,12.46930027,3.2
55,1,10,2,HO_13,13.74372959,15.50819969,-1.8
56,1,10,2,HO_17,-17.71784019,6.116600037,-23.8
57,1,10,2,HO_23,17.54768562,5.365499973,12.2
58,1,10,2,HO_36,5.169547081,4.741499901,0.4
59,1,10,2,HO_37,15.6109848,12.46930027,3.1
60,1,10,10,HO_13,13.13251972,15.50819969,-2.4
