,lkbd_lknc_mult,hks_mult,vks_mult,OBSERVATION NAME,SIMULATED EQUIVALENT,OBSERVED VALUE,resid
0,1000,1000,1,HO_13,15.0513362885,15.5081996918,-0.45686340329999986
1,1000,1000,1,HO_17,-17.6830368042,6.11660003662,-23.79963684082
2,1000,1000,1,HO_23,17.8273906708,5.3654999733,12.4618906975
3,1000,1000,1,HO_36,6.19724798203,4.74149990082,1.4557480812100003
4,1000,1000,1,HO_37,16.0795726776,12.4693002701,3.610272407500002
5,1000,1000,2,HO_13,15.0515460968,15.5081996918,-0.4566535950000006
6,1000,1000,2,HO_17,-17.6725788116,6.11660003662,-23.78917884822
7,1000,1000,2,HO_23,17.6227855682,5.3654999733,12.2572855949
8,1000,1000,2,HO_36,6.26233482361,4.74149990082,1.5208349227899998
9,1000,1000,2,HO_37,16.0517673492,12.4693002701,3.582467079099999
10,1000,1000,10,HO_13,14.4799375534,15.5081996918,-1.0282621384000006
11,1000,1000,10,HO_17,-17.6493530273,6.11660003662,-23.765953063919998
12,1000,1000,10,HO_23,17.3722057343,5.3654999733,12.006705761
13,1000,1000,10,HO_36,6.46919345856,4.74149990082,1.7276935577400003
14,1000,1000,10,HO_37,16.0346069336,12.4693002701,3.5653066634999995
15,1000,1000,100,HO_13,13.8564224243,15.5081996918,-1.6517772675
16,1000,1000,100,HO_17,-17.6270656586,6.11660003662,-23.74366569522
17,1000,1000,100,HO_23,17.2960624695,5.3654999733,11.9305624962
18,1000,1000,100,HO_36,6.62865781784,4.74149990082,1.8871579170199997
19,1000,1000,100,HO_37,16.0276565552,12.4693002701,3.5583562851000003
20,1000,1000,1000,HO_13,,15.5081996918,
21,1000,1000,1000,HO_17,,6.11660003662,
22,1000,1000,1000,HO_23,,5.3654999733,
23,1000,1000,1000,HO_36,,4.74149990082,
24,1000,1000,1000,HO_37,,12.4693002701,
