Name	Group		Measured	Modelled	Residual	Weight	Weight*Measured	Weight*Modelled	Weight*Residual	Measurement_sd	Natural_weight														
hopland_0	head	1	199.28	213.6136	-14.33361	1	199.28	213.6136	-14.33361	97.58429	1.02E-02												1	213.6136	185.07
hopland_1	head	2	270.33	272.4098	-2.079756	1	270.33	272.4098	-2.079756	97.58429	1.02E-02												2	272.4098	245.59
hopland_2	head	3	379.96	375.3385	4.621507	1	379.96	375.3385	4.621507	97.58429	1.02E-02												3	375.3385	317.33
hopland_3	head	4	531.84	479.6285	52.21151	1	531.84	479.6285	52.21151	97.58429	1.02E-02												4	479.6285	424.77
hopland_4	head	5	651.69	572.2617	79.42834	1	651.69	572.2617	79.42834	97.58429	1.02E-02												5	572.2617	505.9
hopland_5	head	6	718.91	601.0855	117.8245	1	718.91	601.0855	117.8245	97.58429	1.02E-02												6	601.0855	544.59
hopland_6	head	7	735.75	645.6083	90.14172	1	735.75	645.6083	90.14172	97.58429	1.02E-02												7	645.6083	600.19
hopland_7	head	8	672.79	620.7125	52.07754	1	672.79	620.7125	52.07754	97.58429	1.02E-02												8	620.7125	558.13
hopland_8	head	9	529.05	536.7321	-7.682073	1	529.05	536.7321	-7.682073	97.58429	1.02E-02												9	536.7321	455.2
hopland_9	head	10	371.9	396.8542	-24.95421	1	371.9	396.8542	-24.95421	97.58429	1.02E-02												10	396.8542	323.07
hopland_10	head	11	237.08	270.0686	-32.98862	1	237.08	270.0686	-32.98862	97.58429	1.02E-02												11	270.0686	242.89
hopland_11	head	12	166.64	189.2965	-22.65654	1	166.64	189.2965	-22.65654	97.58429	1.02E-02												12	189.2965	170.86
hawkeye_0	head	1	185.07	112.5065	72.56351	1	185.07	112.5065	72.56351	97.58429	1.02E-02														
hawkeye_1	head	2	245.59	183.3777	62.21231	1	245.59	183.3777	62.21231	97.58429	1.02E-02														
hawkeye_2	head	3	317.33	308.6965	8.633458	1	317.33	308.6965	8.633458	97.58429	1.02E-02														
hawkeye_3	head	4	424.77	464.4103	-39.64028	1	424.77	464.4103	-39.64028	97.58429	1.02E-02														
hawkeye_4	head	5	505.9	588.0947	-82.19475	1	505.9	588.0947	-82.19475	97.58429	1.02E-02														
hawkeye_5	head	6	544.59	679.7157	-135.1257	1	544.59	679.7157	-135.1257	97.58429	1.02E-02														
hawkeye_6	head	7	600.19	688.8001	-88.61008	1	600.19	688.8001	-88.61008	97.58429	1.02E-02														
hawkeye_7	head	8	558.13	609.6621	-51.53207	1	558.13	609.6621	-51.53207	97.58429	1.02E-02														
hawkeye_8	head	9	455.2	434.0224	21.17756	1	455.2	434.0224	21.17756	97.58429	1.02E-02														
hawkeye_9	head	10	323.07	253.3808	69.68921	1	323.07	253.3808	69.68921	97.58429	1.02E-02														
hawkeye_10	head	11	242.89	135.047	107.843	1	242.89	135.047	107.843	97.58429	1.02E-02														
hawkeye_11	head	12	170.86	82.29917	88.56083	1	170.86	82.29917	88.56083	97.58429	1.02E-02														
sanel_0	head	1	168.5	200.7313	-32.23128	1	168.5	200.7313	-32.23128	97.58429	1.02E-02														
sanel_1	head	2	233.82	279.4906	-45.67063	1	233.82	279.4906	-45.67063	97.58429	1.02E-02														
sanel_2	head	3	363.4	378.8663	-15.46627	1	363.4	378.8663	-15.46627	97.58429	1.02E-02														
sanel_3	head	4	486.7	507.983	-21.28302	1	486.7	507.983	-21.28302	97.58429	1.02E-02														
sanel_4	head	5	591.93	595.8426	-3.912642	1	591.93	595.8426	-3.912642	97.58429	1.02E-02														
sanel_5	head	6	664.4	643.0703	21.32969	1	664.4	643.0703	21.32969	97.58429	1.02E-02														
sanel_6	head	7	686.67	671.8289	14.84112	1	686.67	671.8289	14.84112	97.58429	1.02E-02														
sanel_7	head	8	609.6	610.5428	-0.942802	1	609.6	610.5428	-0.942802	97.58429	1.02E-02														
sanel_8	head	9	494	505.7389	-11.73895	1	494	505.7389	-11.73895	97.58429	1.02E-02														
sanel_9	head	10	330.33	358.8509	-28.52091	1	330.33	358.8509	-28.52091	97.58429	1.02E-02														
sanel_10	head	11	209	238.8404	-29.84039	1	209	238.8404	-29.84039	97.58429	1.02E-02														
sanel_11	head	12	149.29	173.1789	-23.8889	1	149.29	173.1789	-23.8889	97.58429	1.02E-02														
