obsnme,val_vs_up,OF_zone,YF_zone,Fbrk_zone,K_zone_1,K_zone_2,K_zone_3,HOB_id,well_id,source,num_obs,month_mode,depth_to_water_m,depth_to_well_screen_top_m,depth_to_well_screen_bottom_m,elev_land_obs_m,elev_land_model_m,elev_botm_lyr1,elev_botm_lyr2,elev_botm_lyr3,ibound_lyr1,ibound_lyr2,ibound_lyr3,layer,row,col,roff,coff,sim_mean,obs_mean,error_mean,mse,mae,diff_elev_land_model_obs_m,elev_well_screen_top_m,elev_well_screen_bottom_m,summary_category
HO_0,upland,0.0,0.0,14.0,0.0,0.0,198.0,HO_0,007N010W10H001M,NWIS,1,6,3.5996880000000004,3.3528,6.7056,64.31280000000001,71.8499984741211,71.8499984741211,71.8499984741211,21.849998474121094,0,0,1,3,347,129,-0.3599,0.1744,70.6641921997,68.2502975464,2.413894653299991,2.413894653299991,2.413894653299991,7.537198474121084,68.49719847412109,65.14439847412109,upland
HO_1,upland,0.0,0.0,14.0,0.0,0.0,193.0,HO_1,007N010W28P001M,NWIS,1,7,5.230368,,24.384,326.7456,319.8599853515625,319.8599853515625,319.8599853515625,269.8599853515625,0,0,1,3,366,122,0.4825,0.0641,282.663970947,314.629608154,-31.965637206999986,31.965637206999986,31.965637206999986,6.8856146484375245,,295.4759853515625,upland
HO_2,valley,16.0,0.0,14.0,0.0,181.0,231.0,HO_2,383971N1228879W001,DWR,9,10,18.65376,,,110.15776800000002,101.41000366210938,101.41000366210938,91.41000366210938,41.410003662109375,0,1,1,2,373,147,0.2282,-0.2041,92.2311172485,83.3996963501,8.831420898399998,8.831420898399998,8.831420898399998,8.747764337890644,,,"valley, |residual| = 5-10 m"
HO_3,upland,14.0,18.0,14.0,112.0,180.0,197.0,HO_3,384387N1229005W001,DWR,9,10,20.64512,,,67.22364000000002,50.09999847412109,30.099998474121094,10.099998474121094,-19.900001525878903,1,1,1,1,358,143,-0.154,0.1118,41.354511261,26.7285995483,14.625911712699999,14.625911712699999,14.625911712699999,17.12364152587893,,,upland
HO_4,valley,14.0,18.0,14.0,91.0,136.0,233.0,HO_4,384563N1230535W001,DWR,955,10,4.941212177500001,7.315200000000001,10.3632,6.117335999999999,0.3499999940395355,-105.75,-125.75,-155.75,1,1,1,1,351,99,0.3474,-0.393,1.37186276913,-4.59189987183,5.96376264096,5.96376264096,5.96376264096,5.7673360059604635,-6.965200005960465,-10.013200005960465,"valley, |residual| = 5-10 m"
HO_5,valley,14.0,18.0,14.0,91.0,136.0,233.0,HO_5,384773N1229923W001,DWR,14,3,12.606528,32.308800000000005,41.4528,15.145512,1.7300000190734863,-28.270000457763672,-48.27000045776367,-78.2699966430664,1,1,1,2,344,116,-0.4132,0.4002,2.62347459793,-11.0349998474,13.65847444533,13.65847444533,13.65847444533,13.415511980926514,-30.57879998092652,-39.72279998092652,"valley, |residual| > 10 m"
HO_6,valley,16.0,18.0,14.0,113.0,181.0,231.0,HO_6,006N009W05G001M,NWIS,1,4,9.744456,18.288,54.864,69.7992,74.87999725341797,54.87999725341797,34.87999725341797,-15.120002746582031,1,1,1,2,374,149,0.156,0.2583,61.3180847168,65.1354980469,-3.8174133300999955,3.8174133300999955,3.8174133300999955,5.08079725341797,56.59199725341797,20.01599725341797,"valley, |residual| <= 5 m"
HO_7,valley,0.0,0.0,14.0,0.0,0.0,190.0,HO_7,383588N1228706W001,DWR,9,10,25.896916363636365,,,216.173304,199.3300018310547,199.3300018310547,199.3300018310547,149.3300018310547,0,0,1,3,387,152,0.3874,-0.1487,158.283340454,173.466003418,-15.182662964000002,15.182662964000002,15.182662964000002,16.843302168945314,,,"valley, |residual| > 10 m"
HO_8,valley,16.0,18.0,14.0,113.0,181.0,231.0,HO_8,383998N1228713W001,DWR,9,10,7.516368,,,50.103024,53.7400016784668,33.7400016784668,-34.65999984741211,-84.65999603271484,1,1,1,1,372,152,0.2233,-0.3737,51.4712944031,45.9676017761,5.503692627000007,5.503692627000007,5.503692627000007,3.636977678466799,,,"valley, |residual| = 5-10 m"
HO_9,valley,16.0,0.0,14.0,0.0,181.0,231.0,HO_9,384111N1228448W001,DWR,8,3,4.887883636363636,17.6784,23.1648,56.96712,54.27000045776367,54.27000045776367,-165.72999572753906,-215.72999572753903,0,1,1,2,368,159,0.0319,0.3324,46.9916877747,49.3246002197,-2.332912445000005,2.332912445000005,2.332912445000005,2.6971195422363294,36.591600457763676,31.105200457763672,"valley, |residual| <= 5 m"
HO_10,valley,16.0,0.0,14.0,0.0,181.0,231.0,HO_10,384351N1228597W001,DWR,9,10,19.25066,,,67.34555999999999,67.19000244140625,67.19000244140625,-53.90999603271485,-103.90999603271484,0,1,1,2,359,155,0.1621,-0.0172,40.0399780273,48.4550018311,-8.415023803799997,8.415023803799997,8.415023803799997,0.15555755859374187,,,"valley, |residual| = 5-10 m"
HO_11,valley,16.0,18.0,14.0,113.0,181.0,231.0,HO_11,384505N1228683W001,DWR,8,3,8.93064,60.0456,68.58,60.255912,49.040000915527344,29.040000915527344,-69.26000213623047,-119.26000213623048,1,1,1,2,353,152,0.4698,0.4727,45.6654968262,40.0979003906,5.567596435599995,5.567596435599995,5.567596435599995,11.215911084472658,-11.005599084472657,-19.539999084472655,"valley, |residual| = 5-10 m"
HO_12,valley,16.0,18.0,14.0,125.0,168.0,229.0,HO_12,009N009W20E002M,NWIS,49,4,5.516655607361964,,9.144,32.30880000000001,25.6299991607666,5.629999160766602,-14.370000839233398,-64.37000274658203,1,1,1,1,293,147,-0.4371,0.1376,26.5070838928,19.3255996704,7.181484222400002,7.181484222400002,7.181484222400002,6.678800839233411,,16.485999160766603,"valley, |residual| = 5-10 m"
HO_13,valley,14.0,18.0,14.0,88.0,180.0,231.0,HO_13,008N009W20N001M,NWIS,1,8,4.913376,,27.432,20.4216,17.25,-2.75,-22.75,-52.75,1,1,1,2,329,147,-0.4893,0.0111,11.9562225342,12.3366003036,-0.380377769399999,0.380377769399999,0.380377769399999,3.1716000000000015,,-10.181999999999999,"valley, |residual| <= 5 m"
HO_14,upland,0.0,0.0,14.0,0.0,0.0,196.0,HO_14,009N010W34M001M,NWIS,1,8,37.341048,33.528,51.2064,417.8808,362.2300109863281,362.2300109863281,362.2300109863281,312.2300109863281,0,0,1,3,304,125,0.0966,-0.4624,326.903839111,324.889007568,2.014831543000014,2.014831543000014,2.014831543000014,55.6507890136719,328.7020109863281,311.0236109863281,upland
HO_15,upland,19.0,0.0,14.0,0.0,153.0,193.0,HO_15,008N011W27N001M,NWIS,1,7,5.145024,3.3528,9.144,19.2024,18.63999938964844,18.63999938964844,-0.0914779603481292,-50.09147644042969,0,1,1,2,334,94,-0.4938,-0.0975,21.1727104187,13.4949998856,7.677710533099999,7.677710533099999,7.677710533099999,0.5624006103515597,15.28719938964844,9.495999389648441,upland
HO_16,valley,16.0,0.0,14.0,0.0,168.0,229.0,HO_16,386493N1228910W001,DWR,14,3,5.7363360000000005,,,64.004952,65.52999877929688,65.52999877929688,-154.47000122070312,-204.47000122070312,0,1,1,2,280,146,-0.0635,-0.2245,49.3508071899,62.0402984619,-12.689491271999998,12.689491271999998,12.689491271999998,1.525046779296872,,,"valley, |residual| > 10 m"
HO_17,valley,14.0,18.0,14.0,88.0,180.0,231.0,HO_17,385004N1229008W001,DWR,2367,10,13.087635169443317,6.096,7.62,19.29384,17.15999984741211,-64.54000091552734,-84.54000091552734,-114.54000091552734,1,1,1,1,337,144,-0.3118,-0.4852,8.30569458008,3.98280000687,4.322894573210001,4.322894573210001,4.322894573210001,2.13384015258789,11.06399984741211,9.539999847412108,"valley, |residual| <= 5 m"
HO_18,valley,16.0,18.0,14.0,111.0,161.0,225.0,HO_18,009N008W17L001M,NWIS,1,8,25.08504,18.288,60.96,63.3984,49.47999954223633,29.479999542236328,-147.6199951171875,-197.6199951171875,1,1,1,2,289,180,-0.4858,-0.4281,41.7027893066,24.3950004578,17.307788848800005,17.307788848800005,17.307788848800005,13.918400457763674,31.191999542236328,-11.480000457763673,"valley, |residual| > 10 m"
HO_19,valley,14.0,18.0,14.0,82.0,159.0,225.0,HO_19,009N008W19A001M,NWIS,1,6,6.61416,6.096,15.24,45.415200000000006,44.04999923706055,24.049999237060547,4.049999237060547,-25.950000762939453,1,1,1,1,291,177,0.2332,-0.1701,40.8269348145,37.435798645,3.391136169500001,3.391136169500001,3.391136169500001,1.365200762939459,37.95399923706054,28.809999237060545,"valley, |residual| <= 5 m"
HO_20,valley,16.0,17.0,14.0,130.0,179.0,230.0,HO_20,008N009W22E001M,NWIS,45,4,4.966620750000001,,13.716,21.33600000000001,22.13999938964844,11.158082008361816,-164.4600067138672,-214.4600067138672,1,1,1,2,325,158,0.117,-0.1679,20.4429683685,18.198600769,2.244367599500002,2.244367599500002,2.244367599500002,0.8039993896484319,,8.423999389648442,"valley, |residual| <= 5 m"
HO_21,valley,0.0,0.0,14.0,0.0,0.0,208.0,HO_21,009N009W22M001M,NWIS,1,7,5.428488,,29.8704,33.2232,44.52999877929688,44.52999877929688,44.52999877929688,-5.470001220703125,0,0,1,3,293,157,0.42,-0.0683,30.803735733,39.1015014648,-8.297765731800002,8.297765731800002,8.297765731800002,11.306798779296884,,14.659598779296882,"valley, |residual| = 5-10 m"
HO_22,valley,16.0,18.0,14.0,87.0,171.0,230.0,HO_22,009N009W21R001M,NWIS,1,9,8.41248,,30.48,27.1272,23.899999618530277,-6.168562412261963,-196.1000061035156,-246.1000061035156,1,1,1,2,295,156,0.0147,-0.4443,23.3969726562,15.4875001907,7.909472465499999,7.909472465499999,7.909472465499999,3.2272003814697214,,-6.580000381469723,"valley, |residual| = 5-10 m"
HO_23,valley,16.0,18.0,14.0,87.0,179.0,230.0,HO_23,385214N1228597W001,DWR,1786,9,7.978927570469799,,12.192,20.84606478882336,22.459999084472656,2.459999084472656,-98.23999786376952,-148.24000549316406,1,1,1,1,327,155,0.2422,-0.0659,13.9335212708,14.4813995361,-0.5478782652999996,0.5478782652999996,0.5478782652999996,1.6139342956492975,,10.267999084472656,"valley, |residual| <= 5 m"
HO_24,valley,16.0,18.0,14.0,87.0,179.0,230.0,HO_24,385320N1228578W001,DWR,1939,10,6.297956680875357,,59.436,19.01952,18.90999984741211,-1.0900001525878906,-84.59000396728516,-134.58999633789062,1,1,1,2,323,155,0.3207,0.4802,15.5468673706,12.5923995972,2.9544677733999993,2.9544677733999993,2.9544677733999993,0.1095201525878906,,-40.52600015258789,"valley, |residual| <= 5 m"
HO_25,valley,16.0,18.0,14.0,87.0,179.0,230.0,HO_25,385363N1228583W001,DWR,1554,6,7.319661760745487,17.3736,20.4216,20.25700799999999,18.920000076293945,-1.079999923706055,-86.18000030517578,-136.17999267578125,1,1,1,1,322,155,-0.2695,0.3325,15.8335752487,11.5967998505,4.236775398200001,4.236775398200001,4.236775398200001,1.337007923706043,1.5464000762939456,-1.5015999237060562,"valley, |residual| <= 5 m"
