obsnme,val_vs_up,OF_zone,YF_zone,Fbrk_zone,K_zone_1,K_zone_2,K_zone_3,HOB_id,well_id,source,num_obs,month_mode,depth_to_water_m,depth_to_well_screen_top_m,depth_to_well_screen_bottom_m,elev_land_obs_m,elev_land_model_m,elev_botm_lyr1,elev_botm_lyr2,elev_botm_lyr3,ibound_lyr1,ibound_lyr2,ibound_lyr3,layer,row,col,roff,coff,sim_mean,obs_mean,error_mean,mse,mae,diff_elev_land_model_obs_m,elev_well_screen_top_m,elev_well_screen_bottom_m,summary_category
HO_26,valley,16.0,18.0,14.0,87.0,179.0,230.0,HO_26,385363N1228583W002,DWR,1763,8,8.106961995015578,80.772,86.86800000000001,20.257007999999992,18.920000076293945,-1.079999923706055,-86.18000030517578,-136.17999267578125,1,1,1,2,322,155,-0.2695,0.3325,15.8787221909,10.7189998627,5.159722328199999,5.159722328199999,5.159722328199999,1.3370079237060466,-61.85199992370606,-67.94799992370606,"valley, |residual| = 5-10 m"
HO_27,valley,14.0,18.0,14.0,87.0,169.0,230.0,HO_27,385607N1228573W001,DWR,74,12,7.741801246753247,,14.0208,24.62479200000001,19.020000457763672,-0.979999542236328,-20.979999542236328,-50.97999954223633,1,1,1,1,313,156,-0.2983,-0.3786,16.7140922546,11.2937002182,5.420392036400001,5.420392036400001,5.420392036400001,5.604791542236338,,4.999200457763672,"valley, |residual| = 5-10 m"
HO_28,valley,14.0,18.0,14.0,128.0,169.0,230.0,HO_28,385678N1228595W001,DWR,88,3,6.844233758241758,,11.8872,24.335231999999998,25.280000686645508,5.280000686645508,-14.719999313354492,-44.720001220703125,1,1,1,1,310,155,0.0777,-0.0293,18.2933635712,18.4356002808,-0.1422367095999988,0.1422367095999988,0.1422367095999988,0.9447686866455101,,13.392800686645508,"valley, |residual| <= 5 m"
HO_29,valley,14.0,18.0,14.0,87.0,169.0,230.0,HO_29,385679N1228529W001,DWR,87,3,7.609873866666668,,11.8872,25.496520000000004,19.059999465942383,-0.9400005340576172,-20.940000534057617,-50.94000244140625,1,1,1,1,310,157,0.0248,-0.1082,17.4746665955,11.4598999023,6.0147666932,6.0147666932,6.0147666932,6.436520534057621,,7.172799465942383,"valley, |residual| = 5-10 m"
HO_30,valley,16.0,18.0,14.0,125.0,168.0,229.0,HO_30,385921N1228697W001,DWR,40,4,6.404658227848102,,16.154400000000003,27.227784,28.0,8.0,-41.70000076293945,-91.6999969482422,1,1,1,1,301,152,0.0963,-0.0087,25.7907333374,21.2189998627,4.5717334747,4.5717334747,4.5717334747,0.7722160000000002,,11.845599999999997,"valley, |residual| <= 5 m"
HO_31,valley,16.0,0.0,14.0,0.0,168.0,229.0,HO_31,386426N1228818W001,DWR,16,3,42.01684042105264,,60.3504,80.72628000000003,59.84999847412109,59.84999847412109,-113.8499984741211,-163.85000610351562,0,1,1,2,282,148,0.411,0.4626,41.2052383423,17.6492996216,23.5559387207,23.5559387207,23.5559387207,20.876281525878944,,-0.5004015258789138,"valley, |residual| > 10 m"
HO_32,valley,16.0,0.0,14.0,0.0,161.0,225.0,HO_32,385996N1227481W001,DWR,10,3,90.111072,,,102.937056,100.1999969482422,100.1999969482422,-119.8000030517578,-169.8000030517578,0,1,1,2,298,187,0.2488,0.2763,41.8067474365,10.0888996124,31.717847824099998,31.717847824099998,31.717847824099998,2.7370590517577966,,,"valley, |residual| > 10 m"
HO_33,valley,16.0,18.0,14.0,111.0,161.0,225.0,HO_33,386104N1227706W001,DWR,16,4,13.561060000000005,,62.1792,48.993552,44.93999862670898,24.939998626708984,-157.66000366210938,-207.66000366210935,1,1,1,2,294,181,0.2712,-0.2579,41.7133407593,31.2621002197,10.451240539600004,10.451240539600004,10.451240539600004,4.053553373291024,,-17.239201373291024,"valley, |residual| > 10 m"
HO_34,valley,16.0,18.0,14.0,82.0,161.0,225.0,HO_34,386350N1227869W001,DWR,47,4,4.219377931034483,67.056,145.0848,48.74056800000001,51.43000030517578,31.43000030517578,-117.87000274658205,-167.8699951171875,1,1,1,2,285,176,0.1835,-0.0095,41.6067314148,47.2574996948,-5.650768280000001,5.650768280000001,5.650768280000001,2.689432305175771,-15.625999694824216,-93.65479969482422,"valley, |residual| = 5-10 m"
HO_35,valley,16.0,0.0,14.0,0.0,161.0,225.0,HO_35,386389N1227710W001,DWR,50,3,42.883420363636354,33.8328,76.5048,81.57667200000003,82.80000305175781,82.80000305175781,-137.1999969482422,-187.1999969482422,0,1,1,2,284,181,-0.2753,-0.3933,41.7327232361,39.2464981079,2.4862251281999974,2.4862251281999974,2.4862251281999974,1.223331051757782,48.967203051757814,6.2952030517578095,"valley, |residual| <= 5 m"
HO_36,valley,14.0,18.0,14.0,88.0,180.0,231.0,HO_36,385038N1228843W001,DWR,2065,1,9.495697858446364,,22.555200000000003,14.380464000000003,8.229599952697754,8.229599952697754,-2.809999465942383,-109.90999603271484,0,1,1,3,334,148,-0.2381,-0.2058,9.8297996521,-1.40929996967,11.23909962177,11.23909962177,11.23909962177,6.15086404730225,,-14.325600047302249,"valley, |residual| > 10 m"
HO_37,valley,14.0,18.0,14.0,88.0,180.0,231.0,HO_37,385133N1228686W001,DWR,2023,1,8.484628653929867,14.3256,26.5176,21.134832000000007,18.809999465942383,-1.1900005340576172,-21.190000534057617,-51.19000244140625,1,1,1,2,330,152,0.242,0.3523,11.9362545013,10.1444997787,1.7917547226000003,1.7917547226000003,1.7917547226000003,2.3248325340576237,4.484399465942383,-7.707600534057619,"valley, |residual| <= 5 m"
HO_38,valley,15.0,17.0,14.0,121.0,176.0,225.0,HO_38,386178N1226833W001,DWR,10,5,2.8278406153846154,6.096,48.768,133.770624,132.61000061035156,122.61000061035156,75.70999908447266,25.71000099182129,1,1,1,2,291,206,0.4676,0.0677,127.322952271,130.68119812,-3.3582458489999993,3.3582458489999993,3.3582458489999993,1.1606233896484355,126.51400061035156,83.84200061035156,"valley, |residual| <= 5 m"
HO_39,valley,14.0,18.0,14.0,117.0,172.0,224.0,HO_39,386391N1226892W001,DWR,14,11,6.617925176470588,,,132.86232,129.77999877929688,88.08000183105469,68.08000183105469,38.07999801635742,1,1,1,1,284,204,-0.4309,0.3364,126.151672363,122.097099304,4.054573059000006,4.054573059000006,4.054573059000006,3.082321220703136,,,"valley, |residual| <= 5 m"
HO_40,valley,15.0,17.0,14.0,29.0,68.0,107.0,HO_40,010N009W18B001M,NWIS,36,10,5.842000000000001,,54.2544,70.10400000000003,70.1500015258789,54.4991455078125,41.45000076293945,-8.54999828338623,1,1,1,3,253,144,0.0099,0.2711,62.9501075745,64.1488037109,-1.1986961363999953,1.1986961363999953,1.1986961363999953,0.046001525878878624,,15.89560152587891,"valley, |residual| <= 5 m"
HO_41,valley,15.0,18.0,14.0,28.0,68.0,107.0,HO_41,010N009W18P001M,NWIS,1,9,5.73024,,36.576,64.00800000000001,64.18000030517578,44.18000030517578,-71.62000274658203,-121.62000274658205,1,1,1,2,257,142,0.2733,0.1496,60.6356811523,58.449798584,2.185882568300002,2.185882568300002,2.185882568300002,0.17200030517577147,,27.60400030517578,"valley, |residual| <= 5 m"
HO_42,upland,0.0,0.0,14.0,0.0,0.0,94.0,HO_42,010N010W14R001M,NWIS,1,8,21.448776,,42.9768,117.348,114.61000061035156,114.61000061035156,114.61000061035156,64.61000061035156,0,0,1,3,257,135,0.2492,-0.1602,94.5180206299,93.1612014771,1.3568191528,1.3568191528,1.3568191528,2.7379993896484365,,71.63320061035157,upland
HO_43,valley,16.0,18.0,14.0,123.0,165.0,228.0,HO_43,010N010W26M001M,NWIS,50,4,3.541449428571429,,5.486400000000001,48.76800000000001,45.900001525878906,15.900001525878906,-99.6999969482422,-149.6999969482422,1,1,1,1,268,130,-0.08,-0.1283,46.7595901489,41.6590003967,5.100589752200001,5.100589752200001,5.100589752200001,2.8679984741211015,,40.4136015258789,"valley, |residual| = 5-10 m"
HO_44,upland,0.0,0.0,14.0,0.0,0.0,206.0,HO_44,010N010W34R001M,NWIS,1,7,20.659344000000004,,109.728,84.73440000000001,93.37999725341795,93.37999725341795,93.37999725341795,43.37999725341797,0,0,1,3,274,129,-0.3901,0.4958,50.6439628601,66.6428985596,-15.998935699500002,15.998935699500002,15.998935699500002,8.645597253417947,,-16.34800274658204,upland
HO_45,valley,15.0,18.0,14.0,122.0,162.0,227.0,HO_45,010N010W22D001M,NWIS,4,9,3.182813309734513,,4.572,56.083200000000026,58.45000076293945,38.45000076293945,-125.6500015258789,-175.64999389648438,1,1,1,1,259,125,0.3948,-0.4472,51.4493560791,54.8152999878,-3.365943908700004,3.365943908700004,3.365943908700004,2.3668007629394268,,53.87800076293945,"valley, |residual| <= 5 m"
HO_46,valley,14.0,17.0,14.0,29.0,36.0,107.0,HO_46,011N010W08P001M,NWIS,50,4,4.434740065573771,2.4384,8.5344,90.8304,95.62000274658205,81.62000274658203,61.62000274658203,31.62000274658203,1,1,1,1,221,115,0.0736,-0.1097,87.0056991577,91.1350021362,-4.129302978500007,4.129302978500007,4.129302978500007,4.789602746582048,93.18160274658204,87.08560274658204,"valley, |residual| <= 5 m"
HO_47,valley,14.0,17.0,14.0,29.0,49.0,107.0,HO_47,011N010W19F002M,NWIS,40,10,2.197326104046243,,100.584,103.63200000000002,102.55999755859376,84.36000061035156,64.36000061035156,34.3599967956543,1,1,1,3,229,110,-0.3239,-0.0151,101.112281799,100.721298218,0.3909835810000004,0.3909835810000004,0.3909835810000004,1.072002441406255,,1.975997558593761,"valley, |residual| <= 5 m"
HO_48,upland,0.0,0.0,14.0,0.0,0.0,194.0,HO_48,011N011W15E001M,NWIS,1,7,14.145768,18.288,48.768,349.91040000000004,316.010009765625,316.010009765625,316.010009765625,266.010009765625,0,0,1,3,223,92,-0.265,-0.3449,275.715087891,303.37600708,-27.660919189000026,27.660919189000026,27.660919189000026,33.90039023437504,297.722009765625,267.24200976562497,upland
HO_49,valley,15.0,18.0,14.0,122.0,143.0,227.0,HO_49,387059N1229679W001,DWR,17,3,5.1186588,,,58.03392000000001,54.65999984741211,24.65999984741211,-65.34000396728516,-115.34000396728516,1,1,1,1,259,123,0.0412,0.4641,51.9381790161,49.4388008118,2.499378204300001,2.499378204300001,2.499378204300001,3.3739201525878997,,,"valley, |residual| <= 5 m"
HO_50,valley,16.0,18.0,14.0,122.0,162.0,227.0,HO_50,387076N1229635W001,DWR,7,3,5.245608000000001,,,59.198256,66.95999908447266,36.959999084472656,-118.73999786376952,-168.74000549316406,1,1,1,1,258,125,0.3997,-0.2548,51.7108154297,61.6086006165,-9.8977851868,9.8977851868,9.8977851868,7.761743084472656,,,"valley, |residual| = 5-10 m"
HO_51,valley,14.0,18.0,14.0,9.0,36.0,79.0,HO_51,387816N1229871W001,DWR,8,4,4.322895272727274,,6.096,83.70112800000003,90.6999969482422,70.69999694824219,50.69999694824219,20.699996948242188,1,1,1,1,231,118,0.0288,-0.0979,80.6750030518,86.1748962402,-5.499893188399994,5.499893188399994,5.499893188399994,6.998868948242176,,84.6039969482422,"valley, |residual| = 5-10 m"
HO_52,valley,14.0,17.0,14.0,29.0,36.0,107.0,HO_52,388016N1229966W001,DWR,17,3,5.8265568000000005,,30.48,89.15400000000001,91.2300033569336,77.2300033569336,57.2300033569336,27.230003356933597,1,1,1,2,224,115,-0.3706,0.158,85.7584075928,85.2498016357,0.5086059571000021,0.5086059571000021,0.5086059571000021,2.076003356933583,,60.75000335693359,"valley, |residual| <= 5 m"
HO_53,valley,14.0,18.0,14.0,9.0,36.0,107.0,HO_53,011N010W17P002M,DWR,18,4,3.97256,,9.7536,89.916,86.7699966430664,66.7699966430664,46.769996643066406,16.769996643066406,1,1,1,1,227,114,0.0353,0.3114,83.833480835,82.7974014282,1.036079406799999,1.036079406799999,1.036079406799999,3.1460033569335906,,77.0163966430664,"valley, |residual| <= 5 m"
HO_54,valley,15.0,18.0,14.0,114.0,156.0,223.0,HO_54,387131N1228855W001,DWR,10,5,12.614734153846156,5.1816,29.5656,65.49237600000002,68.83999633789062,48.83999633789063,28.839996337890625,-21.16000366210937,1,1,1,1,256,147,0.3563,0.3431,57.5317344666,55.9030990601,1.6286354065000026,1.6286354065000026,1.6286354065000026,3.3476203378906035,63.65839633789062,39.27439633789062,"valley, |residual| <= 5 m"
HO_55,valley,19.0,0.0,14.0,0.0,67.0,79.0,HO_55,387321N1229135W001,DWR,11,11,4.742688,,28.651200000000003,75.25512000000002,79.94999694824219,79.94999694824219,72.75,22.74999618530273,0,1,1,3,249,139,0.3122,0.2223,77.6875915527,75.2072982788,2.4802932739000028,2.4802932739000028,2.4802932739000028,4.694876948242168,,51.298796948242185,"valley, |residual| <= 5 m"
HO_56,valley,15.0,18.0,14.0,80.0,156.0,223.0,HO_56,383679N1228545W001,DWR,9,11,4.90093,18.288,42.672,54.85485600000001,52.04999923706055,-8.794353485107422,-167.9499969482422,-217.9499969482422,1,1,1,1,269,156,0.041,0.3555,50.8319702148,47.1085014343,3.7234687804999993,3.7234687804999993,3.7234687804999993,2.8048567629394654,33.76199923706055,9.37799923706055,"valley, |residual| <= 5 m"
HO_57,valley,16.0,18.0,14.0,114.0,157.0,223.0,HO_57,383722N1228224W001,DWR,14,3,6.387890823529411,24.384,91.44,56.122824,55.81999969482422,35.81999969482422,-164.1800079345703,-214.1800079345703,1,1,1,2,271,166,0.4336,-0.3388,53.0176849365,49.3316993713,3.6859855651999993,3.6859855651999993,3.6859855651999993,0.3028243051757826,31.43599969482422,-35.62000030517578,"valley, |residual| <= 5 m"
HO_58,valley,15.0,18.0,14.0,82.0,160.0,225.0,HO_58,386555N1228058W001,DWR,46,4,8.725814399999999,15.27048,80.43672,52.43474400000001,48.34999847412109,28.349998474121094,-54.45000076293945,-104.45000457763672,1,1,1,2,278,170,-0.3869,0.4912,43.5638847351,39.6155014038,3.9483833312999934,3.9483833312999934,3.9483833312999934,4.0847455258789225,33.07951847412109,-32.08672152587891,"valley, |residual| <= 5 m"
HO_59,valley,15.0,17.0,14.0,121.0,160.0,225.0,HO_59,386609N1228132W001,DWR,44,4,11.189335,26.8224,32.9184,58.20155999999999,53.4900016784668,43.4900016784668,-90.70999908447266,-140.70999145507812,1,1,1,2,276,168,-0.3798,0.3409,44.3717308044,42.3266983032,2.045032501200005,2.045032501200005,2.045032501200005,4.711558321533197,26.6676016784668,20.5716016784668,"valley, |residual| <= 5 m"
HO_60,valley,16.0,18.0,14.0,114.0,157.0,223.0,HO_60,386656N1228540W001,DWR,8,11,3.974592,48.768,67.056,52.76697600000001,52.13999938964844,32.13999938964844,-32.27799606323242,-82.27799987792969,1,1,1,2,274,157,-0.0875,-0.4868,51.1581764221,48.1654014587,2.992774963399995,2.992774963399995,2.992774963399995,0.6269766103515693,3.371999389648437,-14.91600061035156,"valley, |residual| <= 5 m"
HO_61,valley,16.0,18.0,14.0,114.0,157.0,223.0,HO_61,386767N1228670W001,DWR,49,4,4.3082633333333336,25.2984,29.8704,54.63844799999999,53.0099983215332,33.0099983215332,-43.56065368652344,-93.56065368652344,1,1,1,2,270,153,-0.1967,-0.2702,52.2446670532,48.3185997009,3.926067352299995,3.926067352299995,3.926067352299995,1.6284496784667866,27.711598321533202,23.139598321533203,"valley, |residual| <= 5 m"
HO_62,valley,16.0,17.0,14.0,116.0,157.0,223.0,HO_62,386846N1228291W001,DWR,45,4,3.738698571428571,,12.192,63.898272000000006,62.72999954223633,52.72999954223633,-157.27000427246094,-207.2700042724609,1,1,1,2,267,164,-0.137,-0.2866,59.3682823181,59.1366996765,0.2315826415999993,0.2315826415999993,0.2315826415999993,1.1682724577636776,,50.53799954223633,"valley, |residual| <= 5 m"
HO_63,valley,16.0,18.0,14.0,80.0,157.0,223.0,HO_63,386909N1228512W001,DWR,7,10,4.803648000000001,,24.0792,63.24295200000002,58.68000030517578,38.68000030517578,-161.3199920654297,-211.3199920654297,1,1,1,2,265,157,-0.4499,0.3164,54.3948020935,53.5018997192,0.8929023743000002,0.8929023743000002,0.8929023743000002,4.5629516948242355,,34.60080030517578,"valley, |residual| <= 5 m"
HO_64,upland,0.0,0.0,14.0,0.0,0.0,76.0,HO_64,012N011W20A001M,NWIS,1,7,38.95344,,,381.9144,352.07000732421875,352.07000732421875,352.07000732421875,302.07000732421875,0,0,1,3,195,84,-0.4973,0.2422,336.479431152,313.116607666,23.362823486000025,23.362823486000025,23.362823486000025,29.84439267578125,,,upland
HO_65,valley,14.0,18.0,14.0,6.0,64.0,105.0,HO_65,013N011W19H002M,NWIS,1,7,7.13232,,12.192,147.2184,145.64999389648438,125.64999389648438,105.64999389648438,75.64999389648438,1,1,1,1,161,84,-0.128,-0.3773,145.094573975,138.517700195,6.57687378,6.57687378,6.57687378,1.5684061035156276,,133.45799389648437,"valley, |residual| = 5-10 m"
