simval,obsnme,obsval,weight,obgnme,comments
72.6841201782,HO_0,60.7131004333,1.0,HEADS,#
280.320281982,HO_1,321.515197754,1.0,HEADS,#
85.2505874634,HO_2,92.1474990845,1.0,HEADS,#
40.2488899231,HO_3,43.8522987366,1.0,HEADS,#
1.38822495937,HO_4,1.17550003529,1.0,HEADS,#
2.66724896431,HO_5,2.3805000782,1.0,HEADS,#
52.831993103,HO_6,60.0546989441,1.0,HEADS,#
157.908660889,HO_7,190.309295654,1.0,HEADS,#
46.6379318237,HO_8,42.3306007385,1.0,HEADS,#
43.2884674072,HO_9,52.0217018127,1.0,HEADS,#
39.9180488586,HO_10,48.6105003357,1.0,HEADS,#
37.5475540161,HO_11,51.3138008118,1.0,HEADS,#
27.5888614655,HO_12,26.0044002533,1.0,HEADS,#
13.1176290512,HO_13,15.5081996918,1.0,HEADS,#
326.903381348,HO_14,380.539794922,1.0,HEADS,#
22.1270618439,HO_15,14.0573997498,1.0,HEADS,#
41.7469100952,HO_16,60.5152015686,1.0,HEADS,#
-15.6022911072,HO_17,6.11660003662,1.0,HEADS,#
43.7776679993,HO_18,38.3134002686,1.0,HEADS,#
41.1406936646,HO_19,38.8009986877,1.0,HEADS,#
20.6543331146,HO_20,17.3945999146,1.0,HEADS,#
30.5131168365,HO_21,27.7947006226,1.0,HEADS,#
23.5355701447,HO_22,18.7147006989,1.0,HEADS,#
17.7243328094,HO_23,5.3654999733,1.0,HEADS,#
17.0882968903,HO_24,12.7018995285,1.0,HEADS,#
16.6446037292,HO_25,12.9337997437,1.0,HEADS,#
16.8486824036,HO_26,12.0559997559,1.0,HEADS,#
16.7745952606,HO_27,16.8985004425,1.0,HEADS,#
18.6740245819,HO_28,17.4908008575,1.0,HEADS,#
17.5630512238,HO_29,17.8964004517,1.0,HEADS,#
24.3442249298,HO_30,20.4466991425,1.0,HEADS,#
37.3398361206,HO_31,38.5256004333,1.0,HEADS,#
44.0696334839,HO_32,12.8260002136,1.0,HEADS,#
43.9272270203,HO_33,35.315700531,1.0,HEADS,#
43.3450202942,HO_34,44.5680999756,1.0,HEADS,#
43.6131134033,HO_35,38.0232009888,1.0,HEADS,#
4.62670326233,HO_36,4.74149990082,1.0,HEADS,#
