year,STORAGE_IN_base,CONSTANT_HEAD_IN_base,WELLS_IN,HEAD_DEP_BOUNDS_IN_base,SPECIFIED_FLOWS_IN_base,STREAM_LEAKAGE_IN_base,UZF_RECHARGE_IN_base,GW_ET_IN_base,SURFACE_LEAKAGE_IN_base,AG_WELLS_IN,TOTAL_IN_base,STORAGE_OUT_base,CONSTANT_HEAD_OUT_base,WELLS_OUT,HEAD_DEP_BOUNDS_OUT_base,SPECIFIED_FLOWS_OUT_base,STREAM_LEAKAGE_OUT_base,UZF_RECHARGE_OUT_base,GW_ET_OUT_base,SURFACE_LEAKAGE_OUT_base,AG_WELLS_OUT,TOTAL_OUT_base,IN-OUT_base,PERCENT_DISCREPANCY_base,STORAGE_IN_unimp,CONSTANT_HEAD_IN_unimp,HEAD_DEP_BOUNDS_IN_unimp,SPECIFIED_FLOWS_IN_unimp,STREAM_LEAKAGE_IN_unimp,UZF_RECHARGE_IN_unimp,GW_ET_IN_unimp,SURFACE_LEAKAGE_IN_unimp,TOTAL_IN_unimp,STORAGE_OUT_unimp,CONSTANT_HEAD_OUT_unimp,HEAD_DEP_BOUNDS_OUT_unimp,SPECIFIED_FLOWS_OUT_unimp,STREAM_LEAKAGE_OUT_unimp,UZF_RECHARGE_OUT_unimp,GW_ET_OUT_unimp,SURFACE_LEAKAGE_OUT_unimp,TOTAL_OUT_unimp,IN-OUT_unimp,PERCENT_DISCREPANCY_unimp
1974,1931707100.0,0.0,0.0,214094290.0,36441464.0,372235460.0,128061670.0,0.0,0.0,0.0,2682540000.0,813075840.0,0.0,234978220.0,314664600.0,0.0,681929340.0,0.0,313867780.0,184952240.0,140341870.0,2683809800.0,-1269914.0,-0.29,1374858500.0,0.0,190214030.0,32362828.0,344281150.0,82946400.0,0.0,0.0,2024663000.0,665024500.0,0.0,290217440.0,0.0,618836740.0,0.0,282875840.0,169058820.0,2026013300.0,-1350248.0,-0.38
1975,38419816000.0,0.0,0.0,5390833700.0,916586750.0,21333120000.0,15078325000.0,0.0,0.0,0.0,81138680000.0,26884727000.0,0.0,5688696000.0,7420631600.0,0.0,22185834000.0,0.0,7379448000.0,6991299600.0,4337414000.0,80888046000.0,250629760.0,7.1,31343858000.0,0.0,5333529000.0,916586750.0,20995774000.0,15003046000.0,0.0,0.0,73592790000.0,27063691000.0,0.0,7874012700.0,0.0,22654702000.0,0.0,8394740700.0,7393072600.0,73380220000.0,212572740.0,6.78
1976,116416120000.0,0.0,0.0,17252270000.0,2920949200.0,54026660000.0,30814430000.0,0.0,0.0,0.0,221430430000.0,59250622000.0,0.0,19156523000.0,22150578000.0,0.0,58756063000.0,0.0,26193484000.0,16352304000.0,19150932000.0,221010510000.0,419925500.0,5.99,68573065000.0,0.0,12797692000.0,2209040100.0,39856650000.0,23678900000.0,0.0,0.0,147115340000.0,43772850000.0,0.0,18295110000.0,0.0,47033790000.0,0.0,23710648000.0,14117999000.0,146930400000.0,184950270.0,3.14
1977,138675590000.0,0.0,0.0,21501825000.0,3665583600.0,59788296000.0,27198476000.0,0.0,0.0,0.0,250829750000.0,60711590000.0,0.0,24285927000.0,26433940000.0,0.0,63889936000.0,0.0,30891667000.0,16090774000.0,28186919000.0,250490770000.0,338996220.0,3.41,99492010000.0,0.0,20279618000.0,3544724500.0,55013370000.0,26206110000.0,0.0,0.0,204535840000.0,53446280000.0,0.0,28363774000.0,0.0,66121420000.0,0.0,38060294000.0,18428963000.0,204420730000.0,115104770.0,1.39
1978,183228400000.0,0.0,0.0,28582613000.0,4926328300.0,94143270000.0,56535120000.0,0.0,0.0,0.0,367415720000.0,112366650000.0,0.0,33256780000.0,33898756000.0,0.0,85594276000.0,0.0,38848864000.0,20349944000.0,42144010000.0,366459300000.0,956448800.0,6.17,132952340000.0,0.0,27720616000.0,4926328300.0,87909550000.0,56523620000.0,0.0,0.0,310032470000.0,99671950000.0,0.0,38335173000.0,0.0,93469160000.0,0.0,52019397000.0,25898301000.0,309393980000.0,638471200.0,4.85
1979,231598880000.0,0.0,0.0,36448485000.0,6353141000.0,123417444000.0,83906600000.0,0.0,0.0,0.0,481724530000.0,154003670000.0,0.0,43949450000.0,42122490000.0,0.0,109126920000.0,0.0,49244877000.0,24891550000.0,57009280000.0,480348200000.0,1376329700.0,6.86,173819840000.0,0.0,36542927000.0,6595854300.0,118299740000.0,86278390000.0,0.0,0.0,421536760000.0,139316690000.0,0.0,50192466000.0,0.0,125483060000.0,0.0,70868080000.0,34622923000.0,420483200000.0,1053531140.0,6.24
1980,315672040000.0,0.0,0.0,49916625000.0,8815046000.0,179411650000.0,141917680000.0,0.0,0.0,0.0,695733060000.0,238488060000.0,0.0,62093170000.0,56745490000.0,0.0,153642730000.0,0.0,67096190000.0,34819514000.0,80574300000.0,693459500000.0,2273568800.0,8.83,218498060000.0,0.0,46034040000.0,8451009500.0,157940250000.0,133667774000.0,0.0,0.0,564591100000.0,197168270000.0,0.0,63150890000.0,0.0,164860690000.0,0.0,91062470000.0,46563176000.0,562805500000.0,1785620500.0,8.21
1981,355570120000.0,0.0,0.0,56394854000.0,10081705000.0,202458970000.0,167040290000.0,0.0,0.0,0.0,791546000000.0,271918560000.0,0.0,72000480000.0,63431504000.0,0.0,173678020000.0,0.0,75906490000.0,38495060000.0,93635340000.0,789065500000.0,2480472000.0,8.15,275918900000.0,0.0,58052207000.0,10821803000.0,197885300000.0,175376920000.0,0.0,0.0,718055150000.0,248606690000.0,0.0,79767150000.0,0.0,210029700000.0,0.0,118265135000.0,59136905000.0,715805560000.0,2249566200.0,8.82
1982,443651900000.0,0.0,0.0,70241220000.0,12715185000.0,266722620000.0,244551320000.0,0.0,0.0,0.0,1037882300000.0,376574870000.0,0.0,91989670000.0,78469740000.0,0.0,224562630000.0,0.0,94251010000.0,50099876000.0,118326030000.0,1034273800000.0,3608457200.0,9.7300005,297836800000.0,0.0,62209640000.0,11778930000.0,223952580000.0,220647230000.0,0.0,0.0,816425200000.0,295586460000.0,0.0,85903475000.0,0.0,235607000000.0,0.0,128283310000.0,68009066000.0,813389300000.0,3035857000.0,9.65
1983,482398200000.0,0.0,0.0,75811050000.0,13891393000.0,301877360000.0,312066600000.0,0.0,0.0,0.0,1186044600000.0,450803140000.0,0.0,101107196000.0,85032270000.0,0.0,256328380000.0,0.0,103439260000.0,59517110000.0,125400650000.0,1181628000000.0,4416622600.0,10.04,355808150000.0,0.0,72435490000.0,13915036000.0,273567740000.0,301862030000.0,0.0,0.0,1017588500000.0,381753500000.0,0.0,101100360000.0,0.0,290815670000.0,0.0,152462800000.0,87220400000.0,1013352760000.0,4235735000.0,11.25
1984,562681740000.0,0.0,0.0,87398590000.0,16232432000.0,352388700000.0,391098500000.0,0.0,0.0,0.0,1409800000000.0,539444120000.0,0.0,119082615000.0,98968760000.0,0.0,307485540000.0,0.0,124303540000.0,73974470000.0,141247500000.0,1404506500000.0,5293441000.0,10.54,391466780000.0,0.0,77470980000.0,15111356000.0,296990870000.0,351674530000.0,0.0,0.0,1132714500000.0,425379070000.0,0.0,109642916000.0,0.0,324194830000.0,0.0,168477260000.0,100298965000.0,1127993000000.0,4721467400.0,10.88
1985,596542300000.0,0.0,0.0,92760570000.0,17439957000.0,371214800000.0,417356550000.0,0.0,0.0,0.0,1495314200000.0,564213200000.0,0.0,129024430000.0,105609210000.0,0.0,329935980000.0,0.0,134178670000.0,79484530000.0,147414100000.0,1489860200000.0,5454070000.0,9.860001,447952620000.0,0.0,88148250000.0,17421556000.0,336072280000.0,402593900000.0,0.0,0.0,1292188600000.0,477466300000.0,0.0,125917364000.0,0.0,373665530000.0,0.0,194275570000.0,115726420000.0,1287051100000.0,5137412000.0,10.79
1986,627983450000.0,0.0,0.0,97712560000.0,18603008000.0,392854860000.0,447401400000.0,0.0,0.0,0.0,1584555400000.0,598484060000.0,0.0,138378690000.0,111760695000.0,0.0,350833020000.0,0.0,142622150000.0,84588440000.0,152157030000.0,1578824100000.0,5731225600.0,9.43,512271200000.0,0.0,100150910000.0,20070259000.0,383891960000.0,466640900000.0,0.0,0.0,1483025300000.0,547091780000.0,0.0,144134900000.0,0.0,429800880000.0,0.0,222911430000.0,133234840000.0,1477173800000.0,5851398000.0,11.04
