date,STORAGE_IN_base,CONSTANT_HEAD_IN_base,WELLS_IN,HEAD_DEP_BOUNDS_IN_base,SPECIFIED_FLOWS_IN_base,STREAM_LEAKAGE_IN_base,UZF_RECHARGE_IN_base,GW_ET_IN_base,SURFACE_LEAKAGE_IN_base,AG_WELLS_IN,TOTAL_IN_base,STORAGE_OUT_base,CONSTANT_HEAD_OUT_base,WELLS_OUT,HEAD_DEP_BOUNDS_OUT_base,SPECIFIED_FLOWS_OUT_base,STREAM_LEAKAGE_OUT_base,UZF_RECHARGE_OUT_base,GW_ET_OUT_base,SURFACE_LEAKAGE_OUT_base,AG_WELLS_OUT,TOTAL_OUT_base,IN-OUT_base,PERCENT_DISCREPANCY_base,day_base,year_base,month_base,date_base,STORAGE_IN_unimp,CONSTANT_HEAD_IN_unimp,HEAD_DEP_BOUNDS_IN_unimp,SPECIFIED_FLOWS_IN_unimp,STREAM_LEAKAGE_IN_unimp,UZF_RECHARGE_IN_unimp,GW_ET_IN_unimp,SURFACE_LEAKAGE_IN_unimp,TOTAL_IN_unimp,STORAGE_OUT_unimp,CONSTANT_HEAD_OUT_unimp,HEAD_DEP_BOUNDS_OUT_unimp,SPECIFIED_FLOWS_OUT_unimp,STREAM_LEAKAGE_OUT_unimp,UZF_RECHARGE_OUT_unimp,GW_ET_OUT_unimp,SURFACE_LEAKAGE_OUT_unimp,TOTAL_OUT_unimp,IN-OUT_unimp,PERCENT_DISCREPANCY_unimp,day_unimp,year_unimp,month_unimp,date_unimp
1974-10-15,8790457.0,0.0,0.0,816948.44,140642.62,875832.7,2431207.5,0.0,0.0,0.0,13055089.0,4831219.5,0.0,1022308.1,1237744.6,0.0,2355221.5,0.0,1941128.0,683625.3,985187.2,13056434.0,-1345.0,-0.022,15,1974,10,1974-10-15,7707575.0,0.0,801233.6,140642.62,785272.4,5258237.5,0.0,0.0,14692961.0,8430570.0,0.0,1305498.2,0.0,2341652.2,0.0,1889236.4,696975.9,14663933.0,29028.0,0.35500002,15,1974,10,1974-10-15
1974-11-15,5660853.5,0.0,0.0,844279.4,140642.62,1982443.0,50559.086,0.0,0.0,0.0,8678777.0,2445272.5,0.0,862708.25,1193061.2,0.0,3091542.2,0.0,266273.38,749279.7,75544.875,8683682.0,-4905.5,-0.060000002,15,1974,11,1974-11-15,4841233.0,0.0,840951.8,140642.62,1958536.2,50461.234,0.0,0.0,7831825.0,2402680.8,0.0,1249733.0,0.0,3134815.0,0.0,282273.47,775758.2,7845260.0,-13435.25,-0.185,15,1974,11,1974-11-15
1974-12-15,4510175.0,0.0,0.0,845461.94,141611.94,1299899.8,369802.97,0.0,0.0,0.0,7166951.5,1414102.2,0.0,667358.6,1196654.0,0.0,2861873.5,0.0,121127.92,867301.6,31034.8,7159453.0,7498.75,0.1,15,1974,12,1974-12-15,4013703.2,0.0,843039.4,141611.94,1292847.0,359515.78,0.0,0.0,6650717.0,1472856.6,0.0,1239703.5,0.0,2910247.0,0.0,130986.57,899108.25,6652902.5,-2185.25,-0.045,15,1974,12,1974-12-15
1975-01-15,4789546.0,0.0,0.0,852776.9,144753.84,2619031.0,2071418.2,0.0,0.0,0.0,10477526.0,3347235.5,0.0,652125.0,1188020.8,0.0,4115652.0,0.0,92971.41,1038888.6,1599.0175,10436493.0,41033.5,0.39499998,15,1975,1,1975-01-15,4389054.0,0.0,850247.0,144753.84,2602460.8,2077885.8,0.0,0.0,10064402.0,3445266.8,0.0,1232492.5,0.0,4165105.8,0.0,99904.41,1080956.2,10023726.0,40676.0,0.41000003,15,1975,1,1975-01-15
1975-02-15,8744298.0,0.0,0.0,812729.4,144787.27,8922768.0,4500038.0,0.0,0.0,0.0,23124620.0,11682248.0,0.0,674131.94,1191669.0,0.0,7959615.0,0.0,110479.79,1428975.1,1189.886,23048308.0,76312.0,0.29,15,1975,2,1975-02-15,8392248.0,0.0,809834.6,144787.27,8839522.0,4478117.0,0.0,0.0,22664508.0,11725168.0,0.0,1237970.0,0.0,8022519.5,0.0,120232.89,1486693.5,22592584.0,71924.0,0.28,15,1975,2,1975-02-15
1975-03-15,3275441.5,0.0,0.0,831961.4,144787.27,5276081.0,6455903.0,0.0,0.0,0.0,15984174.0,7098644.5,0.0,675137.25,1184467.6,0.0,4632407.5,0.0,374570.06,1808328.5,4175.6235,15777731.0,206443.0,1.335,15,1975,3,1975-03-15,3000041.0,0.0,828896.0,144787.27,5235031.0,6464236.5,0.0,0.0,15672993.0,7326306.0,0.0,1228385.8,0.0,4693651.0,0.0,396418.12,1883392.9,15528154.0,144839.0,0.93,15,1975,3,1975-03-15
1975-04-15,4297383.0,0.0,0.0,854067.06,144787.27,3864377.0,7696298.0,0.0,0.0,0.0,16856912.0,7077426.5,0.0,747955.6,1179569.6,0.0,5201462.0,0.0,574962.3,2027979.5,42040.895,16851396.0,5517.5,0.024999999,15,1975,4,1975-04-15,3913897.5,0.0,850806.56,144787.27,3840794.0,7438146.0,0.0,0.0,16188432.0,6836180.5,0.0,1225338.8,0.0,5263127.0,0.0,605193.0,2111975.5,16041816.0,146616.0,0.95,15,1975,4,1975-04-15
1975-05-15,6249647.0,0.0,0.0,855965.75,144787.27,2019813.5,3605475.0,0.0,0.0,0.0,12875688.0,3190899.5,0.0,1000081.2,1155247.8,0.0,3540810.5,0.0,1586045.6,1679055.0,729448.8,12881588.0,-5900.0,-0.04,15,1975,5,1975-05-15,5037813.0,0.0,851949.3,144787.27,1997836.2,3531912.0,0.0,0.0,11564298.0,3260676.0,0.0,1218705.6,0.0,3608238.8,0.0,1825374.1,1766626.0,11679620.0,-115322.5,-1.01,15,1975,5,1975-05-15
1975-06-15,9843459.0,0.0,0.0,865891.25,144787.27,1647329.9,1213614.1,0.0,0.0,0.0,13715082.0,1257496.0,0.0,1276050.2,1097800.0,0.0,2439427.0,0.0,3982514.0,859251.2,2809757.5,13722296.0,-7214.5,-0.050000004,15,1975,6,1975-06-15,6775463.0,0.0,847712.75,144787.27,1608462.9,1331669.0,0.0,0.0,10708096.0,1607999.0,0.0,1212275.2,0.0,2530042.5,0.0,4518525.5,949811.2,10818653.0,-110557.0,-1.2249999,15,1975,6,1975-06-15
1975-07-15,9151288.0,0.0,0.0,888912.1,144787.27,2488642.5,592522.6,0.0,0.0,0.0,13266152.0,2167169.5,0.0,1398605.6,1058409.0,0.0,2540909.5,0.0,3498362.0,497568.78,2100343.2,13261368.0,4783.5,0.030000001,15,1975,7,1975-07-15,6235668.0,0.0,854790.25,144787.27,2332939.0,644661.3,0.0,0.0,10212846.0,1656461.9,0.0,1208250.2,0.0,2670300.0,0.0,4105065.0,594841.4,10234918.0,-22072.5,-0.14999998,15,1975,7,1975-07-15
