totim,name,ZONE_1,ZONE_2,ZONE_3,ZONE_4,ZONE_5,ZONE_6,ZONE_7,ZONE_8,ZONE_9,ZONE_10,ZONE_11,ZONE_12,ZONE_13,ZONE_14,ZONE_15,ZONE_16,ZONE_17,ZONE_18,ZONE_19,ZONE_20,ZONE_21,ZONE_22
1.0,FROM_ZONE_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.76068,0.0,0.0,0.0,0.0,5.6511927,0.0,0.0,0.0,0.0,0.0
1.0,FROM_ZONE_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015564511,0.0,0.0,0.0,0.0,0.0,1589.0457,0.027400445,0.0,0.0,0.0,0.009635564,0.0,668.0801
1.0,FROM_ZONE_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062834187,0.0042798193,0.0,0.0,0.0,1.054182,0.0,2168.058,0.0,0.0,0.0,0.0,0.0,0.0
1.0,FROM_ZONE_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.374247,0.0,24.739525,0.0,0.10591452,99.46208,0.0,70816.52,0.031370543,0.0,0.029393123,0.0012567722,0.0
1.0,FROM_ZONE_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038246913,1.5446641,0.0,0.0,62.73963,0.0,142.66966,0.0,0.0,0.0,0.0
1.0,FROM_ZONE_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019700225,158.0574,0.0,1200.1903,0.0,15.922442,0.0
1.0,FROM_ZONE_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.032867,0.0,0.0,145.01265,0.0
1.0,FROM_ZONE_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.113988034,0.0,0.058877558,0.0,0.0,0.0,0.0,53.759983,0.0011056726
1.0,FROM_ZONE_21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033287946,0.0,0.47424626,70.19463,0.081307724,0.0,0.0
1.0,FROM_ZONE_22,0.0,0.0,0.0,0.0,0.0,0.06453289,0.0,0.0,0.053031083,0.0,0.0,0.0,0.0,42977.453,0.0,0.0,0.0,0.0,0.0,0.007492395,0.0,0.0
1.0,TOTAL_IN,417293.97,363459.9,53988.695,318722.8,341613.5,684865.7,61499.664,295830.75,295505.72,341887.25,210349.47,258774.98,10839.073,211032.73,50341.09,315719.97,292631.9,397045.34,70370.93,380953.44,374529.12,1200730.4
1.0,TO_CONSTANT_HEAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,TO_WELLS,118.74709,19.046293,71.54996,12146.815,1610.3539,370.76828,0.0,0.0411579,6224.8286,463.12268,0.0,1932.3295,1286.8685,170.58289,25.429167,1435.5828,12438.791,172323.31,93.617226,73.573395,1177.7166,0.59680176
1.0,TO_HEAD_DEP_BOUNDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23734.41,2934.116,0.0,0.0,0.0,0.0
1.0,TO_STREAM_LEAKAGE,28149.195,21862.188,13028.737,39136.16,100953.83,111580.73,4571.081,32148.77,33141.406,206312.98,42191.645,91591.97,1151.8745,61424.156,4372.591,64913.633,183800.08,12979.224,5068.612,23518.312,59239.44,544861.0
1.0,TO_LAKE_SEEPAGE,0.0,0.0,1585.367,47.16515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9516964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0738544
1.0,TO_GW_ET,4943.347,2340.2883,199.19316,3472.2263,2244.2065,10157.264,176.81584,1190.8203,1736.5775,1635.0635,1543.5801,2613.0256,121.49826,603.6501,267.71228,1073.3204,739.82434,3109.2908,566.521,2774.4277,1437.365,1928.4675
1.0,TO_UZF_RECHARGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,TO_SURFACE_LEAKAGE,1302.604,214.891,9.928128,815.65027,806.327,405.46545,37.19938,99.46562,744.472,163.87637,734.2757,514.3956,5.9295044,492.91568,13.506829,91.7166,123.283226,1016.6256,168.25244,4248.087,339.8595,7580.8345
1.0,TO_HORT+DUNN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,TO_STORAGE_CHANGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,TO_ZONE_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,TO_ZONE_1,0.0,0.029256059,298.97897,515.75665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,TO_ZONE_2,0.03969962,0.0,0.24659812,0.0065491605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,TO_ZONE_3,623.8072,3.8421793,0.0,861.0298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,TO_ZONE_4,563.6263,0.005474524,59.51456,0.0,1025.4271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
