parnme,partrans,parval1,pargp,comments
surfk_2_16,none,       1.5848932E-04,uzf_surfk,#
surfk_2_17,none,       1.5848932E-04,uzf_surfk,#
surfk_2_18,none,       1.5848933E-04,uzf_surfk,#
surfk_2_19,none,       1.5848932E-04,uzf_surfk,#
surfk_2_2,none,      9.9999990E-05,uzf_surfk,#
surfk_2_20,none,       6.3095748E-04,uzf_surfk,#
surfk_2_21,none,       1.5848930E-04,uzf_surfk,#
surfk_2_22,none,       1.5848932E-04,uzf_surfk,#
surfk_2_3,none,      9.9999990E-05,uzf_surfk,#
surfk_2_4,none,      2.5118861E-04,uzf_surfk,#
surfk_2_5,none,      2.5118858E-04,uzf_surfk,#
surfk_2_6,none,      1.5848932E-04,uzf_surfk,#
surfk_2_7,none,      2.5118864E-04,uzf_surfk,#
surfk_2_8,none,      2.5118864E-04,uzf_surfk,#
surfk_2_9,none,      2.5118861E-04,uzf_surfk,#
surfk_3_1,none,      3.0199519E-08,uzf_surfk,#
surfk_3_10,none,       3.0902950E-08,uzf_surfk,#
surfk_3_11,none,       3.0902953E-08,uzf_surfk,#
surfk_3_12,none,       3.0902950E-08,uzf_surfk,#
surfk_3_13,none,       3.0902946E-08,uzf_surfk,#
surfk_3_14,none,       3.0902950E-08,uzf_surfk,#
surfk_3_15,none,       3.0902953E-08,uzf_surfk,#
surfk_3_16,none,       1.0000002E-07,uzf_surfk,#
surfk_3_17,none,       3.0902950E-08,uzf_surfk,#
surfk_3_18,none,       3.0902950E-08,uzf_surfk,#
surfk_3_19,none,       3.0902953E-08,uzf_surfk,#
surfk_3_2,none,      3.0902953E-08,uzf_surfk,#
surfk_3_20,none,       1.1481540E-07,uzf_surfk,#
surfk_3_21,none,       3.0902950E-08,uzf_surfk,#
surfk_3_22,none,       3.0902950E-08,uzf_surfk,#
surfk_3_3,none,      3.0902953E-08,uzf_surfk,#
surfk_3_4,none,      3.0902950E-08,uzf_surfk,#
surfk_3_5,none,      3.0902953E-08,uzf_surfk,#
surfk_3_6,none,      1.0000001E-07,uzf_surfk,#
surfk_3_7,none,      3.0902953E-08,uzf_surfk,#
surfk_3_8,none,      3.0902950E-08,uzf_surfk,#
surfk_3_9,none,      3.0902950E-08,uzf_surfk,#
finf_1,none,   4.8303530E-01,uzf_finf,#
finf_2,none,   4.8303530E-01,uzf_finf,#
finf_3,none,   4.8303530E-01,uzf_finf,#
finf_4,none,   4.1058001E-01,uzf_finf,#
finf_5,none,   4.1058001E-01,uzf_finf,#
finf_6,none,   4.8303530E-01,uzf_finf,#
finf_7,none,   4.7250465E-01,uzf_finf,#
finf_8,none,   4.7250465E-01,uzf_finf,#
finf_9,none,   4.7250465E-01,uzf_finf,#
finf_10,none,    4.7722970E-01,uzf_finf,#
finf_11,none,    4.7250465E-01,uzf_finf,#
finf_12,none,    4.7250465E-01,uzf_finf,#
finf_13,none,    4.7250463E-01,uzf_finf,#
finf_14,none,    4.8303530E-01,uzf_finf,#
finf_15,none,    4.8303530E-01,uzf_finf,#
finf_16,none,    4.8303530E-01,uzf_finf,#
finf_17,none,    4.8303530E-01,uzf_finf,#
finf_18,none,    4.8303530E-01,uzf_finf,#
finf_19,none,    4.8303530E-01,uzf_finf,#
finf_20,none,    5.2846194E-01,uzf_finf,#
finf_21,none,    4.8303530E-01,uzf_finf,#
finf_22,none,    4.8303530E-01,uzf_finf,#
pet_1,none,  9.5000003E-05,uzf_pet,#
spill_447,none,      1.8506000E+02,sfr_spil,#
spill_449,none,      1.4660001E+02,sfr_spil,#
ks_1,none, 8.1281465E-01,upw_ks,111
ks_2,none, 3.1105753E-02,upw_ks,121
ks_3,none, 7.1635944E-01,upw_ks,131
ks_4,none, 5.9547720E+00,upw_ks,141
ks_5,none, 4.4666225E+01,upw_ks,151
ks_6,none, 2.2886691E+02,upw_ks,161
ks_7,none, 1.0184292E-05,upw_ks,170
ks_8,none, 1.0000001E-05,upw_ks,180
ks_9,none, 8.2574272E+00,upw_ks,191
ks_10,none,  1.7665359E+00,upw_ks,212
ks_11,none,  3.2307366E-01,upw_ks,213
ks_12,none,  8.9508028E+00,upw_ks,243
ks_13,none,  1.7358056E+00,upw_ks,312
ks_14,none,  4.5411601E+00,upw_ks,313
ks_15,none,  2.7222614E+00,upw_ks,314
ks_16,none,  5.0000000E+02,upw_ks,322
ks_17,none,  1.6695759E+00,upw_ks,324
ks_18,none,  2.5269129E+00,upw_ks,332
ks_19,none,  4.4723698E+01,upw_ks,333
ks_20,none,  3.3644357E-01,upw_ks,342
ks_21,none,  6.6762626E-01,upw_ks,343
