name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
SFR_K_1,0.796311,1.92474,-3.05317,4.6458,0.608454,-nan(ind),-nan(ind),-nan(ind)
SFR_K_2,0.633475,1.92474,-3.21601,4.48296,0.599697,-nan(ind),-nan(ind),-nan(ind)
SFR_K_6,0.840001,1.92474,-3.00948,4.68949,1.05509,-nan(ind),-nan(ind),-nan(ind)
SFR_K_10,0.684683,1.92474,-3.1648,4.53417,0.709077,-nan(ind),-nan(ind),-nan(ind)
SFR_K_11,0.69897,1.92474,-3.15052,4.54845,0.419073,-nan(ind),-nan(ind),-nan(ind)
SFR_K_14,0.69817,1.92474,-3.15131,4.54766,0.688238,-nan(ind),-nan(ind),-nan(ind)
SFR_K_16,0.657344,1.92474,-3.19214,4.50683,0.524882,-nan(ind),-nan(ind),-nan(ind)
SFR_K_18,0.660492,1.92474,-3.18899,4.50998,-0.357269,-nan(ind),-nan(ind),-nan(ind)
SFR_K_22,0.705006,1.92474,-3.14448,4.55449,0.714238,-nan(ind),-nan(ind),-nan(ind)
KS_1,1.36729,1.92474,-2.48219,5.21678,0.529402,-nan(ind),-nan(ind),-nan(ind)
KS_3,-0.144712,1.92474,-3.9942,3.70477,-0.144712,-nan(ind),-nan(ind),-nan(ind)
KS_7,-4.98991,1.92474,-8.8394,-1.14043,-5,-nan(ind),-nan(ind),-nan(ind)
KS_13,0.0510404,1.92474,-3.79844,3.90053,-0.521215,-nan(ind),-nan(ind),-nan(ind)
KS_18,0.40137,1.92474,-3.44811,4.25086,0.497935,-nan(ind),-nan(ind),-nan(ind)
KS_19,1.65054,1.92474,-2.19895,5.50002,1.65054,-nan(ind),-nan(ind),-nan(ind)
KS_30,-4.93581,1.92474,-8.7853,-1.08633,-4.61915,-nan(ind),-nan(ind),-nan(ind)
KS_33,-1.02194,1.92474,-4.87142,2.82755,-1.03276,-nan(ind),-nan(ind),-nan(ind)
KS_36,-3.30162,1.92474,-7.1511,0.547869,-3.07863,-nan(ind),-nan(ind),-nan(ind)
KS_46,-0.702985,1.92474,-4.55247,3.1465,-2.92092,-nan(ind),-nan(ind),-nan(ind)
KS_50,0.457108,1.92474,-3.39238,4.30659,0.457108,-nan(ind),-nan(ind),-nan(ind)
KS_51,-4.29858,1.92474,-8.14806,-0.449093,-4.33762,-nan(ind),-nan(ind),-nan(ind)
KS_58,-0.570954,1.92474,-4.42044,3.27853,-0.471764,-nan(ind),-nan(ind),-nan(ind)
KS_60,0.70288,1.92474,-3.1466,4.55237,0.70288,-nan(ind),-nan(ind),-nan(ind)
KS_61,-1.54701,1.92474,-5.39649,2.30248,-1.53041,-nan(ind),-nan(ind),-nan(ind)
KS_63,1.02412,1.92474,-2.82536,4.87361,1.02978,-nan(ind),-nan(ind),-nan(ind)
KS_65,-2.72322,1.92474,-6.5727,1.12627,-2.74007,-nan(ind),-nan(ind),-nan(ind)
KS_75,-4.98949,1.92474,-8.83898,-1.14001,-4.98897,-nan(ind),-nan(ind),-nan(ind)
KS_83,0.81766,1.92474,-3.03182,4.66715,0.81766,-nan(ind),-nan(ind),-nan(ind)
KS_95,-3.99995,1.92474,-7.84943,-0.150463,-4.21804,-nan(ind),-nan(ind),-nan(ind)
KS_96,-3.7621,1.92474,-7.61159,0.087383,-3.7621,-nan(ind),-nan(ind),-nan(ind)
KS_100,-4.7867,1.92474,-8.63619,-0.937217,-3.91284,-nan(ind),-nan(ind),-nan(ind)
KS_101,-3.07216,1.92474,-6.92165,0.777323,-3.07216,-nan(ind),-nan(ind),-nan(ind)
KS_105,-4.99872,1.92474,-8.8482,-1.14923,-4.99251,-nan(ind),-nan(ind),-nan(ind)
KS_113,-1.04328,1.92474,-4.89276,2.80621,-1.07496,-nan(ind),-nan(ind),-nan(ind)
KS_122,1.54991,1.92474,-2.29957,5.3994,1.44157,-nan(ind),-nan(ind),-nan(ind)
KS_125,2.59078,1.92474,-1.25871,6.44026,2.69897,-nan(ind),-nan(ind),-nan(ind)
KS_126,2.69897,1.92474,-1.15051,6.54846,2.69897,-nan(ind),-nan(ind),-nan(ind)
KS_128,0.64429,1.92474,-3.20519,4.49378,0.48508,-nan(ind),-nan(ind),-nan(ind)
KS_139,-3.6403,1.92474,-7.48978,0.209189,-3.6403,-nan(ind),-nan(ind),-nan(ind)
KS_145,1.40617,1.92474,-2.44332,5.25565,1.40587,-nan(ind),-nan(ind),-nan(ind)
KS_146,0.753328,1.92474,-3.09616,4.60281,0.752903,-nan(ind),-nan(ind),-nan(ind)
KS_156,-0.600691,1.92474,-4.45018,3.24879,-0.0792438,-nan(ind),-nan(ind),-nan(ind)
KS_157,-1.078,1.92474,-4.92749,2.77148,-1.36529,-nan(ind),-nan(ind),-nan(ind)
KS_161,2.69897,1.92474,-1.15051,6.54846,2.69897,-nan(ind),-nan(ind),-nan(ind)
KS_163,-1.17026,1.92474,-5.01975,2.67922,-1.19846,-nan(ind),-nan(ind),-nan(ind)
KS_164,-1.26254,1.92474,-5.11202,2.58695,-1.25922,-nan(ind),-nan(ind),-nan(ind)
KS_170,-2.69168,1.92474,-6.54116,1.15781,-2.69168,-nan(ind),-nan(ind),-nan(ind)
KS_173,-2.09806,1.92474,-5.94754,1.75143,-2.09709,-nan(ind),-nan(ind),-nan(ind)
KS_174,0.766783,1.92474,-3.0827,4.61627,0.765452,-nan(ind),-nan(ind),-nan(ind)
KS_180,-4.67596,1.92474,-8.52544,-0.826474,-3.87743,-nan(ind),-nan(ind),-nan(ind)
KS_181,-1.30808,1.92474,-5.15756,2.54141,-1.35926,-nan(ind),-nan(ind),-nan(ind)
KS_182,0.690154,1.92474,-3.15933,4.53964,0.698104,-nan(ind),-nan(ind),-nan(ind)
KS_191,-3.9959,1.92474,-7.84539,-0.146417,-3.9959,-nan(ind),-nan(ind),-nan(ind)
KS_196,-5,1.92474,-8.84949,-1.15051,-5,-nan(ind),-nan(ind),-nan(ind)
KS_200,-4.98845,1.92474,-8.83794,-1.13897,-4.96643,-nan(ind),-nan(ind),-nan(ind)
KS_202,-3.99453,1.92474,-7.84401,-0.14504,-3.99655,-nan(ind),-nan(ind),-nan(ind)
KS_203,-3.94396,1.92474,-7.79345,-0.094476,-3.94302,-nan(ind),-nan(ind),-nan(ind)
KS_206,-5,1.92474,-8.84949,-1.15051,-5,-nan(ind),-nan(ind),-nan(ind)
KS_208,-4.83553,1.92474,-8.68502,-0.986046,-4.67386,-nan(ind),-nan(ind),-nan(ind)
KS_216,-4.07821,1.92474,-7.92769,-0.228723,-4.07794,-nan(ind),-nan(ind),-nan(ind)
KS_220,-4.02912,1.92474,-7.8786,-0.179632,-4.07173,-nan(ind),-nan(ind),-nan(ind)
KS_224,-4.00043,1.92474,-7.84992,-0.15095,-4.00043,-nan(ind),-nan(ind),-nan(ind)
