date,STORAGE_IN_base,CONSTANT_HEAD_IN_base,WELLS_IN,HEAD_DEP_BOUNDS_IN_base,STREAM_LEAKAGE_IN_base,LAKE__SEEPAGE_IN_base,UZF_RECHARGE_IN_base,GW_ET_IN_base,SURFACE_LEAKAGE_IN_base,MNW2_IN,AG_WELLS_IN,TOTAL_IN_base,STORAGE_OUT_base,CONSTANT_HEAD_OUT_base,WELLS_OUT,HEAD_DEP_BOUNDS_OUT_base,STREAM_LEAKAGE_OUT_base,LAKE__SEEPAGE_OUT_base,UZF_RECHARGE_OUT_base,GW_ET_OUT_base,SURFACE_LEAKAGE_OUT_base,MNW2_OUT,AG_WELLS_OUT,TOTAL_OUT_base,IN-OUT_base,PERCENT_DISCREPANCY_base,day_base,year_base,month_base,date_base,STORAGE_IN_unimp,CONSTANT_HEAD_IN_unimp,HEAD_DEP_BOUNDS_IN_unimp,STREAM_LEAKAGE_IN_unimp,LAKE__SEEPAGE_IN_unimp,UZF_RECHARGE_IN_unimp,GW_ET_IN_unimp,SURFACE_LEAKAGE_IN_unimp,TOTAL_IN_unimp,STORAGE_OUT_unimp,CONSTANT_HEAD_OUT_unimp,HEAD_DEP_BOUNDS_OUT_unimp,STREAM_LEAKAGE_OUT_unimp,LAKE__SEEPAGE_OUT_unimp,UZF_RECHARGE_OUT_unimp,GW_ET_OUT_unimp,SURFACE_LEAKAGE_OUT_unimp,TOTAL_OUT_unimp,IN-OUT_unimp,PERCENT_DISCREPANCY_unimp,day_unimp,year_unimp,month_unimp,date_unimp
1990-01-15,1470494.0,0.0,0.0,6530827.0,3868366.5,232292.64,24743614.0,0.0,0.0,1117.1836,0.0,36846710.0,28946224.0,0.0,17903.771,4269895.0,2101635.0,106196.09,0.0,7089.692,924438.9,141496.7,0.0,36514880.0,331829.0,1.175,15,1990,1,1990-01-15,1801491.8,0.0,6513446.0,3945931.0,32707.895,24727332.0,0.0,0.0,37020908.0,28950726.0,0.0,4288736.0,2096071.2,523697.44,0.0,6995.977,919318.75,36785544.0,235363.0,0.67499995,15,1990,1,1990-01-15
1990-02-15,1079961.4,0.0,0.0,6527738.5,951480.2,168924.27,1047919.5,0.0,0.0,1285.0093,0.0,9777309.0,1643529.0,0.0,17948.4,4263775.5,2653061.2,39241.13,0.0,427.8109,1005619.06,141710.45,0.0,9765312.0,11997.0,0.12,15,1990,2,1990-02-15,1321721.5,0.0,6503208.0,877199.1,5380.6724,985061.94,0.0,0.0,9692572.0,1449803.6,0.0,4291201.5,2723423.8,227628.25,0.0,401.5255,1000798.94,9693258.0,-686.0,-0.01,15,1990,2,1990-02-15
1990-03-15,1349771.0,0.0,0.0,6523176.0,625285.25,156598.38,1204930.6,0.0,0.0,1372.0573,0.0,9861133.0,1171359.2,0.0,18055.873,4265023.0,3160116.2,26806.332,0.0,12253.674,1078632.5,136259.4,0.0,9868505.0,-7372.0,-0.07,15,1990,3,1990-03-15,1456060.2,0.0,6500659.5,623576.8,1616.0668,1202010.2,0.0,0.0,9783923.0,1105915.8,0.0,4294743.0,3133445.0,157166.39,0.0,12163.567,1069098.0,9772532.0,11391.0,0.12,15,1990,3,1990-03-15
1990-04-15,1323050.0,0.0,0.0,6527188.0,449107.7,161289.12,589803.0,0.0,0.0,1395.9457,0.0,9051834.0,551087.4,0.0,18040.004,4251447.0,2922853.2,17894.371,0.0,84438.945,1074599.4,142554.95,0.0,9062916.0,-11082.0,-0.12,15,1990,4,1990-04-15,1444103.9,0.0,6502033.0,431703.44,3123.3435,588934.2,0.0,0.0,8969898.0,522459.94,0.0,4282196.0,2912844.0,117771.195,0.0,83754.46,1061662.0,8980688.0,-10790.0,-0.12,15,1990,4,1990-04-15
1990-05-15,1294448.6,0.0,0.0,6546686.5,1901102.6,200711.17,969095.06,0.0,0.0,1486.5101,0.0,10913531.0,2511384.2,0.0,27140.172,4229586.0,2619602.5,7927.3594,0.0,192982.64,1035920.0,198538.42,825.59326,10823908.0,89623.0,0.76,15,1990,5,1990-05-15,1441095.4,0.0,6511138.0,1792090.5,13995.966,950494.7,0.0,0.0,10708815.0,2362899.2,0.0,4268451.0,2663205.8,77904.414,0.0,193141.75,1022781.94,10588384.0,120430.336,1.0466666,15,1990,5,1990-05-15
1990-06-15,946620.56,0.0,0.0,6548920.0,855909.94,187405.84,726676.56,0.0,0.0,1451.8861,0.0,9266985.0,962721.7,0.0,29971.482,4230192.0,2760393.5,10905.005,0.0,11101.841,1050906.2,203605.28,0.0,9259797.0,7188.0,0.08,15,1990,6,1990-06-15,1019192.6,0.0,6511049.5,848505.6,3780.5046,699275.44,0.0,0.0,9081803.0,919642.75,0.0,4270542.0,2760003.2,81587.805,0.0,10994.266,1036078.7,9078849.0,2954.0,0.03,15,1990,6,1990-06-15
1990-07-15,1439057.4,0.0,0.0,6558225.5,455545.47,181423.0,242331.83,0.0,0.0,1393.7253,0.0,8877977.0,117253.44,0.0,37475.547,4221457.5,2617855.5,5419.468,0.0,538328.6,1018793.25,222838.72,110366.99,8889789.0,-11812.0,-0.13,15,1990,7,1990-07-15,1431967.6,0.0,6514951.0,417233.8,3624.4358,237251.52,0.0,0.0,8605029.0,119755.29,0.0,4264235.0,2606070.5,66120.34,0.0,560839.94,1007554.75,8624576.0,-19547.0,-0.23,15,1990,7,1990-07-15
1990-08-15,1323281.9,0.0,0.0,6570850.5,479770.06,176640.7,187455.05,0.0,0.0,1390.2089,0.0,8739388.0,58480.797,0.0,42257.94,4211600.0,2507157.0,6982.061,0.0,590578.8,986691.44,250620.11,111260.94,8765629.0,-26241.0,-0.3,15,1990,8,1990-08-15,1330648.1,0.0,6520964.5,407695.75,3732.4497,184989.08,0.0,0.0,8448030.0,72089.95,0.0,4254243.5,2505662.8,57144.453,0.0,606088.5,974784.3,8470013.0,-21983.0,-0.26,15,1990,8,1990-08-15
1990-09-15,1136575.8,0.0,0.0,6572101.5,483530.34,175263.08,160009.1,0.0,0.0,1381.526,0.0,8528862.0,49570.3,0.0,42204.156,4208175.0,2474316.0,10215.073,0.0,440179.03,974625.94,248072.84,107471.586,8554830.0,-25968.0,-0.3,15,1990,9,1990-09-15,1134622.4,0.0,6523465.5,407113.75,3951.4211,156979.72,0.0,0.0,8226133.0,60157.934,0.0,4250168.5,2475454.5,50379.305,0.0,450959.56,961639.8,8248760.0,-22627.0,-0.27,15,1990,9,1990-09-15
1990-10-15,1053797.8,0.0,0.0,6568872.0,506617.7,176056.83,150046.95,0.0,0.0,1378.1646,0.0,8456769.0,60077.55,0.0,38060.184,4207694.0,2464261.5,3872.646,0.0,397583.66,971886.56,234990.67,99116.195,8477542.0,-20773.0,-0.25,15,1990,10,1990-10-15,1080342.8,0.0,6522179.5,442750.7,3699.8477,142485.47,0.0,0.0,8191458.0,60661.82,0.0,4250195.5,2472528.0,45534.215,0.0,425005.47,958260.25,8212185.0,-20727.0,-0.25,15,1990,10,1990-10-15
1990-11-15,796569.5,0.0,0.0,6558674.0,822148.3,180820.77,151726.61,0.0,0.0,1412.5852,0.0,8511353.0,634378.2,0.0,30186.434,4213984.0,2379672.8,3293.8015,0.0,67055.14,981713.94,209058.9,858.428,8520201.0,-8848.0,-0.1,15,1990,11,1990-11-15,836142.44,0.0,6515567.0,802927.75,9252.158,152555.75,0.0,0.0,8316445.0,646952.9,0.0,4251267.5,2399682.2,35649.26,0.0,71109.22,962953.5,8367615.0,-51170.0,-0.61,15,1990,11,1990-11-15
1990-12-15,836032.56,0.0,0.0,6547545.0,462873.22,161144.73,143989.66,0.0,0.0,1406.9901,0.0,8152991.5,129449.44,0.0,20858.834,4220711.0,2517438.0,3020.6067,0.0,111617.89,991733.6,172560.44,75.6115,8167465.5,-14474.0,-0.18,15,1990,12,1990-12-15,862298.1,0.0,6514333.5,440205.7,3224.0642,136874.03,0.0,0.0,7956935.0,115658.77,0.0,4253624.0,2490281.5,38314.527,0.0,114764.664,969988.8,7982632.5,-25697.5,-0.32,15,1990,12,1990-12-15
1991-01-15,777036.44,0.0,0.0,6543371.5,445668.53,165322.16,144235.05,0.0,0.0,1382.9012,0.0,8077016.5,135728.05,0.0,17527.139,4223330.5,2518366.2,2721.63,0.0,30872.156,1005029.25,166589.14,23.7739,8100188.0,-23171.5,-0.29,15,1991,1,1991-01-15,831446.4,0.0,6510226.5,417844.7,3938.49,139389.28,0.0,0.0,7902845.5,126210.9,0.0,4256167.5,2493605.5,34300.39,0.0,31906.887,984137.2,7926328.5,-23483.0,-0.3,15,1991,1,1991-01-15
1991-02-15,735336.1,0.0,0.0,6544994.0,1513696.0,184105.17,298731.38,0.0,0.0,1472.7437,0.0,9278335.0,1491998.0,0.0,17634.516,4223930.5,2333556.0,3035.216,0.0,37545.668,1009519.2,170306.53,135.12685,9287661.0,-9326.5,-0.115,15,1991,2,1991-02-15,826814.5,0.0,6509620.0,404461.2,3916.068,133610.22,0.0,0.0,7878421.5,78754.51,0.0,4256593.5,2466783.0,31618.656,0.0,73436.54,987810.1,7894996.0,-16574.5,-0.21,15,1991,2,1991-02-15
