year,STORAGE_IN_base,CONSTANT_HEAD_IN_base,WELLS_IN,HEAD_DEP_BOUNDS_IN_base,STREAM_LEAKAGE_IN_base,LAKE__SEEPAGE_IN_base,UZF_RECHARGE_IN_base,GW_ET_IN_base,SURFACE_LEAKAGE_IN_base,MNW2_IN,AG_WELLS_IN,TOTAL_IN_base,STORAGE_OUT_base,CONSTANT_HEAD_OUT_base,WELLS_OUT,HEAD_DEP_BOUNDS_OUT_base,STREAM_LEAKAGE_OUT_base,LAKE__SEEPAGE_OUT_base,UZF_RECHARGE_OUT_base,GW_ET_OUT_base,SURFACE_LEAKAGE_OUT_base,MNW2_OUT,AG_WELLS_OUT,TOTAL_OUT_base,IN-OUT_base,PERCENT_DISCREPANCY_base,STORAGE_IN_unimp,CONSTANT_HEAD_IN_unimp,HEAD_DEP_BOUNDS_IN_unimp,STREAM_LEAKAGE_IN_unimp,LAKE__SEEPAGE_IN_unimp,UZF_RECHARGE_IN_unimp,GW_ET_IN_unimp,SURFACE_LEAKAGE_IN_unimp,TOTAL_IN_unimp,STORAGE_OUT_unimp,CONSTANT_HEAD_OUT_unimp,HEAD_DEP_BOUNDS_OUT_unimp,STREAM_LEAKAGE_OUT_unimp,LAKE__SEEPAGE_OUT_unimp,UZF_RECHARGE_OUT_unimp,GW_ET_OUT_unimp,SURFACE_LEAKAGE_OUT_unimp,TOTAL_OUT_unimp,IN-OUT_unimp,PERCENT_DISCREPANCY_unimp
1990,3233873700.0,0.0,0.0,15133795000.0,1697132700.0,403098720.0,2803349500.0,0.0,0.0,3189194.0,0.0,23274439000.0,3457876500.0,0.0,58910060.0,9809495000.0,6524290600.0,74454080.0,0.0,468833340.0,2357157600.0,415605060.0,70135710.0,23236758000.0,37680240.0,5.73,3541036500.0,0.0,15060166000.0,1633343200.0,12388137.0,2804882700.0,0.0,0.0,23051815000.0,3392902000.0,0.0,9886846000.0,6522909000.0,405423230.0,0.0,479891230.0,2333254100.0,23021226000.0,30589856.0,5.23
1991,10303667000.0,0.0,0.0,57544640000.0,5849459700.0,1572994000.0,5918414000.0,0.0,0.0,12346316.0,0.0,81201520000.0,7059529000.0,0.0,239291630.0,37184967000.0,23569877000.0,139479780.0,0.0,1999483400.0,8959899000.0,1693468800.0,326458620.0,81172455000.0,29068032.0,0.65,8917304000.0,0.0,47098730000.0,4527793000.0,33458816.0,4917765000.0,0.0,0.0,65495050000.0,5714009000.0,0.0,30870299000.0,19347771000.0,647556400.0,0.0,1690195700.0,7266188000.0,65536020000.0,-40971010.0,-0.84
1992,19269974000.0,0.0,0.0,115775170000.0,12104253000.0,3250735000.0,11836742000.0,0.0,0.0,25135320.0,0.0,162262000000.0,13133395000.0,0.0,488939650.0,74844480000.0,47078850000.0,260379540.0,0.0,4011710000.0,18248985000.0,3434216200.0,728760060.0,162229710000.0,32287232.0,0.4,17953626000.0,0.0,105070140000.0,10254089000.0,70996510.0,10760399000.0,0.0,0.0,144109260000.0,11598801000.0,0.0,68890360000.0,42613723000.0,1009003400.0,0.0,3787779800.0,16327838000.0,144227500000.0,-118256130.0,-1.39
1993,20368255000.0,0.0,0.0,123050710000.0,13949642000.0,3444635100.0,15758864000.0,0.0,0.0,27067236.0,0.0,176599170000.0,16655746000.0,0.0,521058660.0,79635990000.0,51062845000.0,314154020.0,0.0,4117790000.0,19909464000.0,3604673800.0,767726500.0,176589460000.0,9723904.0,0.08,20597990000.0,0.0,122379510000.0,13008635000.0,87389760.0,15579536000.0,0.0,0.0,171653050000.0,16167265000.0,0.0,80302480000.0,50528666000.0,1031081340.0,0.0,4253712100.0,19470615000.0,171753820000.0,-100756480.0,-0.86
1994,22582516000.0,0.0,0.0,139411830000.0,15635443000.0,3855389400.0,18279310000.0,0.0,0.0,30728356.0,0.0,199795210000.0,18155737000.0,0.0,595137800.0,90248680000.0,58034217000.0,360294620.0,0.0,4616119300.0,22872550000.0,4085630000.0,864443800.0,199832810000.0,-37603330.0,-0.22999999,24497043000.0,0.0,150197470000.0,15802078000.0,103955930.0,19519216000.0,0.0,0.0,210119770000.0,19026370000.0,0.0,98583070000.0,62085005000.0,1138425500.0,0.0,5187881500.0,24208441000.0,210229180000.0,-109423620.0,-0.7
1995,37787790000.0,0.0,0.0,233265280000.0,27371452000.0,6511794700.0,35083715000.0,0.0,0.0,51769124.0,0.0,340071800000.0,34033695000.0,0.0,1002537700.0,151137930000.0,98412640000.0,682387800.0,0.0,7624222700.0,38956364000.0,6872602000.0,1431307500.0,340153700000.0,-81888260.0,-0.45,37608980000.0,0.0,231616090000.0,25671746000.0,165270130.0,34443563000.0,0.0,0.0,329505640000.0,32884058000.0,0.0,152167170000.0,96982410000.0,1683432300.0,0.0,7903786500.0,37985860000.0,329606730000.0,-101070850.0,-0.57
1996,41197690000.0,0.0,0.0,248561610000.0,29985626000.0,6935757000.0,41527038000.0,0.0,0.0,55534640.0,0.0,368263270000.0,39033446000.0,0.0,1077068400.0,161119730000.0,106851680000.0,769142460.0,0.0,8230004700.0,42446130000.0,7366709000.0,1502933000.0,368396830000.0,-133570560.0,-0.56,43852755000.0,0.0,264710550000.0,30254735000.0,194021630.0,43914883000.0,0.0,0.0,382926950000.0,40604600000.0,0.0,173998030000.0,112917610000.0,1828617200.0,0.0,9187135000.0,44424030000.0,382960000000.0,-33069056.0,-0.17
1997,76825534000.0,0.0,0.0,458529540000.0,56165500000.0,12846010000.0,79234654000.0,0.0,0.0,102824530.0,0.0,683704060000.0,73817310000.0,0.0,1999902200.0,297190520000.0,198676550000.0,1422119400.0,0.0,15457556000.0,79034670000.0,13711113000.0,2803562200.0,684113300000.0,-409223170.0,-1.5699999,45007503000.0,0.0,268944360000.0,31096717000.0,204022370.0,46185440000.0,0.0,0.0,391438040000.0,42041475000.0,0.0,176780560000.0,115686560000.0,1788050300.0,0.0,9525974000.0,45614764000.0,391437400000.0,655360.0,-0.01
1998,84821490000.0,0.0,0.0,502174580000.0,62956410000.0,14109048000.0,94686620000.0,0.0,0.0,113312440.0,0.0,758861460000.0,86252040000.0,0.0,2196944000.0,325704880000.0,220652260000.0,1608728400.0,0.0,16874114000.0,87950220000.0,15051533000.0,3046011600.0,759336700000.0,-475277300.0,-1.52,47831940000.0,0.0,283375440000.0,33717946000.0,212467260.0,53276004000.0,0.0,0.0,418413800000.0,47539905000.0,0.0,186411420000.0,123699450000.0,1865335300.0,0.0,10008590000.0,48859083000.0,418383800000.0,30011392.0,0.099999994
1999,79688570000.0,0.0,0.0,467013930000.0,58658316000.0,13055105000.0,90267450000.0,0.0,0.0,105689096.0,0.0,708789100000.0,80341160000.0,0.0,2056132100.0,302958400000.0,206917930000.0,1527722900.0,0.0,15880765000.0,82714950000.0,14007511000.0,2812884200.0,709217500000.0,-428414980.0,-1.27,75533390000.0,0.0,445135130000.0,53618004000.0,332780030.0,86621620000.0,0.0,0.0,661240940000.0,75957840000.0,0.0,292898240000.0,196072980000.0,2902504700.0,0.0,15744670000.0,77568336000.0,661144600000.0,96327680.0,0.34
