year,StreamOut_Q_base,HortSroff2Stream_Q_base,DunnSroff2Stream_Q_base,Interflow2Stream_Q_base,Stream2Unsat_Q_base,StreamExchng2Sat_Q_base,Precip_Q_base,NetBoundaryFlow2Sat_Q_base,NetWellFlow_Q_base,BoundaryStreamFlow_Q_base,CanopyEvap_Q_base,SnowEvap_Q_base,ImpervEvap_Q_base,DprstEvap_Q_base,CapET_Q_base,SwaleEvap_Q_base,UnsatET_Q_base,SatET_Q_base,LakeEvap_Q_base,DunnInterflow2Lake_Q_base,HortSroff2Lake_Q_base,Lake2Unsat_Q_base,LakeExchng2Sat_Q_base,SoilDrainage2Unsat_Q_base,Sat2Grav_Q_base,RechargeUnsat2Sat_Q_base,Infil2Soil_Q_base,Canopy_S_base,SnowPweqv_S_base,Imperv_S_base,Dprst_S_base,Cap_S_base,Grav_S_base,Unsat_S_base,Sat_S_base,UnsatStream_S_base,Lake_S_base,Stream_S_base,StreamOut_Q_unimp,HortSroff2Stream_Q_unimp,DunnSroff2Stream_Q_unimp,Interflow2Stream_Q_unimp,Stream2Unsat_Q_unimp,StreamExchng2Sat_Q_unimp,Precip_Q_unimp,NetBoundaryFlow2Sat_Q_unimp,NetWellFlow_Q_unimp,BoundaryStreamFlow_Q_unimp,CanopyEvap_Q_unimp,SnowEvap_Q_unimp,ImpervEvap_Q_unimp,DprstEvap_Q_unimp,CapET_Q_unimp,SwaleEvap_Q_unimp,UnsatET_Q_unimp,SatET_Q_unimp,LakeEvap_Q_unimp,DunnInterflow2Lake_Q_unimp,HortSroff2Lake_Q_unimp,Lake2Unsat_Q_unimp,LakeExchng2Sat_Q_unimp,SoilDrainage2Unsat_Q_unimp,Sat2Grav_Q_unimp,RechargeUnsat2Sat_Q_unimp,Infil2Soil_Q_unimp,Canopy_S_unimp,SnowPweqv_S_unimp,Imperv_S_unimp,Dprst_S_unimp,Cap_S_unimp,Grav_S_unimp,Unsat_S_unimp,Sat_S_unimp,UnsatStream_S_unimp,Lake_S_unimp,Stream_S_unimp
1990,1645091675.0,44446436.305804856,35680931.27194,608808297.3,0.0,-749841738.3,2008421276.07,846962023.0,-80301607.5,289925579.68,26870643.534477785,13724.469847,1669900.6897500856,1591932.4327,1551258581.6,0.0,2325748.32374,91242613.5185,22448715.406,6868938.6171,167077.3176238034,0.0,56720780.88,213008918.17,368194356.2,247772416.4,1926986802.307317,193888.01151071233,291553.1349769863,1852.8418601806218,1797049.219780822,370081560.2191781,22880704.298630137,220677537.80821916,24868892191.780823,0.0,289701570.9589041,0.0,1483727042.0,40898329.404359855,34639409.23494,605577923.2,0.0,-764101749.45,2008421276.07,820515114.0,0.0,0.0,26870643.534477785,13724.469847,1656137.125766855,1496869.9515,1547465347.0,0.0,2334133.82875,93572074.6705,22448715.406,5385323.8449,163048.48743262,0.0,-38771294.72,211569412.3,363444222.1,247265568.2,1924694189.4843001,193888.01151071233,291553.1349769863,1849.0079233268875,284501.7929315069,369437234.2191781,22711239.197260275,219939526.57534248,24841771315.068493,0.0,402930.0893150685,0.0
1991,1933670601.0,56386984.9265,57226967.71,876861385.7,0.0,-709106410.6,2723104949.82,845540312.0,-81210613.3,327214002.43,24596454.59142995,631.302115,1647151.78197,1604841.351,1421327634.9,0.0,1999547.0174,78604257.4041,21951815.604,17602848.591000002,217148.7865414796,0.0,65544449.2,273267017.04,377081339.0,197352462.8,2631592405.3080997,187639.13159944655,24346.117499726024,1465.58771424223,2702590.6063013696,334161341.2876712,21880126.183561645,278686312.05479455,24677885534.246574,0.0,327609131.7808219,0.0,1710224505.0,50787565.578185216,55710474.51,866591931.6,0.0,-717463003.92,2723104949.82,818439256.0,0.0,0.0,24596454.59142995,631.302115,1621693.334070402,1872471.2477,1416247084.0,0.0,2013495.14782,81541546.5121,21951815.604,14977898.6615,209088.4355096,0.0,-10620540.102,269632284.66,368395944.7,193979350.8,2628064505.0229,187639.13159944655,24346.117499726024,1463.2585246567505,519023.81041095895,333175363.0684931,21554403.89041096,277770920.0,24634573013.69863,0.0,395337.59808219183,0.0
1992,2343553960.0,81986711.14,63006261.269999996,1142165693.0,0.0,-679142404.15,3454809619.2,844968340.0,-80459915.4,423737964.9,28836302.958901927,4891.580537,2108531.3293479998,1679348.4365,1571919117.5,0.0,2431351.97547,78913424.9652,23316830.252,21447969.64,334809.9640134284,0.0,62963189.1,415791118.14,388351058.5,295802778.3,3319986966.818,239643.90535412022,311330.85189043713,1943.6045476370005,2974801.1185792354,393518276.2295082,35793532.04644809,357872598.08743167,24570258469.945354,0.0,335482044.8087432,0.0,1973461314.0,76341051.52744971,61482524.8,1127154487.8,0.0,-684352899.3,3454809619.2,819174509.0,0.0,0.0,28836302.958901927,4891.580537,2083464.1252171919,2017284.8828,1566315019.1,0.0,2447034.01741,81735660.5506,23316830.252,17875912.299,326248.93685518,0.0,-8716846.749,409842361.44,377308350.7,289886371.1,3315975989.6753,239643.90535412022,311330.85189043713,1940.0282724952137,750211.2076502732,392581469.5355191,35296500.75136612,357226240.43715847,24521528196.72131,0.0,418993.26174863393,0.0
1993,3341867761.0,90179327.647882,100305663.17,1743338634.4,0.0,-767451931.75,3744343973.86,835399576.0,-76414410.8,619197154.66,33125865.68199445,12071.88392,2477737.079437,1912168.8426,1763239318.9,0.0,2591342.282,73204847.3119,21881111.963,33914635.307000004,342328.6544475455,0.0,54905181.64,550238938.47,428762715.0,507793971.7,3611994171.622,280179.96494649316,1385786.408069041,2393.739178133126,3891910.7479452053,464248740.82191783,54764428.63561644,475131628.2191781,24641867589.041096,0.0,306489687.94520545,0.0,2743420870.0,84268319.72041406,98840152.04,1731945194.8,0.0,-769214177.55,3744343973.86,810921973.0,0.0,0.0,33125865.68199445,12071.88392,2451596.29186658,2490609.664,1758946305.6,0.0,2612042.8463,76111825.741,21881111.963,30442987.6709,333883.36338175,0.0,-10158126.8834,545800933.11,418024412.0,503226343.8,3607681559.06924,280179.96494649316,1385786.408069041,2389.465883735044,1847581.6630136985,463525000.5479452,54370014.96986301,475009970.4109589,24593950164.38356,0.0,502006.42520547943,0.0
1994,1969504955.0,63257196.692,47608841.57,893953461.0,0.0,-705887286.25,2732022270.34,842875237.0,-83705231.6,292168338.0,32230040.74144606,15664.02231,1914558.541503,1709964.0184,1457616792.8,0.0,2050873.4028,73547295.8393,22166678.888,13746425.135,227037.7415883808,0.0,57212796.5,359996793.04,396010331.0,298319936.4,2624969893.549,247042.44291484385,75815.68983232878,2912.2347764170117,3291781.3315068493,427166291.9726027,33027810.761643834,471650824.10958904,24537064684.931507,0.0,299830421.0958904,0.0,1761760009.0,57865470.81954828,46178086.84,881555327.1,0.0,-700716788.2,2732022270.34,814937301.0,0.0,0.0,32230040.74144606,15664.02231,1890639.7409670372,2249872.8702,1452312770.5,0.0,2047181.7126,76918133.769,22166678.888,10550669.608099999,219668.53090291002,0.0,-11044045.5492,353978518.43,386316482.0,292926573.0,2620951158.9999,247042.44291484385,75815.68983232878,2908.044694595642,1582276.3186301368,426229192.3835617,32475883.161643837,471044664.3835617,24492046739.72603,0.0,411669.38520547946,0.0
1995,4940308479.0,148703947.913089,262861939.57,3008652691.7,0.0,-790815812.25,5593839076.54,831050418.0,-81476847.0,722137569.77,32193447.465965785,12739.77582628,2686351.247908,1981482.1413,1656177242.4,0.0,2708086.6004,83339098.5257,22168217.467,65928960.646,624657.988023776,0.0,59267693.2,743079453.79,460931617.0,707448694.8,5383029642.43587,293582.7872321918,181541.24117150684,2172.112446370411,4320969.860273972,453252712.3287671,69579212.50136986,585383263.5616438,24704613589.041096,0.0,340582206.5753425,0.0,4291273263.0,142528621.25858414,260832856.02,2997016125.4,0.0,-790052943.65,5593839076.54,804793474.0,0.0,0.0,32193447.465965785,12739.77582628,2662428.8844628073,2632925.8433,1651960271.6,0.0,2710578.6299,86941363.8337,22168217.467,61665958.9207,616074.3290286909,0.0,-10648486.067,740375319.41,450773893.0,703034267.8,5378074673.29129,293582.7872321918,181541.24117150684,2169.9350906035615,3335696.405479452,452583565.17808217,69239012.22191781,586060932.0547945,24657890356.164383,0.0,594091.5802739726,0.0
1996,3926705294.0,127386493.2838605,152771822.16,2265761456.1,0.0,-754582655.35,4999290524.08,840757599.0,-84589417.1,717879966.4,29023836.517317705,1257.567467,2725093.0582513,1955471.141,1784975779.6,0.0,2668460.71806,84369502.1856,23171227.977,43384983.677,493090.3258658102,0.0,59913683.17,658178062.18,448028946.0,562776949.1,4818374316.1141,282325.6208515027,74887.84100136612,2371.9299185636887,3830555.8114754097,465616680.87431693,62221816.94808743,584152806.010929,24741789781.420765,0.0,337147477.59562844,0.0,3340758430.0,121682931.7526336,151112352.55,2251171940.8,0.0,-747164028.95,4999290524.08,813565627.0,0.0,0.0,29023836.517317705,1257.567467,2700025.608407969,2660467.9034,1780564201.2,0.0,2685047.3294,87696609.4117,23171227.977,39715866.7135,485805.03800345,0.0,-9994054.9242,653807298.97,437614706.0,558529257.5,4813925510.973,282325.6208515027,74887.84100136612,2369.709357310806,3579244.87431694,464915890.9836066,61781783.91256831,584663894.5355191,24697030983.606556,0.0,554361.0177595628,0.0
1997,3105082085.0,76952065.7986,116343634.3,1582706987.6,0.0,-797178343.6,3305699918.29,842802246.0,-86918838.5,494746230.15,34313666.0264179,368.31951,2292690.167737,1675819.5695,1602299185.6,0.0,2016736.11874,88579949.619,23034796.949,28674859.455,300866.1168716282,0.0,59157267.94,455920683.49,433353017.0,474667490.8,3181899793.746,245295.3769539452,5837.475297479453,1905.6874950542083,3445873.5287671234,443940352.8767123,47446807.063013695,595083266.849315,24735720493.150684,0.0,340821116.43835616,0.0,2598291329.0,71357151.49620706,114765747.96000001,1571727466.5,0.0,-797557155.1,3305699918.29,814485753.0,0.0,0.0,34313666.0264179,368.31951,2264850.190282969,2426055.341,1596591708.1,0.0,2027447.11616,92999405.9418,23034796.949,25258670.6078,292805.60494075,0.0,-9969946.819,451215952.13,423217041.0,470114435.0,3177585267.98594,245295.3769539452,5837.475297479453,1902.4939654265836,3824516.3232876714,443090373.69863015,47047089.79452055,595639827.9452055,24692197178.08219,0.0,480475.2350684932,0.0
1998,5193853258.0,145528811.9249897,168276364.79,3093536477.5,0.0,-860618552.05,5567595840.06,824744492.0,-80704880.1,855447242.0,36567094.36813377,1820.3547002,3399718.838809,1887772.9562,1671516664.5,0.0,2607209.874,82122885.7027,20733299.871,61441819.889,591382.0511439419,0.0,56442629.142,811869329.68,493597472.0,806150716.6,5355617210.6429,379147.3975829589,80820.12427917808,3888.2766382326026,4611526.024657534,514590673.15068495,82372267.43561643,671384050.1369863,24915968383.561646,0.0,374944715.89041096,0.0,4354932615.0,139323522.57661164,166343041.49,3079484036.2,0.0,-857757045.05,5567595840.06,798562060.0,0.0,0.0,36567094.36813377,1820.3547002,3378466.460456933,2449914.0306,1668126439.4,0.0,2607487.5297,85128364.8298,20733299.871,56686334.6311,583937.64732052,0.0,-13927442.4449,809078635.93,481836910.0,802434283.5,5350885874.758845,379147.3975829589,80820.12427917808,3883.94337196137,5103145.569863014,514010172.60273975,81943718.26575342,673171333.9726027,24869477068.49315,0.0,628769.3780821918,0.0
1999,3001391397.0,74856006.79,80356921.92,1573608189.5,0.0,-817502774.7,3078228100.77,840910458.0,-84264946.4,447941039.39,29646450.508407846,53968.945917000005,2151278.6446,1676602.049,1391538614.7,0.0,2256031.7945,99976937.3221,21750421.664,25574289.166,273722.6027040123,0.0,55412563.22,462930121.43,447662931.0,485241571.9,2963949014.68,236506.83548723123,528219.3372644109,2316.6324765391782,3660838.901369863,431081613.2328767,51695478.75342466,646439947.9452055,24895634821.91781,0.0,327488000.27397263,0.0,2561103497.0,68836144.38543081,78525826.69,1563229499.2,0.0,-816529321.0,3078228100.77,812824925.0,0.0,0.0,29646450.508407846,53968.945917000005,2124268.8178040995,2523403.662,1386717193.3,0.0,2242739.6526,104427257.6724,21750421.664,22322755.1269,266778.45844693,0.0,-10649448.9467,460173394.67,437492043.0,482922815.2,2959361000.71741,236506.83548723123,528219.3372644109,2313.406152738904,4905807.868493151,430207060.43835616,51283560.5890411,647549636.1643835,24854701178.08219,0.0,499539.98821917805,0.0
