year,STORAGE_IN_base,CONSTANT_HEAD_IN_base,WELLS_IN,HEAD_DEP_BOUNDS_IN_base,STREAM_LEAKAGE_IN_base,LAKE__SEEPAGE_IN_base,UZF_RECHARGE_IN_base,GW_ET_IN_base,SURFACE_LEAKAGE_IN_base,MNW2_IN,AG_WELLS_IN,TOTAL_IN_base,STORAGE_OUT_base,CONSTANT_HEAD_OUT_base,WELLS_OUT,HEAD_DEP_BOUNDS_OUT_base,STREAM_LEAKAGE_OUT_base,LAKE__SEEPAGE_OUT_base,UZF_RECHARGE_OUT_base,GW_ET_OUT_base,SURFACE_LEAKAGE_OUT_base,MNW2_OUT,AG_WELLS_OUT,TOTAL_OUT_base,IN-OUT_base,PERCENT_DISCREPANCY_base,STORAGE_IN_unimp,CONSTANT_HEAD_IN_unimp,HEAD_DEP_BOUNDS_IN_unimp,STREAM_LEAKAGE_IN_unimp,LAKE__SEEPAGE_IN_unimp,UZF_RECHARGE_IN_unimp,GW_ET_IN_unimp,SURFACE_LEAKAGE_IN_unimp,TOTAL_IN_unimp,STORAGE_OUT_unimp,CONSTANT_HEAD_OUT_unimp,HEAD_DEP_BOUNDS_OUT_unimp,STREAM_LEAKAGE_OUT_unimp,LAKE__SEEPAGE_OUT_unimp,UZF_RECHARGE_OUT_unimp,GW_ET_OUT_unimp,SURFACE_LEAKAGE_OUT_unimp,TOTAL_OUT_unimp,IN-OUT_unimp,PERCENT_DISCREPANCY_unimp
2000,1051232.5,0.0,0.0,6540226.0,1312390.6,199508.89,1632152.1,0.0,0.0,1551.921,0.0,10737062.0,1880046.8,0.0,29218.924,4246412.5,2869156.2,14295.141,0.0,243549.97,1206820.0,204812.64,43898.516,10738210.0,-1148.6923,-0.048461538,1011901.8,0.0,6503170.5,1352814.2,5753.607,1595485.8,0.0,0.0,10469126.0,1933358.6,0.0,4283999.5,2806517.2,27984.26,0.0,235230.58,1173483.9,10460574.0,8551.821,0.065
2001,1035075.25,0.0,0.0,6549897.0,1389021.1,194316.06,1243466.8,0.0,0.0,1489.936,0.0,10413266.0,1853098.1,0.0,28987.42,4231663.5,2646218.8,16512.953,0.0,248480.06,1094591.5,205516.06,45272.74,10370341.0,42924.973,0.2661111,978912.9,0.0,6509434.5,1432395.5,8697.4375,1339794.9,0.0,0.0,10269235.0,2004726.9,0.0,4273427.5,2645608.0,29599.09,0.0,205975.81,1072644.9,10231982.0,37252.793,0.28941178
2002,892677.4,0.0,0.0,6537450.5,2574856.0,243405.11,2029665.1,0.0,0.0,1681.7537,0.0,12279736.0,3730194.8,0.0,26337.727,4244359.0,2604360.5,15201.184,0.0,177506.19,1151892.4,187645.78,32670.357,12170167.0,109568.414,0.45333332,870265.56,0.0,6502465.5,2560116.8,20852.004,2096033.4,0.0,0.0,12049734.0,3730650.5,0.0,4280597.5,2567497.8,25694.623,0.0,194107.73,1128681.2,11927230.0,122503.56,0.62823534
2003,992940.75,0.0,0.0,6535504.5,1631679.1,208450.17,1772365.5,0.0,0.0,1587.9194,0.0,11142528.0,2299230.2,0.0,29233.613,4253256.0,2868964.2,20555.906,0.0,214634.39,1207037.8,198780.39,40581.125,11132274.0,10253.615,-0.013076929,962358.75,0.0,6499367.5,1694460.6,11160.032,1738257.4,0.0,0.0,10905605.0,2329921.8,0.0,4290836.0,2831692.0,32581.312,0.0,224392.39,1179764.1,10889186.0,16417.27,0.066923074
2004,972099.25,0.0,0.0,6538191.5,2208754.2,215008.1,1919282.2,0.0,0.0,1588.3374,0.0,11854924.0,3105844.2,0.0,28031.32,4248309.0,2778584.5,22826.53,0.0,215979.52,1193402.5,206987.94,39279.766,11839245.0,15678.667,0.03166667,1000343.0,0.0,6500690.5,1794989.9,14117.465,1837593.0,0.0,0.0,11147734.0,2591501.5,0.0,4287437.0,2832668.5,35150.25,0.0,216404.31,1164709.4,11127871.0,19862.562,0.082499996
2005,887123.94,0.0,0.0,6537900.5,2207806.2,225021.61,2061148.4,0.0,0.0,1573.8367,0.0,11920575.0,3241811.8,0.0,29033.994,4246735.5,2732269.2,22155.848,0.0,199208.1,1188687.1,195700.7,34936.31,11890538.0,30036.363,0.18545455,815506.56,0.0,6499349.0,2533777.0,17236.781,2158856.5,0.0,0.0,12024726.0,3620380.8,0.0,4288689.5,2729410.8,31153.688,0.0,153531.78,1175079.6,11998247.0,26479.184,0.09789473
2006,1126000.2,0.0,0.0,6529812.5,2036537.4,250333.66,2600146.8,0.0,0.0,1611.9786,0.0,12544443.0,3411684.0,0.0,29077.262,4257512.5,3041825.5,23991.543,0.0,231312.78,1300885.8,203381.4,40456.406,12540127.0,4316.4287,-0.024285715,1148762.8,0.0,6492664.0,1829310.5,13886.369,2638395.5,0.0,0.0,12123020.0,3147681.2,0.0,4297570.5,3079674.2,33083.17,0.0,259011.9,1287631.4,12104652.0,18367.691,0.13076924
2007,903763.3,0.0,0.0,6546900.0,1471331.4,194486.94,1120514.6,0.0,0.0,1513.9164,0.0,10238510.0,1780275.9,0.0,28093.828,4233153.5,2593533.5,14502.61,0.0,202271.69,1124078.9,199535.62,38174.027,10213620.0,24890.889,0.18944445,898310.8,0.0,6508263.0,1303573.4,9135.808,1085045.6,0.0,0.0,9804329.0,1601421.5,0.0,4272190.5,2614474.5,29120.098,0.0,199599.56,1098120.9,9814927.0,-10598.5,-0.13562499
2008,928641.2,0.0,0.0,6544636.5,1680168.0,204969.02,1405697.2,0.0,0.0,1523.7063,0.0,10765635.0,2215943.0,0.0,29235.527,4233683.0,2640316.2,18130.469,0.0,215898.61,1118084.9,195581.22,46807.31,10713680.0,51955.234,0.20866667,908935.25,0.0,6504418.0,2124667.5,17547.637,1636835.8,0.0,0.0,11192404.0,2894851.2,0.0,4277498.5,2608086.8,24212.229,0.0,200024.83,1112128.2,11116802.0,75602.5,0.34600002
2009,846126.44,0.0,0.0,6547738.0,945011.5,183504.94,859776.0,0.0,0.0,1445.9656,0.0,9383603.0,1037849.06,0.0,31314.592,4227740.0,2526593.5,14493.937,0.0,241278.31,1061612.6,185888.72,54060.434,9380831.0,2772.0293,0.017058823,765227.8,0.0,6507654.0,1482730.1,10813.769,1137261.4,0.0,0.0,9903686.0,1879334.1,0.0,4271083.5,2481817.5,24549.541,0.0,181465.14,1053077.9,9891328.0,12359.167,0.06866667
2010,860802.75,0.0,0.0,6530048.0,2091568.6,238003.11,2419622.0,0.0,0.0,1595.6497,0.0,12141640.0,3511145.2,0.0,26675.625,4252896.5,2824800.5,20450.336,0.0,112305.04,1148770.6,168125.88,24504.766,12089674.0,51965.79,0.36421052,800743.1,0.0,6500778.5,2152789.5,16400.672,2221942.0,0.0,0.0,11692653.0,3351626.2,0.0,4286518.5,2735426.0,28312.367,0.0,130869.32,1120716.0,11653469.0,39184.266,0.27999997
2011,1128844.2,0.0,0.0,6529983.0,675616.4,166156.16,1765927.1,0.0,0.0,1508.7427,0.0,10268035.0,1130526.2,0.0,30636.145,4259929.0,3177869.5,29668.803,0.0,175882.4,1233518.5,179384.27,33484.996,10250900.0,17134.924,0.17538461,1116457.1,0.0,6497236.0,630450.0,2163.1611,1751336.4,0.0,0.0,9997643.0,1106739.6,0.0,4295555.0,3197843.2,40752.355,0.0,183002.61,1198902.0,10022795.0,-25152.791,-0.26583335
2012,838030.0,0.0,0.0,6533641.0,3018300.0,227666.67,2225516.0,0.0,0.0,1632.6093,0.0,12844786.0,4400667.0,0.0,25820.111,4244522.5,2589359.2,14603.859,0.0,143141.97,1146228.6,175149.47,28689.63,12768182.0,76603.98,0.42200002,903950.44,0.0,6500051.0,3335990.5,22361.986,2442093.2,0.0,0.0,13204447.0,4930292.5,0.0,4284140.5,2624978.8,28332.643,0.0,137665.1,1130150.1,13135559.0,68888.09,0.38454545
2013,890862.25,0.0,0.0,6546055.0,549806.1,175165.39,850209.9,0.0,0.0,1440.2095,0.0,9013538.0,451016.22,0.0,30707.26,4232948.0,2681305.8,18236.322,0.0,249920.61,1104415.1,199801.9,46209.305,9014561.0,-1022.11536,-0.023076924,900543.56,0.0,6506734.5,512557.88,3551.877,878455.44,0.0,0.0,8801843.0,468689.75,0.0,4274173.5,2690802.5,26131.373,0.0,253108.56,1086346.4,8799252.0,2591.5417,0.021666666
2014,788808.8,0.0,0.0,6543577.0,2630926.8,235857.81,1426909.0,0.0,0.0,1552.3617,0.0,11627632.0,3441743.0,0.0,26274.688,4226281.5,2358474.8,10317.764,0.0,171871.27,1051268.6,179453.34,34977.0,11500662.0,126969.79,0.7,819163.6,0.0,6508148.5,2602433.0,24298.08,1642186.2,0.0,0.0,11596229.0,3599354.8,0.0,4267826.5,2409724.2,20934.559,0.0,135979.03,1029740.1,11463560.0,132669.88,0.7719047
2015,779994.06,0.0,0.0,6539502.0,1527500.5,211964.1,938304.0,0.0,0.0,1508.7632,0.0,9998773.0,1676525.9,0.0,28281.477,4234929.5,2521655.0,15342.86,0.0,229667.92,1073535.4,157062.06,39809.76,9976810.0,21964.1,0.15533333,775167.6,0.0,6508561.5,1510080.0,15612.134,961751.06,0.0,0.0,9771173.0,1689734.9,0.0,4269383.0,2492124.2,21441.676,0.0,233001.78,1047392.44,9753079.0,18093.928,0.09857143
2016,498398.0,0.0,0.0,6521714.5,6060017.0,1661721.4,2047807.4,0.0,0.0,1785.351,0.0,16791444.0,7364792.0,0.0,18909.203,4253262.5,2449091.2,31001.314,0.0,952.2419,1132485.2,136624.53,0.0,15387118.0,1404326.0,8.73,692049.44,0.0,6505338.0,919216.75,2733.631,1517975.2,0.0,0.0,9637313.0,1469497.9,0.0,4284240.0,2799173.5,30746.352,0.0,1002.6769,1050783.1,9635444.0,1869.0,0.02
