date,STORAGE_IN_base,CONSTANT_HEAD_IN_base,WELLS_IN,HEAD_DEP_BOUNDS_IN_base,STREAM_LEAKAGE_IN_base,LAKE__SEEPAGE_IN_base,UZF_RECHARGE_IN_base,GW_ET_IN_base,SURFACE_LEAKAGE_IN_base,MNW2_IN,AG_WELLS_IN,TOTAL_IN_base,STORAGE_OUT_base,CONSTANT_HEAD_OUT_base,WELLS_OUT,HEAD_DEP_BOUNDS_OUT_base,STREAM_LEAKAGE_OUT_base,LAKE__SEEPAGE_OUT_base,UZF_RECHARGE_OUT_base,GW_ET_OUT_base,SURFACE_LEAKAGE_OUT_base,MNW2_OUT,AG_WELLS_OUT,TOTAL_OUT_base,IN-OUT_base,PERCENT_DISCREPANCY_base,STORAGE_IN_unimp,CONSTANT_HEAD_IN_unimp,HEAD_DEP_BOUNDS_IN_unimp,STREAM_LEAKAGE_IN_unimp,LAKE__SEEPAGE_IN_unimp,UZF_RECHARGE_IN_unimp,GW_ET_IN_unimp,SURFACE_LEAKAGE_IN_unimp,TOTAL_IN_unimp,STORAGE_OUT_unimp,CONSTANT_HEAD_OUT_unimp,HEAD_DEP_BOUNDS_OUT_unimp,STREAM_LEAKAGE_OUT_unimp,LAKE__SEEPAGE_OUT_unimp,UZF_RECHARGE_OUT_unimp,GW_ET_OUT_unimp,SURFACE_LEAKAGE_OUT_unimp,TOTAL_OUT_unimp,IN-OUT_unimp,PERCENT_DISCREPANCY_unimp
1990-01-08,24092672.0,0.0,0.0,46005572.0,4573777.0,1380928.6,66995200.0,0.0,0.0,11756.49,0.0,143059900.0,78994590.0,0.0,125254.7,29519270.0,23647684.0,1531465.9,0.0,278129.3,6001391.5,988452.0,1799.6045,141088020.0,1971888.0,1.39,28718668.0,0.0,45933690.0,5180415.0,56087.55,66418320.0,0.0,0.0,146307170.0,78559400.0,0.0,29607662.0,23698370.0,6166825.5,0.0,279302.4,5963763.0,144275310.0,2031856.0,1.4
1990-01-14,35652536.0,0.0,0.0,85195370.0,15407746.0,2554103.2,85799016.0,0.0,0.0,18290.904,0.0,224627060.0,110166420.0,0.0,232683.38,55152664.0,40340360.0,2174332.5,0.0,298242.5,11496888.0,1836982.8,1799.6045,221700370.0,2926688.0,1.31,42417230.0,0.0,85008150.0,15804491.0,143036.94,86658410.0,0.0,0.0,230031330.0,110672700.0,0.0,55357424.0,40277296.0,9223138.0,0.0,299134.2,11427598.0,227257300.0,2774032.0,1.21
1990-02-01,62369590.0,0.0,0.0,202658530.0,32403690.0,5543297.0,112199944.0,0.0,0.0,40438.83,0.0,415215500.0,148322820.0,0.0,555465.7,132041240.0,93393336.0,3246969.0,0.0,367266.8,29242948.0,4387091.5,1799.6045,411558940.0,3656544.0,0.88,74385070.0,0.0,202051230.0,32064208.0,374333.9,112901400.0,0.0,0.0,421776220.0,147350910.0,0.0,132702200.0,94127470.0,14773857.0,0.0,367189.62,29074700.0,418396350.0,3379872.0,0.8
1990-03-01,95251780.0,0.0,0.0,385314780.0,64531200.0,10052973.0,153207070.0,0.0,0.0,78799.17,0.0,708436540.0,203108770.0,0.0,1058945.5,251409780.0,177670600.0,4111001.2,0.0,546224.56,58713604.0,8203459.5,1799.6045,704824100.0,3612416.0,0.51,111677650.0,0.0,384075230.0,63585350.0,502938.8,153599040.0,0.0,0.0,713440200.0,200017950.0,0.0,252878480.0,178188720.0,19898372.0,0.0,544954.9,58323720.0,709852200.0,3587968.0,0.5
1990-04-01,130453720.0,0.0,0.0,587622500.0,85188010.0,15156859.0,182514720.0,0.0,0.0,122367.37,0.0,1001058200.0,231270180.0,0.0,1618394.6,383420450.0,270353380.0,4746550.5,0.0,1333817.5,92361510.0,12625882.0,1799.6045,997732000.0,3326208.0,0.33,150766480.0,0.0,585633100.0,84203270.0,600826.1,182809680.0,0.0,0.0,1004013300.0,227158200.0,0.0,385845900.0,270752400.0,24069354.0,0.0,1327321.8,91602030.0,1000755200.0,3258112.0,0.33
1990-05-01,172849810.0,0.0,0.0,783803970.0,98555400.0,20452702.0,195469330.0,0.0,0.0,163837.22,0.0,1271295000.0,243006670.0,0.0,2262955.8,510595620.0,354562880.0,5167857.5,0.0,10282735.0,123966616.0,18298866.0,24620.887,1268168800.0,3126144.0,0.25,195432670.0,0.0,780812600.0,97181350.0,702970.25,195772640.0,0.0,0.0,1269902200.0,238275760.0,0.0,514074850.0,354447580.0,27157828.0,0.0,10257899.0,122845720.0,1267059700.0,2842496.0,0.22
1990-05-28,210650610.0,0.0,0.0,960720500.0,116528344.0,25401500.0,204305170.0,0.0,0.0,201864.25,0.0,1517808000.0,256061000.0,0.0,3074734.2,624684900.0,426174660.0,5427300.5,0.0,21269124.0,151602990.0,23798084.0,2528693.8,1514621400.0,3186560.0,0.21,233958320.0,0.0,956679100.0,114260340.0,830228.8,204640140.0,0.0,0.0,1510368100.0,251273630.0,0.0,629235300.0,425998100.0,29386274.0,0.0,21743954.0,150195550.0,1507832800.0,2535296.0,0.17
1990-05-29,212027380.0,0.0,0.0,967267800.0,118356350.0,25599008.0,205670190.0,0.0,0.0,203364.16,0.0,1529124000.0,258887870.0,0.0,3104718.2,628914500.0,428989700.0,5435120.5,0.0,21283790.0,152643860.0,24001722.0,2528693.8,1525790000.0,3334016.0,0.22,235636820.0,0.0,963190200.0,115896720.0,840342.75,205964100.0,0.0,0.0,1521528000.0,253839730.0,0.0,633505300.0,428956600.0,29460124.0,0.0,21758218.0,151221550.0,1518741400.0,2786688.0,0.18
1990-06-01,215590480.0,0.0,0.0,986914800.0,120823340.0,26145664.0,207984130.0,0.0,0.0,207702.16,0.0,1557666200.0,262064340.0,0.0,3194645.0,641603300.0,437749570.0,5472669.5,0.0,21307334.0,155788800.0,24612330.0,2528693.8,1554321700.0,3344512.0,0.21,239287650.0,0.0,982723400.0,118411170.0,849936.06,208176850.0,0.0,0.0,1549449000.0,256944380.0,0.0,646315100.0,437582700.0,29713306.0,0.0,21781076.0,154322800.0,1546659300.0,2789632.0,0.18
1990-07-01,253303700.0,0.0,0.0,1183471700.0,135687020.0,31626114.0,217997760.0,0.0,0.0,249817.36,0.0,1822336300.0,270229630.0,0.0,4322728.0,768431100.0,519998880.0,5703703.5,0.0,28702346.0,186903800.0,31325954.0,3796686.8,1819414800.0,2921472.0,0.16,278315780.0,0.0,1177999500.0,131941250.0,948148.44,218040770.0,0.0,0.0,1807245300.0,264362700.0,0.0,774400000.0,519779460.0,31898168.0,0.0,29347492.0,185077730.0,1804865400.0,2379904.0,0.13
