name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
ks_1,0.377412,1.92474,-3.47207,4.2269,0.500585,0.605554,-0.710523,1.71169
ks_10,0.263498,1.92474,-3.58599,4.11298,0.265175,1.90698,-3.54878,4.07913
ks_100,-4.1891,2.17474,-8.53858,0.160389,-4.14933,0.925805,-6.00095,-2.29772
ks_101,-3.15989,1.92474,-7.00938,0.689591,-3.16002,1.91814,-6.9963,0.676249
ks_102,-4.13077,2.17474,-8.48025,0.218717,-4.12878,2.1714,-8.47158,0.214032
ks_103,-3.46344,1.92474,-7.31293,0.386043,-3.46175,1.92014,-7.30202,0.37852
ks_104,-5.01412,2.17474,-9.36361,-0.66464,-5.01412,2.17323,-9.36058,-0.667665
ks_105,-5.00966,2.17474,-9.35915,-0.660176,-5.00789,2.17322,-9.35434,-0.661448
ks_106,-3.83863,1.92474,-7.68812,0.010853,-3.83687,1.9217,-7.68027,0.00654072
ks_107,-3.60033,1.92474,-7.44981,0.249159,-3.59822,1.91254,-7.42331,0.226867
ks_108,0.652651,1.92474,-3.19683,4.50214,0.654272,1.92432,-3.19437,4.50291
ks_109,0.879498,1.92474,-2.96999,4.72898,0.879313,1.92356,-2.9678,4.72643
ks_11,-0.458685,1.92474,-4.30817,3.3908,-0.450716,1.69274,-3.8362,2.93477
ks_110,0.581321,1.92474,-3.26816,4.43081,0.582449,1.92334,-3.26423,4.42913
ks_111,0.949968,1.92474,-2.89952,4.79945,0.950957,1.74427,-2.53759,4.4395
ks_112,0.664827,1.92474,-3.18466,4.51431,0.663457,1.92163,-3.1798,4.50671
ks_113,-1.1522,1.92474,-5.00169,2.69728,-1.15323,0.720462,-2.59416,0.287691
ks_114,0.989559,1.92474,-2.85993,4.83904,0.992733,0.571079,-0.149425,2.13489
ks_115,0.830076,1.92474,-3.01941,4.67956,0.830168,1.91741,-3.00465,4.66499
ks_116,-0.408683,1.92474,-4.25817,3.4408,-0.408862,1.78953,-3.98792,3.17019
ks_117,1.1429,1.92474,-2.70658,4.99239,1.14419,1.07392,-1.00365,3.29203
ks_118,0.297972,1.92474,-3.55151,4.14746,0.299554,1.914,-3.52844,4.12755
ks_119,1.02847,1.92474,-2.82101,4.87796,1.02849,1.92228,-2.81608,4.87305
ks_12,0.967035,1.92474,-2.88245,4.81652,0.968802,1.92474,-2.88068,4.81829
ks_120,-0.913607,1.92474,-4.76309,2.93588,-0.913158,1.63793,-4.18902,2.36271
ks_121,0.362177,1.92474,-3.48731,4.21166,0.363976,1.7966,-3.22923,3.95718
ks_122,1.62604,1.92474,-2.22345,5.47552,1.6266,1.86835,-2.1101,5.36329
ks_123,0.985268,1.92474,-2.86422,4.83475,0.983594,1.91117,-2.83875,4.80593
ks_124,0.327011,1.92474,-3.52247,4.1765,0.327011,1.92473,-3.52245,4.17647
ks_125,1.4743,1.92474,-2.37519,5.32378,1.47876,1.0856,-0.692436,3.64995
ks_126,2.42325,1.92474,-1.42624,6.27273,2.42514,1.90225,-1.37935,6.22963
ks_127,-0.0321821,1.92474,-3.88167,3.8173,-0.0329859,1.80857,-3.65013,3.58415
ks_128,0.670847,1.92474,-3.17864,4.52033,0.670101,1.31074,-1.95138,3.29158
ks_129,0.81602,1.92474,-3.03347,4.6655,0.817676,1.80071,-2.78375,4.4191
ks_13,-0.139816,1.92474,-3.9893,3.70967,-0.0458978,0.538079,-1.12206,1.03026
ks_130,0.744962,1.92474,-3.10452,4.59445,0.740192,1.78444,-2.82868,4.30907
ks_131,-3.6968,1.92474,-7.54629,0.152681,-3.6968,1.92121,-7.53921,0.145607
ks_132,-3.70115,1.92474,-7.55063,0.148338,-3.70118,1.92102,-7.54322,0.140856
ks_133,-3.6968,1.92474,-7.54629,0.152681,-3.6968,1.9211,-7.53899,0.145387
ks_134,-1.56541,1.92474,-5.41489,2.28408,-1.56541,1.92474,-5.41489,2.28408
ks_135,-3.7986,1.92474,-7.64809,0.0508821,-3.7986,1.92157,-7.64174,0.0445343
ks_136,-3.61261,1.92474,-7.4621,0.236875,-3.61362,1.92082,-7.45526,0.22802
ks_137,-2.41454,1.92474,-6.26402,1.43495,-2.41461,1.89729,-6.2092,1.37998
ks_138,0.82867,1.92474,-3.02082,4.67815,0.830455,1.92439,-3.01833,4.67924
ks_139,-3.64016,1.92474,-7.48965,0.20932,-3.64016,1.92098,-7.48213,0.201797
ks_14,0.639096,1.92474,-3.21039,4.48858,0.638964,1.92472,-3.21047,4.4884
ks_140,1.17628,1.92474,-2.6732,5.02577,1.1781,1.91933,-2.66056,5.01675
