pkg,run_id,wellid,mfrowcol,row,col,xcoord,ycoord,Qdes,Qnet,mean_20_str_loss,fraction_20,mean_40_str_loss,fraction_40
mnw,23,s2300838w3,c133071,133,71,487578,4320678,-545.0999999999999,-133.94546467532524,0.9491225805819823,-0.007085888147706915,0.23077215770822837,-0.001722881459761288
wel,23,c016047,c016047,16,47,480090,4357182,-43.608,-0.3047500000000424,0.0013982724237472843,-0.004588260619350582,-0.045672097026732444,0.14986742256513894
mnw,24,s2300838w4,c136077,136,77,489450,4319742,-545.0999999999999,-547.0773284237716,4.558361634024816,-0.008332207161935,1.1356525477006307,-0.0020758537937820426
wel,24,c016048,c016048,16,48,480402,4357182,-43.608,-0.3047500000000424,0.0013297159027777844,-0.004363300747424445,-0.04568461010724215,0.14990848271447352
mnw,25,s2300842w1,c233117,233,117,501930,4289478,-545.0999999999999,-554.8432947236181,2.4615977434411858,-0.004436563921471506,0.7592305537417766,-0.0013683693413290127
wel,25,c016069,c016069,16,69,486954,4357182,-43.608,-43.85148351648356,0.09180189787271467,-0.0020934730255638165,0.028271065542409705,-0.0006447003219807318
mnw,26,s2300852w1,c155084,155,84,491634,4313814,-545.0999999999999,0.0,0.0,-9999.0,0.0,-9999.0
mnw,27,s2300852w2,c155085,155,85,491946,4313814,-545.0999999999999,0.0,0.0,-9999.0,0.0,-9999.0
mnw,28,s2300852w3,c155084,155,84,491634,4313814,-545.0999999999999,0.0,0.0,-9999.0,0.0,-9999.0
mnw,29,s2300853w1,c063065,63,65,485706,4342518,-545.0999999999999,-37.770319746836726,0.0038907451917923994,-0.00010301065010492134,-0.00401971015571105,0.00010642510263757303
mnw,30,s2300854w1,c063063,63,63,485082,4342518,-545.0999999999999,-546.3920297927458,0.17052101224118496,-0.0003120854678386615,-0.03231330199876053,5.9139409502399625e-05
mnw,31,s2300854w2,c063064,63,64,485394,4342518,-545.0999999999999,-39.0264917737795,0.009543334430049316,-0.00024453477615585066,0.002689131768932845,-6.890529091163599e-05
mnw,32,s2300855w1,c063065,63,65,485706,4342518,-545.0999999999999,-58.60773459595933,0.03841200074287957,-0.0006554083860720981,-0.0006743309157270607,1.1505834859099844e-05
mnw,33,s2300856w1,c065061,65,61,484458,4341894,-545.0999999999999,-523.9846801007548,0.1444173700443477,-0.00027561372599019176,-0.04129045273466843,7.880087777896267e-05
mnw,34,s2310002w1,c095062,95,62,484770,4332534,-545.0999999999999,-551.7472120204606,2.2377859606549344,-0.004055817432153966,0.937465546714398,-0.0016990852446385062
wel,35,c018009,c018009,18,9,468234,4356558,-43.608,-0.3047500000000424,9.150584795324935e-06,-3.0026529270955415e-05,-2.9410444444443093e-05,9.650679062982445e-05
wel,36,c018074,c018074,18,74,488514,4356558,-43.608,-44.143098901098874,-0.08780242158218816,0.0019890407281760287,-0.031743162129799884,0.0007190968219272365
wel,37,c018075,c018075,18,75,488826,4356558,-43.608,-43.878301075268745,0.16456577974942724,-0.0037505048216687205,0.04745745525205762,-0.0010815700263929818
wel,38,c018079,c018079,18,79,490074,4356558,-43.608,-43.97804347826079,0.049893335481099525,-0.0011345055744865682,0.023363309833545353,-0.0005312494141558229
wel,39,c018082,c018082,18,82,491010,4356558,-43.608,-43.876296703296646,-0.14409327932581026,0.0032840802472507624,-0.05085816107625489,0.0011591261090281046
wel,3,c010050,c010050,10,50,481026,4359054,-43.608,-43.9800851063831,-0.0003933918128655018,8.94477152360959e-06,0.15546045946815376,-0.003534792147220989
wel,40,c018083,c018083,18,83,491322,4356558,-43.608,-43.49101063829786,-0.2586960107309943,0.00594826395004922,-0.09423447215762285,0.0021667574695226942
wel,41,c018084,c018084,18,84,491634,4356558,-43.608,-43.73106521739128,-0.455277157033097,0.010410840778057222,-0.16465619217773445,0.0037651996666262957
wel,42,c019003,c019003,19,3,466362,4356246,-43.608,-43.7653736263736,-6.103634259258587e-05,1.3946263343632132e-06,-3.599171874999836e-05,8.223788755297926e-07
wel,43,c019004,c019004,19,4,466674,4356246,-43.608,-43.64431521739109,1.4456349206358158e-05,-3.312309778341462e-07,-2.9441683813441972e-05,6.74582329148568e-07
wel,44,c019005,c019005,19,5,466986,4356246,-43.608,-0.3047500000000424,7.846296296301383e-06,-2.574666545135453e-05,-2.843599397590235e-05,9.330925012599966e-05
wel,45,c019009,c019009,19,9,468234,4356246,-43.608,-0.9186195652173015,5.584924242424701e-05,-6.079692240284012e-05,2.195629084968574e-06,-2.390139692321046e-06
wel,46,c019010,c019010,19,10,468546,4356246,-43.608,-0.3047500000000424,1.2725115740743645e-05,-4.1755917114821575e-05,-3.6574154040402564e-05,0.00012001363097751429
mnw,5,s2300605w4,c129073,129,73,488202,4321926,-545.0999999999999,-535.5199444444435,4.108207823571495,-0.007671437574250222,1.3359532501268643,-0.002494684397819772
