pkg,run_id,wellid,mfrowcol,row,col,xcoord,ycoord,Qdes,Qnet,mean_20_str_loss,fraction_20,mean_40_str_loss,fraction_40
mnw,100,s4900608w1,c227111,227,111,500058,4291350,-545.0999999999999,-542.7113326086958,1.097776543701775,-0.0020227632587383076,0.3822870467750529,-0.0007044021817961344
mnw,101,s4900611w1,c238113,238,113,500682,4287918,-545.0999999999999,-546.470099999998,0.8217667114748716,-0.0015037725055311803,0.1624613129621719,-0.0002972922268979995
mnw,102,s4900611w2,c234117,234,117,501930,4289166,-545.0999999999999,-540.290515384613,2.2393294326835824,-0.004144676556258786,0.6290028730394042,-0.0011641938089393261
mnw,103,s4900620w1,c343099,343,99,496314,4255158,-545.0999999999999,-543.3157782608707,5.080125592992188,-0.009350226509624734,-0.42791152171030583,0.000787592664950816
mnw,104,s4900629w1,c329096,329,96,495378,4259526,-545.0999999999999,-547.167368749997,2.0292600148148146,-0.0037086641687910887,2.359401925340966,-0.004312029664215935
mnw,105,s4900629w2,c329096,329,96,495378,4259526,-545.0999999999999,-545.5252717391293,0.5170010174897114,-0.0009477123137513266,-0.444132570364114,0.0008141374806491067
mnw,106,s4900630w1,c341097,341,97,495690,4255782,-545.0999999999999,-532.5643666666635,23.461480481357196,-0.04405379321227087,13.678312598405613,-0.025683867443138535
mnw,107,s4900630w2,c340098,340,98,496002,4256094,-545.0999999999999,0.0,0.0,-9999.0,0.0,-9999.0
mnw,108,s4900630w3,c341097,341,97,495690,4255782,-545.0999999999999,-539.1307937499951,3.5690843404175983,-0.006620071384890415,6.570962403443879,-0.012188067310603215
mnw,109,s4900634w1,c341097,341,97,495690,4255782,-545.0999999999999,-541.843266265058,4891.465435184177,-9.027454505250562,1859.3671930596145,-3.4315591035693562
mnw,110,s4900637w1,c344100,344,100,496626,4254846,-545.0999999999999,-538.8575505494479,18.06302355665114,-0.033520962150819116,3.2918957500586514,-0.006109027787960026
mnw,111,s4900637w2,c344100,344,100,496626,4254846,-545.0999999999999,-549.6034887640453,11.025982637911492,-0.020061704234641684,0.7891585988547017,-0.001435868976431301
mnw,112,s4900637w3,c344098,344,98,496002,4254846,-545.0999999999999,0.0,0.0,-9999.0,0.0,-9999.0
mnw,113,s4900639w1,c335094,335,94,494754,4257654,-545.0999999999999,-541.8121022222217,7.562766812817949,-0.013958283290091803,5.423057858940062,-0.010009111713632082
mnw,114,s4900639w2,c335094,335,94,494754,4257654,-545.0999999999999,-547.1035228260848,8.182107042700428,-0.014955317780509677,6.417946284777375,-0.011730771265418325
mnw,116,s4900640w2,c338095,338,95,495066,4256718,-545.0999999999999,-548.4513203007516,47.507799349162966,-0.08662172482894442,16.16439371499314,-0.0294727957006816
mnw,19,s2300755w2,c032085,32,85,491946,4352190,-545.0999999999999,-219.75722211055194,0.31489243455798943,-0.0014329105161311987,0.13296356471958268,-0.0006050475312829242
mnw,20,s2300837w1,c117066,117,66,486018,4325670,-545.0999999999999,-548.9734888888883,2.982514392914981,-0.005432893305925451,1.1114800793383757,-0.0020246516486397003
mnw,21,s2300838w1,c137077,137,77,489450,4319430,-545.0999999999999,-548.2696476190471,4.777344586756835,-0.008713494550543252,1.25676813785958,-0.002292244597740011
mnw,22,s2300838w2,c133071,133,71,487578,4320678,-545.0999999999999,-136.97446862244922,0.949146269146602,-0.006929366316892163,0.24782529209774412,-0.0018092809162913385
wel,22,c015085,c015085,15,85,491946,4357494,-43.608,-0.3047500000000424,-0.19211010603703724,0.6303859098835456,-0.06390743484412917,0.2097044621628229
