date,STORAGE_IN,CONSTANT_HEAD_IN,WELLS_IN,HEAD_DEP_BOUNDS_IN,STREAM_LEAKAGE_IN,LAKE__SEEPAGE_IN,UZF_RECHARGE_IN,GW_ET_IN,SURFACE_LEAKAGE_IN,MNW2_IN,AG_WELLS_IN,TOTAL_IN,STORAGE_OUT,CONSTANT_HEAD_OUT,WELLS_OUT,HEAD_DEP_BOUNDS_OUT,STREAM_LEAKAGE_OUT,LAKE__SEEPAGE_OUT,UZF_RECHARGE_OUT,GW_ET_OUT,SURFACE_LEAKAGE_OUT,MNW2_OUT,AG_WELLS_OUT,TOTAL_OUT,IN-OUT,PERCENT_DISCREPANCY
1990-01-08,1505711.5,0.0,0.0,6538733.0,2310959.5,216882.6,42314564.0,0.0,0.0,981.2049,0.0,52887830.0,44885144.0,0.0,17898.48,4266662.5,2242998.2,134187.06,0.0,13684.075,891769.3,141337.38,0.0,52593684.0,294148.0,0.56
1990-01-14,1435276.6,0.0,0.0,6522921.0,5425773.5,247702.69,7172662.5,0.0,0.0,1253.1622,0.0,20805590.0,13007306.0,0.0,17909.062,4273127.0,1960271.6,78205.125,0.0,495.309,957108.5,141656.03,0.0,20436080.0,369510.0,1.79
1990-02-01,1079961.4,0.0,0.0,6527738.5,951480.2,168924.27,1047919.5,0.0,0.0,1285.0093,0.0,9777309.0,1643529.0,0.0,17948.4,4263775.5,2653061.2,39241.13,0.0,427.8109,1005619.06,141710.45,0.0,9765312.0,11997.0,0.12
1990-03-01,1349771.0,0.0,0.0,6523176.0,625285.25,156598.38,1204930.6,0.0,0.0,1372.0573,0.0,9861133.0,1171359.2,0.0,18055.873,4265023.0,3160116.2,26806.332,0.0,12253.674,1078632.5,136259.4,0.0,9868505.0,-7372.0,-0.07
1990-04-01,1323050.0,0.0,0.0,6527188.0,449107.7,161289.12,589803.0,0.0,0.0,1395.9457,0.0,9051834.0,551087.4,0.0,18040.004,4251447.0,2922853.2,17894.371,0.0,84438.945,1074599.4,142554.95,0.0,9062916.0,-11082.0,-0.12
1990-05-01,1524946.1,0.0,0.0,6545848.0,450592.25,176078.5,329721.66,0.0,0.0,1394.1396,0.0,9028580.0,256742.44,0.0,21448.404,4231875.5,2726977.5,12152.614,0.0,560287.9,1034909.06,188315.92,2476.7798,9035187.0,-6607.0,-0.07
1990-05-28,981634.0,0.0,0.0,6546965.5,3424705.5,228547.78,1212541.5,0.0,0.0,1565.4827,0.0,12395959.0,4450523.5,0.0,29988.139,4227286.0,2316799.5,3809.4075,0.0,3993.3984,1031984.25,203661.7,0.0,12268046.0,127913.0,1.04
1990-05-29,1376765.9,0.0,0.0,6547247.5,1828010.2,197507.23,1365022.1,0.0,0.0,1499.9078,0.0,11316053.0,2826886.5,0.0,29983.969,4229597.0,2815030.5,7820.0576,0.0,14666.669,1040866.7,203637.66,0.0,11168490.0,147563.0,1.31
1990-06-01,946620.56,0.0,0.0,6548920.0,855909.94,187405.84,726676.56,0.0,0.0,1451.8861,0.0,9266985.0,962721.7,0.0,29971.482,4230192.0,2760393.5,10905.005,0.0,11101.841,1050906.2,203605.28,0.0,9259797.0,7188.0,0.08
1990-07-01,1439057.4,0.0,0.0,6558225.5,455545.47,181423.0,242331.83,0.0,0.0,1393.7253,0.0,8877977.0,117253.44,0.0,37475.547,4221457.5,2617855.5,5419.468,0.0,538328.6,1018793.25,222838.72,110366.99,8889789.0,-11812.0,-0.13
1990-08-01,1323281.9,0.0,0.0,6570850.5,479770.06,176640.7,187455.05,0.0,0.0,1390.2089,0.0,8739388.0,58480.797,0.0,42257.94,4211600.0,2507157.0,6982.061,0.0,590578.8,986691.44,250620.11,111260.94,8765629.0,-26241.0,-0.3
1990-09-01,1136575.8,0.0,0.0,6572101.5,483530.34,175263.08,160009.1,0.0,0.0,1381.526,0.0,8528862.0,49570.3,0.0,42204.156,4208175.0,2474316.0,10215.073,0.0,440179.03,974625.94,248072.84,107471.586,8554830.0,-25968.0,-0.3
1990-10-01,1053797.8,0.0,0.0,6568872.0,506617.7,176056.83,150046.95,0.0,0.0,1378.1646,0.0,8456769.0,60077.55,0.0,38060.184,4207694.0,2464261.5,3872.646,0.0,397583.66,971886.56,234990.67,99116.195,8477542.0,-20773.0,-0.25
1990-11-01,796569.5,0.0,0.0,6558674.0,822148.3,180820.77,151726.61,0.0,0.0,1412.5852,0.0,8511353.0,634378.2,0.0,30186.434,4213984.0,2379672.8,3293.8015,0.0,67055.14,981713.94,209058.9,858.428,8520201.0,-8848.0,-0.1
1990-12-01,836032.56,0.0,0.0,6547545.0,462873.22,161144.73,143989.66,0.0,0.0,1406.9901,0.0,8152991.5,129449.44,0.0,20858.834,4220711.0,2517438.0,3020.6067,0.0,111617.89,991733.6,172560.44,75.6115,8167465.5,-14474.0,-0.18
1991-01-01,777036.44,0.0,0.0,6543371.5,445668.53,165322.16,144235.05,0.0,0.0,1382.9012,0.0,8077016.5,135728.05,0.0,17527.139,4223330.5,2518366.2,2721.63,0.0,30872.156,1005029.25,166589.14,23.7739,8100188.0,-23171.5,-0.29
1991-02-01,783563.3,0.0,0.0,6544059.0,435131.62,161566.0,138102.58,0.0,0.0,1404.1289,0.0,8063826.5,88904.58,0.0,17628.3,4222922.5,2497387.8,4175.0483,0.0,72014.48,1008771.3,170146.16,270.2537,8082220.5,-18394.0,-0.23
1991-02-03,687108.94,0.0,0.0,6545928.5,2592260.5,206644.34,459360.2,0.0,0.0,1541.3584,0.0,10492843.0,2895091.5,0.0,17640.732,4224938.5,2169724.5,1895.3839,0.0,3076.8616,1010267.06,170466.9,0.0,10493102.0,-259.0,-0.0
1991-03-01,659890.44,0.0,0.0,6546869.5,1204917.0,175673.42,216195.11,0.0,0.0,1438.905,0.0,8804984.0,1048223.25,0.0,17653.102,4228241.0,2321155.2,1731.6387,0.0,8116.981,1020008.1,170920.81,0.0,8816051.0,-11067.0,-0.13
1991-03-04,946386.5,0.0,0.0,6525894.0,8054430.0,322878.34,2854794.5,0.0,0.0,1782.2982,0.0,18706164.0,10885272.0,0.0,17679.4,4243780.0,1880716.8,1143.7753,0.0,7806.9004,1072756.5,157784.33,0.0,18266938.0,439226.0,2.38
1991-03-05,1100497.6,0.0,0.0,6512419.5,9000952.0,384358.16,4933221.0,0.0,0.0,1985.6779,0.0,21933434.0,13826673.0,0.0,17687.324,4259735.0,1918692.9,943.4866,0.0,3748.9194,1136760.0,158190.3,0.0,21322430.0,611004.0,2.83
1991-03-06,3254554.8,0.0,0.0,6523840.5,1413744.6,230760.3,4293627.5,0.0,0.0,1600.4531,0.0,15718128.0,5500985.5,0.0,17687.021,4266372.5,4615341.0,50126.8,0.0,5427.604,1077609.8,158051.19,0.0,15691602.0,26526.0,0.17
1991-04-01,1711582.9,0.0,0.0,6504976.0,915611.2,258442.19,3016017.2,0.0,0.0,1576.9191,0.0,12408206.0,2819390.5,0.0,17820.938,4297816.0,3881023.8,35851.062,0.0,19561.064,1176280.2,159559.78,0.0,12407303.0,903.0,0.01
1991-05-01,1234268.6,0.0,0.0,6529435.5,474514.03,190305.53,604689.4,0.0,0.0,1474.667,0.0,9034688.0,396686.16,0.0,21267.986,4257755.0,2913305.0,13206.686,0.0,151506.66,1117880.0,172404.02,0.0,9044011.0,-9323.0,-0.1
1991-06-01,1274453.8,0.0,0.0,6549235.0,474741.06,199760.06,364990.06,0.0,0.0,1435.601,0.0,8864616.0,156982.72,0.0,29848.824,4233732.5,2700896.5,8190.072,0.0,360051.03,1066415.6,208882.94,105041.02,8870041.0,-5425.0,-0.06
1991-07-01,1062663.0,0.0,0.0,6557939.5,535952.2,188108.83,280065.47,0.0,0.0,1409.8809,0.0,8626139.0,118332.734,0.0,37391.523,4223155.0,2631524.2,8433.448,0.0,295494.66,1031303.3,226542.39,66923.92,8639101.0,-12962.0,-0.15
