name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
ks_158,-0.202789,1.92474,-4.05227,3.6467,-0.19276,1.92403,-4.04083,3.65531
ks_159,-1.5723,1.92474,-5.42178,2.27719,-1.57657,1.92472,-5.42601,2.27288
ks_16,2.69072,1.92474,-1.15877,6.5402,2.37011,1.53006,-0.690013,5.43023
ks_160,0.02264,1.92474,-3.82684,3.87213,0.0408041,1.91589,-3.79098,3.87259
ks_161,2.55771,1.92474,-1.29178,6.40719,2.69897,1.51643,-0.333885,5.73182
ks_162,-0.729042,1.92474,-4.57853,3.12044,-0.706415,1.92433,-4.55507,3.14224
ks_163,-1.16305,1.92474,-5.01254,2.68643,-1.15608,1.92451,-5.00511,2.69295
ks_164,-1.26359,1.92474,-5.11308,2.58589,-1.24905,1.92455,-5.09815,2.60005
ks_165,0.797021,1.92474,-3.05246,4.64651,0.853373,1.89442,-2.93546,4.64221
ks_166,-1.80537,1.92474,-5.65486,2.04411,-1.80654,1.92474,-5.65602,2.04294
ks_167,-1.42653,1.92474,-5.27602,2.42295,-1.60816,1.91247,-5.4331,2.21678
ks_168,-0.930829,1.92474,-4.78031,2.91866,-1.36528,0.219529,-1.80434,-0.926228
ks_169,-3.58067,1.92474,-7.43016,0.268814,-3.63683,1.92094,-7.4787,0.205042
ks_17,0.222276,1.92474,-3.62721,4.07176,0.2355,1.91908,-3.60267,4.07367
ks_170,-2.69577,1.92474,-6.54525,1.15372,-2.82051,1.91425,-6.64901,1.008
ks_171,0.071725,1.92474,-3.77776,3.92121,-0.462208,1.92469,-4.31158,3.38717
ks_172,-1.70658,1.92474,-5.55607,2.1429,-1.6917,1.92461,-5.54093,2.15753
ks_173,-2.09596,1.92474,-5.94545,1.75352,-2.23331,1.87585,-5.985,1.51839
ks_174,0.766772,1.92474,-3.08271,4.61626,0.782152,1.92474,-3.06733,4.63164
ks_175,-0.902474,1.92474,-4.75196,2.94701,-0.888234,1.92474,-4.73771,2.96125
ks_176,-2.34758,1.92474,-6.19706,1.50191,-2.84454,1.90152,-6.64758,0.958495
ks_177,0.0448308,1.92474,-3.80465,3.89432,0.0630929,1.92463,-3.78616,3.91235
ks_178,-3.69822,1.92474,-7.5477,0.151266,-3.69846,1.88445,-7.46736,0.0704475
ks_179,0.291013,1.92474,-3.55847,4.1405,-0.243364,1.85539,-3.95415,3.46742
ks_18,0.403881,1.92474,-3.4456,4.25337,0.389768,1.92197,-3.45417,4.23371
ks_180,-4.7122,2.17474,-9.06168,-0.362713,-4.73138,2.11862,-8.96862,-0.494135
