OBJECTID,Join_Count,TARGET_FID,ORIG_FID,HRU_ID,HRUTYPE_IN,HRU_TYPE,DEM_MEAN,DEM_MEDIAN,DEM_MIN,DEM_MAX,DEM_ADJ,DEM_FLOWAC,DEM_SUM,DEM_COUNT,DEM_SINK8,DEM_SINK4,CRT_ELEV,CRT_FILL,DEM_ASPECT,DEM_SLP_D,DEM_SLP_R,DEM_SLP_P,DEM_FEET,HRU_AREA,HRU_ROW,HRU_COL,HRU_X,HRU_Y,HRU_LAT,HRU_LON,LAKE_ID,LAKE_AREA,ISEG,IRUNBOUND,FLOW_DIR,KRCH,IRCH,JRCH,IREACH,RCHLEN,MAXREACH,OUTSEG,IUPSEG,SUB_BASIN,SEG_BASIN,OUTFLOWHRU,STRM_TOP,STRM_SLOPE,PPT_ZONE,JH_TMAX,JH_TMIN,JH_COEF,SNAREA_THR,TMAX_ADJ,TMIN_ADJ,COV_TYPE,COVDEN_SUM,COVDEN_WIN,RAD_TRNCF,SNOW_INTCP,SRAIN_INTC,WRAIN_INTC,AWC,CLAY_PCT,SAND_PCT,KSAT,SOIL_DEPTH,ROOT_DEPTH,SOIL_TYPE,MOIST_INIT,MOIST_MAX,RECHR_INIT,RECHR_MAX,SSR2G_RATE,SLOWCOEF_L,SLOWCOEF_S,FASTCOEF_L,FASTCOEF_S,IMPERV_PCT,CAREA_MAX,PPT_01,PPT_02,PPT_03,PPT_04,PPT_05,PPT_06,PPT_07,PPT_08,PPT_09,PPT_10,PPT_11,PPT_12,PPT_14,TMAX_01,TMAX_02,TMAX_03,TMAX_04,TMAX_05,TMAX_06,TMAX_07,TMAX_08,TMAX_09,TMAX_10,TMAX_11,TMAX_12,TMAX_14,TMIN_01,TMIN_02,TMIN_03,TMIN_04,TMIN_05,TMIN_06,TMIN_07,TMIN_08,TMIN_09,TMIN_10,TMIN_11,TMIN_12,TMIN_14,PPT_RT_01,PPT_RT_02,PPT_RT_03,PPT_RT_04,PPT_RT_05,PPT_RT_06,PPT_RT_07,PPT_RT_08,PPT_RT_09,PPT_RT_10,PPT_RT_11,PPT_RT_12,TZONES,Input_FID,Station_Na,Shape_Leng,Shape_Area,OID_,HRU_ID_1,subbasin,hru_psta,AnnRain,ghh_id
28254,1,28253,28253,75818,1,1,246.300494673000000,0.000000000000000,215.086563109999000,260.393310546999000,239.910003662000000,239.911667021999000,1310850.691700000000000,5463.888888660000000,0.000000000000000,0.000000000000000,239.909999999999000,0.000000000000000,225,9.975849570830000,0.174111420690000,0.175892403400000,0.000000000000000,22.239484332000000,300,171,517050,4271850,38.594972662600000,-122.804210435000000,0,0.000000000000000,0,380,8,0,0,0,0,0,0,0,0,19,434,0,0.000000000000000,0.000000000000000,1,29.388600000000000,11.957700000000000,22.086099999999900,0.000000000000000,0.286667000000000,0.286667000000000,2,0.436000000000000,0.174400000000000,0.614038000000000,0.020000000000000,0.020000000000000,0.020000000000000,0.170000000000000,32.899999999999900,32.299999999999900,2.133000000000000,0.000000000000000,18.000000000000000,2.000000000000000,0.306000000000000,3.060000000000000,0.306000000000000,3.060000000000000,2.846330000000000,0.000224037000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,197.572000000000000,200.087999999999000,144.038000000000000,62.462800000000000,37.751600000000000,6.375110000000000,0.513861000000000,1.646120000000000,9.560420000000000,54.342599999999900,128.861999999999000,215.991999999999000,0.000000000000000,13.427500000000000,15.471100000000000,17.751899999999900,19.972300000000000,23.790500000000000,27.267299999999900,29.304300000000000,29.388600000000000,28.090399999999900,24.259000000000000,17.641400000000000,13.286799999999900,0.000000000000000,3.637080000000000,4.716080000000000,5.793170000000000,6.691130000000000,8.969329999999990,11.242400000000000,12.137600000000000,11.957700000000000,11.339900000000000,9.279940000000000,6.275780000000000,3.879710000000000,0.000000000000000,0.909988000000000,1.067410000000000,0.878163000000000,0.879610000000000,0.867301000000000,0.689907000000000,0.615469000000000,1.023170000000000,0.774380000000000,1.016290000000000,0.936164000000000,1.008140000000000,0,0,Healdsburg,2.664027657660000,0.308837005770000,75817,75818,17.000000000000000,3,1059.200000000000000,1
28001,1,28000,28000,76071,1,1,206.322616186999000,0.000000000000000,165.000671387000000,242.291900634999000,191.649993896000000,191.648563856000000,3305831.253940000000000,17249.444438400000000,0.000000000000000,0.000000000000000,191.650000000000000,0.000000000000000,225,15.458553241400000,0.269802651660000,0.276545683220000,0.000000000000000,22.239484332000000,301,171,517050,4271550,38.592269082800000,-122.804217778000000,0,0.000000000000000,0,380,4,0,0,0,0,0,0,0,0,19,434,0,0.000000000000000,0.000000000000000,1,29.100400000000000,11.922499999999900,22.086099999999900,0.000000000000000,1.164440000000000,1.164440000000000,2,0.459000000000000,0.192200000000000,0.591635000000000,0.021300000000000,0.021300000000000,0.021300000000000,0.170000000000000,32.899999999999900,32.299999999999900,2.133000000000000,0.000000000000000,19.399999999999900,2.000000000000000,0.306000000000000,3.060000000000000,0.306000000000000,3.060000000000000,2.516550000000000,0.000344710000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,196.068999999999000,199.181000000000000,143.613000000000000,62.239800000000000,37.378200000000000,6.350540000000000,0.510599000000000,1.625070000000000,9.519710000000000,54.256599999999900,128.236999999999000,213.825999999999000,0.000000000000000,13.400900000000000,15.441599999999900,17.717400000000000,19.750499999999900,23.529299999999900,26.931100000000000,29.003299999999900,29.100400000000000,27.792500000000000,23.969700000000000,17.620000000000000,13.265100000000000,0.000000000000000,3.663930000000000,4.748090000000000,5.802800000000000,6.702420000000000,8.973830000000000,11.231999999999900,12.094400000000000,11.922499999999900,11.327600000000000,9.292130000000000,6.307820000000000,3.908540000000000,0.000000000000000,0.903065000000000,1.062570000000000,0.875572000000000,0.876470000000000,0.858722000000000,0.687248000000000,0.611562000000000,1.010080000000000,0.771083000000000,1.014680000000000,0.931623000000000,0.998035000000000,0,0,Healdsburg,2.664027657660000,0.308837005770000,76070,76071,17.000000000000000,10,1052.810000000000000,1
27749,1,27748,27748,76325,1,1,175.741346265999000,0.000000000000000,138.927078246999000,197.883605956999000,157.740005493000000,157.737892710000000,3141262.503340000000000,19914.444458300000000,0.000000000000000,0.000000000000000,157.740000000000000,0.000000000000000,225,11.744333022099900,0.204977279690000,0.207897114690000,0.000000000000000,22.239484332000000,302,172,517350,4271250,38.589559688900000,-122.800780420000000,0,0.000000000000000,0,380,16,0,0,0,0,0,0,0,0,19,434,0,0.000000000000000,0.000000000000000,1,28.987600000000000,11.882199999999900,22.086099999999900,0.000000000000000,0.461111000000000,0.461111000000000,2,0.474000000000000,0.190600000000000,0.594860000000000,0.020200000000000,0.020200000000000,0.020200000000000,0.165556000000000,35.077800000000000,31.322199999999900,1.854330000000000,0.000000000000000,18.199999999999900,2.000000000000000,0.298000000000000,2.980000000000000,0.298000000000000,2.980000000000000,2.381990000000000,0.000228847000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,194.205000000000000,196.056999999999000,141.921999999999000,61.454000000000000,36.916400000000000,6.284500000000000,0.522949000000000,1.571910000000000,9.390160000000000,53.899099999999900,124.805000000000000,209.562999999999000,0.000000000000000,13.473699999999900,15.536500000000000,17.817100000000000,19.777100000000000,23.525300000000000,26.916100000000000,28.907800000000000,28.987600000000000,27.697099999999900,23.966999999999900,17.689399999999900,13.314100000000000,0.000000000000000,3.645240000000000,4.726450000000000,5.834120000000000,6.724000000000000,8.969720000000000,11.216699999999900,12.038399999999900,11.882199999999900,11.302000000000000,9.294779999999990,6.334000000000000,3.931470000000000,0.000000000000000,0.894480000000000,1.045910000000000,0.865262000000000,0.865404000000000,0.848113000000000,0.680102000000000,0.626354000000000,0.977040000000000,0.760589000000000,1.007990000000000,0.906690000000000,0.978137000000000,0,0,Healdsburg,2.664027657660000,0.308837005770000,76324,76325,17.000000000000000,10,1036.590000000000000,1
27495,1,27494,27494,76577,1,1,141.008322423000000,0.000000000000000,108.710220336999000,172.860366821000000,120.080001831000000,120.083044944999000,6509888.649580000000000,54211.555449500000000,0.000000000000000,0.000000000000000,120.079999999999000,0.000000000000000,225,18.017328474799900,0.314461704300000,0.325254097370000,0.000000000000000,22.239484332100000,303,171,517050,4270950,38.586861919199900,-122.804232462000000,0,0.000000000000000,0,380,16,0,0,0,0,0,0,0,0,19,434,0,0.000000000000000,0.000000000000000,1,29.073399999999900,11.793500000000000,22.086099999999900,0.000000000000000,-0.125778000000000,-0.125778000000000,2,0.525000000000000,0.281200000000000,0.494034000000000,0.024400000000000,0.024400000000000,0.024400000000000,0.161111000000000,27.122199999999900,34.511099999999900,5.772110000000000,0.000000000000000,22.460000000000000,2.000000000000000,0.403778000000000,4.037780000000000,0.290000000000000,2.900000000000000,6.393520000000000,0.001082480000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,194.227000000000000,195.515999999999000,141.813999999999000,61.227499999999900,36.541600000000000,6.182980000000000,0.518446000000000,1.556860000000000,9.296790000000000,53.778599999999900,123.325999999999000,206.695999999999000,0.000000000000000,13.576599999999900,15.668500000000000,17.914400000000000,20.003399999999900,23.733200000000000,27.138400000000000,29.019500000000000,29.073399999999900,27.800699999999900,24.081000000000000,17.816900000000000,13.415900000000000,0.000000000000000,3.594880000000000,4.705990000000000,5.859660000000000,6.736590000000000,8.937329999999990,11.146000000000000,11.946500000000000,11.793500000000000,11.247000000000000,9.268860000000000,6.346590000000000,3.940820000000000,0.000000000000000,0.894581000000000,1.043020000000000,0.864603000000000,0.862215000000000,0.839502000000000,0.669115000000000,0.620961000000000,0.967685000000000,0.753027000000000,1.005740000000000,0.895945000000000,0.964756000000000,0,0,Healdsburg,2.664027657660000,0.308837005770000,76576,76577,17.000000000000000,10,1030.680000000000000,1
27241,1,27240,27240,76829,1,1,153.260969264000000,0.000000000000000,109.390022278000000,184.122375487999000,132.639999390000000,132.638256450000000,879376.902259000000000,6629.888885740000000,0.000000000000000,0.000000000000000,132.639999999999000,0.000000000000000,0,22.930056978200000,0.400204991940000,0.423034874780000,0.000000000000000,22.239484332100000,304,170,516750,4270650,38.584164045800000,-122.807684244000000,0,0.000000000000000,0,384,16,0,0,0,0,0,0,0,0,19,434,0,0.000000000000000,0.000000000000000,1,29.124300000000000,11.704800000000000,22.086099999999900,0.000000000000000,0.001111110000000,0.001111110000000,2,0.476000000000000,0.254300000000000,0.528307000000000,0.025000000000000,0.025000000000000,0.025000000000000,0.124444000000000,24.177800000000000,36.866700000000000,9.000000000000000,0.000000000000000,22.859999999999900,2.000000000000000,0.259556000000000,2.595560000000000,0.224000000000000,2.240000000000000,8.722060000000000,0.002126020000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,194.102000000000000,194.639000000000000,141.625000000000000,60.947299999999900,36.279400000000000,6.043910000000000,0.511263000000000,1.531080000000000,9.165870000000000,53.596400000000000,120.974000000000000,203.629999999999000,0.000000000000000,13.671400000000000,15.792500000000000,18.008900000000000,20.184100000000000,23.906199999999900,27.323200000000000,29.096299999999900,29.124300000000000,27.861400000000000,24.181699999999900,17.928400000000000,13.512400000000000,0.000000000000000,3.544510000000000,4.672130000000000,5.882510000000000,6.746500000000000,8.907610000000000,11.077900000000000,11.870600000000000,11.704800000000000,11.194599999999900,9.245620000000000,6.356500000000000,3.947490000000000,0.000000000000000,0.894005000000000,1.038340000000000,0.863451000000000,0.858269000000000,0.833478000000000,0.654065000000000,0.612358000000000,0.951661000000000,0.742422000000000,1.002330000000000,0.878859000000000,0.950445000000000,0,0,Healdsburg,2.664027657660000,0.308837005770000,76828,76829,17.000000000000000,10,1023.050000000000000,1
26988,1,26987,26987,77082,1,1,126.084741041000000,0.000000000000000,96.653144836400000,157.167007446000000,111.180000304999000,111.181266828000000,3059411.976510000000000,27517.333304500000000,0.000000000000000,0.000000000000000,111.180000000000000,0.000000000000000,135,19.647983458599900,0.342922002730000,0.357027921380000,0.000000000000000,22.239484332100000,305,170,516750,4270350,38.581460460400000,-122.807691454000000,0,0.000000000000000,0,384,8,0,0,0,0,0,0,0,0,19,434,0,0.000000000000000,0.000000000000000,1,29.063500000000000,11.631300000000000,22.086099999999900,0.000000000000000,0.368667000000000,0.368667000000000,2,0.415000000000000,0.209650000000000,0.572628000000000,0.025100000000000,0.025100000000000,0.025100000000000,0.080000000000000,29.399999999999900,36.200000000000000,9.000000000000000,0.000000000000000,22.780000000000000,2.000000000000000,0.225778000000000,2.257780000000000,0.144000000000000,1.440000000000000,9.555050000000000,0.001834810000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,192.682999999999000,191.787000000000000,140.300000000000000,60.237299999999900,35.953499999999900,5.933410000000000,0.512138000000000,1.489580000000000,9.006710000000000,53.012599999999900,119.885999999999000,201.069999999999000,0.000000000000000,13.723699999999900,15.871700000000000,18.092400000000000,20.240500000000000,23.913100000000000,27.315100000000000,29.034300000000000,29.063500000000000,27.856999999999900,24.239200000000000,18.001100000000000,13.572699999999900,0.000000000000000,3.528770000000000,4.665520000000000,5.848660000000000,6.712980000000000,8.856240000000000,11.024600000000000,11.806699999999900,11.631300000000000,11.098000000000000,9.128800000000000,6.271280000000000,3.870440000000000,0.000000000000000,0.887470000000000,1.023130000000000,0.855373000000000,0.848270000000000,0.825991000000000,0.642107000000000,0.613406000000000,0.925866000000000,0.729530000000000,0.991416000000000,0.870954000000000,0.938496000000000,0,0,Healdsburg,2.664027657660000,0.308837005770000,77081,77082,17.000000000000000,10,1011.870000000000000,1
26734,1,26733,26733,77334,1,1,86.826530710900000,0.000000000000000,72.926673889200000,105.705253600999000,83.830001831100000,83.829803725199900,5591587.609890000000000,66701.666488700000000,0.000000000000000,0.000000000000000,83.829999999999900,0.000000000000000,270,9.863545694900000,0.172151348300000,0.173872383850000,0.000000000000000,22.239484332000000,306,169,516450,4270050,38.578762481500000,-122.811142849000000,0,0.000000000000000,0,384,16,0,0,0,0,0,0,0,0,19,434,0,0.000000000000000,0.000000000000000,1,29.034800000000000,11.526700000000000,22.086099999999900,0.000000000000000,0.500667000000000,0.500667000000000,2,0.532000000000000,0.230400000000000,0.538541000000000,0.019100000000000,0.019100000000000,0.019100000000000,0.133333000000000,30.022200000000000,34.688899999999900,5.175110000000000,0.000000000000000,18.180000000000000,2.000000000000000,0.240000000000000,2.400000000000000,0.240000000000000,2.400000000000000,6.922200000000000,0.000537504000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,191.917000000000000,189.568999999999000,139.663999999999000,59.621499999999900,35.822499999999900,5.751950000000000,0.503257000000000,1.448690000000000,8.802370000000000,52.380699999999900,120.721999999999000,200.748999999999000,0.000000000000000,13.782400000000000,15.979500000000000,18.222100000000000,20.338200000000000,23.944299999999900,27.317000000000000,29.006100000000000,29.034800000000000,27.910200000000000,24.323499999999900,18.105799999999900,13.659900000000000,0.000000000000000,3.509720000000000,4.653670000000000,5.738910000000000,6.624890000000000,8.758110000000000,10.941000000000000,11.721900000000000,11.526700000000000,10.909700000000000,8.860480000000000,6.041960000000000,3.673260000000000,0.000000000000000,0.883942000000000,1.011290000000000,0.851496000000000,0.839599000000000,0.822982000000000,0.622470000000000,0.602769000000000,0.900451000000000,0.712979000000000,0.979599000000000,0.877028000000000,0.936998000000000,0,0,Healdsburg,2.664027657660000,0.308837005770000,77333,77334,17.000000000000000,10,1006.950000000000000,1
26481,1,26480,26480,77587,1,1,79.288201650000000,0.000000000000000,69.365333557100000,100.784873962000000,72.599998474100000,72.601137675900000,4759343.388540000000000,65554.666784800000000,0.000000000000000,0.000000000000000,72.599999999999900,0.000000000000000,270,7.276496145810000,0.126998815750000,0.127686024840000,0.000000000000000,22.239484332100000,307,169,516450,4269750,38.576058893000000,-122.811149928000000,0,0.000000000000000,0,384,16,0,0,0,0,0,0,0,0,19,434,0,0.000000000000000,0.000000000000000,1,28.928799999999900,11.461800000000000,22.086099999999900,0.000000000000000,0.214667000000000,0.214667000000000,2,0.406500000000000,0.162300000000000,0.654775000000000,0.017700000000000,0.017700000000000,0.017700000000000,0.108889000000000,23.411100000000000,26.833300000000000,3.653220000000000,0.000000000000000,16.199999999999900,2.000000000000000,0.196000000000000,1.960000000000000,0.196000000000000,1.960000000000000,5.153050000000000,0.000280547000000,0.000000000000000,0.000000000000000,0.000000000000000,0.042322200000000,0.957678000000000,190.402999999999000,186.495000000000000,138.153999999999000,58.887200000000000,35.527900000000000,5.646980000000000,0.503240000000000,1.406520000000000,8.642360000000000,51.689200000000000,120.016999999999000,198.882000000000000,0.000000000000000,13.807200000000000,16.028199999999900,18.276100000000000,20.342600000000000,23.889199999999900,27.236000000000000,28.896999999999900,28.928799999999900,27.884300000000000,24.354800000000000,18.152300000000000,13.701000000000000,0.000000000000000,3.497670000000000,4.645860000000000,5.679340000000000,6.570750000000000,8.692040000000000,10.882500000000000,11.657999999999900,11.461800000000000,10.801600000000000,8.715540000000000,5.917420000000000,3.567230000000000,0.000000000000000,0.876968000000000,0.994895000000000,0.842289000000000,0.829258000000000,0.816214000000000,0.611110000000000,0.602748000000000,0.874239000000000,0.700019000000000,0.966666000000000,0.871906000000000,0.928284000000000,0,0,Healdsburg,2.664027657660000,0.308837005770000,77586,77587,17.000000000000000,10,996.254000000000000,1
26227,1,26226,26226,77839,1,1,60.176154967400000,0.000000000000000,51.901336669899900,80.652862548800000,54.250000000000000,54.250805644200000,43835916.818900000000000,808023.333449000000000,0.000000000000000,0.000000000000000,54.250000000000000,0.000000000000000,270,4.000474208860000,0.069821446590000,0.069935128920000,0.000000000000000,22.239484332000000,308,168,516150,4269450,38.573360808600000,-122.814600934000000,0,0.000000000000000,0,384,8,0,0,0,0,0,0,0,0,19,434,0,0.000000000000000,0.000000000000000,1,28.911999999999900,11.396300000000000,22.086099999999900,0.000000000000000,0.414000000000000,0.414000000000000,2,0.520000000000000,0.246500000000000,0.542553000000000,0.015000000000000,0.015000000000000,0.015000000000000,0.143333000000000,27.366700000000000,38.933300000000000,6.033670000000000,0.000000000000000,16.039999999999900,2.000000000000000,0.273556000000000,2.735560000000000,0.200000000000000,2.000000000000000,9.068210000000000,0.000255221000000,0.000000000000000,0.000000000000000,0.000000000000000,0.044288900000000,0.955711000000000,190.372999999999000,185.979999999999000,137.712999999999000,58.497700000000000,35.450000000000000,5.498340000000000,0.494958000000000,1.373770000000000,8.487980000000000,51.170699999999900,119.358000000000000,199.138000000000000,0.000000000000000,13.842000000000000,16.106500000000000,18.346100000000000,20.405600000000000,23.938600000000000,27.262200000000000,28.906800000000000,28.911999999999900,27.919100000000000,24.390300000000000,18.216999999999900,13.762900000000000,0.000000000000000,3.452480000000000,4.586490000000000,5.587020000000000,6.503500000000000,8.611050000000000,10.808100000000000,11.582599999999900,11.396300000000000,10.660299999999900,8.521179999999990,5.720120000000000,3.418120000000000,0.000000000000000,0.876830000000000,0.992147000000000,0.839601000000000,0.823773000000000,0.814424000000000,0.595024000000000,0.592829000000000,0.853883000000000,0.687514000000000,0.956970000000000,0.867119000000000,0.929479000000000,0,0,Healdsburg,2.664027657660000,0.308837005770000,77838,77839,17.000000000000000,10,993.534999999999000,1
25974,1,25973,25973,78092,1,1,57.964106945499900,0.000000000000000,51.785240173299900,68.236701965300000,55.659999847400000,55.655159120500000,1252210.162730000000000,22499.444481300000000,0.000000000000000,0.000000000000000,55.659999999999900,0.000000000000000,270,2.985988161220000,0.052115324840000,0.052162558020000,0.000000000000000,22.239484332000000,309,168,516150,4269150,38.570657217099900,-122.814607882000000,0,0.000000000000000,0,384,16,0,0,0,0,0,0,0,0,19,434,0,0.000000000000000,0.000000000000000,1,28.878000000000000,11.357300000000000,22.086099999999900,0.000000000000000,0.386889000000000,0.386889000000000,2,0.501500000000000,0.208450000000000,0.588062000000000,0.017000000000000,0.017000000000000,0.017000000000000,0.144444000000000,29.888900000000000,32.833300000000000,4.708440000000000,0.000000000000000,15.760000000000000,2.000000000000000,0.260000000000000,2.600000000000000,0.232000000000000,2.320000000000000,7.211180000000000,0.000148712000000,0.000000000000000,0.000000000000000,0.000000000000000,0.029833300000000,0.970167000000000,189.363000000000000,185.203000000000000,136.626000000000000,57.927700000000000,35.164400000000000,5.430080000000000,0.494941000000000,1.347020000000000,8.377620000000000,50.523800000000000,118.688999999999000,197.521999999999000,0.000000000000000,13.849299999999900,16.129200000000000,18.351700000000000,20.377300000000000,23.919100000000000,27.228100000000000,28.863800000000000,28.878000000000000,27.884200000000000,24.374099999999900,18.232399999999900,13.784000000000000,0.000000000000000,3.440330000000000,4.568660000000000,5.561890000000000,6.488930000000000,8.588350000000000,10.784500000000000,11.554200000000000,11.357300000000000,10.599399999999900,8.457879999999990,5.659270000000000,3.370230000000000,0.000000000000000,0.872178000000000,0.988002000000000,0.832974000000000,0.815746000000000,0.807863000000000,0.587637000000000,0.592808000000000,0.837256000000000,0.678575000000000,0.944872000000000,0.862258000000000,0.921936000000000,0,0,Healdsburg,2.664027657660000,0.308837005770000,78091,78092,17.000000000000000,10,986.668999999999000,1
