 
 WELLS WITH REDUCED PUMPING FOR STRESS PERIOD     1 TIME STEP     1
   LAY   ROW   COL         APPL.Q          ACT.Q        GW-HEAD       CELL-BOT
     3   308   147  -0.247378E+01  -0.120164E+00   0.491265E+02   0.484600E+02
     3   308   147  -0.247378E+01  -0.120164E+00   0.491265E+02   0.484600E+02
     3   308   147  -0.247378E+01  -0.120164E+00   0.491265E+02   0.484600E+02
     2   332   119  -0.255277E+03  -0.254277E+02  -0.253492E+02  -0.257400E+02
     2   332   119  -0.255277E+03  -0.254277E+02  -0.253492E+02  -0.257400E+02
     2   332   119  -0.255277E+03  -0.254277E+02  -0.253492E+02  -0.257400E+02
     2   332   118  -0.255277E+03  -0.189570E+02  -0.254162E+02  -0.257500E+02
     3   334   106  -0.255277E+03  -0.220283E+02  -0.274184E+02  -0.283226E+02
     2   332   118  -0.255277E+03  -0.189570E+02  -0.254162E+02  -0.257500E+02
     2   332   118  -0.255277E+03  -0.189570E+02  -0.254162E+02  -0.257500E+02
     2   332   118  -0.255277E+03  -0.189570E+02  -0.254162E+02  -0.257500E+02
     3   287   155  -0.219959E+03  -0.782331E-02   0.527972E+02   0.527800E+02
     3   327   115  -0.104461E+03  -0.116391E+02  -0.377100E+02  -0.387481E+02
     3   327   115  -0.104461E+03  -0.116391E+02  -0.377100E+02  -0.387481E+02
     3   327   114  -0.104461E+03  -0.236361E+02  -0.376302E+02  -0.391707E+02
     2   332   148  -0.984458E+04  -0.772196E+02  -0.226859E+02  -0.227900E+02
     1   331   148  -0.984458E+04  -0.870345E+04  -0.120428E+01  -0.278000E+01
     1   336   147  -0.984458E+04  -0.715646E+04  -0.276893E+02  -0.308400E+02
     1   336   147  -0.984458E+04  -0.715646E+04  -0.276893E+02  -0.308400E+02
     1   336   147  -0.984458E+04  -0.715646E+04  -0.276893E+02  -0.308400E+02
     3   333   154  -0.984458E+04  -0.195643E+02  -0.175702E+02  -0.177000E+02
     1   331   149  -0.984458E+04  -0.116863E+04  -0.410179E+00  -0.840000E+00
     1   331   148  -0.984458E+04  -0.870345E+04  -0.120428E+01  -0.278000E+01
     1   331   148  -0.984458E+04  -0.870345E+04  -0.120428E+01  -0.278000E+01
     1   329   149  -0.984458E+04  -0.418001E+04  -0.185087E+01  -0.275000E+01
     1   329   149  -0.984458E+04  -0.418001E+04  -0.185087E+01  -0.275000E+01
     1   329   149  -0.984458E+04  -0.418001E+04  -0.185087E+01  -0.275000E+01
     1   345   110  -0.208264E+03  -0.595782E+02   0.160074E+02   0.145700E+02
     2   346   109  -0.208264E+03  -0.373634E+02  -0.386299E+02  -0.391700E+02
     3   329   103  -0.208264E+03  -0.251179E-02   0.186950E+03   0.186940E+03
     2   346   109  -0.208264E+03  -0.373634E+02  -0.386299E+02  -0.391700E+02
     2   348   112  -0.107740E+03  -0.712080E+02  -0.377520E+02  -0.389700E+02
     3   323   113  -0.130933E+03  -0.228900E+02  -0.232350E+02  -0.245658E+02
     3   312   112  -0.132245E+01  -0.174426E-02   0.415036E+03   0.414930E+03
     3   311   111  -0.132245E+01  -0.443974E-02   0.334159E+03   0.333990E+03
     3   258   115  -0.185601E+02  -0.590069E-02   0.115852E+03   0.115800E+03
 
