


 STREAM LISTING     PERIOD      1   STEP       31

 LAYER ROW COL. STREAM  RCH.   FLOW INTO    STREAM     FLOW OUT OF   OVRLND.    DIRECT     STREAM      STREAM      STREAM     STREAM  STREAMBED   FLOW TO   CHNG. UNSAT.   GW 
                SEG.NO.  NO.   STRM. RCH.    LOSS       STRM. RCH.   RUNOFF     PRECIP       ET         HEAD        DEPTH      WIDTH  CONDCTNC.   WAT. TAB.   STORAGE     HEAD

   2   10   68     1     1    0.0000E+00  0.0000E+00   0.0000E+00  0.000E+00  0.000E+00  0.000E+00  4.22110E+02  0.000E+00  1.061E+02  6.363E+03  0.000E+00  0.000E+00  3.902E+02
   2   11   68     1     2    0.0000E+00  0.0000E+00   0.0000E+00  0.000E+00  0.000E+00  0.000E+00  4.06290E+02  0.000E+00  1.061E+02  7.678E+03  0.000E+00  0.000E+00  3.838E+02
   2   12   69     1     3    0.0000E+00  0.0000E+00   0.0000E+00  0.000E+00  0.000E+00  0.000E+00  3.81240E+02  0.000E+00  1.061E+02  8.993E+03  0.000E+00  0.000E+00  3.697E+02
   2   13   70     1     4    0.0000E+00  0.0000E+00   0.0000E+00  0.000E+00  0.000E+00  0.000E+00  3.66540E+02  0.000E+00  1.061E+02  8.993E+03  0.000E+00  0.000E+00  3.611E+02
   2   14   69     1     5    0.0000E+00  0.0000E+00   0.0000E+00  0.000E+00  0.000E+00  0.000E+00  3.58610E+02  0.000E+00  1.061E+02  7.678E+03  0.000E+00  0.000E+00  3.570E+02
   2   15   69     1     6    0.0000E+00  0.0000E+00   0.0000E+00  0.000E+00  0.000E+00  0.000E+00  3.51210E+02  0.000E+00  1.061E+02  7.678E+03  0.000E+00  0.000E+00  3.507E+02
   2   16   68     1     7    0.0000E+00  0.0000E+00   0.0000E+00  0.000E+00  0.000E+00  0.000E+00  3.37830E+02  0.000E+00  1.061E+02  8.993E+03  0.000E+00  0.000E+00  3.345E+02
   2   13   46     2     1    0.0000E+00  0.0000E+00   0.0000E+00  0.000E+00  0.000E+00  0.000E+00  3.60690E+02  0.000E+00  9.095E+01  7.712E+03  0.000E+00  0.000E+00  3.413E+02
   2   14   47     2     2    0.0000E+00  0.0000E+00   0.0000E+00  0.000E+00  0.000E+00  0.000E+00  3.49240E+02  0.000E+00  9.095E+01  6.585E+03  0.000E+00  0.000E+00  3.336E+02
   2   15   47     2     3    0.0000E+00  0.0000E+00   0.0000E+00  0.000E+00  0.000E+00  0.000E+00  3.36910E+02  0.000E+00  9.095E+01  5.457E+03  0.000E+00  0.000E+00  3.268E+02
   2   16   47     2     4    0.0000E+00  0.0000E+00   0.0000E+00  0.000E+00  0.000E+00  0.000E+00  3.26620E+02  0.000E+00  9.095E+01  5.457E+03  0.000E+00  0.000E+00  3.223E+02
   2   17   47     2     5    0.0000E+00  0.0000E+00   0.0000E+00  0.000E+00  0.000E+00  0.000E+00  3.20930E+02  0.000E+00  9.095E+01  5.457E+03  0.000E+00  0.000E+00  3.173E+02
   2   18   47     2     6    0.0000E+00  0.0000E+00   0.0000E+00  0.000E+00  0.000E+00  0.000E+00  3.14760E+02  0.000E+00  9.095E+01  6.585E+03  0.000E+00  0.000E+00  3.107E+02
   2   19   48     2     7    0.0000E+00  0.0000E+00   0.0000E+00  0.000E+00  0.000E+00  0.000E+00  3.01190E+02  0.000E+00  9.095E+01  6.585E+03  0.000E+00  0.000E+00  2.996E+02
   2   20   48     2     8    0.0000E+00  0.0000E+00   0.0000E+00  0.000E+00  0.000E+00  0.000E+00  2.89070E+02  0.000E+00  9.095E+01  5.457E+03  0.000E+00  0.000E+00  2.887E+02
   2   21   48     2     9    0.0000E+00 -7.6740E+02   7.6740E+02  0.000E+00  0.000E+00  0.000E+00  2.80051E+02  1.193E-03  9.095E+01  6.585E+03  0.000E+00  0.000E+00  2.802E+02
   2   22   49     2    10    7.6740E+02  3.8236E+02   3.8504E+02  0.000E+00  0.000E+00  0.000E+00  2.76792E+02  1.522E-03  9.095E+01  6.585E+03  0.000E+00  0.000E+00  2.767E+02
   2   23   49     2    11    3.8504E+02 -7.6901E+01   4.6194E+02  0.000E+00  0.000E+00  0.000E+00  2.72791E+02  1.270E-03  9.095E+01  5.457E+03  0.000E+00  0.000E+00  2.728E+02
   2   24   49     2    12    4.6194E+02 -1.0664E+02   5.6858E+02  0.000E+00  0.000E+00  0.000E+00  2.69981E+02  1.428E-03  9.095E+01  6.585E+03  0.000E+00  0.000E+00  2.700E+02
   2   25   50     2    13    5.6858E+02 -8.7867E+00   5.7737E+02  0.000E+00  0.000E+00  0.000E+00  2.66032E+02  1.523E-03  9.095E+01  6.585E+03  0.000E+00  0.000E+00  2.660E+02
   2   14   64     3     1    0.0000E+00  0.0000E+00   0.0000E+00  0.000E+00  0.000E+00  0.000E+00  3.73210E+02  0.000E+00  9.403E+01  7.974E+03  0.000E+00  0.000E+00  3.501E+02
   2   15   65     3     2    0.0000E+00  0.0000E+00   0.0000E+00  0.000E+00  0.000E+00  0.000E+00  3.63220E+02  0.000E+00  9.403E+01  7.974E+03  0.000E+00  0.000E+00  3.398E+02
   2   16   66     3     3    0.0000E+00 -3.8593E+02   3.8593E+02  0.000E+00  0.000E+00  0.000E+00  3.28991E+02  6.718E-04  9.403E+01  7.974E+03  0.000E+00  0.000E+00  3.290E+02
   2   17   67     4     1    3.8593E+02 -7.8832E+02   1.1742E+03  0.000E+00  0.000E+00  0.000E+00  3.25023E+02  2.857E-03  8.217E+01  1.045E+04  0.000E+00  0.000E+00  3.251E+02
   2   18   68     4     2    1.1742E+03 -1.5786E+02   1.3321E+03  0.000E+00  0.000E+00  0.000E+00  3.22844E+02  3.794E-03  8.217E+01  6.968E+03  0.000E+00  0.000E+00  3.229E+02
   2   19   69     4     3    1.3321E+03  4.0335E+02   9.2875E+02  0.000E+00  0.000E+00  0.000E+00  3.19164E+02  3.566E-03  8.217E+01  5.949E+03  0.000E+00  0.000E+00  3.191E+02
   2   20   69     4     4    9.2875E+02 -3.2130E+02   1.2500E+03  0.000E+00  0.000E+00  0.000E+00  3.15673E+02  3.488E-03  8.217E+01  5.949E+03  0.000E+00  0.000E+00  3.157E+02
   1   21   70     4     5    1.2500E+03  1.7517E+02   1.0749E+03  0.000E+00  0.000E+00  0.000E+00  3.13074E+02  3.627E-03  8.217E+01  6.968E+03  0.000E+00  0.000E+00  3.130E+02
   1   22   71     4     6    1.0749E+03 -5.9577E+01   1.1345E+03  0.000E+00  0.000E+00  0.000E+00  3.09974E+02  3.517E-03  8.217E+01  5.949E+03  0.000E+00  0.000E+00  3.100E+02
   1   17   76     5     1    0.0000E+00  0.0000E+00   0.0000E+00  0.000E+00  0.000E+00  0.000E+00  3.10030E+02  0.000E+00  7.849E+01  6.656E+03  0.000E+00  0.000E+00  3.076E+02
   1   18   77     5     2    0.0000E+00  0.0000E+00   0.0000E+00  0.000E+00  0.000E+00  0.000E+00  3.03930E+02  0.000E+00  7.849E+01  5.682E+03  0.000E+00  0.000E+00  3.031E+02
   1   19   77     5     3    0.0000E+00  0.0000E+00   0.0000E+00  0.000E+00  0.000E+00  0.000E+00  3.02840E+02  0.000E+00  7.849E+01  5.682E+03  0.000E+00  0.000E+00  3.021E+02
   1   20   78     5     4    0.0000E+00  0.0000E+00   0.0000E+00  0.000E+00  0.000E+00  0.000E+00  3.02000E+02  0.000E+00  7.849E+01  6.656E+03  0.000E+00  0.000E+00  2.996E+02
   1   21   79     5     5    0.0000E+00  0.0000E+00   0.0000E+00  0.000E+00  0.000E+00  0.000E+00  2.98160E+02  0.000E+00  7.849E+01  6.656E+03  0.000E+00  0.000E+00  2.966E+02
   1   22   80     5     6    0.0000E+00 -4.2604E+02   4.2604E+02  0.000E+00  0.000E+00  0.000E+00  2.92481E+02  1.334E-03  7.849E+01  5.682E+03  0.000E+00  0.000E+00  2.926E+02
   1   23   80     5     7    4.2604E+02  6.4980E+01   3.6106E+02  0.000E+00  0.000E+00  0.000E+00  2.92142E+02  1.926E-03  7.849E+01  5.682E+03  0.000E+00  0.000E+00  2.921E+02
   1   24   81     5     8    3.6106E+02  2.3566E+02   1.2540E+02  0.000E+00  0.000E+00  0.000E+00  2.90941E+02  1.448E-03  7.849E+01  6.656E+03  0.000E+00  0.000E+00  2.909E+02
   2   19   56     6     1    0.0000E+00  0.0000E+00   0.0000E+00  0.000E+00  0.000E+00  0.000E+00  3.28750E+02  0.000E+00  8.309E+01  7.046E+03  0.000E+00  0.000E+00  3.084E+02
   2   20   55     6     2    0.0000E+00  0.0000E+00   0.0000E+00  0.000E+00  0.000E+00  0.000E+00  3.16660E+02  0.000E+00  8.309E+01  7.046E+03  0.000E+00  0.000E+00  3.026E+02
   2   21   54     6     3    0.0000E+00  0.0000E+00   0.0000E+00  0.000E+00  0.000E+00  0.000E+00  3.01910E+02  0.000E+00  8.309E+01  6.016E+03  0.000E+00  0.000E+00  2.930E+02
   2   22   54     6     4    0.0000E+00  0.0000E+00   0.0000E+00  0.000E+00  0.000E+00  0.000E+00  2.91320E+02  0.000E+00  8.309E+01  6.016E+03  0.000E+00  0.000E+00  2.871E+02
   2   23   53     6     5    0.0000E+00  0.0000E+00   0.0000E+00  0.000E+00  0.000E+00  0.000E+00  2.82010E+02  0.000E+00  8.309E+01  7.046E+03  0.000E+00  0.000E+00  2.809E+02
   2   24   52     6     6    0.0000E+00 -3.3219E+02   3.3219E+02  0.000E+00  0.000E+00  0.000E+00  2.70041E+02  7.551E-04  8.309E+01  7.046E+03  0.000E+00  0.000E+00  2.701E+02
   2   25   51     6     7    3.3219E+02 -3.4104E+02   6.7322E+02  0.000E+00  0.000E+00  0.000E+00  2.65831E+02  1.462E-03  8.309E+01  7.046E+03  0.000E+00  0.000E+00  2.659E+02
   1   20   83     7     1    0.0000E+00  0.0000E+00   0.0000E+00  0.000E+00  0.000E+00  0.000E+00  3.05910E+02  0.000E+00  7.747E+01  6.570E+03  0.000E+00  0.000E+00  2.995E+02
   1   21   82     7     2    0.0000E+00  0.0000E+00   0.0000E+00  0.000E+00  0.000E+00  0.000E+00  2.99930E+02  0.000E+00  7.747E+01  6.570E+03  0.000E+00  0.000E+00  2.971E+02
   1   22   81     7     3    0.0000E+00  0.0000E+00   0.0000E+00  0.000E+00  0.000E+00  0.000E+00  2.93710E+02  0.000E+00  7.747E+01  5.609E+03  0.000E+00  0.000E+00  2.931E+02
   1   23   81     7     4    0.0000E+00  0.0000E+00   0.0000E+00  0.000E+00  0.000E+00  0.000E+00  2.92000E+02  0.000E+00  7.747E+01  5.609E+03  0.000E+00  0.000E+00  2.917E+02
   1   24   82     7     5    0.0000E+00  0.0000E+00   0.0000E+00  0.000E+00  0.000E+00  0.000E+00  2.90320E+02  0.000E+00  7.747E+01  5.609E+03  0.000E+00  0.000E+00  2.898E+02
   1   22   72     8     1    1.1345E+03  4.2214E+01   1.1038E+03  1.154E+01  0.000E+00  0.000E+00  3.08104E+02  4.013E-03  7.685E+01  7.869E+03  0.000E+00  0.000E+00  3.081E+02
   1   22   73     8     2    1.1038E+03  3.8815E+01   1.0717E+03  6.763E+00  0.000E+00  0.000E+00  3.05674E+02  3.945E-03  7.685E+01  4.611E+03  0.000E+00  0.000E+00  3.057E+02
   1   22   74     8     3    1.0717E+03  3.8111E+02   6.9878E+02  8.161E+00  0.000E+00  0.000E+00  3.04703E+02  3.486E-03  7.685E+01  5.564E+03  0.000E+00  0.000E+00  3.046E+02
   1   21   75     8     4    6.9878E+02  3.4677E+02   3.6157E+02  9.558E+00  0.000E+00  0.000E+00  3.03353E+02  2.563E-03  7.685E+01  6.516E+03  0.000E+00  0.000E+00  3.033E+02
   1   22   76     8     5    3.6157E+02  3.7113E+02   0.0000E+00  9.558E+00  0.000E+00  0.000E+00  3.01680E+02  4.619E-04  7.685E+01  6.516E+03  0.000E+00  0.000E+00  3.015E+02
   1   23   77     8     6    0.0000E+00  8.1606E+00   0.0000E+00  8.161E+00  0.000E+00  0.000E+00  2.99550E+02  3.109E-05  7.685E+01  5.564E+03  8.161E+00  0.000E+00  2.981E+02
   1   24   77     8     7    0.0000E+00  8.1606E+00   0.0000E+00  8.161E+00  0.000E+00  0.000E+00  2.98280E+02  3.109E-05  7.685E+01  5.564E+03  8.161E+00  0.000E+00  2.970E+02
   1   25   78     8     8    0.0000E+00  9.5583E+00   0.0000E+00  9.558E+00  0.000E+00  0.000E+00  2.97160E+02  3.419E-05  7.685E+01  6.516E+03  9.558E+00  0.000E+00  2.953E+02
   1   24   79     8     9    0.0000E+00  9.5583E+00   0.0000E+00  9.558E+00  0.000E+00  0.000E+00  2.93390E+02  3.419E-05  7.685E+01  6.516E+03  0.000E+00  0.000E+00  2.933E+02
   1   25   80     8    10    0.0000E+00  8.1606E+00   0.0000E+00  8.161E+00  0.000E+00  0.000E+00  2.91430E+02  3.109E-05  7.685E+01  5.564E+03  8.161E+00  0.000E+00  2.909E+02
   1   25   81     8    11    0.0000E+00  6.7629E+00   0.0000E+00  6.763E+00  0.000E+00  0.000E+00  2.89250E+02  2.778E-05  7.685E+01  4.611E+03  0.000E+00  0.000E+00  2.891E+02
